author,text,likes,published_at
@jhpark8400,왕 넘 재미있다 ❤❤,0,2025-04-23T08:08:10Z
@stewa8001,"입력하는걸 다 출력하는것도 신기하고
원영누나가 저런말 하는것도 첨 봅니당",0,2025-04-23T06:57:36Z
@aIwayswithme,개재밌다 ㅋㅋㅋㅋ 이런 기획 한번씩 해주세요 스타쉽. 너무 꿀잼,0,2025-04-23T00:09:26Z
@tyneok9890,รอดูไม่ไหวแล้ว,0,2025-04-21T23:20:17Z
@swlim7708,레이는 한국에서 연기 해도 될 정도로 발음이 좋아지고 있네요,2,2025-04-21T03:25:55Z
@gyung1567,11:54,0,2025-04-20T11:46:15Z
@Esttsrthzdgh,아 진짜 배 찢어질거같아요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 요 근래 중 제일 심하게 웃음,0,2025-04-19T12:27:48Z
@Esttsrthzdgh,아 진짜 배 찢어지게 웃다 갑니다,0,2025-04-19T12:22:45Z
@권성엽-m1j,"나폴리 맛피""자""님은 '흑백'요리사에서 ""칼라""요리사로 인생이 완전 피셨네!
그런데 실력과 인성도 좋고, 게다가 방송까지 찰떡이라 무지하게 부럽긴 한데 배가 아프진 않음!
앞으로도  요리와 방송 모두 더욱 승승장구 하시기를~^^",0,2025-04-19T04:55:40Z
@yuhuibeak8857,"윌컴 접시 원녕언니가 두 손으로, 천천히 먹었다고 악플 달기만해봐! 원녕이 언니능 월레 예쁨!!",1,2025-04-18T13:58:36Z
@꽊곽이네,하 진짜 너무 부럽다,0,2025-04-17T11:50:21Z
@젤리곰-c7f,아이브❤❤❤,0,2025-04-16T12:57:27Z
@젤리곰-c7f,이서언니넘 기여워ㅠㅠㅠㅠㅠㅠㅠㅠㅠ❤❤❤,0,2025-04-16T12:56:46Z
@kademi-n9k,시즌 6를 달라,0,2025-04-14T23:54:45Z
@장병진-q5f,레블하트 메일 듣고있어요.다이브,2,2025-04-13T12:07:33Z
@Apk89x,Wonyoungggiiiii,0,2025-04-13T01:22:35Z
@황금빛석유왕,"안유진 ㅋㅋㅋㅋ
잔인하네 ㅋ",0,2025-04-12T15:37:38Z
@서유뉴_sky,아니ㅋㅋ 권성준 셰프님 너무 귀여우신데ㅠㅜ,1,2025-04-12T04:18:39Z
@러름,"스테이크 많이준다매!!!!
많이준다매!!!!!!ㅠㅠㅠㅠㅠ",0,2025-04-12T04:00:13Z
@sdwwdsdadasd,멤버몰카가 아니라 나폴리를 놀리네  인성보소,1,2025-04-11T13:55:32Z
@lovelyhy-kx1vw,저 아이브 좋아합니다❤,1,2025-04-11T13:05:34Z
@noel_rahman,"Napoli mafia was mouthful, they should have know its a prank 🤣",1,2025-04-10T15:36:14Z
@나는소욤안녕소유들,캬캬캬캬캬캬캬캬캬캬캬캬캬캬캬캬캬캬캬켜켜켜켜캬캬캬캬ㅑ캬캬캬캬캬캬캬캬캬캬캬컄캬캬캬캬캬ㅑㅋ,0,2025-04-10T11:38:02Z
@-photolog3022,맛피자 당신은 ...아이도루 컬렉터?,0,2025-04-10T00:20:08Z
@8lex_u,"안녕즈 웃기는 포인트
1. 럭키비키 7:44 2. 티라미수 8:06
3. 사실은 마피아 8:30 4.쇼타임 8:51
5. 진짜 마피아 9:25 6. 리즈 속이기 9:50~10:43 
7. 파마 하셨어요? 11:13 8. 지금 몇분?11:54
9. 식전기도 12:49~13:29 10. 알유레디? 13:37
11. 야무지게 먹어야지 15:37 12. 스껄 15:55  
13. 사심가득 16:36 14. 퀸 네버 크라이17:25,17:41 
15. 구다사이 18:34 16. 안녕즈 등장 20:35~21:17 

+ 너무 좋아하는거 아니야? 12:09",0,2025-04-09T12:35:35Z
@dogc8614,보는 I 죽어나감니닼ㅋㅋㅋ 너무 웃긴데 너무 수치스러워ㅜㅜㅋㅋㅋㅋㅋ,2,2025-04-07T16:22:26Z
@허진희-e3e,원영 언니 너무 예뻐요,0,2025-04-07T09:54:21Z
@이성진-i8n,럭키비키 ㅋㅋ,0,2025-04-07T09:46:13Z
@hannara07,22:38,0,2025-04-06T10:05:01Z
@장기영-r2y,원영 유진 겁나 예쁨❤❤❤❤❤❤,0,2025-04-06T05:31:57Z
@아깽즈_귀여워,123아이브 또 언제 나오지..,0,2025-04-06T05:23:01Z
@Ju.lizeari,liz..!❤,0,2025-04-05T08:07:13Z
@김하윤-n7r,?,0,2025-04-04T10:42:25Z
@castlename986,아 ㅈㄴ 웃긴데 맛피아님 이거 어케 참은거임ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2025-04-03T13:04:50Z
@승근곽-c7s,"가을이 이쁘다~
레이 귀엽구~",1,2025-03-30T11:19:06Z
@장경진-l1n,안녕즈사랑해,0,2025-03-30T08:14:21Z
@jss7995,금발 리즈 진짜 아름답다,0,2025-03-29T23:18:53Z
@도르마무-j2p,아이브는 다 비주얼멤버네,0,2025-03-29T17:37:20Z
@김경영-v1q,아이브❤,0,2025-03-29T14:55:02Z
@박청화-o6t,20:51때너무좋죵이거모르겠어😊,0,2025-03-29T11:42:55Z
@incisbro7462,15:49 dayum Liz..😍😍,1,2025-03-29T01:58:23Z
@jangsjang8679,보고싶어 요,1,2025-03-29T00:11:11Z
@jangsjang8679,언니들,1,2025-03-29T00:10:18Z
@TAeJUnJANg,원영이 살집 붙으니까 진짜 개 이쁘고 섹시하네 ... 얘 진짜 3~4년 후면 진짜 섹긔 ㅎㄷㄷ 하겠다,0,2025-03-28T17:58:14Z
@user-kd6eo3hl3j,아니 진짜 ㅈㄴ웃기네 ㅋㅋㅋㅋㅋㅋ,0,2025-03-28T06:13:11Z
@김문문-q4c,123아이브 언제한다고 말이라도 해주세요.. 너무재밋어요,0,2025-03-27T17:19:00Z
@anata1028,다음영상은 언제 나옵니까ㅠㅠ,0,2025-03-27T13:09:44Z
@jj-c4t,이상해요😢😢😢😢😢😢..!!!!!!!!!!!,0,2025-03-26T13:12:10Z
@絢子-c1m,黒と白のスプーンの人だ！,0,2025-03-26T08:47:39Z
@김용기-t4m,저는2학년가인이에요근대제가마침그레블하트로4월27일에일요일에나가요제발와주세요그리고마냑에오시면아그리고제가저는유진소윤이는리즈서히언니는이서단비언니는원영이고유하는레이에요제발대왜와주세요그리고오면면앞자리아나면무대에서잘보이는대로와주세요❤🎉,0,2025-03-26T07:50:51Z
@해피율입당,123아이브 언제올려요ㅠㅠㅠ,1,2025-03-26T05:40:49Z
@김희경-s3c,저는 많이 봐요❤❤❤,0,2025-03-25T09:02:25Z
