author,text,likes,published_at
@blackpinkjennie666,Awesome,0,2025-04-02T09:25:10Z
@Mariam-p6v7v,10 million let's go,0,2025-03-28T12:38:15Z
@Mariam-p6v7v,9•5 million let's go,0,2025-03-28T12:38:06Z
@岩崎航太,no,0,2025-03-26T07:38:57Z
@v4mpnni,Where is jeongyeon?,0,2025-01-15T21:13:27Z
@Elfangor-Sirinial-Shamtul,I'm a big fan of the checkered fits. It's one of my personal favourite fashion styles so glad to see TWICE wearing it! 🏁,2,2024-11-26T09:52:09Z
@junfong4998,❤💜🩵💙💚💛🧡🩷🤍,2,2024-07-24T12:09:06Z
@YvesSuarez-f1g,Emote Roblox??,1,2024-07-22T13:02:36Z
@aeswind_,imiss twice so much,1,2024-07-06T15:03:40Z
@wnose,Love this!!,1,2024-06-30T04:02:19Z
@FizzaFatima-zg1sm,❤❤❤ tzuyu mina Sana nayeon chaeyeong so cute and sweet,2,2024-06-01T13:11:41Z
@user-twice_lover6412,"I want to meet them 😭, it's my dream in life 😭😭😭😭😭😭",1,2024-05-17T00:24:35Z
@blakemorales_22,CHAE TE AMO,1,2024-04-19T03:44:01Z
@Eshal-n9j,Nayeon ❤❤,1,2024-03-23T20:55:26Z
@mariatiburcio5915,Amo a Twice.,2,2024-03-18T22:36:53Z
@ShineWhite-bb1fg,쯔위는 우리 할머니 옷 입은거 같은데....,2,2024-02-20T10:31:50Z
@yourlovelydovelynako7829,I love their coreography's so much and their songs too ofc 🥰🥰🥰🥰🥰,3,2024-02-16T19:59:52Z
@KeyzoTwenty-nine-qv8sp,"💜💛💚💙❤💜💛💚💙
🌷🌷🌷🌷🌷🌷🌷🌷🌷",1,2024-02-04T17:01:00Z
@ateezsanshiber4481,Amo muito vocês rainhas,1,2024-02-01T00:18:08Z
@Lavaam4gma,i love this song and the emote in roblox,1,2024-01-17T11:45:33Z
@L1zr1zzer,"I like jeongyeon vocals and beautiful, amazing voice she is pretty and she is my 2nd favorite twice member",2,2024-01-17T07:04:26Z
@Lovely-k2j,💕💕💕💕😘,1,2024-01-08T16:35:27Z
@ktrain_47,AMAZING !!!!!!,1,2023-12-21T07:05:59Z
@swiftieandonce5521,The concept is so twice coded,1,2023-12-20T18:26:08Z
@mansbillgren2305,TWICE love f❤❤❤❤❤❤❤,2,2023-12-09T09:12:31Z
@angelocabug,"I don’t want TWICE to have a comeback yet, I’m still enjoying their releases since 2021! 
☆Aclohol-Free
☆The Feels
☆Scientist
☆Talk that Talk
☆Moonlight Sunrise
☆Set Me Free",1,2023-11-25T03:13:58Z
@PiecesCompanyInc,Adorava os dentinhos da Nayeon..,1,2023-10-23T03:03:11Z
@twlseeyy,extraño esta era,1,2023-10-10T03:37:41Z
@joyboy4,Chaeyoung is so fine,1,2023-10-05T03:35:21Z
@gatoonce,Te amo mucho Twice <3,7,2023-10-04T19:17:54Z
@pitumido892,❤❤,1,2023-10-04T15:45:38Z
@利充野中,ノリノリな曲‼️車で流したらガン見😳好きな歌やし仕方ない‼️,1,2023-09-28T13:41:53Z
@利充野中,めっちゃ好き😘,1,2023-09-28T13:39:44Z
@i.3abx,0:19 Flys 👶🏻,1,2023-09-08T23:03:52Z
@brettwilson9181,This is a wonderfully written song. Bass line really draws you in and i love how each voice suits so well the song.,3,2023-08-30T08:49:51Z
@shaem8182,"I love Nayeon’s outfit
And i love jihyo’s stage presence as always",11,2023-08-29T06:05:48Z
