author,text,likes,published_at
@Elfangor-Sirinial-Shamtul,"Jihyo, why is your face so perfect? 🧡",0,2024-12-02T17:24:22Z
@user-h10-l3i,주우재 대충하는거 같은데 왤케 잘함 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2024-06-02T04:12:27Z
@김나라-k8g,주우재 못하는게없어😘,2,2023-09-21T10:52:31Z
@Helpsxxkennyy,안돼요😫🙏🙏💓 올려주세요 다른 사진은 pls 🙏🙏 더 많았어요 ❤ 두 번에서 영감을 얻었습니다 plsss 가지고있는 사진을 제거하십시오 plsss 아름다웠습니다 😍💓 다른 하나,0,2023-07-19T15:11:20Z
@ttt.217,주우재 ♡⁠,2,2023-06-29T03:36:00Z
@maysa1403,❤,0,2023-04-24T20:39:35Z
@Arai99.,Woo Jae❤I love him so much❤such a funny guy,3,2023-04-08T10:44:48Z
@Cathybnineteencute,Like it❤,0,2023-03-31T00:01:06Z
@gran-roan,"Don't know whom they are, but that was funny",0,2023-03-23T16:12:49Z
@ariadnaturcan9513,Pretty,0,2023-02-24T16:28:51Z
@blackdeathtm9940,Helloooooooo jihyo and twiceeeeeee,1,2023-02-21T04:33:07Z
@groundhopeunder717,OOOooooo is that a black face? oh shtt,0,2023-02-13T16:13:24Z
@maximusspartan7409,What??? What's happening here?,0,2023-02-10T02:49:56Z
@joenunez4208,What show was this?,0,2023-01-02T11:53:27Z
@stay_loveyss,İsmin ebrar mı?,0,2022-12-24T11:57:42Z
@amhaichmohamed265,"ILOVE YOU,JIHYO 🌹💙🌹💙🌹💙🌹👏👏👈",0,2022-11-29T13:08:43Z
@yenypinascarhuas5854,* reflexiona sobre su existencia *,0,2022-10-11T15:56:46Z
@cevaleesen5167,Jihyo you are so cute♡♡♡♡♡,0,2022-10-01T17:29:30Z
@missnova7473,Jihyo with JYP Actors and Actress? 👀 Is this a tease of her becoming an actress?,0,2022-09-30T22:45:51Z
@rashmithapa7754,Jihyo is so beautiful 🥰🥰,0,2022-09-25T17:43:08Z
@the_goat6168,tf is on her face,0,2022-09-24T15:58:00Z
@jendukiss2890,queen jihyooo😍❤❤,0,2022-09-20T20:25:41Z
@АндрейЗавернягин-н8ю,Круто 🤟🤟🤟 молодцы ребята 👦 и девчонки 🤦‍♀️,0,2022-09-20T04:25:55Z
@Lu-jq3pg,💖💖,0,2022-09-17T16:41:42Z
@Minsung-jisung,Jihyo love you💗💗,0,2022-09-17T06:59:52Z
@wonyoungismm0,OH MY LORD JINKYOUNG AND SOOK UNNIESSSS,1,2022-09-17T01:02:09Z
@niahxqyz,I LOVE THESE PEOPLE,0,2022-09-14T08:45:42Z
@rokr4145,What’s on her face,0,2022-09-12T23:39:17Z
@straykidsnotstraightkids,Why is that woman's face painted black,0,2022-09-12T21:55:34Z
@CherryTacoBell,"Jihyo it's so amazing
We love you Jihyo 💗💗",0,2022-09-11T19:19:27Z
@angelicgirl19430,Who are they with jihyo?,0,2022-09-09T06:10:35Z
@jahyunpark2997,아 난 홍진경이 왤케 웃기지 ㅋㅋㅋㅋㅋㅋㅋ,1,2022-09-07T12:03:56Z
@Tranitosaur,Oh my! Jihyo meets Jinkyung and Sook from Unnies again. Love their interactions XD,1,2022-09-06T23:12:18Z
@K3i_Sm0k3,Awwwww,0,2022-09-04T12:07:18Z
@얌-t9c,뭐야미친 놀래라 언니 얼굴이왜그래요,0,2022-09-04T05:19:52Z
@daeun_hwangdo,주우재 ㅋㅋㅋㅋ 무신경하게 툭툭 잘하네 ㅋㅋㅋㅋㅋ,36,2022-09-04T02:05:12Z
@peachyjoon6673,woojae did great,2,2022-09-03T22:15:58Z
@leleart8319,So nobodies gonna talk abt the girl with sharpie on her face-,0,2022-09-03T18:55:52Z
@Lyra_01.,Aww the unnies are together ❤,1,2022-09-03T09:46:45Z
