author,text,likes,published_at
@NCTsmtown,"✨ '샤랄라 (SHALALA)' MV https://youtu.be/aO5DPf0vebc
🎧 'SHALALA' Album https://TAEYONG.lnk.to/SHALALA",34,2023-06-10T14:37:48Z
@user-Jelly721fh9d,Taeyong🌹Nice💖,0,2024-02-07T07:49:55Z
@error0281,Cok sevdim bunu,0,2023-10-05T18:16:50Z
@manciosbkxlan,개잘해,0,2023-07-12T14:59:31Z
@YNoLaiJustice2.0,Thanks for SHALALA🌊 Already make the heart stop ㅋㅋㅋㅋ 💚,1,2023-06-17T09:15:43Z
@ClassicallyMish,I love this album💚🤎💚🤎💚,0,2023-06-16T02:37:06Z
@rubybu8215,"one of my fav track from the album, wait I love all the tracks tbh it’s so hard to pick 🤧✨❤️",2,2023-06-15T17:21:27Z
@익명-h6e1r,안무 너무 잘 어울려,0,2023-06-14T09:15:43Z
@radkaivanova1646,🇧🇬😊🇧🇬😊🇧🇬,0,2023-06-14T08:38:22Z
@mim6340,태용이 천재야,0,2023-06-14T06:56:18Z
@foreversolely,TAEYONFGGGGGGGGGGFGGGGGGGGGGGGGGG,0,2023-06-13T07:57:55Z
@BabyOutlet-j2m,❤😍😎🫰💪👋😘🤗,0,2023-06-12T08:42:00Z
@mykarina7254,mi canción¡¡¡¡,0,2023-06-12T04:00:20Z
@ireneserrano4570,"I love Virtual Insanity, the song and choreo!!!!! 💚💚💚💚💚💚💚💚💚💚💚💚💚💚🌹",1,2023-06-12T00:32:49Z
@Straykidsluvrr,Omg it’s Chilllit and Taeyong💗,2,2023-06-11T19:43:02Z
@rasi3625,insanity fr,0,2023-06-11T16:59:18Z
@GOAT-wd6ml,너무 좋아 ㅠㅠ 버츄얼인새니티 ㅠㅠ 태용아 멋져요 최고!!,0,2023-06-11T16:22:14Z
@podofskywhales,Love this choreo,0,2023-06-11T11:14:15Z
@지구-r8y,툥아 사랑해❤🌹😘,0,2023-06-11T08:49:42Z
@bbeemmchmkk3618,Hot 🥵,0,2023-06-11T06:24:49Z
@strawberrysoobs,The whole album went hard fr,8,2023-06-11T05:41:53Z
@zeenunew2008,🎉,0,2023-06-11T05:41:46Z
@aqsar0811,Thank you for the challenge Virtual Insanity🌹💚💚💚💚💚💚,3,2023-06-11T05:30:05Z
@tasyasafarasya-sz8yy,Taeyong total genius performance,2,2023-06-11T02:32:43Z
@Ayoulifepartner,Masterpiece🎉,1,2023-06-11T01:55:47Z
@Ayoulifepartner,This song is so legendary❤,2,2023-06-11T01:55:34Z
@astridpra,❤,0,2023-06-11T00:22:52Z
@sitifaizah8039,Kaya gerakan tangan dosa ular,0,2023-06-11T00:01:15Z
@-ghostly,all the dancers did so well!! everyone fits so nicely together. amazing job taeyong !!! so proud 💚,4,2023-06-10T23:15:30Z
@LiveForASMR,It's Taeyong's world and we all just live in it <3,3,2023-06-10T20:50:44Z
@TYHCJH0701,태용아 진짜 미안한데 우리 태용이가 세계최강제일가는 미남인건 알지만 이번 백댄서분들 너무 이쁘고 잘생겨서 무대할 때 약간 집중 안돼… 미안해 난 쓰레기야…,0,2023-06-10T20:47:54Z
@tyongfzen,❤❤❤,0,2023-06-10T18:21:49Z
@yumark23,Cool and beautiful 💚😻,0,2023-06-10T18:01:23Z
@Kidult_97,Taeyong is a genius 🔥,3,2023-06-10T17:49:41Z
@femmebrulee5053,i love it!,2,2023-06-10T17:44:03Z
@mmoycitdd,이쁘니,0,2023-06-10T16:54:51Z
@tyg8422,❤️❤️❤️‍🔥❤️‍🔥,0,2023-06-10T16:50:38Z
@ravaretta466,"Genius artist with magnificent talents, Taeyong! TOLO team, I love you all too!",2,2023-06-10T15:56:16Z
@janetlili,"Taeyong your art is so neo, so innovative and creative, it's an innate talent. SHALALA is so neo and so amazing. TAEYONG SLAYED with this MV",48,2023-06-10T15:43:19Z
@jjungflower,잔상안무 폼 미쳐따이~~!!,0,2023-06-10T15:37:24Z
@user-ap4fe9kv1n,잔상 남기는 부분 가사랑 너무 잘 어울리는 안무다!,6,2023-06-10T15:30:42Z
@iloveyou-ce6ds,It's cool,0,2023-06-10T15:23:20Z
@cecy_calazans,yesssss,0,2023-06-10T15:13:42Z
@katiejoy4730,So thankful you’re able to perform & promote this song ✨🥹✨ How wonderful to also make a challenge! I might have to try this one! I always loved GTA ver2 and you really took it to the next level with Virtual Insanity!! Especially the “who’s that guy? TY” part!! It’s really emotional!! I’m so proud of you & happy for you ✨🥰✨,8,2023-06-10T15:09:17Z
@himawarishineeee,all the choreos for this album are so satisfying to watch,28,2023-06-10T14:48:36Z
@happysunnyday333,i thought the brunett with a white shirt was jungwoo 😭😭,0,2023-06-10T14:41:40Z
@rksfip,Любимки💚,1,2023-06-10T14:16:57Z
@Dewdewra,"Wow Taeyong kamu sangat sangat keren 
Terimakasih sudah bekerja keras 😍😍👍👍👍💪💪💪😎😎💚💚💚",5,2023-06-10T14:09:16Z
@nananieee,pacar ku lucuu bgt,1,2023-06-10T13:56:20Z
@tryanadyah9948,taeyong 🤗,1,2023-06-10T13:56:02Z
@neonotcultured,taeyong is truly a genius for making this album. thank you taeyong and the dancers for making this choreography come alive 💚,78,2023-06-10T13:54:21Z
@nurulkhaldazahrani4338,❤❤❤,1,2023-06-10T13:51:54Z
@wintertheglory,나는 이것이 정말 좋아 ✨🌸,5,2023-06-10T13:40:46Z
@Bubububu07,Pretty Tyong 😍,1,2023-06-10T13:39:05Z
@enny0779,loppyu sekebonn,0,2023-06-10T13:36:16Z
@anqelilia,태용이가 벌써 솔로로 데뷔해서 너무 기뻐요 암튼 우리 태용이는 항상 성공하고 있어요 ❤,13,2023-06-10T13:35:43Z
@lulu.127,❤,1,2023-06-10T13:34:18Z
