author,text,likes,published_at
@Elfangor-Sirinial-Shamtul,Lily with her pretty Dahyun unnie. 🤍,0,2024-11-26T11:54:57Z
@Yo-yurij2d,I love,0,2024-10-29T23:10:06Z
@DeepsanaThapa,❤❤❤❤❤❤❤,0,2024-10-26T01:39:33Z
@kiamoore806,Lily made me uncomfy. I think she's just new. Best of luck to you.,0,2024-09-25T03:49:16Z
@gustavocampo4687,"Amoooo. Son  bellísimaaaas. 
Dahyun 💯 Lily 🎉❤",0,2024-07-23T02:52:42Z
@once_5558,リリーとダヒョン♡,0,2024-06-02T12:52:48Z
@Wesly-u6e,Dahyun,0,2024-02-26T03:03:57Z
@gidlesfav_neverland,Liliy and Dubu is so cute!,0,2024-02-03T12:39:19Z
@水族館が大好きな颯太,可愛い❤️😍,0,2024-01-28T08:56:33Z
@Hwangsena12,Lily so beautiful and cute 😍 💖 💕 💗,1,2024-01-21T20:05:43Z
@Srijanaburjamagar,Dahyun ❤❤❤,0,2024-01-17T15:15:16Z
@msenlacocina7785,❤,0,2024-01-13T00:55:18Z
@ennnuo,Лили❤❤❤,1,2024-01-07T00:30:53Z
@bethaniamotabe5795,Minhas bias❤❤❤❤,0,2024-01-03T20:39:10Z
@mohasinashaikh5906,What they eat😅,0,2024-01-02T19:06:30Z
@isabellamoreiraa72,😂😂😂,1,2024-01-01T16:04:24Z
@Tzuyu__1295,Dahyun x Lily 🤝💙,0,2023-12-28T04:22:50Z
@Camilitaa591,Dahyun cutee,0,2023-12-25T00:55:26Z
@lizblackpink,Лили богиня Дахён ур0дка,1,2023-12-08T14:28:28Z
@nahiara_bustamante218,항상 너무 귀여워! ❤,0,2023-12-02T01:52:07Z
@ahsjdkswk,лили кажется стесняется,0,2023-11-08T14:15:22Z
@archanamore8766,They are looking like siso,0,2023-11-05T09:59:27Z
@Dahnsanmin,Lily and dahyun💗,0,2023-10-24T11:07:32Z
@bonbonn5488,💗💗💗,0,2023-10-21T11:01:01Z
@Babymegan_bitofly,Twice that's I've the kpop not u,0,2023-10-16T13:02:15Z
@Hom_ia_rai,OMG,0,2023-10-05T17:05:01Z
@PujaMagar-j4m,Dahyun ❤️❤️❤️,0,2023-10-05T13:00:47Z
@MrCheng-pb7dq,Dance with me,0,2023-10-03T01:23:16Z
@ภัทรพงษ์ทีปานนท์-ฟ7ล,ลิลลี่น่ารักที่สุดเลยยยยยย,0,2023-10-02T13:39:23Z
@김호준-g5l,다현이랑 노래같이 부르고싶네  이곡도 잘듣고 부르고 있어  트와이스 릴리도잘추네 ❤❤❤,0,2023-09-19T02:50:33Z
@Finideamomora,LILYY MY GIRL 😻😻,0,2023-09-13T15:50:36Z
@Kimtwixs,Lily and dahyun,0,2023-09-12T15:08:41Z
@Nevaal25,Lily dansı yaparken kendini kasmış ama yine de çok güzel ve bu ikili etkileşimi mükemmel lütfen daha fazla twimix gelsin,1,2023-09-01T17:10:32Z
@kimjunh222,when i first saw the feels i saw dahyun looking so cute! and still do think she is till this day,0,2023-08-25T12:26:03Z
@lx._1r3,NECESITO UNA COLABORACIÓN CON NMIXX Y TWICE 😿😭,1,2023-08-25T08:26:53Z
@Nugget_lilyyy,lihun (Lily and Dahyun Ship),0,2023-08-24T05:55:30Z
@angelmandizvidza9192,Awww both of my biases together❤,0,2023-08-23T12:36:28Z
@СумаяКишварова,"Лучший колаб ❤
Дахен я тебя люблю❤😘
Лили я тебя люблю❤😘",1,2023-08-22T17:43:39Z
@andremendoza2024,❤❤❤❤❤❤❤,0,2023-08-21T02:12:31Z
@sihomaracachay,Mis son bias juntas💓💓,0,2023-08-20T16:20:35Z
@alicenogueiracordeiro6224,Ｍｙ ｆｒｉｅｎｄ ｌｏｖｅ ｙｏｕ ｄａｈｙｕｎ,0,2023-08-20T15:41:04Z
@killotica,When dahyun smiles she looks like margot robbie,0,2023-08-20T05:55:12Z
@ruksanaakhter8738,•♡Omg lily and dahyung....♡♡♡♡!♡•,0,2023-08-18T16:12:22Z
@MiaSegatto-r8d,Only for my Dahyun🎀🫶🏻love lily too🫶🏻,0,2023-08-17T17:53:40Z
@kurorekishi4242,とうふぅ！！！,0,2023-08-17T10:51:42Z
@LittleBodyBigGyatt222,You guys are so pretty!❤,0,2023-08-16T00:20:46Z
@annaluizacollares3574,"Lily i love you so much,you are very beautiful ❤ i am  Brazilian we just need  a show here 🇧🇷🌍",1,2023-08-15T20:23:35Z
@光-q6o,😊,0,2023-08-15T17:28:28Z
@nayeonasestrelas123,ASSIM EU SURTO,0,2023-08-15T17:22:29Z
