author,text,likes,published_at
@EASY-CRAZY-HOT,Keep streaming MY's,1,2025-04-21T08:22:29Z
@KeithLund,Pink Hoodie is a great song with great choreography. 💖,2,2025-04-16T07:30:43Z
@keichan06,Ningning 🔥,1,2025-04-13T19:10:32Z
@Elise3735,Karina💥💙,0,2025-04-05T20:53:45Z
@Karinaislove-o103,ㅇㄴ..카리나 미쳤네..못하는게 뭐임?❤️,2,2025-03-13T10:36:33Z
@anfwoijwej1742,지민이는 동작이 크고 힙합 안무가 제일 잘 어울림😍💖💖💖💖💖,1,2025-03-10T06:51:27Z
@trinhs8110,winter dance so cool here,0,2025-03-10T02:57:31Z
@Mhwylm.,"❄️☃️waa bagus
🦾🦾🦾🦾⭐️",0,2025-03-08T11:48:01Z
@lll7yu,ピンクの服にピンクヘアのえりちゃんピンク似合いすぎじゃない？！,1,2025-03-04T06:14:24Z
@user-gh3dg6js9f,ウィンター、カリナ！！,0,2025-02-28T18:00:31Z
@Kirrpurrpurr,KARINA FOOTWORK HIT DIFFERENT,3,2025-02-26T16:10:27Z
@Mhwyim,"up @aespa 15 MILLION album sold
🎤🎵
MY FIGHTING!!!!!
🔥",1,2025-02-22T20:33:59Z
@Mhwyam,"[📢]
#aespa Blu-ray『2024 aespa LIVE TOUR – SYNK : PARALLEL LINE – in TOKYO DOME -SPECIAL EDITION-』 2024.3.26(WED) Release
 
#aespa の2度目となる東京ドーム公演を収めた映像作品『2024 aespa LIVE TOUR – SYNK : PARALLEL LINE – in TOKYO DOME -SPECIAL EDITION-』発売決定🎥✨

さらに本作には、日本デビューシングル『Hot Mess』のアートワークとMVのBehind The Scenesも収録💜

ご購入いただいた方への抽選応募特典もございます！
ぜひチェックしてください✅",0,2025-02-12T17:23:50Z
@Mhwyam,"@aespa
🧚🧚‍♂️+38 MILLION🧚‍♀️🏃🏼‍♀️‍➡️🎼
📦💼📝views today
🙏🏻고GO!",0,2025-02-12T17:23:02Z
@uchinaga_era,SM PLEASE KEEP THIS CHOREOGRAPHY,3,2025-02-12T09:55:04Z
@kimlsjen,1:28 WINTER😭💌,8,2025-02-11T16:11:03Z
@kimlsjen,WOW AESPA IS QUEEN!!,1,2025-02-11T16:09:57Z
@bornwtobef,윈터미쳣네,0,2025-02-09T11:55:20Z
@chicken_Hi101,이거 춰봤는데 너무 빠름..,0,2025-02-06T15:09:45Z
@김지숙-j1d,지젤 최고❤,0,2025-02-06T13:13:12Z
@kpopstertube3563,These 4 really have different dancing styles. It's very much evidentnin 1:27.,0,2025-02-05T17:58:36Z
@Mhwynot23,"@aespa +37 MILLION views today
work it out
🧗‍♂️🌌🧚🗣
ㄷㄷ",0,2025-02-04T09:40:43Z
@Mhwynot23,"Supernova aespa

🏆 MAMA Song Of The Year
🏆 MMA Song Of The Year
🏆 GDA Song Of The Year
🏆 KGMA Song Of The Year
📰 Billboard Song Of The Year
📰 NMA Song Of The Year
📰 GRAMMY’s Song Of The Year",0,2025-02-04T09:40:20Z
@user-jv3zi6fk1q,하 힙한 에스파 계속되길....너무 잘 어울려ㅠㅠㅠㅠ,0,2025-02-04T03:47:15Z
@here_for_the_memes,this song is aespa’s equivalent of ITZY’s sneakers lol,0,2025-02-04T03:03:53Z
@豆粒豆太郎,0:54のwinterの首の音ハメ大好きでずっとリピしてる,0,2025-02-03T20:49:44Z
@Woojoo25,이런 색감 후드집업 아시는 분 곧바로 정보 부탁드리겠습니다 꾸벅,0,2025-02-03T10:21:07Z
@뿌닝-o1e,노래 너무 좋아❤❤❤,0,2025-01-31T19:06:09Z
@밍굴딩굴-d6m,윈터 고개를 엄청 쓰네 느낌 확산다..,0,2025-01-29T14:43:09Z
@nislaytha,"i can't take my eyes off ningning, she's so attractive FRRRR",1,2025-01-28T03:23:24Z
@nislaytha,ningning's moves and energy is out of the world! and her body is literally  goals!,5,2025-01-28T03:22:35Z
@winternautic,"I really wanted it to be the whole song... a choreography with so many hiphop fundamentals is something new for ae and I wanted to see more of that 🫠 give them more groovy coreo, karina really shines as a main dancer!",0,2025-01-25T11:54:23Z
@edsæ1000,"STREAM aespa WHIPLASH MV 155M
aespa WHIPLASH AUDIO 85M
❤️🌙⭐🦋
FIGHTING!!!!!!!!!",2,2025-01-23T09:07:04Z
@chaizze,keep streaming MYs,2,2025-01-23T04:04:27Z
@stxrryarri3852,"420,000 views rn 🎉",1,2025-01-22T23:36:32Z
@henifrimesha5177,pink hoodie 😍,1,2025-01-22T15:13:44Z
