author,text,likes,published_at
@윤-g9s8l,리즈가 많이 예뻐졌다❤,0,2025-04-22T11:49:41Z
@윤-g9s8l,가을이 머리앞머리 너무예쁘고 잘어우려❤❤❤❤❤,0,2025-04-22T11:38:39Z
@theoracle3082,Three gorgeous girls with both funny and beautiful personalities❤❤❤❤❤,0,2025-04-21T17:16:18Z
@learnchess2449,Liz ❤,0,2025-04-21T16:11:15Z
@ng5504,Cute ❤,0,2025-04-21T12:52:02Z
@weii_s,Liz❤❤,0,2025-04-21T03:41:22Z
@안혜선-p7s,"울 아이브 넘 귀여웡♡♡♡♡.   이서, 가을, 리즈 다 넘 예쁘당..❤",1,2025-04-20T13:43:42Z
@Mr.nobody-k1h,Where the sub at 😭,0,2025-04-20T12:56:39Z
@윤-g9s8l,리즈도 예쁘고 가을이랑 이서도 아름답다❤❤,1,2025-04-20T12:25:04Z
@stAAr89THeeF,오늘부터 리즈는 게임깡패로 임명되엇음 ㅎㄷㄷ,0,2025-04-20T04:08:55Z
@포녕이-w6n,진쨔 다 넘 예쁜디 귀여워어ㅓㅓ❤❤❤❤❤❤❤,0,2025-04-20T03:03:46Z
@KevM-fy4mh,Hey girls ❤❤❤,0,2025-04-19T15:20:32Z
@endenddl4950,이서 평생 시무룩했으면 좋겠다 너무 귀여워😢,0,2025-04-19T14:24:15Z
@wiwetkiw,리지 피부톤이 사기네. 백인보다 희노 그래서 귀두로 존나 비벼주고싶엉 ❤,1,2025-04-19T12:19:17Z
@wiwetkiw,얼굴로 오빠 죳물 받을준비 다 됐지? 사랑한다이기,1,2025-04-19T12:17:55Z
@HajarKharit,"your video is so very very funny and...I am hungry !!!!!!Your group is the best group !!!!  I am fan💗!!!!! I Sorry but I can't come to one of your concerts, I don't have enough money. 😭😭😭😭😭😭😭",0,2025-04-19T11:41:46Z
@해바라기-h9z,사랑해!❤️❤️,0,2025-04-19T11:03:04Z
@hyunsoolee1847,❤❤❤❤❤❤❤❤❤❤❤!,0,2025-04-19T07:58:05Z
@hyunsoolee1847,❤❤❤사랑해요,0,2025-04-19T07:56:54Z
@hyunsoolee1847,❤❤❤❤사랑해요!,0,2025-04-19T07:56:15Z
@아부라딩가딩,"근데 반대로 꽃아도 맞아요.
각자 보이는 기준으로 하면 될걸요?",0,2025-04-19T07:05:08Z
@jennyliemajorenos4597,TOO FUN TO WATCH❤ I LOVE YOU MY GIRLIES.. GAEUL SUNBAEEE I LOVE YOUUU MOREEE❤,0,2025-04-19T05:10:45Z
@최찬청형열영,이서진짜이쁘다,0,2025-04-19T03:49:34Z
@딸기맛_다연,가을이 귀여워❤,0,2025-04-19T01:23:16Z
@지-t4b,❤,0,2025-04-19T01:13:38Z
@윤-g9s8l,리즈많이 예쁘당❤❤,1,2025-04-19T00:50:06Z
@elon1796,36:35  띠킨버너나,1,2025-04-18T23:03:04Z
@elon1796,35:37  ㅋㅋㅋㅋ,0,2025-04-18T23:01:48Z
@럭키아이브키,꼬치 게임  물음표 3개 나올때   리즈 1등할라고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2,2025-04-18T21:36:48Z
@럭키아이브키,이서가  맛있게  드쎄용 하는데  귀엽❤❤❤,2,2025-04-18T21:33:06Z
@gibbro-j7f,GAEUL IS SO INCREDIBLY BEAUTIFUL ❤❤❤❤❤,11,2025-04-18T17:10:54Z
@이준석-b2h,"승부욕만땅 애깅이 ㅎㅎ
침착하게 강한 가을선배 ㅎㅎ
우당탕 김리즈 ㅎㅎ😂😂😂
❤❤❤❤",1,2025-04-18T16:04:05Z
@윤-g9s8l,예쁘다❤❤ 가을이,1,2025-04-18T13:57:52Z
@발레리나소은,이서 귀엽당 아이브❤❤❤,1,2025-04-18T13:41:25Z
@오채민-w7l,ㄱㅇㅇ,0,2025-04-18T13:28:56Z
@ex_un16,0:20 이서 너무 귀여움 ㅠㅠ❤,1,2025-04-18T13:18:12Z
@邪神BREAK,귀엽죠👍,1,2025-04-18T12:47:11Z
@먼지등쟝,현서사랑해❤❤❤❤❤❤,1,2025-04-18T12:33:25Z
@김시헌-p2w,8:05 16:02 17:26 25:56 26:20 27:22 31:11 32:24 34:04 34:13 34:49 35:17 35:49 36:27 39:05,1,2025-04-18T12:24:31Z
@최정희-s3c8t,이 조합😮넘좋아!!!!,1,2025-04-18T12:14:12Z
@gg쌈뽕,샤량해❤❤,4,2025-04-18T11:50:50Z
@호롤로-m9z,겸둥이들 ㅠㅠㅠ,1,2025-04-18T11:38:49Z
@jayk4985,Hi Liz,1,2025-04-18T11:31:21Z
@jayk4985,Hi Gaeul,1,2025-04-18T11:31:11Z
@jayk4985,Hi Leeseo,0,2025-04-18T11:30:57Z
@pasyalenemman,IVE I LOVE YOU SO MUCH Especially you Lee Hyunseo.,1,2025-04-18T11:19:57Z
@kumaco432,Yujin and Liz are both quick-witted people.Leeseo is slow to respond,0,2025-04-18T11:09:38Z
@mcy8188,아이브는 어떤 조합으로 붙여 놔도 정말 다들 예쁘고 잘 어울린다 ❤❤,0,2025-04-18T11:06:02Z
@오리꽥꽥-m6i,저 오늘 아이브 만나는 꿈꿨어요!❤😊너무 행복했다능…참고로 이서언니 너무 좋아!❤❤❤,3,2025-04-18T10:54:32Z
@오리꽥꽥-m6i,안녕하세요❤❤❤,0,2025-04-18T10:53:31Z
@마이.ell4,리즈는 게임에 대해 기대하고 있습니다 😮,0,2025-04-18T10:41:09Z
@100억-o9i,"세분 넘 다정스럽고
모두 넘 예쁨요",0,2025-04-18T10:39:46Z
@고효진-d3r,이서님 저 효진이에요,0,2025-04-18T10:37:50Z
@고효진-d3r,이서님 너무 이뻐요,0,2025-04-18T10:35:41Z
@고효진-d3r,아이브 노래 너무 좋아해요,0,2025-04-18T10:22:07Z
@고효진-d3r,아이브 사랑해요,0,2025-04-18T10:21:54Z
@You-ii2uq,아이브 가자 가자❤❤❤,0,2025-04-18T10:19:52Z
@고효진-d3r,안녕하세요,0,2025-04-18T10:19:30Z
@고효진-d3r,이서야 25살팬이에요,0,2025-04-18T10:19:20Z
@美佳-m6l,❤❤❤❤❤❤❤❤❤❤❤❤❤,2,2025-04-18T09:56:22Z
@서윤-y6w,그거 완전 재밌오요!,0,2025-04-18T09:50:04Z
@kwx1113,歡迎女神們來到台灣💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖我愛妳們💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗,0,2025-04-18T09:30:45Z
@vipAnt-f2t,잼민이 떠 재밌게 놀았으면 됐지 ㅋㅋㅋㅋ 떠 꼬질해지는거 너무 좋아,2,2025-04-18T08:49:47Z
@lamusa33709,❤,0,2025-04-18T08:40:44Z
@SamuelChin0623,❤❤❤,0,2025-04-18T08:10:47Z
@ShineFamily-h4u,They are so cute.,0,2025-04-18T08:08:59Z
@LEESEO-u8o,イソがとてもかわいい！！❤❤,6,2025-04-18T07:58:00Z
@IVE_LIZ-zz,개이뻐요,0,2025-04-18T07:47:29Z
@Leeseoland-이서의땅,07년생의 자랑 이현서 아기같아 ㅋㅋㅋㅋ,1,2025-04-18T07:45:22Z
@땅콩이의인형일상,오늘 이게임 했었는데!학교에서!❤❤,0,2025-04-18T07:28:00Z
@dive-b3e,ㅠㅠ 이거야리즈야 가을아 진짜 사랑해탸튜ㅠㅌ토오고오촟ㅊㅍ 앞으로도영원하자!! 진짜사랑행ㅠㅠㅠ 아이브 한 번만 만나보는게 소원이에여ㅠㅠㅠㅠㅠㅠ 1분이라도 조으니까ㅠ제바류ㅠㅠ❤❤❤❤❤,4,2025-04-18T07:03:55Z
@바다-q6f,이거 잘못 종치면한장씩 줘야해요 ❤❤❤어제 라이브 못봐서죄송합니다….ㅜㅜ,1,2025-04-18T06:46:13Z
@아이브사랑해유진이서,"잼나겠다^^
ㅋㅋㅋㅋㅋ 
사랑해 ❤~
우주최고선물 ❤~
🌟🌟🌟아이브 🌟🌟🌟",1,2025-04-18T06:39:15Z
@jetlee710,08:26 그냥 뒤집으면 됨. 꺼꾸로 꽂은게 아님 뒤집으면 되는데.,0,2025-04-18T06:34:27Z
@wonsund_13,유닛 라방 엄첨 기대됩어요💖💖💖💗,0,2025-04-18T06:31:32Z
@wonsund_13,가을 리즈 이서 😍😍😍😍,2,2025-04-18T06:30:59Z
@blackjack7013,우리 사랑스런 멤버들 아주 편안해 보이네요!!,1,2025-04-18T06:30:21Z
@dantedcdc,😍🐯🐿🐱😍,0,2025-04-18T06:27:20Z
@박준호-n9t,이서 실수로 꽃 떨어지는 댄스 첼린지 해주세요 귀엽던데요❤,2,2025-04-18T06:18:01Z
@뽀얀12,안뇽,0,2025-04-18T06:15:13Z
@MomoduJessica,Gauel ❤️❤️❤️❤️❤️❤️,1,2025-04-18T05:50:41Z
@엌수수수염차,"이렇게 멤버들 노는 모습 자주 찍어주니까 좋아하는 줄 아나보네







너무 좋아!!❤❤❤❤",1,2025-04-18T05:50:09Z
@一般熊,皆んな可愛い✨ガウルちゃん髪型似合ってる！,2,2025-04-18T05:37:09Z
@윤김-v3x,자느라고  못봤네,0,2025-04-18T05:13:19Z
@MiaBMHyukanin,Gaeul leeseo y Liz tan bellas,1,2025-04-18T05:02:28Z
@JuniorTeixeira-c9y,💕GAEUL💗 LIZ 💘LEESEO ❤,1,2025-04-18T04:52:43Z
@이수빈-j7v6l,가으라 원영이한테 이 말 전해줘. 뭐냐면 원영이 손톱에 검은줄 그거 흑색종 피부암이 라는데  가으라 원영이한테 병원좀 가보라고 해주라. 가으랑❤❤❤지금 병원안가면  원영이. 온몸 으로 암 퍼져서. 원영이 죽을수도있엉😢😢,0,2025-04-18T04:50:14Z
@marumain7964,このゲームをこんなにゆったりやってるグループ､見たことないわw,2,2025-04-18T04:35:04Z
