author,text,likes,published_at
@최지나-g9y,예쁘,0,2025-04-12T08:15:07Z
@Naeyon_coelhinha_fofa,Cute hair!,0,2025-02-05T22:28:16Z
@박정민-c7u5f,진짜 이거보고 ai줄❤,0,2025-01-28T08:40:26Z
@workaholic.9635,032?,0,2025-01-17T14:12:34Z
@jennierubyjaneblnk3728,that long torso & neck,0,2025-01-01T20:30:12Z
@meh9677,I love the hairstyle,0,2024-11-26T19:53:26Z
@Winter_Gaming2928,"""Whip-Whip-Lash""

""Whip-Whip-Lash""

""Whip-Whip-Lash""

""Whip-Whip-Lash""

""Whip-Whip-Lash""

""Whip-Whip-Lash""

""One Look Give Em' Whiplash""",0,2024-11-20T07:51:34Z
@TheHighLevel.,A beautiful Korean girl 😍 🤩 🇰🇷 💯,1,2024-11-01T15:12:37Z
@1lovaespa,"Karina, you’re amazing, like this comeback!!!🤩",1,2024-10-29T17:17:16Z
@hanissanuar,"Is she an Angel + Goddess? 
Face Economy 💯",0,2024-10-27T23:58:38Z
@바다나라-v1r,너무너무 이뻐서 미쳐❤,1,2024-10-27T15:35:05Z
@규니이,👍,0,2024-10-26T16:06:43Z
@HWANGentertainment,Omgg berlinnnnnn,1,2024-10-26T08:47:28Z
@단츄랑_결혼한_셔츠,귀요미! 여기서 핫걸🔥이 됐잖아! 어떻게 책임질꺼야!!😢❤,2,2024-10-25T18:08:19Z
@ssuny.m,와..,0,2024-10-25T11:50:39Z
@nayjune6735,❤❤🎉,0,2024-10-24T10:33:13Z
@송사머사머,섹시하다 복근없이 부드러워보이는 저 배랑 흰 피부 너무 여성스러움,0,2024-10-23T23:49:17Z
@jesussantoyogarcia,"How pretty Karina, you are an angel🎉",1,2024-10-23T20:32:54Z
@bouraouiseghaier730,Omg Karina is a baby film adorable and pretty,0,2024-10-23T19:40:14Z
@r0sepetalss,i love yu,0,2024-10-23T06:32:40Z
@zloufiae,KARINA WHIPLASH😍💅🏻,0,2024-10-22T09:20:57Z
@깜찍한설렝,이제는 아예 장적하고 꼬셔버리네..😮❤❤️‍🔥🫣😳,8,2024-10-22T06:46:42Z
@kingwowowowowo,존예인데 성격까지 좋을꺼같아서 쫌 킹받음,0,2024-10-22T06:16:41Z
@Bhaniumark,Will you marry me?,1,2024-10-22T03:53:03Z
@주은-u3r1q,예수님을 믿고 구원받으세요,0,2024-10-21T22:27:28Z
@quo5695,髪型優勝すぎんだろ,0,2024-10-21T14:36:48Z
@LoneWolfe2769,🖤🖤🖤🖤🖤,0,2024-10-21T08:38:37Z
@kpopfluence,Damn is she even real?,0,2024-10-21T06:24:24Z
@Karinwsq,😻😻💓💓,2,2024-10-20T19:02:18Z
@kimbaapp,BRAZIL LOVE YOU KARINAAAAA,1,2024-10-20T15:34:47Z
@toycitykpop,ye👁🕸,0,2024-10-20T12:43:10Z
@i0vs55,美的我语无伦次了,2,2024-10-20T12:02:03Z
@i0vs55,漂亮的没话说,3,2024-10-20T12:01:55Z
@tlalocbarajas5380,❤❤❤❤❤ guapa ❤❤❤❤,0,2024-10-20T04:35:49Z
@AnnaSophiaLuna,I love you ❤aespa so much my forever winter karina ningning giselle ❤u all so much ❤,4,2024-10-20T01:40:11Z
@PhangLo-z5f,Vòng eo bao nhiêu,0,2024-10-20T01:29:57Z
@albagomezalonso2363,Karina es tan tierna💕💕💕💕💕su carita es muy mona💗💗❤💕💗❤❤❤❤❤❤,1,2024-10-19T20:21:13Z
@Jellppo_0802,사람이 어떻게 저렇게 생겼지? 완벽하자너...,18,2024-10-19T14:48:56Z
@Jizosometimes,ㅘ………..,1,2024-10-19T12:52:18Z
@trollof229antthevariable9,U kno ur supposed to post after 🥺,0,2024-10-19T07:16:44Z
@pruitv6,Karina with braids and with smoky eyes makeup was 💥💕💕💕,0,2024-10-18T23:24:46Z
@멍멍-i8w,존예,0,2024-10-18T20:50:59Z
@asatitude,me casually singing “whip-whiplash”,0,2024-10-18T19:56:35Z
@asatitude,karina is so pretty,1,2024-10-18T19:55:19Z
@wlovelouise,so pretty 🖤,8,2024-10-18T19:19:37Z
@foxyplayz97,Gorgeous 🫶 giving Elsa😻,2,2024-10-18T17:24:36Z
@2025ing,이 스타일 징크스 같아요,0,2024-10-18T17:12:43Z
@2025ing,제발... 실제로 한 번만 보고 싶은 비주얼... 언어를 잃지 않을까 싶지만...,0,2024-10-18T17:12:02Z
@ГеоргиДобрев-б1к,AREA 51👽👽👽,2,2024-10-18T17:11:32Z
@Hermagic-s9f,Her hair is incredible 😍😍,0,2024-10-18T17:03:19Z
@user-ws4dz7ss3n,❤❤,0,2024-10-18T17:01:15Z
@henrykbraun1480,Beautiful 🥰😘😍😘,0,2024-10-18T16:40:31Z
@ningmer,Her hair is perfect!,1,2024-10-18T16:39:32Z
@EmmanuellaDadier-qc7nr,Karina so beautiful❤❤❤❤❤🎉,3,2024-10-18T15:26:47Z
@youerasedme,If u hate this song u hate your life bro,2,2024-10-18T14:27:10Z
@JMHERNANDEZ9,320 ❤,0,2024-10-18T13:21:13Z
@SteerSteer-wp4ij,KARINA 🎉❤😊,2,2024-10-18T12:59:23Z
@multifandompoweritsme3151,Totally slayyyy,0,2024-10-18T12:53:17Z
@이불량감자,비너스도 카리나한테는 끔!,0,2024-10-18T12:42:08Z
@Aerishines101,"Her outfit, and hair style is amazing ❤❤❤",1,2024-10-18T12:21:00Z
@leehande663,She looks so damn hot in the fit,0,2024-10-18T11:51:36Z
@trollof229antthevariable9,Babe 1🥺,0,2024-10-18T11:38:43Z
@nyicezz,WoAHHHH MOTHERRRRR,1,2024-10-18T11:22:07Z
@ixshtx,I love the way she dresses,0,2024-10-18T11:13:31Z
@레옹튜브,신곡 나오기도 전에 귀에 때려박혀버린 윕윕플래쉬이~~~~😮❤,4,2024-10-18T10:39:38Z
@SunSunSun98,omgggggggg,0,2024-10-18T09:34:19Z
@선리탐,비트도 미쳤고.. 진짜 이번 컴백 대박나겠다.. 지민이 홧팅!!❤,4,2024-10-18T09:07:29Z
@mitramani8346,☺️☺️☺️☺️☺️❤️❤️❤️❤️❤️,0,2024-10-18T08:35:43Z
@CAT-xt7lw,❤❤❤,0,2024-10-18T08:23:08Z
@oncestayed,Karina is such an angel 💗💗,3,2024-10-18T08:08:57Z
@Valor-r2f,Why is ur chest so big!!!??,0,2024-10-18T06:31:57Z
@Yeon._.1120,아일릿 제치고 1위찍자!!,0,2024-10-18T05:49:28Z
@raeclx,과즙세연 이쁘네 ....,0,2024-10-18T05:26:12Z
@Procreate_-wb7bn,KARINAA OMG YEYEYEYE PREVIEW YAYAY ILY,0,2024-10-18T05:05:22Z
@davidjdv2798,Karina so pretty 😍,1,2024-10-18T04:59:37Z
@t_xesan,스모키 카리나 미쳤다!!!!!,4,2024-10-18T04:50:31Z
@bluuthinkr,slay,0,2024-10-18T04:22:29Z
@bluuthinkr,karina,0,2024-10-18T04:22:17Z
@imjustherefortheks,"A little behind with the exercises, are we?",0,2024-10-18T04:17:31Z
@stevensong8618,❤ easy to see why she is considered one of the most beautiful kpop idols ever. She really is beyond beautiful and so charming,8,2024-10-18T04:14:56Z
@dkbineedlove,Its aespa party time,0,2024-10-18T03:24:04Z
@조아해-p2q,개이뻐❤그냥 여신임  카리나는,6,2024-10-18T01:31:23Z
@VIMICISUKT,Rusteze iones toques quemé leproso karina 💜👑,2,2024-10-18T01:07:37Z
@Aespa_Is_King,Karina is so fine 🩷,3,2024-10-18T01:07:11Z
@Ithinkaboutyou1,I LOVE YOU MY GIRL,0,2024-10-18T00:44:51Z
@mmk6449,노래좋다,2,2024-10-18T00:39:30Z
@cs-cw6vt,와 이건 뭐...사람 맞냐 종족이 다른건가..,8,2024-10-18T00:33:18Z
@Maybemo602,もう曲が頭に残ってます。,13,2024-10-18T00:31:07Z
@aerilovesatilla,This gorgeous queen,7,2024-10-18T00:30:19Z
@aungmyatthu_mmr,omg!!!!!!’,1,2024-10-18T00:17:26Z
