author,text,likes,published_at
@darling_multistan,those are his BABIES. he carried those in the WOMB for 9 MONTHS.,2,2025-04-16T06:37:36Z
@kpopedits-v5w,Taeyong and wonbin together❤,0,2025-03-25T21:43:01Z
@마이입니댜,박원빈 미쳤댜...,1,2025-02-26T12:45:56Z
@Kim_Sana_7,The deep voice 😭,1,2025-02-25T13:53:10Z
@Park星杳,回来吧我们划酱，我最骄傲的信仰🥹🥹,0,2025-02-19T17:27:16Z
@myjryy,"쇼타로 엔시티 유 활동할때만 빌려주심안되나요...
라이즈 부탁좀 드립니다",4,2025-02-14T09:48:04Z
@ShiyonHwang-bi2ud,Okay but Shotaro does the choreography like it's his song (which technically if he remained at NCT could've been true but RIIZE is a great fit for him),10,2025-02-13T20:37:40Z
@Kam자,쇼츠 넘기다가 봤는데…아ㅠㅠ타로 때용이형 하던거 생각난다..,3,2025-01-21T03:36:23Z
@xhxh990,가운데가 진짜 미친놈이네 칭찬으로,3,2025-01-06T15:02:53Z
@mukbread,태용 포스 지린다.. 우리리다💚,0,2025-01-04T16:13:16Z
@마리야님,Taeyong baby shotaro🫂,1,2025-01-04T13:27:30Z
@세상은타로버블티,와 타로 진짜 잘살린다…,2,2024-12-02T17:23:00Z
@岸ゆ-s9f,タロかわいい大好き♡♡,4,2024-10-30T02:49:51Z
@sashalee8132,Shotaro dance so damn good,4,2024-10-19T11:25:21Z
@Bubbles-d7t,Love seeing three of them,1,2024-09-11T16:35:59Z
@Bubbles-d7t,🤞👍👍🌹💋🧡🤣,1,2024-09-11T16:35:05Z
@rs-bx9im,now why did shotaro eat like that.,4,2024-09-09T14:57:01Z
@마요나요_16,원빈이씨 사랑합니다.,1,2024-09-01T05:37:07Z
@2001.o_o,im still here,1,2024-08-24T03:02:14Z
@ShineKo-l8v,ko ko😢❤,1,2024-08-17T11:28:21Z
@mimao5857,Shotaro dancenya match sama taeyong😭,5,2024-08-15T06:25:22Z
@madihaatouachi5903,"Everyone cute 🥰🥰🥰, but shotaro face very very cute 🥰🥰",4,2024-08-13T00:14:07Z
@4everfreethinker,Killed it! But it was especially Shotaro who grabbed and held my attention! ❤❤❤,15,2024-07-31T21:00:08Z
@Lino-Is-MINE,now we need sungchan w/ them,2,2024-07-01T03:17:37Z
@ewsiini,Let's talk about this wontaro,0,2024-06-26T06:57:52Z
@ewsiini,i miss you Taeyong,2,2024-06-26T06:57:23Z
@ewsiini,I'm still watching this 😭,1,2024-06-26T06:57:08Z
@skjsi78,내가 라이즈의 배기진스도 볼 수 있고 세상 참 좋아짐ㅎㅎ,0,2024-06-23T18:37:41Z
@landerosgarciavaleria789,Shotaro is so cute,3,2024-06-22T18:08:21Z
@仁志哉眞祥,全員ダンスうますぎて目👀が点❤,1,2024-06-22T09:03:26Z
@peyudiw,As expected from shotaro ❤😅,3,2024-05-17T14:10:33Z
@jmreyes8671,A Cup of Shotaro made my sadness fade away 🤗,5,2024-05-10T21:28:28Z
@tew_ju,와 타로옵하,6,2024-04-27T06:05:16Z
@cyberneticoloco,TAEYONG❤❤❤❤❤❤❤❤❤,2,2024-04-24T16:57:34Z
@newn-12,shotaro😢🧡,9,2024-04-24T06:57:50Z
@Jun-ej9tr,Taebinnnn,0,2024-03-23T11:53:36Z
@Jun-ej9tr,Wonbinnnnnnn,0,2024-03-23T11:53:23Z
@marmelo-z1z,"このチャレンジが最高だからこそタロがテヨンと同じステージでパフォーマンスする未来がもう永遠に訪れないことが悲しい😢
わたしにとってタロはriizeのメンバーであり、今でもnctのメンバーだよ❤",8,2024-03-19T10:38:01Z
@taetaetatabts2194,SHOTAROO❤❤,4,2024-03-19T00:47:26Z
@ramadiana00,It will be alwas Shotaro NCT for me,1,2024-03-18T16:13:25Z
