author,text,likes,published_at
@mahirmalik26,I love blackpink,1,2025-03-20T04:38:04Z
@SWIFTEBLINK,I love Paris! It's my dream to live there 💖,0,2025-02-20T02:34:02Z
@FatimaAl-Merza,The Girl Used Bag Rainbow LGBTQ 💀💀,0,2025-01-14T19:15:00Z
@mini_lisa_off,Les blink français on est la,1,2025-01-01T16:06:59Z
@auroracruz2071,PARIS,0,2024-12-14T03:04:20Z
@lekc_stars6719,❤❤,0,2024-10-06T08:53:21Z
@marionlecluze1436,Merci pour être venu en France j espère qu on pourra vous revoir en France,1,2024-09-01T10:05:01Z
@MaxsudaFayziyeva-k5g,🇺🇿plssssssssssssssssss🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,0,2024-08-22T07:53:12Z
@Aep1nk_bluu,"I want them in germany🖤🩷💞😭
Theyre just so adorable and cute and pretty and funny, nice, kind, lovely and MY EVERYTHING 🖤🩷🖤🩷🖤",0,2024-08-19T10:40:06Z
@StanislavaSepetiene,BLACKPINK forever young,0,2024-08-10T11:18:34Z
@vmblackpink3,Can you BLACKPINK come to Kosovo 🇽🇰 please 😢Because I love you all members so much and i want to see you if you ended and you BLACKPINK can’t come to 2024 u all we comeback to 2025 and you BLACKPINK can come at 2025 to kosovo 🇽🇰 and to do a concert here🤗♥️,0,2024-07-31T22:51:19Z
@auroracruz2071,Welcome to the paris,0,2024-07-29T04:43:42Z
@NoemiePoiraudeau,C’est chez nous !!!!❤,0,2024-07-26T19:03:36Z
@gulayakbulut6280,BLACK  PİNK  DÜNYANIN  KRALİÇESİ,0,2024-07-25T12:52:50Z
@himanshumandal4776,Blackpink 💞🖤💞🖤💞🖤,0,2024-07-15T02:55:56Z
@Blackpink_lovee-z4i,❤❤❤❤❤,0,2024-07-09T09:35:54Z
@OrlandoSerra-ij5cx,💜💜💜💜💜💜💜💜,0,2024-07-07T14:34:07Z
@NicolasBadets,Oh non trop de bol j'habite ne France et j'ai pas pu y aller je suis trop deg 😢❤,0,2024-07-05T19:01:09Z
@Numberones-y2b,Turkhis plssss,0,2024-06-25T09:39:13Z
@neerajsharma6898,🎉🎉🎉🎉🎉🎉,0,2024-06-21T03:24:33Z
@Jennie_Unnie-kawaii,Lisa at the end 😂❤😂❤,1,2024-06-09T05:45:41Z
@asalmavlyanova3203,Why don't you come to Uzbekistan 😢😢. Come to Uzbekistan for a concert. We miss you. There are many fans of yours in Uzbekistan. Please come to Uzbekistan 😭😭❤❤❤❤,0,2024-06-02T07:26:11Z
@samaarmy-s5q,اول عربية هنا,0,2024-06-01T15:18:30Z
@Player.196-t9f,❤,0,2024-04-30T18:39:19Z
@luciepajolec4935,Les français vous êtes la,2,2024-04-23T11:54:16Z
@I_am_ur_Joy,I was there,0,2024-04-18T21:39:26Z
@Soy_Hanny5,WORLD TOUR lima in peru please ! 🫶💗🖤😢🙏,1,2024-04-07T20:36:16Z
@Margaux-j2r,Blackpink j’espère que vous repasserai en France !!!!❤❤❤,2,2024-04-06T17:46:16Z
@leaaa0809,Omggg j'ai tellement pleurer en voyant ce shorts !!! 😭🖤💖,3,2024-03-30T19:43:39Z
@Big_back-p6g,There makeup is soooo gorgeous!!! ❤,0,2024-03-30T04:24:43Z
@Narek-m3t,Рабиз Pariz France 🇫🇷 ♥️ ❤️ 🙌 😍,0,2024-03-23T10:07:15Z
@anaclaracalandrino3963,Blackpink nunca decepciona,0,2024-03-12T15:27:05Z
@MiriamDosreis-xu2vt,❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2024-02-11T10:01:00Z
@4Vinks,우리는 항상 블랙핑크의 새로운 노래를 듣고 기뻐요 우리는 항상 당신의 깜박임이 될 것입니다 김지수 제니김 파크로즈 라리사 마노발 우리 퀸즈 여러분께 감사드립니다 💗 💗 💗 블랙핑크,0,2024-01-29T12:12:41Z
@LisaSimonin,❤❤❤❤,0,2024-01-16T20:25:05Z
@mey-zw3ko,I was there ❤❤❤❤❤❤❤,0,2024-01-12T15:56:07Z
@AnweetaSharma,Blackpink has fans all over the world,1,2024-01-04T14:28:28Z
@meganers5968,❤,0,2023-12-17T14:54:17Z
@Chishiyaourt,"Merci d'être venu à Paris 
J'ai un petit truc à vous demander 😅😅😅
Pourriez-vous faire votre incroyable spectacle à Beauvais ? S'il vous plait😢😢😢
Je vous adore je suis une BLINKS😊😊😊😊😊😊😊❤❤❤❤❤❤🎉🎉🎉",1,2023-12-09T10:55:49Z
@leaaa0809,Dans notre belle capitale et notre beste groupes ❤🥹,2,2023-12-08T20:02:46Z
@leaaa0809,Omg ❤,2,2023-12-07T16:37:01Z
@SubhanHumbetov-h7n,I love yooou  queen jennie❤and lisa,0,2023-12-03T07:16:43Z
@GötüBokluSpike,🖤I love you BLACKPİNK🩷,0,2023-11-23T16:53:14Z
@blink_editzz_,My Love ❤,0,2023-11-19T14:04:44Z
@CoucouChan,Merci beaucoup  Blackpink pour   aller  à  Paris ❤❤❤,1,2023-11-02T10:05:05Z
@Paqueta_SKYLIE_7,I love you❤,1,2023-10-13T08:24:55Z
@twicenmixx5995,BLACKPINK IN YOUR AREA,1,2023-09-30T11:54:03Z
@VaniKatiyar-hj5jg,We Indian blinks are waiting for you all,0,2023-09-29T09:47:58Z
@VaniKatiyar-hj5jg,I am waiting for you blackpink,0,2023-09-29T09:47:04Z
@VaniKatiyar-hj5jg,I feel sad that you don’t come to India please come to India,0,2023-09-29T09:45:29Z
@VaniKatiyar-hj5jg,Wow amazing blackpink,0,2023-09-29T09:44:44Z
@BlackpinkBlink4,Our queens slayed it ❤❤,0,2023-09-24T12:51:21Z
@LaraRobloxKpop,Bonjour . i am french,1,2023-09-23T16:40:45Z
@Pratima.Tripathi,Forever Young Paris❤❤❤,1,2023-09-23T07:40:42Z
@dariadz.,I love you❤,1,2023-09-17T17:36:30Z
@Robloxgameuse-h4,Blackpink pls speak french for me😢❤,1,2023-09-17T07:08:23Z
@sahanullah7347,i love you black pink ❤❤,1,2023-09-15T08:47:57Z
@Celya_6F,Merci blackpink 😊😊😊❤❤❤ love,1,2023-09-11T15:41:55Z
@sabsab4953,🇨🇵Blackpink🇨🇵,2,2023-09-09T16:31:12Z
@Victoriacutiepiee,Merci beaucoup blackpink ❤,1,2023-09-08T18:29:52Z
@AlokGamin782,❤❤❤❤,0,2023-09-06T04:57:26Z
@stayblink_Spn,"✧༺✦✮✦༻∞༺✦✮✦༻✧                         
  B͜͡L͜͡A͜͡C͜͡K͜͡P͜͡I͜͡N͜͡K͜͡  
            𝘉̆̈𝘌̆̈𝘚̆̈𝘛̆̈ 𝘎̆̈𝘐̆̈𝘙̆̈𝘓̆̈𝘚̆̈
◌⑅⃝🖤💗⋆ℒℴѵℯ𝓨𝓸𝓾⋆🖤💗⑅⃝◌",1,2023-09-05T16:36:10Z
@diwakartiwari5834,Please come to india,0,2023-09-03T06:23:52Z
@shams-274,❤❤❤❤❤,0,2023-09-02T20:19:31Z
@nicolasfritsch4929,PS je suis Francaise,0,2023-09-01T13:44:50Z
@nicolasfritsch4929,Y love it ❤❤❤😊🎉🎉🎉,0,2023-09-01T13:44:01Z
@Melek-g1q,Siz i   seviyorum,0,2023-09-01T13:42:13Z
@chaerista,Not the pride bagg💀,0,2023-09-01T09:07:54Z
@sanaouajjou6819,"ركزو على الفيديو 
شنطة البلينك",0,2023-08-31T11:22:13Z
@neetuvarshney2859,Rose,1,2023-08-31T05:44:03Z
@xiaoyanyang1316,OUR QUEENS SLAYED!!!!!!!!!!!!!!!,0,2023-08-30T22:47:39Z
@souslesoleilfillea8906,"Who was on there concert and was. Talking with you 


👇☺️",0,2023-08-27T23:39:07Z
@RanaMete-po4vw,음악 만들어주세요 콘서트는 못가지만 노래나오면 힘내자:(,0,2023-08-27T06:44:54Z
@SOYAAAA_476,ME LOVE BLACK PINK!!!!!!🖤💓🫰🏻🫰🏻,0,2023-08-21T12:14:02Z
@labibaanjum687,Please come to Bangladesh 😢❤,0,2023-08-21T08:56:33Z
@BrowniesBubbles,I hope blackpink come to Algeria is so close from france 😢💔,0,2023-08-20T15:13:28Z
@OykuWithStudy35,En sevdiğim kpop grubu,0,2023-08-20T14:33:50Z
@chandangautam2028,Black pink 😚🥰😍🤩💌😘,0,2023-08-20T09:27:50Z
@Yejlieats,"Türkiye'ye geliin lütfen😫🙏🙏💓 sizi çok seviyoruz 🎉🎉🎉🎉🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷
Aynı fikirde olanlar❤
👇
👇",1,2023-08-19T01:01:52Z
@klo-zag10000,علم الالوان الله لا يوفقها,0,2023-08-18T10:20:02Z
@nevinkanal138,Please❤Turkey❤PLEASEEEEEEEE,1,2023-08-18T05:59:43Z
@damlaeliboldft147,❤❤❤❤❤❤❤,0,2023-08-17T16:59:10Z
@nefiseakbas8398,"Black pink❤❤❤❤❤❤""",0,2023-08-15T07:22:58Z
@Editörefe3477,Black Pink benim için Türkiye Edirne'ye gelir misin,0,2023-08-12T15:06:39Z
@AthirNaqiuddin-xq6dq,Tetetteetetteetetetetet,0,2023-08-12T09:16:33Z
@NazlSarrafoglu,❤❤❤❤❤❤❤❤❤💗💗💗💗💗💗💗💗,0,2023-08-12T07:49:16Z
@crystalmoon915,❤❤,0,2023-08-10T13:57:53Z
@linxw_lia,Please come in turkey 🇹🇷🇹🇷터키로 오세요🇹🇷🇹🇷,1,2023-08-09T07:13:34Z
@quocnhatphan5106,Black pink ❤❤❤❤❤❤❤❤❤,0,2023-08-08T11:59:17Z
@danikagunasekara7932,"You guysss... Yaaaayyyy, they aldreaty forever to the parisians",0,2023-08-08T10:26:55Z
@siyasiya9817,Can you girls do a concert in Belgium I will maybe comme Ur the best,0,2023-08-07T16:05:05Z
@durufidan3442,Keşke görebilsem,0,2023-08-07T11:41:37Z
@PETTY-Hehe2027,Blackpink love❤❤❤❤❤❤❤❤,0,2023-08-03T06:31:35Z
@tanzilabashir3009,Come to Pakistan 😂 jk u will have problems,0,2023-08-02T12:04:42Z
@jasminerawal,I didn't knew blackpink fans were there in paris.Sold out queens❤❤❤,1,2023-08-01T15:32:51Z
@MateusRodriguessolart,😷❤️✌🏾2023,2,2023-07-31T16:18:25Z
@lilivia73,i love you blackpink you are beautiful,0,2023-07-30T07:21:28Z
@duyenchau1000,💖💗💓💞💕💌💘💝💔❣❤🧡💛💚💙💜🤎🖤🤍💯👌✌🙆‍♂️love.blackpink,0,2023-07-28T14:12:01Z
@I_AM_BLINK_BLACKPINK,아제르바이잔으로 오세요,0,2023-07-27T06:53:45Z
@esnur5435,Pls come türkiye🇹🇷 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2023-07-26T10:09:45Z
@itsauds,Ily blackpink!!,0,2023-07-25T23:44:31Z
@NadaAlmasri-ve6xy,I'm love you so much Black pink 💘😭🇯🇴,0,2023-07-25T15:11:40Z
@mujtabanaderi3203,"Put you hand up 🙋‍♂️ 🙋‍♀️ and like the comment 
Of u like blackpink",0,2023-07-25T07:19:59Z
@newrg.x,Please encoré in mexico 😢😢,0,2023-07-25T04:08:12Z
@elifminaozturk5114,Türkish Istanbul pls,1,2023-07-24T17:07:45Z
@HabibaHady-p8l,"اول عربيه؟؟؟
اخدت بالي من الشنطه الي البنت لابستها💀👍",1,2023-07-23T14:01:14Z
@riazalikhan8053,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2023-07-23T09:07:46Z
@Lisaqswx,Onların yerinde olmak istiyorum,0,2023-07-22T19:44:34Z
@TheBesttRosiess,Türkiye’ye gelin lütfen 🙏 ❤❤❤❤,0,2023-07-21T12:38:52Z
@omoadamnajam-ds7bg,❤❤❤i love you Lisa ❤❤❤,0,2023-07-20T20:11:14Z
