author,text,likes,published_at
@darman572,Kazuha. 💜,2,2025-03-04T23:43:31Z
@goodaguias281,채원이 이때 모습 너무 아기같아 ㅋㅋㅋ,0,2025-02-27T01:26:05Z
@py33ketio98,💕💕,0,2025-02-18T05:45:47Z
@kimshiro_official,I love my mom ❤,1,2025-02-11T15:57:22Z
@Dorong22,애네는 진짜 지적장애가 심하구나,0,2025-02-09T20:47:26Z
@libisanchezpolanco1809,WINTER SO BEAUTIFUL ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😊,0,2025-02-09T00:10:21Z
@Karsonstyles-h5t,I no u mean,0,2025-02-08T13:45:24Z
@intrest.in_kpop,My fav duo<33,0,2025-02-08T13:17:59Z
@Stewypunk,It’s completely hilarious,1,2025-02-05T18:50:37Z
@kothetaung9255,♥♥♥,0,2025-02-05T10:12:31Z
@SabihKhan-y2k,"(\_/)
( •·• )
/💝 LESSERAFIM for you 5",2,2025-02-03T20:52:05Z
@MaggieGarcia-u5k,Zuu ❤️❤️❤️ pupu,0,2025-02-03T20:45:57Z
@송연한-e5k,채워니 사랑해💗💗💗💗,5,2025-02-03T15:25:15Z
@Kityseating,❤❤❤,1,2025-02-02T09:20:08Z
@user-mt8lb8ie3u,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2025-02-02T07:50:52Z
@yunywony,미모 모야,0,2025-02-01T13:48:15Z
@VEVEK_TOMINOK,I love Sakura she is amazing ✨🫐,1,2025-02-01T13:14:48Z
@SAKURA-wow,채원 표정연기 자연스러운 ㅎㅎ,7,2025-02-01T07:30:32Z
@佐藤誠-o4u,優しいチェオン,0,2025-02-01T06:49:50Z
@susanou777ify,恐らくカズハは肩凝り腰痛なんて遠い存在だと思う,0,2025-02-01T04:17:39Z
@7ILICN,🦢🦢🦢,1,2025-01-31T21:46:15Z
@liagamer4265,Lmaoo not the back pain 😹❤️,1,2025-01-31T21:35:10Z
@FlecheDeFer,This so random loool,1,2025-01-31T15:15:05Z
@Dhsksjs976,5:17 르세라핌 근본 “런웨이”,0,2025-01-31T14:22:21Z
@milylwi,Nobody is talking about chaewon😭 so rude,1,2025-01-31T13:11:05Z
@Figo_Amigo,I woke up with this. What a way to start my day. Thank you girls! ❤❤❤ stay safe,1,2025-01-31T12:41:09Z
@tirase2324,아놔 허리아프다가 연결동작 😂😂,0,2025-01-31T10:49:45Z
@rodolpho.leal.2077,Loved the matching clothes.... ❤😂,1,2025-01-31T10:40:08Z
@DaisukeDancer,すごいですね,0,2025-01-31T08:58:37Z
@레몬키위-o4p,ㅋㅋㅋㅋㅋ바보즈 또 뭐하는거야 둘이,0,2025-01-31T02:38:36Z
@Hansy724,😁❤😍,1,2025-01-30T22:39:07Z
@ManchaeSheAte,Whoever thought of this deserves a raise,2,2025-01-30T18:19:52Z
@GhostAR-do1xc,"no need to go to doctor for backpain now , here Dr.Chaewon can fix you 😆",1,2025-01-30T18:01:00Z
@VioletS2,Waiting for the Hot ver. ❤,1,2025-01-30T15:47:16Z
@태백이-v1l,Coachella......😂,1,2025-01-30T14:00:47Z
@StacyTass,Love 💕💕💕💕,1,2025-01-30T12:35:38Z
@IZRAFIM,썸머즈 사랑해😂❤,0,2025-01-30T09:51:25Z
@ben.v_102,ㅋㅋ썸머즈 귀엽다❤,0,2025-01-30T09:32:39Z
@롤로토마시-n7e,아 이게 뭐야? 너무 억지스러운거 아냐? ㅋㅋㅋㅋㅋㅋㅋ,0,2025-01-30T08:55:44Z
@xychosisGG,"LMAO I didn’t realize Soyeon was such an otaku, and such niche choices too lol, Bofuri and Shield Hero are great and a charming level of dorky",1,2025-01-30T08:40:54Z
@꿈꾸는오시리스,르세라핌.,0,2025-01-30T08:06:07Z
@kenji113,the way kazuha trying to hold her laugh is so cute,3,2025-01-30T07:00:20Z
@Zuzuming89,주하 너무 이뻐잉,1,2025-01-30T06:03:12Z
@KaWon_09,New album please ❤❤❤,1,2025-01-30T05:57:26Z
@endowhin,Anyone else immediately try stretching?,1,2025-01-30T01:34:24Z
@Wow37730,"Is it a sign for a comeback?
I wish",1,2025-01-30T01:13:13Z
@halfpie2,댓글알바 진짜 열일 하시네;; 다 티나니까 더 불쌍하네 쟤네,0,2025-01-30T00:42:42Z
@IMPARTIAL88,그냥 개웃기네 ㅋㅋㅋㅋ,0,2025-01-30T00:29:31Z
@JMHERNANDEZ9,❤ ❤,1,2025-01-29T23:24:07Z
@faradilamaris783,Chaewon and Kazuha is full of joy🙆🏻‍♀️🧣💖,5,2025-01-29T22:49:00Z
@simeirddddd125,"Kazhua❤ chaewon 👋
Saludos chicas 
Las Quiero 💞",3,2025-01-29T22:20:26Z
@albagomezalonso2363,uy❤que ricuras💖💖como adoro a mis hijas💖💗mis amorcitos preciosos siempre alegrandome el día❤💗💖💕os amo infinitamente❤💗💖😍❤😊,1,2025-01-29T21:19:04Z
@Kimyunjinkpop,I love them so Kim -chaewon Le sserafim for ever ever huh yunjin for life,1,2025-01-29T21:01:11Z
@블레이크스넬-o2q,ㅋㅋㅋㅋㅋㅋ 역시 주하 ㅋㅋㅋㅋ,0,2025-01-29T20:27:49Z
@omarmdz5174,Lol my girls are so unserious 😂,1,2025-01-29T19:51:34Z
@salamanderamanda1992,LOOOOOOOL HAHAA,2,2025-01-29T19:26:03Z
@__LALISA__WORLDWIDENUMBERONE,Kazuha and Chaewon best duo together,25,2025-01-29T18:56:06Z
@loropian,개그듀오,0,2025-01-29T18:52:32Z
@영-e6g6o,빠가즈~❤,0,2025-01-29T18:38:36Z
@fauziyziy8639,Make Lesserafim ambassador for safety road users as well as general knowledge,1,2025-01-29T18:29:33Z
@핵킹,장거리 운전에 크레이지 😊,0,2025-01-29T18:20:19Z
@shine_orange,이걸 이렇게 풀다니 ㅋㅋㅋ,0,2025-01-29T18:10:37Z
@BenzbeidaBachir,🎵🎵🎵🎵🎵🎵🎵🎵🎵🎵🎵,1,2025-01-29T17:58:33Z
@Lesserafim_x_Fearnot_45633,Thank you unnie 💙,1,2025-01-29T17:43:36Z
@혁-l2c,채워나 여기서 모해 ㅋㅋㅋㅋㅎㅋㅋ❤😊❤,1,2025-01-29T17:09:45Z
@jsd375,ZUHA SO PRETTY❤,2,2025-01-29T16:55:26Z
@queensstars-lolamile,Cute❤❤,1,2025-01-29T16:53:16Z
@BLO883,ㅈㄴ귀엽네,5,2025-01-29T16:49:17Z
@Kei1109,Chaewon y Zuha que lindas y hermosas!!!!!,2,2025-01-29T16:42:12Z
@cus_susu,Chaewonnnnnnnn❤❤❤,1,2025-01-29T16:35:18Z
