author,text,likes,published_at
@paisal-b9u,Love 🌹🌹🌹🌹,0,2025-04-02T23:10:19Z
@Youjeans10,윈터~ 아마멘터,0,2025-03-26T08:22:25Z
@jun2gameworld,나보다 누나인데 너무 귀여당,0,2025-02-08T06:29:04Z
@Naeyon_coelhinha_fofa,Every member of æspa is so beaultiful,0,2025-02-05T22:30:48Z
@khaixuenchan2429,winter so cute and pretty❤,0,2025-01-16T09:50:26Z
@김세연-m2n,어쩜이리 한명한명 보석같지,0,2025-01-15T15:46:48Z
@blinkmonৎ,"Yes, it will be the concept of aesap's 2025 comebacks.",0,2025-01-07T11:12:13Z
@Sujebistudyvlog,전 맴버 다 이쁘다....,0,2024-12-29T13:43:43Z
@ぽ茲原魂三郎,ジゼルの美しさ…半端ない,0,2024-12-09T20:06:08Z
@ejj4i4ije,장난해? 넘 예뻐,0,2024-12-04T18:56:19Z
@aespa_seventeen_rescene,지젤 외모 미쳤나;; 어떻게 사람이 저렇게 이쁨?,0,2024-12-01T06:37:09Z
@nb00.,📃▫️📦,0,2024-11-15T08:53:35Z
@leahlilyrose,They are taking my breath away STOP,0,2024-11-06T20:06:28Z
@Iscm4,If the 1st one’s name is Winter she is beautiful ❤❤🥰,0,2024-10-29T18:49:28Z
@Iscm4,I’m new to aespa but these girls are gorgeous. They look like a younger updated version of BlackPink. And I’m a huge BlackPink fan so that is not knock on my girls.,0,2024-10-29T18:48:37Z
@1lovaespa,Every member of aespa is beautiful!!🤩,7,2024-10-29T17:27:15Z
@cherry._blossoming,"ウィンター(armamenter)→銃
ジゼル(got Xenoglossy)→メガホン
ニンニン(E.d Hacker)→ラジコン
カリナ(rocket puncher)→バット
ってこと〜〜〜！！？？",0,2024-10-27T08:18:19Z
@DannaPaolaBadillo,Agan stream a aespa plis,0,2024-10-26T09:21:30Z
@abelhapedras,NING NING OUR QUEEN IN CROCS!!!!! ❤,0,2024-10-26T04:21:28Z
@단츄랑_결혼한_셔츠,꺅! 이번엔 어디서 할까???,2,2024-10-25T18:09:49Z
@SolRodríguez-r6g,Karina con esa camiseta blanca y celeste me recuerda a mí país dónde el fútbol es el día a día 🇦🇷❤,2,2024-10-24T13:57:18Z
@빵찌니의뽈때기살,지젤 옆모습 지린다❤,0,2024-10-23T16:53:16Z
@Adaranova,Ooh can't wist girlies,0,2024-10-23T13:11:05Z
@せた-p3p,Y2K良すぎる,0,2024-10-22T14:56:22Z
@puddingwanja,かわいいもかっこいいもできるのすごい😂😂,0,2024-10-22T14:50:53Z
@주은-u3r1q,예수님을 믿고 구원받으세요,0,2024-10-21T22:28:25Z
@Murrr-127,GISELE!!!!!!,0,2024-10-21T15:24:56Z
@salvadorramirez4114,"Seem them at Super Krazy Concert in San Bernardino this summer. They said Karina has no athletic abilities what do ever, so it's funny that they made this for her❤",0,2024-10-21T08:11:15Z
