author,text,likes,published_at
@BLACKPINK,"Pink Venom. Out Now.

https://youtu.be/gQlMMD8auMs",2079,2022-08-19T04:13:27Z
@TonaSantanaSantana,I so nervious,0,2025-04-26T16:26:40Z
@jennie-b7j7j,Blackpink pink venom❤❤,0,2025-04-23T16:09:32Z
@Shalizefa,BLACKPINK just comes back with major hits,0,2025-04-19T22:33:08Z
@Once-blink-twice-blackpink,Please come to brazil My family love they’re ❤,0,2025-04-14T19:56:40Z
@Jennie_kim-P,❤❤❤❤❤,1,2025-04-05T15:04:16Z
@chennaiipl205,Pink pink venom,0,2025-03-26T08:40:05Z
@alicakmak8044,I love you blakpink pink venom ❤❤❤❤,0,2025-03-24T18:02:15Z
@mahirmalik26,How many international fans always support blackpink,1,2025-03-20T05:09:56Z
@kimjisoo3016,BLACKPINK,0,2025-03-16T23:46:09Z
@kimjisoo3016,THE,0,2025-02-03T23:44:00Z
@Moon_shines-e2h,I love you all 💕,0,2025-01-30T06:03:32Z
@Blinksie_hiyy,BEST GG,1,2025-01-20T17:55:49Z
@SWIFTEBLINK,Bet.,0,2024-12-24T01:19:48Z
@KamilaSabino-s2w,| LOVE YOUR BLACK PINK BLINK s PINK VENOM,0,2024-12-03T00:41:29Z
@Kpop_kpop_idol,A minha musica preferid ae pink venom português eu am o❤❤,1,2024-11-22T21:47:20Z
@Jadeblink752,BLACKPINK❤,1,2024-11-16T16:17:47Z
@12ghost_on_fire12,🔥,0,2024-09-11T11:56:53Z
@Aep1nk_bluu,I LOVE THEM SM,0,2024-08-24T14:05:51Z
@BLINKsabeLoDehacerStream,Feliz dos años pink Venom 😘😘,1,2024-08-21T17:49:30Z
@Chaewqsie,Dash,0,2024-08-19T09:29:38Z
@gulayakbulut6280,BLACK  PİNK'E  BAYILIYORUM,0,2024-07-25T13:23:42Z
@shuliraquelgarciafuentes5979,Te amo BLACKPINK 🖤💖,1,2024-07-01T19:48:41Z
@Olcsi790,I love PinkVenom❤,1,2024-06-30T20:19:21Z
@ImTheBestBlink,PLS COME BACK,0,2024-06-29T21:08:31Z
@JeeruwaneSeraspi,L,0,2024-06-23T06:27:24Z
@rutemariano3309,Pink venom ❤,0,2024-06-18T01:20:50Z
