author,text,likes,published_at
@vivienlopez6654,25:29 HAHAHAHAHAHAHAHA lakas ni Hoshi,0,2025-04-24T12:07:12Z
@MK-pv2kk,3:00,0,2025-04-23T10:14:55Z
@jordannajj,"I agree with Wonwoo being subtle, quiet and briliant in doing his planned but having someone as loyal as dino to take the fall is what make the plan perfect but ngl im impressed with everyone intuition and skills",0,2025-04-22T08:23:03Z
@JHMlMI,THIS WAS SO GOOODD,0,2025-04-19T06:13:39Z
@ninaa3112,09:25 why did Jun choose different murder weapon and place? Wasn't he following? 😭,0,2025-04-18T16:48:31Z
@JHMlMI,wonwoo big brain,0,2025-04-18T14:08:44Z
@JHMlMI,poor kwan who got the right answer but was always put to silence 😭,0,2025-04-18T14:08:33Z
@skylarpark3899,"Wonchan were absolutely cute as mafia lol, that fond smirk from wonwoo as chan protected him",0,2025-04-16T01:45:53Z
@호싱이하이파이브,8:26 하니짱 눈비비적 너무 귀엽다,0,2025-04-14T07:46:42Z
@parveenfathima28,I love how Dk checked Mingyu and gets upset,0,2025-04-13T05:22:43Z
@Stella17dk,7:20 EXACTLY 😭 DK needs to be cast in movies or dramas,1,2025-04-12T11:16:40Z
@annegogh_,"13:59 watching this ep for 2nd time, just realized the way seungkwan called dino name thrice then call him in his real name its giving me more goosebomb 😳",0,2025-04-10T02:45:39Z
@Wik-qg6nj,Please can we have Joshua as mafia. I want to see him slay this role and get some more screen time.,0,2025-04-09T19:21:34Z
@TaniaSalsabilaBayuPutriLeeee,"filing ku beuhh anjrt, dari awal udah curiga sama bonon, dino, wonu, beneran kaya mereka tuh sebenernya ketara bngt dari awal kalo mafiaa woy😅",0,2025-04-09T14:24:12Z
@idkEly,"18:12 ye ye i take it back, just roast DK🙃he is like...REALLY BAD at this game, even im done with my own bias😮‍💨",0,2025-04-08T05:35:21Z
@Dui_Jin_Da,하 미스터부 붙잡고 웃는 중찬이 쾌남 매력 터짐,1,2025-04-05T08:59:13Z
@Dui_Jin_Da,용팔이 진짜 ㅋㄱㅋㄱㅋㄱㅋㅋ 모올!!!!! 개귀염 ㅠ,0,2025-04-05T08:54:58Z
@life.of.annie.laluna,kahit ilang beses kong panoorin tong cute na cute pa rin ako kay myungho,0,2025-04-03T13:20:14Z
@MoreOnSomething,"Today is WONWOO'S ENLISTMENT 😢
I will miss you, our gameboi/mafiaaaa
We'll wait for you💓",2,2025-04-02T23:43:31Z
@enh_xyz,jun just sitting watching the game while getting suspected by everyone and still having the highest points is so funny😭 jun is really the smartest,1,2025-04-01T20:33:59Z
@reia8wonhannie_infinity,23:37 woozi is so adorable lol his smile is contagious he always makes me smile whenever he smiles,1,2025-03-31T17:33:49Z
@Asellfa,14:33 Really scary😭,1,2025-03-30T12:39:52Z
@Asellfa,"13:49 I don't know why Seungkwan is so sensitive towards Dino. It's really scary to see him get so angry like that T_T. Usually, I find it funny and laugh when Seungkwan gets emotional, but today I felt scared. Did Dino and Seungkwan not fight during this incident? You two are my favorite duo. Dino with his cuteness, and Seungkwan with his amazing talent. I hope you two always get along.❤T_T",1,2025-03-30T12:38:17Z
@horangipower0615,2:37 the shinee reference killed me 🤣,1,2025-03-27T07:28:32Z
@instantshincup,"wonwoo's play as the last mafia standing is so impressive. and the fact that he chose to spare hoshi despite how ""annoying"" he was being was really funny too",2,2025-03-26T11:32:46Z
@NoviarFadilah,❤❤❤❤❤❤😊😊😊😊,1,2025-03-24T12:17:24Z
@serendipitous263,"Ahh I always get frustrated when Jeonghanie gets killed first in mafia games. It shows how he is a threat to mafia but I want to see more of him how he plays both as mafia or as civilian.

Seungkwan is also sooo good at intuition. His guesses never went wrong. Good job! But aigooo gets killed in the first round always.",3,2025-03-19T17:22:08Z
@Verkwan.98,waaahh.......svt is really smart!!!!!!!!!!!!!!!!!!!!!!!!!! love my babies <3333333 THATS INSANE DUDEEE,1,2025-03-15T14:31:46Z
@Verkwan.98,YAAAAHHHHH DUDEEE THE BRAINS MAKE THIS DONT LIE A 3 MICHELIEN 5 STAR 3 STAR CHINESE REVIEW THRILLER ITS LIKE A MOVIE OMKFGFGFGGGG,1,2025-03-15T14:25:30Z
@Verkwan.98,oh my..!?!?!?!?! THE MIC CATCHING KYEOMIS DEEP VOICE??? UGH ITS SO SOOTHING I LOVE MY SUNSHINE >3<,1,2025-03-15T14:17:16Z
@Verkwan.98,I LOVE JUNNI WHEN HE LOOKED AT SEUNGKWANS AND DINOS INTREREOGTIOATION HE LOOKS SO CUTE LIKE A KITTYY CATTT OH MY JUNYANG <33 PPOPPO,1,2025-03-15T14:12:25Z
@Verkwan.98,BOO SEUNGKWAN TGE ABSOLUTE CUTIE SMARTIE YOU ARE I LOVE U SO MUCH I GET DOPAMIN,1,2025-03-15T13:53:45Z
@adyorabear,wonwoo near the end was soooo attractive,1,2025-03-13T07:22:48Z
@youpratibhatube,"21:38 - 22:00 its a legendary scene at par with any best t.v series or movie scene, it literally gives goosebumps especially after you know who is who.....Seventeen is simply awesome ✨✨🌸🌸💕💕🔥🔥🥰🥰",1,2025-03-10T22:07:36Z
@Fatima-g2l,"31:06, its like soonwoo's wedding pic cuz they r in centre 😭😭",1,2025-03-09T01:04:53Z
@xccces_06,the 8 gacor parah,1,2025-03-07T14:44:47Z
@xccces_06,emg SCOUPS sama Hoshi nih hobinya kompor ya😂😂😭,1,2025-03-07T14:28:39Z
@한별강-z5v,아니면. 순영이다,0,2025-03-05T12:14:10Z
@한별강-z5v,제발.  도겸이,0,2025-03-05T11:57:26Z
@한별강-z5v,승관이.  아니면.   혹시.  원우,0,2025-03-05T11:51:05Z
