author,text,likes,published_at
@bechayalano0207,Dahyun supporting Tzuyu is so sweet❤❤❤❤,0,2025-04-20T02:39:41Z
@dayannacuevacorcuera1182,Amo!! 😭,0,2025-04-09T00:20:29Z
@thanatchaponsiringam0012,😆,0,2025-04-03T12:10:57Z
@mitowAA123,かわいい,0,2025-03-14T19:54:24Z
@twice_bestgg-z3l,❤,0,2025-03-03T22:43:15Z
@TayYuJikHeidiSpectrasec-os7ds,Tzuyu and dahyun are my favourite,0,2025-02-07T07:36:15Z
@Dubutwice143,DATZU,0,2025-01-24T14:27:33Z
@jdy-o7f,쯔위 착장 넘 잘어울리고 예쀼ㅠ,1,2025-01-21T11:30:31Z
@OliOrtega-f7f,Amo a dahyun su sonrisa me encanta ❤,0,2025-01-02T20:32:22Z
@JOSETERRAZAS-l8l,El gato 😻😻😻,0,2024-12-21T21:18:30Z
@JOSETERRAZAS-l8l,Dayan nuestra hija mama ❤❤❤ el gato 💙💙💙,0,2024-12-21T21:17:56Z
@AndresOnce9,Impacto de visuales 😍,0,2024-12-21T14:46:38Z
@heartz4kpops,TWO BIASES ON ONE VIDEO❤❤,0,2024-11-25T13:15:06Z
@highball2938,妹が二人可愛い😍,0,2024-11-25T11:19:05Z
@kenshinline,❤ 쯔위 & 다현 ❤,0,2024-11-23T09:05:29Z
@hrykygc7445,"二人共めっちゃくちゃ可愛くて推しです！❤❤❤
ツウィちゃんの踊りもダヒョンちゃんの踊りも上手くて可愛いです🎵😍🎵！
ソロいつも聞いてます！
これからも一緒推します💕😍",0,2024-11-22T07:37:40Z
@belengonzalez7098,Tzuyu and Dahyun 💗,0,2024-11-09T19:41:14Z
@ZeynepZeynep-o7v,Who is she next to the tzuyu,0,2024-11-07T14:33:56Z
@wesllzn,Dahyun,0,2024-11-06T02:28:20Z
@jamesalonsagay2558,Can you punch me at my shoulder (for woman only) my kind of love language.,0,2024-10-30T23:36:00Z
@石家禎-y3e,那2隻手.....,0,2024-10-27T05:55:15Z
@ひな-s8s8n,もしかしてダヒョン様すっぴん！？,0,2024-10-23T13:25:01Z
@mavvvvvp,"다현 언니는 왜 나이가 들어도 고딩 같애요?     ㅜㅜㅜㅜㅜ
너무 이쁘다❤",1,2024-10-19T04:03:36Z
@lastdistinction,2cute😊😊❤❤,0,2024-10-16T19:44:04Z
@loversbig4Ace,ドゥブもソロ待ってる❤,0,2024-10-16T15:10:46Z
@thanatchaponsiringam0012,🫶,0,2024-10-16T08:17:09Z
@suhajuTV,Que bonita se ve TZUYU CUANDO abrazar a DAHYUN❤,0,2024-10-15T02:06:37Z
@tantoebanga9350,She looks like a h00ker 😂,1,2024-10-11T02:18:29Z
@竜ちゃんネル,ダヒョンコピー用紙くらい白いな,0,2024-10-11T01:34:38Z
@Soff-cf2btwice,🤍,0,2024-10-10T20:20:40Z
@ROBERTHOCKER,"Youtube 
Deauville music
"" it went""",1,2024-10-09T20:10:35Z
@AlenkaMendoza-eb7gr,❤❤❤❤❤,1,2024-10-09T19:39:07Z
@jihyøøws,Best body and best body,0,2024-10-09T16:37:12Z
@jihyokim612,Tzu,0,2024-10-09T12:12:13Z
@jihyokim612,Tzu,1,2024-10-09T12:09:50Z
@endoftheuniverse2938,와 심각하네 예전엔 저정도까진 아니었는데 뭐지? 아니 누구보다 더 메이크업이 필요한 얼굴인데 남보다 더 노메이크업이면 뭐 어쩌자는거지😮,1,2024-10-08T13:45:03Z
@parkchaeyoung7735,توايس,1,2024-10-08T12:12:07Z
@sanakim7294,Twice,1,2024-10-08T12:09:11Z
@jihyokim612,About,1,2024-10-08T12:06:37Z
@jihyokim612,Aboutzu,1,2024-10-08T11:02:58Z
@FlorenciaSantini-g3w,My two bias of Twice!!!❤ :D They are so cutee!🥰,1,2024-10-07T13:59:22Z
@山下愛梨-r3t,癒される❤,1,2024-10-06T14:26:03Z
