author,text,likes,published_at
@tulipc3l,"첸지가 시즌3를 위해 할 수 있는 몇 가지 일들: 💚
- 시골로 과일 따러 가다 🍊
- 서로 쇼핑하고 다음 회에 의상을 입어요 👕
- 타임캡슐을 만들어서 특별한 곳에 묻습니다 (혹시 10년 후에 오픈하는게 너무 길지 않다면 ㅋㅋㅋ) ⏳
- 별 지도를 만들거나 별 지도 및 점성술에 대해 알아봅니다 🌟

A few things Chenji can do for Season 3: 💚
- go fruit picking on the country side 🍊
- Shop for each other and wear the outfits out 👕
- Make a time capsule and burying it somewhere special (maybe open it 10 years from now if that’s not too long haha) ⏳
- Create star maps or learn about star mapping and astrology 🌟",277,2024-01-29T04:57:53Z
@riskifardiansah1192,Cenji forever,0,2025-04-05T01:29:07Z
@lv.chenjx,둘 다 변한 게 키 밖에 없어… 너무 귀엽다,0,2025-02-22T18:34:14Z
@러사-j1n,07:00 천사 (천러 사장님),0,2025-02-20T17:05:01Z
@parkzhongjile,너무 오래 됐는데 언제 계속할 거야?,1,2025-02-06T14:42:09Z
@S2_s__2,ㄴㅁ웃긴데쫑천러쫑알쫑알에박지성자꾸타격입는거귀엽,0,2025-02-05T11:24:14Z
@dwrdvds,2025년 2월인데 언제 와요?,2,2025-02-01T12:38:17Z
@aims789,2025 ... we miss ChenJi content,0,2025-01-28T04:33:07Z
@미래회계사지프,개웃긴게 천러 조잘조잘대는거 어릴때랑 개똑같고 지성이는 중간중간 쮜들짝 놀라는거랑 천러 조잘거림에 기눌린거 똑같은데 외관만 엄청 어른됨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개긔엽다 하 ㅠㅠㅠㅠㅠㅠㅜㅜㅜㅜㅜㅜㅜ,1,2025-01-25T03:23:33Z
@patricia88779,chenle please redo this thing... the pottery video has 1M now!!!!!!!!!!!!!!,0,2025-01-19T13:08:38Z
@sarahkiyani1254,"I akways end up here after re watching old episodes. And every time i come here i realize how much chenji have grown 🥺 they still bicker but they're much more poised and calmer. And i feel like a mother realising her kids are all grown up :')
And as usual i hope they KEEP MAKING THIS CONTENT FOREVER! Still no new episode it's already 2025 🥺",0,2025-01-07T14:39:04Z
@fullpackagemark,하 종천러 말 개많아 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2025-01-01T05:39:07Z
@박지성일반인아내,천러 목소리때문에 고통받는 지성이가 너무귀여움,1,2024-12-28T04:00:15Z
@AmelSulastria-j1l,Chenji playing with Sakuryo,2,2024-12-17T08:31:55Z
@50.0lbs,hagan un video donde se besan,0,2024-12-08T07:52:02Z
@jisungpark_25,귀여운 붕어빵 만들기♡,0,2024-12-06T15:29:37Z
@y.ello._.w,"film more in 2024? i feel like im in a drought

but ik theyre busy w album and world tour",0,2024-12-03T03:56:40Z
@florentialombardy7024,It’s fun. It’s been a long time too since i watch Chenji This and That. Probably will rewatch some eps,2,2024-09-09T19:04:01Z
@블링브리,천지 전생체험 해보자,8,2024-09-08T13:39:53Z
@snooywoo3980,❤,0,2024-08-25T06:05:03Z
@Lil.Yjc7,钟老师求更新,2,2024-07-18T04:37:54Z
@someoneeee100,"게스트 공공즈 불러서 
천러파vs지성파
누가 더 귀여운지 100분 토론하기",2,2024-07-07T03:49:35Z
@nanamimin13,"I want to see :
- chenji play music instrument : playing drum or bass
- chenji go to gym center
- chenji go to camping in a tent
- chenji driving car
-",0,2024-06-26T06:31:53Z
@ttheroses9153,🤩🤩,0,2024-06-26T02:14:56Z
@Crisung,chenji lol ad and sup！,0,2024-06-18T16:57:06Z
@여름-q8f,아니 근데 천러 너무 잘 떠들어대 ㅋㅋㅋㅋㅋㅋㅋㅋ좋다는뜻 좋아요천지 영원해요천지,0,2024-06-13T08:47:37Z
@wassermelonelee5862,"Chenji can do fro S3
Chenji hiking
Chenji doing campaigns 
Chenji 24hr cam
Chenji making perfume
Chenji essential things",0,2024-05-26T04:07:23Z
@DaNie8010,I hope they will cover another song in season 3 too....,0,2024-05-23T03:35:47Z
@honeymadu5080,"Chenji thankyou, you have made me happy 😊",0,2024-05-20T13:10:29Z
@Ndlev,I love chenle personality!!!!,0,2024-05-11T02:59:42Z
@Ndlev,10:07 I LOVE CHENLE VOICE!!!!,0,2024-05-11T02:56:58Z
@킼키키키키키키킼,천지는 여전하구낭,0,2024-05-09T23:44:57Z
@SeYojeje,New idea for Chenji next episode :  Chenji go to gym together :D,0,2024-05-08T09:44:49Z
@bellamoana0923,"Anything the Chenji do in the episodes will always be incredible and iconic, but inviting the dreamies and cooking for them wouldn't be a bad idea 🇧🇷😶🥺",0,2024-04-30T16:24:50Z
@SuBae-rq3rd,"I suggest that chenji :
1-Dubb anime scenes, movies, or any show (voice acting)
2-write compose a song together",0,2024-04-24T19:25:16Z
@miro5827,그냥 너희 둘이 드라이브 하면서 노래부르고 떠드는 것만 봐도 재밌을듯...운전하는 거 보고파,0,2024-04-13T03:13:05Z
@김연우-i3r,앗사 천지의 이것저것 렛츠고도리~,1,2024-04-11T07:21:41Z
@mystory_life,chenle why you got more handsome... 🥰🥰😍😍,0,2024-04-07T15:57:14Z
@candycandy4073,"ดีจังเลย น้องเล่อยังร่าเริงเหมือนเดิม 💚
เด็กหนุ่มผู้ร่าเริงของผ้ม 💚🤏",1,2024-04-07T14:23:32Z
@maria-py5kj,"JAJAJAJAJJA 
la despedida mas sincera",0,2024-04-05T04:35:18Z
@onon6215,챌린지 특집 다시! 춤수저들의 개쩌는 안무학습력 다시 보고싶어요~,1,2024-03-24T17:19:42Z
@Lin-nq5kr,Sangat suka dengan 2 bocil ini🥰,2,2024-03-23T13:22:35Z
@haobinnnnn,"1. Chenji going to haunted house
2. Chenji going camping
3. Chenji telling us about life an idol",0,2024-03-20T18:19:34Z
@kimchirokee,"I want SS3 to be able to try out some Odd, yet entertaining content like:
1. ChenJi train to be a convenience store employee 🛒
2. ChenJi collect seafood/octopus in mud near the beach areas 🐙
3. ChenJi hidden camera prank 📹",0,2024-03-20T01:15:59Z
@halifahmaulidiah3780,aaa lucunyaaa,0,2024-03-18T06:45:34Z
@nadiasalsa6676,사격 연습은 어때요? 아니면 ATV와 아웃바운드를 하시나요?,0,2024-03-16T16:40:43Z
@so_funnysunny,"물놀이 하러가기
붕어빵 장사하기
방탈출 하기
서로 옷입혀주고 사진찍기",0,2024-03-16T04:24:40Z
@so_funnysunny,물놀이 하기!!,0,2024-03-16T04:22:13Z
@쫑파-u5r,천러 너무 잘생겨서 숨참음ㅆㅂ 눈ㅇㅣ랑 눈썹이랑 턱이 너무 선이미친거같애 걍 미친 상남자 페이스 하고 쫑알쫑쫑 말 많은게 너무웃기고긔여워😊,0,2024-03-14T14:44:56Z
@ssaa1158,천지 슴 사옥 앞에서 붕어빵 트럭 장사 어때요,0,2024-03-14T08:20:01Z
@kxy9190,천지 지천 🎶 노래방 🎤,0,2024-03-13T23:55:26Z
@jakeseung,Shop for each other and wear the outfits out 😆👍🏻,0,2024-03-13T22:49:57Z
@JiChenKiYowO,shop for each other and wear the outfit out pleaseee☝🏻☝🏻☝🏻☝🏻,0,2024-03-13T22:48:36Z
@sweetpeople-mj7cb,Shop for each other pleaseeee😭😭😭,0,2024-03-13T14:54:38Z
@xhxhthgus75,이날 천러 착장 너무 이쁘다,0,2024-03-13T13:30:44Z
@ssaa1158,Nct 형동생을 위한 키링 마스크줄 만들어 선물하기 3탄 부탁드려요,0,2024-03-13T12:33:48Z
@tophae13,ぜひさいごに日本にきてくださいᯟ𐫢 ᯏ,0,2024-03-13T04:17:27Z
@iam.khushi,"(1) 서로를 위해 예산을 들여 옷을 사는 것
(2) 등산하러 가다
(3) 서로의 핸드폰 케이스를 장식하다
(4) 향수를 만들다",0,2024-03-12T20:16:51Z
@ExoComeback-mm1yu,Where is ep 1????,0,2024-03-12T19:44:37Z
@SB-hk5cw,Episode 1 when,0,2024-03-11T09:58:20Z
@season_js0205,그래서 1화 언제 나오는데😢😢😢,0,2024-03-10T20:54:23Z
@isabelmaytezamoraramirez,사진 수업 듣기,0,2024-03-10T17:14:19Z
@isabelmaytezamoraramirez,길거리에서 NCTzen의 초상화를 그려서 선물하기,0,2024-03-10T17:14:08Z
@isabelmaytezamoraramirez,숲에서 버섯 수집하기,0,2024-03-10T17:13:56Z
@milagroscastilla4103,okayy jisung .....ahora es ZONG CHENLE .....AAJJAJAJAJAJA,0,2024-03-09T22:35:07Z
@Etude-dream,같이 하이디라오 훠궈 먹으러 가서 소스 레시피 알려주기 훠궈 먹는 꿀팁 알려주기 ❤,0,2024-03-09T04:12:08Z
@KY-cs1lt,go camping！🐬🐹🏕️,0,2024-03-07T06:23:30Z
@s_ging12,"헐 이번에 드바드에서 얘기한거처럼,,,, 드림 형들 불러다가 지성이가 요리하고 먹어보는거 어땨요??????
아니면 천지의 요리 대결해서 각자 요리하고 그걸 드림형들이 먹어보는건???????????????",0,2024-03-04T09:03:59Z
@itsmimihere,놀이공원에 갔었으면 좋겠어요,0,2024-03-03T11:54:12Z
@11antemeridiem,천지 제일 기엽운..,0,2024-03-03T10:47:09Z
@juwon_628,아니 종천러씨 왜이렇게 잘생겻어요?? ❤❤❤,0,2024-03-03T03:03:01Z
@breensprout,chenji episode where chenle can only say one word at a time and jisung does all of the talking,1,2024-03-02T07:04:19Z
@리쿠를안아줘야돼,아 지성이 왜이렇게 남자임..? 넘조타ㅎㅎ,0,2024-03-01T12:56:15Z
@DoriannysMatheus,Que lindo ❤,0,2024-02-28T22:49:40Z
@risee_j,"1. ChenJi Personality Switch for a day
2. Chenle vs. Jisung Arcade Part 2! (Basketball, Dance Revolution, Bowling)
3. ChenJi Night Stroll (with foods!)
4. ChenJi ASMR (the serious one)
5. ChenJi as managers of each other for one day
6. Master Jisung Episode! (Chenle will obey Jisung's wishes for a day)
7. ChenJi Offcam (Daily Life)",0,2024-02-27T01:45:42Z
@쫑파-u5r,천지 상하이간거 보고 이거보니까 아기들 너무 많이컸어.... 애기에서 남자가됐어.....❤❤❤❤❤,0,2024-02-26T11:52:49Z
@user-lw3qd6ic3q,천러의 중국어 강좌와 지성의 한국어 강좌,0,2024-02-24T15:05:28Z
@陈佳文-i6x,"1. A day in the life of the other.
2. asmr
3. camping
4. cooking
5. one day manager",0,2024-02-24T07:03:04Z
@hehe-rv5by,누가 챕스틱 챌린지라고 ㅋㅋ,2,2024-02-24T00:49:13Z
@윤지-k9c,"가능하면 
1. 드림 멤버들 하고 챌린지 찍기
2. 자기 나라 간식 사서 리뷰하기 
3. 방탈출 
4. 드림 멤버들하고 게임하기
5. 콜라보",0,2024-02-23T02:21:29Z
@paulakreinberg1448,I didn’t realize how good these two are until I watched the totally boring haechan and doyoung video!,0,2024-02-22T03:22:55Z
@uiopuiopl,근데 천지의 이것저것 썸네일이 좀 아쉬운 것 같아요 김동이동의 먹투유 처럼 썸넬 신경 써주시면 감사하겠습니다 ㅎㅎ,1,2024-02-20T15:47:35Z
@triniti2017,라면 잔쟁 지상 대 천러 🐬🐹,0,2024-02-20T09:45:14Z
@triniti2017,네일 아트!,0,2024-02-20T09:44:22Z
@zclove,"1. How about guesting daegal and try teaching her some tricks? 🤔
2. Water activities (swimming lessons)
3. Fishing
4. Invite 7dream and play
5. Drive go kart
6. Try swapping everyday routines for a whole day",0,2024-02-19T14:30:28Z
@zclove,"Please dont ever end this yt series!! Chenji this and that, my free therapy 🥹",0,2024-02-19T14:06:02Z
@bbuyabbuya,날이 갈수록 농익네 천러,0,2024-02-19T04:28:41Z
