author,text,likes,published_at
@TolaKarnaval,Го раз на раз,0,2025-04-13T15:05:26Z
@김미영-f3f8c,진짜 게 예뻐😍,0,2025-03-29T08:35:15Z
@VivianeLebedev,💛💛💛💛💛💛💛💛💛💛💛💛,0,2025-03-24T15:28:45Z
@StarLuvys,Come to Brazil aespa !🇧🇷,0,2025-03-14T01:34:13Z
@osaneferreira8319,a legenda escrito ombrinho😢 ahh te amo karinaa,0,2025-03-12T16:55:41Z
@KennethHubbard-g2i,Loveliness,0,2025-03-10T02:17:51Z
@Layla.juliao,Ela escreveu a legenda em português ainda AAAAAAAAA,0,2025-03-06T20:23:24Z
@nayeonnlvyuৎ,𝑨𝒊 𝒎𝒆𝒖 𝑫𝒆𝒖𝒔 𝒒𝒖𝒆 𝒅𝒚𝒗𝒂 𝒃𝒓𝒂𝒅𝒊𝒍𝒆𝒊𝒓𝒂𝒂𝒂,2,2025-03-03T15:43:20Z
@Itz_Valen123,Ai que orgulho da minha utted,6,2025-03-03T15:25:15Z
@THANOSV2,Gonna miss this diva when I scroll😭,15,2025-02-27T19:44:10Z
@KAITOFUJII,カリナちゃんかわいい,0,2025-02-24T07:28:50Z
@c.yx0n,미쳣다 개이쁨,8,2025-02-24T01:26:51Z
@lIlIlllIlllIlIlI,이게 옴브리뉴냐. 이게 춤이냐? 이 실력으로 여떻게 가수가 됐냐? 자신감이 대단하구나 😢,3,2025-02-22T22:12:30Z
@발로1일차초보,에? 역시 카❤리나❤❤,1,2025-02-22T09:23:45Z
@apriliatanti1162,meettt,0,2025-02-20T09:34:16Z
@Nic_04.01,Autism,0,2025-02-20T09:18:12Z
@jethrojacinto2798,It's unbelievable how beautiful she is 😍,2,2025-02-18T15:01:35Z
@AngelReal-hi4rj,"oi
Angel
3
































EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE",1,2025-02-18T14:00:00Z
@tlguss,짹짹짹짹~~넘 잘춘다,4,2025-02-18T08:45:39Z
@JanainaSoares-g2p,Divaaaa❤,0,2025-02-17T16:27:29Z
@Ninihkpoper,"O TÍTULO EM PORTUGUÊS, AI",0,2025-02-16T23:26:10Z
@lauryn7n904,Divaaaa vem para o brazilll❤❤❤,15,2025-02-13T20:36:47Z
@vyle-dx7xp,I ❤ u 😂,0,2025-02-12T05:08:38Z
@흑비수-e9p,이쁘다 진짜 와,0,2025-02-10T02:32:46Z
@deuziane-h1h,linda Karina ❤❤,2,2025-02-09T19:53:11Z
@deuziane-h1h,essa ama o Brasil ❤❤,0,2025-02-09T19:52:46Z
@TheFialo4ka,QUEEEEN,0,2025-02-08T22:21:43Z
@Karsonstyles-h5t,Let's go fine Lovely Lady,0,2025-02-08T01:54:33Z
@민석강-z1j,와우,0,2025-02-07T15:11:21Z
@Pedroso_alice,Estou surtaaaaando aq c a legenda e português 🤙🤙🤙🤙🤙,0,2025-01-30T14:36:34Z
@조우리GO,예쁘다❤❤❤❤❤❤❤,1,2025-01-29T11:42:39Z
@Lukkiess,main dancer for reason,0,2025-01-27T19:55:44Z
@mariahelena672conceicao,Que isso em Karina 🇧🇷🇧🇷,2,2025-01-25T22:37:49Z
@아가메즈,신동선배님한테 배우셍,1,2025-01-25T08:13:15Z
@kotone-x2y,かわいい♥️,0,2025-01-23T11:39:03Z
@antonellabrito5892,"Que mujer tan bella, love you Karinaa",2,2025-01-22T21:09:39Z
@beatrizoliveira1197,"I'm brazilian.
Eu amei a legenda em português!

Ombrinho = shoulder",0,2025-01-21T21:10:18Z
@Gigi4kids10,"Brasillll!, reconhecido",0,2025-01-20T18:39:44Z
@Jendeukie_utted,AMO VCSSS❤,0,2025-01-16T15:14:42Z
@Jendeukie_utted,VAMO BRASILLL❤❤❤,0,2025-01-16T15:14:27Z
@South_KOR,극락😊🎉,0,2025-01-16T07:23:40Z
@haerinadando,KARINA TE AMO,0,2025-01-10T12:40:05Z
@Haechann_sakuya,🇧🇷🇧🇷🇧🇷,1,2025-01-07T00:21:57Z
@AndressaLuisaGressler,A LEGENDA EM PORTUGUÊS !!!! A DIVA BOTOU A LEGENDA EM PORTUGUÊS,0,2025-01-06T15:25:21Z
@floravalentin7418,juste DIVaAaAAAAA❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,1,2025-01-04T22:11:44Z
@Darkstarr-ud2go,Perfection,0,2025-01-04T15:07:55Z
