author,text,likes,published_at
@borneostreasurebox8339,"your tears won't save you any longer. just part ways with minheejin and stay with hybe, all mhj does is further ruining your career. 

if you wanna get out of hybe so bad, then pay the fine. what's so hard??? i'm sure your little fandom is willing to pay 💀 respect the contract and read it before you sign it. don't be entitled brats",0,2025-04-21T03:30:34Z
@Melodyyyyyyy1,Love you hanni stay healthy and Forget hate!! You are a lovely girl and Hanni you are so beautiful that i am melting 🫰🏻,0,2025-04-20T03:39:25Z
@Nimehkillingpi,Hanni is cute and preety at the same time 🐰,1,2025-04-19T10:21:41Z
@착공시,가슴짱커❤,2,2025-04-17T21:32:16Z
@wiennii,Hanni I admire your beauty🥹🫠✨🐰🙌🏻🇦🇿🇦🇿🇦🇿,4,2025-04-17T11:06:02Z
@bangajieh,Why is this group less supported in Korea?,1,2025-04-17T08:21:50Z
@laetitiayun885,Hybe laisser la tranquille,0,2025-04-15T09:00:48Z
@laetitiayun885,Tien bon,0,2025-04-15T08:56:15Z
@laetitiayun885,Hanni,0,2025-04-15T08:56:05Z
@laetitiayun885,Tu dit appart,0,2025-04-15T08:55:55Z
@MuhammadAzka-l3h,Hanni chan so pretty and cute look like anime character and i like her positif vibes ❤❤,0,2025-04-15T07:30:10Z
@nairainostroza,QUE HERMOSA LA AMOOO!   I ❤ hanni,0,2025-04-14T23:51:32Z
@hnna1m,pick me,0,2025-04-13T11:47:50Z
@hnna1m,I HATE HANNI,0,2025-04-13T11:42:17Z
@Justmeowmeow333,Where are u meomeo😢,0,2025-04-12T16:50:48Z
@치링치링체리,하니야 매일 힘 있는 모습 보여줘서 고마워,6,2025-04-12T14:30:58Z
@하니팜응윽판,Hanni es perfect <33,0,2025-04-12T05:15:15Z
@하니팜응윽판,Hanni is cute ❤,0,2025-04-12T05:14:36Z
@하니팜응윽판,I LOVE YOUU HANNI❤.,0,2025-04-12T05:13:02Z
@taellie6866,ハニちゃん大好き😘,0,2025-04-11T12:06:57Z
@TTAneneKnnjj,기괴하다 기괴해,0,2025-04-11T10:53:47Z
@머달궁-b9z,❤❤❤❤,0,2025-04-11T09:50:12Z
@eineon,와 썸네일 그저 갓이다,0,2025-04-10T13:56:11Z
@give2934,NJZ SO TALENTED No matter what debut New name or group still have plenty of talent.,0,2025-04-09T21:18:38Z
@박경호-l8l,무현동호회 무현동호회,0,2025-04-09T06:05:14Z
@simondao9275,3:56,0,2025-04-08T12:37:13Z
@i.x_on,갸개엽쁜거 아니냐구!!.레몬팜❤,2,2025-04-08T05:22:08Z
@graciaorbitheejin6264,❤❤❤,0,2025-04-07T15:39:17Z
@cy9992,Pls liberate njz😢 stupid company,0,2025-04-07T00:35:49Z
@ddd-yu5nh,혐한 아이돌,1,2025-04-05T05:38:00Z
@qw3rtz_044,they take so many pictures but for what? you never see any of them 😭,0,2025-04-04T23:16:47Z
