author,text,likes,published_at
@clearliz,NO ONE LOVES THIS SONG LIKE I DO‼️,0,2025-04-23T04:36:52Z
@J3m2h,"Baby, tell me your favorite love song
I wanna sing it with you
Baby, show me the streets where you come from
I wanna walk 'em with you
Take it right from the start
Tell me who you are
Every piece of your heart
Every bruise and scar
I wanna know
Everything there is to know
Don't you dare leave nothin' out, no
I'm gonna love you completely
Oh, show me a map of your soul
Every second from now
I'm gonna love you completely
Call me crazy
Wanna read you like a book
Sipping on a glass of wine
I wanna get under the surface
And get to the bottom of you
And lately I just wanna lie
Awake looking in your eyes
Don't care how heavy the hurt is
I wanna carry it too
Take it right from the start
Tell me who you are
Every wish on a star
Every bruise and scar
I wanna know
Everything there is to know
Don't you dare leave nothin' out, no
I'm gonna love you completely
Oh, show me a map of your soul
Every second from now
I'm gonna love you completely
Through good times, bad times
Red lights, stop signs
The one thing you should know
Is my love will always ring true, ooh
I wanna know
Everything there is to know
Don't you dare leave nothin' out, no
I'm gonna love you completely
Oh, show me a map of your soul
Every second from now
I'm gonna love you completely",0,2025-04-22T08:24:03Z
@lilackpop,Música perfeita,1,2025-04-16T12:53:49Z
@trsrnctgirly,"baby, tell me your favorite love song. 
Jaehyun, you're my favorite song!",4,2025-04-15T15:27:34Z
@thuphuongvu4964,Nhạc đám cưới số 1 lòng tôi,1,2025-04-11T03:33:31Z
@imaboutocrash,sohee pls cover this song i need it badly 💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔,2,2025-04-09T16:02:31Z
@Rose-soLovely,I seriously miss him so much!! His voice always makes me fall deeply for him! Love him! Mi amor,2,2025-04-09T08:32:22Z
@Babyjjh,คิดถึงที่สุด,1,2025-04-09T06:50:18Z
@cat-u8m9o,The best song,4,2025-04-03T02:29:42Z
@JeonJungkook-uu1su,재현 솔로앨범 너무 명반이야..버전별로 다 샀었는데 뒤늦게 LP 꽂혀서 검색해보니 품절..ㅠㅠ 피아노치는 남자가 이렇게 아름다울 수 있다,14,2025-04-01T07:27:15Z
@megarahmadwianjani1080,omg jaehyun can you sing for all the rest of your life 😭 i wanna listen more about the song you made. you're an amazing artist,16,2025-03-27T01:31:08Z
@AmiraEskandarlouYT,낭만적인,5,2025-03-26T00:58:06Z
@erihyo,Who the hell has this man in love 😭😭💔💔,3,2025-03-23T15:37:14Z
@ViaVia300ViaVia30,Assallamuallaikum abang jaaehyun korea oppa Hay hello Hay hello,1,2025-03-23T15:17:22Z
@nana-118,"Denger suara kamu di sini, miss you so bad, Jae😭

Please don't be sick, stay healthy and happy💚",1,2025-03-22T16:02:45Z
@Ingabirejaeni,❤❤🥲😘😘,1,2025-03-21T07:41:27Z
@zerrobaseone,damn.,0,2025-03-20T17:24:34Z
@yune5597,다 좋네 미쳤다 이번 재현's 싱글들,7,2025-03-15T21:41:35Z
@blueorange_x,"멍 때리기 좋은 노래
사색에 잠겨있기 좋은 노래같아요",1,2025-03-14T07:51:37Z
@acsmith.writer,His solo piano performance is absolutely breathtaking…so beautiful. Never knew he could sing so touching. Thanks for sharing.  🌹NY/Milan/London.,6,2025-03-13T12:47:39Z
@dndaonuea,ชอบเพลงนี้มากเลยㅠㅠ💗,4,2025-03-13T12:06:00Z
@lianluvkai,I literally CRY every time I play this song 😭😭 is just so perfect and the lyrics??? Dang!,4,2025-03-09T04:08:59Z
@sya-jae,I MISS U,4,2025-02-26T03:50:18Z
@rosandarozqi,miss u so bad!!,2,2025-02-25T03:49:48Z
@lifeispuckfuck,진짜 결혼식 곡 아니냐고........ 나중에 결혼해서 남편이 이 노래 불러주면 엉엉 울 듯.... 물론 남편은 재현이여야만 함.............나 참 꿈도 크다..... 정신차려..,20,2025-02-19T10:15:37Z
@crystalgonzales4534,Beautiful ❤️,6,2025-02-19T02:25:41Z
@muzniatialma315,"sumpah gw nangis waktu pertama kali denger lagu ini, very beautiful song...",2,2025-02-18T13:59:08Z
@ulfiarifah,Happy Birthday Jaehyun ♡,3,2025-02-18T02:17:21Z
@lifeispuckfuck,재수생이라 공부 너무 힘들고 시험도 두려운데.. 공부하다가 도서관 비상계단에 나와서 쪼그려 앉아 듣는 중인데 정말 눈물난다… 재현이도 연예계 생활하면서 힘든 적 정말 많았겠지.. 나도 재현이처럼 잘 이겨내고 꼭 시험 성공할거다!! 재현아 음악해줘서 너무너무 고마워요❤ 정말 앨범에 수록곡들이 이렇게 다 좋을 수 있을까 싶어..하…,7,2025-02-17T07:37:20Z
@Ms_Rover,My❤❤ me🎉🎉🎉,0,2025-02-15T20:34:21Z
@sholnhyhere,happy birthday and i love you❤,2,2025-02-15T17:48:30Z
@Caca338,Miss you so much Jaehyun,2,2025-02-14T14:33:04Z
@2lnpx,I miss you nongjan ㅠㅠ,0,2025-02-14T12:37:51Z
@ianaina3413,happy birthday my valentine ❤️,1,2025-02-13T18:30:17Z
@j_a_e_h_y_u_n,Happy Birthday Jaehyun 🎉❤,5,2025-02-13T17:44:17Z
@lilackpop,Happy birthday Jeong Jaehyun 🎉💚,4,2025-02-13T17:37:32Z
@jessleenie,bro.. what do you sentimental about your own face though,1,2025-02-12T05:17:01Z
@luthfiyahamirahlewa649,<3,0,2025-02-09T07:42:16Z
@rahmashabrinaoktarianti2771,"Jaehyun oppa... sangat merindukan karya indah kamu, kerja bagus!",2,2025-02-06T02:38:39Z
@FifiHld_12,miss you sayang,1,2025-02-03T14:48:30Z
@nitaryy13,"i miss you so much, Jae❤",4,2025-02-03T09:31:25Z
