author,text,likes,published_at
@uXér-dv1뤸2dz1c찮떡혐冀zŅ,❤:)❤사랑스러운킴뮌지❤🧸❤De thoung(벳남어로 귀엽단뜻,0,2025-04-18T03:24:56Z
@Hypeboy0515,💜🩷💚💙💛,0,2025-04-14T16:38:46Z
@우엉재-m4b,민지한테 뭐라하는건 아닌데.. 그 약간 포터남에 나오는 언더아머녀? 걔 닮았네.. 걔가 민지를 닮은건가.. 암튼 줠라 예쁘다....ㅡ,0,2025-04-12T03:39:19Z
@샤릉봉봉,남쟈작업복이 가쟝잘어울림ㅋ 남쟈가말한다넌 청 바 지 가 가장 잘 어울려ㅜㅋ 😂그런남자 민지가만히안두는듯ㅋ 사랑해주는 사람들도 이건몰라씀 꺼ㅜ ㅋ두둥ㅋ,0,2025-03-23T02:54:45Z
@dizntlak,"뉴진스 안무 가 촌스럽게 보이는 이유.....   
1 안무 중간에  박수 치며  이동하는 거
2 안무가 어제나  깔짝거림 
3 그리고 비쥬얼 과  라비실력이  좋지않기에  감출려는 의도로  머리가  치렁치렁 함  - 여자 노숙자 같음",0,2025-03-21T07:15:53Z
@johnnn8965,bini gua tuh,0,2025-03-19T01:16:12Z
@uncleinthegarden,ชอบการแต่งหน้าแบบนี้  Minji ดูหน้าสวยที่สุดเทียบกับ VLOG อื่นๆที่เคยเห็นมา,2,2025-03-15T19:04:47Z
@고양이-d7w,민지 너무 예쁘다 진짜 ❤,0,2025-03-09T13:43:35Z
@sarahlol2010hu,ㅛㄷㄴㄴㄴ 이번에 안 될 될 것 것! ❤,0,2025-03-07T22:00:51Z
@Juvernile,너무 예뻐서 어김없이 놀라고 뜬금없이 계속 핑 붙이는 거 킹받고 ㅋㅋ,0,2025-02-27T14:30:01Z
@qwertyanaaaa,Pretty bb,0,2025-02-20T14:06:14Z
@qwertyanaaaa,Loveeee,0,2025-02-20T14:06:05Z
@InLove_withMinji,"I’m in love with this beautiful girl, and when every time I see MINJI I identify with that line from the song ""Si antes te hubiera conocido"" by Karol G: ""Y yo te veo, y no sé cómo actuar"" ☹️💗",2,2025-02-19T23:42:42Z
@고소하네-h6z,ㄴ머ㅜ 잘 어울ㅇ려ㅑ료,0,2025-02-19T22:23:58Z
@aodrbals,썸네일 너무사기야 10번째 보게되네 보일때마다봐서,0,2025-02-19T19:49:52Z
@아라따-m1b,아 민지 개사랑해,0,2025-02-19T11:29:42Z
@dllaptr1390,itu tato beneran?,0,2025-02-19T08:30:57Z
@張庭碩-e4d,So pretty😍,1,2025-02-16T14:14:02Z
@pixiee--4,민지가 간 호텔 내가 간곳이랑 똑같은데...반년만 늦게 갔어도 만날수있었을텐데...ㅠㅠ,1,2025-02-16T09:25:47Z
@manhoi0920,MINJI😍,0,2025-02-12T08:01:05Z
@yukning2415,what type of camera is Minji using?,0,2025-02-02T14:21:38Z
@Visca바르샤,김민지 생각나서 다시 왔는데 너무 행복해졌다는..💙,1,2025-02-01T12:45:56Z
@kax-290cool5,One look on her is like heal,1,2025-01-30T04:37:29Z
@13TFSR1RLFEMT13,진짜 얼굴이 컨텐츠다,0,2025-01-29T15:39:09Z
@후후-z6i,"이런 민지 너무 좋아
앞으로 이런 영상 많이 보고싶다",0,2025-01-27T15:10:51Z
@Eu_-gf9xx,와 진짜 재밌게논다….,0,2025-01-27T06:26:07Z
@user-z_z,민지가 원탑임.. 이건 진짜임,2,2025-01-23T09:07:16Z
