author,text,likes,published_at
@kazuha_123pooks,THE SYNCORIZATION??!???? (Idk how to spell it😭),0,2025-02-18T18:49:51Z
@FatimaAl-Merza,This song made me i was in roller coaster,0,2025-02-08T10:57:44Z
@le_sserafimmies,❤❤❤❤❤,0,2025-02-03T07:04:20Z
@suvalibasu2434,I'm in love with their outfits ❤,1,2025-02-01T17:24:45Z
@EUNCHAE-WORLD_DOMINATION,"Best performers, the talent is on TOP❤",1,2025-01-27T18:28:27Z
@ふゆと-d5q,"ウンチェちゃんカッコいい‼️

この女神たちは、最強です❤",3,2025-01-27T11:37:15Z
@ElvieManzano-y1u,Cheawon😍,0,2025-01-22T07:21:13Z
@Chaew_Niss2012,CHAEWONN so gergous,0,2025-01-18T09:28:49Z
@shira_talya_bts,Love you so much ❤❤❤❤❤,1,2025-01-14T19:23:46Z
@Nasia756,THIS IS THE BEST PERFORMANCE!🔥,0,2025-01-14T18:12:25Z
@脇坂匡,ウンチェ雰囲気カワタ　いい意味で🎉,0,2025-01-13T14:58:23Z
@elephant7439,カッコウィー🤘✨️,0,2025-01-12T08:30:47Z
@ぷりぷりおむつ,ウンチェといいイソといいニンニンといい、ギリ垢抜けきってなかったマンネ達が爆美女になっていく過程を追えるの幸せすぎる,0,2025-01-12T07:35:49Z
@banamalimandal3919,"❤❤❤❤❤❤❤
Lesserafim fighting 🏃‍♀️ 💪 ❤️",1,2025-01-12T01:43:51Z
@Rawdo,❤❤❤,0,2025-01-11T22:17:07Z
@aika226,막내가 진짜 멋있다——,0,2025-01-11T10:27:59Z
@mohdanwar8637,Eunchae is looking fineee,0,2025-01-11T09:47:11Z
@user-zf1ig2sm7z,KAZUHA❤,0,2025-01-10T22:39:04Z
@Universe_99999,Best Performances = LE SSERAFIM without a doubt 💙💙💙💙💙,2,2025-01-10T15:28:05Z
@MariaRose_21,SHe that falls in love with herself will have no rivals❤❤❤,3,2025-01-10T14:27:33Z
@SARIKUN_DESU,"シンクロ率やばっ！？！
かっこよすぎ🤦‍♂️",3,2025-01-10T13:18:19Z
@IZRAFIM,멋있다❤,0,2025-01-10T09:03:25Z
@yamasemiyamasemi,メンバーだけでよくない？見づらいし,0,2025-01-09T21:32:01Z
@anel88,みんな美しいよ🎉🎉,0,2025-01-09T17:56:52Z
@toshit.7477,"ルセラにはどこからか借りてきたようなのではなく、ほんとの意味の彼女たちに合ったオリジナルが必要です
紅白でてあれだけK-POPいらねと言われてる中でサクンツェル初め、概ね好評であったのは彼女たちの努力もある
プロデュース側が今度は答える番",0,2025-01-09T17:52:58Z
@りりり六花,ウンチェ冒頭のセンターダンスめちゃくちゃカッコいい！！！！！,1,2025-01-09T15:11:04Z
@archange_pino,ウンチェだいすき❤❤,0,2025-01-09T11:34:39Z
@lsrf39,르세라핌 알라뷰,0,2025-01-09T09:21:34Z
@しずくしずく-p9n,170センチトリオのスタイルすごいよね。,0,2025-01-09T06:51:15Z
@e0lhc_chl0e,They are such baddies ima cry,0,2025-01-09T03:07:32Z
@djjeiejdshmmsm,어우 너무 잘해,0,2025-01-09T02:50:05Z
@CagedSoul1982,Simply EPIC!!!!,0,2025-01-09T01:42:22Z
@TanukiFarron,I LOVE LE SSERAFIM!,0,2025-01-09T01:19:40Z
@sudhamrudula5584,Chaewon and yunjin ate,0,2025-01-08T21:37:01Z
@Jyo-q2i,멋지다~~~😚,0,2025-01-08T19:06:22Z
@_wonderful_218,かっこいいって罪よな😍✨,0,2025-01-08T14:39:42Z
@user-uf1yu9wb8l,"うんちぇ、何頭身ってゆうくらい
スタイルがすごすぎる🫣
みんなのスタイリングもよすぎ🤍",0,2025-01-08T14:28:05Z
@잇프피다요,진짜 너무 예쁘고 멋있는!!!,0,2025-01-08T14:27:33Z
@cs4uo,どこのホテルだろ、絶対ホテルの宴会場ㅋㅋ,0,2025-01-08T13:12:48Z
@She_rly,BRO THEY ARE SO AMAZINGGG,0,2025-01-08T12:59:43Z
@yuki-u6n-g9z,ルセラフィム最高ーーーーー❤❤❤❤,3,2025-01-08T10:37:25Z
@どんちゃん-r2p,ルセラは生歌をどうにかしたほうが。。。,0,2025-01-08T09:34:11Z
@채사미,"전체 안무가 웅장하다, 멤버들도 그렇고 백댄서 분들도 잘추신다 😮",25,2025-01-08T09:06:33Z
@AmshreeBasumatary,Their dance and outfits 🌟🌟🔥🔥❤️,0,2025-01-08T06:15:45Z
@Thundershiro,💛💛💛,1,2025-01-08T05:45:10Z
@toxxxterceno9913,When is the live presentation?,0,2025-01-08T03:00:34Z
@banny95ilu,❤❤❤❤❤❤❤❤❤❤❤❤,0,2025-01-08T02:28:17Z
@BenzbeidaBachir,❤📽️📽️,0,2025-01-08T02:00:30Z
@GregReyes59,Le Sserafim is my favorite bypassing Blackpink.,0,2025-01-08T01:30:14Z
@kingtiger9405,최고야~~~,0,2025-01-08T01:24:47Z
@kyle_tpe1029,은채야 볼빵빵한데 길쭉해요,0,2025-01-08T01:02:26Z
@S.E.Y-Official,Short hair again...my wife...chaewon😌...like than long hair🥺,0,2025-01-08T00:45:10Z
@jackieffan,"Le sserafim so cool!!
Eunchae so pretty and cute  <3",4,2025-01-08T00:18:51Z
@Erin_-hg7qi,Eunchae 🔥,3,2025-01-07T23:09:33Z
@kkkkkkkkkkkkkkkkka999,この時のユンジンのギャル具合がすき,0,2025-01-07T22:43:31Z
@northarea1203,Sakura,1,2025-01-07T22:28:18Z
@ZUERODRIGUES,❤,0,2025-01-07T22:01:41Z
@今井みゆき-x3u,❤🩷🩷💛🤍💛🩷💛,0,2025-01-07T20:14:12Z
@Jisoo-lw7hk,❤,0,2025-01-07T19:15:06Z
@또라에몽-r5q,우와 😍😍😍😍😍,0,2025-01-07T18:51:54Z
@skiswim,"춤이 왜이렇게 어려워.. 
담 올거같아요",0,2025-01-07T18:35:33Z
@htp7328,"이 많은걸 어떻게 같이 준비했지?😮
동기부여를 주는 그룹이야",2,2025-01-07T18:14:20Z
@Yooide,looks like they practiced this a few times :),0,2025-01-07T16:52:35Z
@_NEXT..WISH..27_,*LESSERAFIM never disappoint us with their perfect talents. They are OUTSTANDING Group. Awesome performance* 🤍🖤🔥,12,2025-01-07T16:45:58Z
@yeong188.8,"무대 진짜 좋았다!!
최고다 르세라핌❤",1,2025-01-07T16:44:50Z
@abefhilmnprstxy,PERFORMANCE QUEENS,0,2025-01-07T16:37:30Z
@user-we2xl6wb6f,最高🎉,0,2025-01-07T16:29:27Z
@hhhhq1-x4m,💯💯💯,1,2025-01-07T16:14:23Z
@N3matMestarihi,"레스라핌, 당신은 가장 아름답고 훌륭합니다 ❤❤❤",11,2025-01-07T16:10:27Z
@zon02,역시 르세라핌 퍼포먼스는 확실하다니까 😆😆,8,2025-01-07T16:05:00Z
@movie60547,연습량 엄청냔 게 눈에 보임,0,2025-01-07T15:57:38Z
@こな-h4t,今回の衣装ほんとに好き！！！！,18,2025-01-07T15:39:04Z
@andersonblassoto547,"No pueden negar que sus presentaciones son muy atractivas y nada aburridas. Si ellas estan aportando a la idea creativa, que bien lo hacen.",0,2025-01-07T15:29:07Z
@sean2348,The best girl band ever,0,2025-01-07T15:11:20Z
@ısallysৎ,Best Lesserafim  !! 🪄,0,2025-01-07T15:06:47Z
@asdfghjkl12345-u,르세라핌 진짜 너무 멋져ㅠㅠ❤,11,2025-01-07T15:02:30Z
@utatane-suyasuya,Amazing Performance,1,2025-01-07T14:58:40Z
@BrunnaLee-kq2cc,❤❤❤🎉🎉🎉,0,2025-01-07T14:34:50Z
@needpeacewhichisbed,"No matter what anyone says, their sync and practice show how much effort they put into every dance step and detail 🤌🏻❤️",2,2025-01-07T14:21:36Z
@skyjin1024,쾌감 쩔어,3,2025-01-07T14:19:21Z
@Izone_1029,진짜 멋있다 👍👍👍,0,2025-01-07T13:54:49Z
@Khan00089,Best girl group performers 🔥🔥,0,2025-01-07T13:47:32Z
@kimaachii,YASSS BEST PERFORMERS!!,4,2025-01-07T13:46:48Z
@glllit,keren banget LESSERAFIM ❤❤,8,2025-01-07T13:43:48Z
@hazelcavalida2803,Amazing awesome burabo 🌹🌹🌹💙💙💙,0,2025-01-07T13:42:23Z
@hmc-f1w,❤❤❤❤❤❤❤❤❤❤,0,2025-01-07T13:41:45Z
@coldandwarmmemory,❤❤,0,2025-01-07T13:35:54Z
@Lisa_Felix9700,I Love You Soo Much Le Sserafim❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,1,2025-01-07T13:33:25Z
@flwrchae,ACT LIKE AN ANGEL DRESS LIKE CRAZY,0,2025-01-07T13:29:55Z
@야구경기2030,진짜 멋져부러💙👍🫶😘,0,2025-01-07T13:28:39Z
@charlie0wx,мне нравится как вы делаете движения.,0,2025-01-07T13:28:37Z
@야구경기2030,💞💙👍😘🫶,0,2025-01-07T13:28:23Z
@Maxwolfschneider,All looking at the dance and Im vibing the fits😂❤,0,2025-01-07T13:26:25Z
@daffnen,카테고리 = 르세라핌,0,2025-01-07T13:19:28Z
@JusticeLeague-n3l,le sserafim slay queen 🔥🔥🔥🔥🔥🔥,26,2025-01-07T13:11:41Z
@omjmkyr,이게멋있다구요?,0,2025-01-07T13:04:36Z
@jhlee_F,멋져❤,0,2025-01-07T12:55:54Z
@твоя_кыргызка,I love you asobino Yunjin and Chewon and Kazuha and Eunche❤,0,2025-01-07T12:54:16Z
@sidewinder6855,골든 디스크 얘네들 무대 밖에 기억 안남…,2,2025-01-07T12:48:53Z
@ももりんの虜-g6b,みんな美しくなりすぎ❤❤❤,18,2025-01-07T12:44:28Z
@kymultizs,LINDAS 😍❤,0,2025-01-07T12:43:58Z
