author,text,likes,published_at
@이상혁-l6y,사쿠라 좀 더 열심히 하자,0,2025-04-20T05:38:47Z
@kazuhashi-e7t,"Look how proud fearnots are of you, girls.",0,2025-04-17T14:59:17Z
@Euebzknjaywzxh2lI,What a wonderful,0,2025-04-09T13:15:58Z
@Auraa_9,Yunjin smilee🤏,0,2025-04-08T09:18:03Z
@tribebeyond,カッコよく、楽しい。でも最後なんでダメ出しなの？やり直したかったのかな。,0,2025-04-07T17:16:26Z
@Emillyfetosaaa,❤,0,2025-04-07T17:10:58Z
@린마-i5m,잘벌리네,0,2025-04-04T21:19:23Z
@thuwaini,🩷❤️🩷❤️🩷🩷❤️🩷🩷🩷🩷🩷🩷❤️❤️❤️❤️❤️🤍🤍🤍💕,0,2025-04-03T09:08:19Z
@謝福成-i8b,kazuha😚😚,0,2025-04-02T10:26:54Z
@루시영-c6o,윤진이 웃는거 넘 예뻐😍,1,2025-04-02T06:36:00Z
@v_dragon,yunjin's smile at the cheering crowd ❤,2,2025-04-02T03:37:52Z
@LawrenceGauthier-l4l,Bro doesn't need romance bro just needs a jacket,0,2025-04-01T15:27:29Z
@sanjigazi,they look so proud of themselves ✨💗,0,2025-04-01T07:04:44Z
@haerinkang0,THEY LOOK SO HAPPY OMG THEY DESERVE IT❤❤,0,2025-04-01T04:50:47Z
@erikam.3765,❤❤❤❤❤❤❤❤❤❤❤,1,2025-04-01T04:31:28Z
@erikam.3765,Desde Chile le sserafim  son muy talentosas❤❤❤❤❤❤❤,1,2025-04-01T04:31:07Z
@IZRAFIM,응원법 모르는 피어나분들ㅋㅋㅋㅋㅋㅋㅋ,0,2025-03-31T22:48:11Z
@EsterpastoreGiovanna,I Love You le sserafim ❤,0,2025-03-30T12:07:49Z
@kwonspecial86,끝날때 한번만 소리쳐 달랬는데 끝까지 소리질러버리는. . ㅋㅋㅋㅋㅋㅋ,0,2025-03-30T08:32:52Z
@melody-eok,"Other members: 😊
Yunjin: 😂",1,2025-03-30T04:19:45Z
@ariana71grande,문워크누가누가더잘하냐.,1,2025-03-29T17:15:42Z
@everydayhday3952,진짜이뻐❤❤❤❤,0,2025-03-28T11:42:46Z
@wind61080,恩採服裝非常吸引眼球，而且她最近長開了，更好看了,0,2025-03-28T06:28:33Z
@nicograham532,Couldnt help but smile after seeing yunjins smile.,1,2025-03-28T05:13:17Z
@쵸코딸기우유,르세라핌 사랑스럽습니다 ❤🎉❤🎉❤,0,2025-03-28T04:58:31Z
@costantinogiovanniantonio5037,❤you raised the pressure and temperature ❤❤❤❤❤❤❤,0,2025-03-27T22:12:49Z
@mapobridge,윤진이 활짝 웃는게 너무 보기 좋다😍,2,2025-03-27T12:57:19Z
@user-os9rm7ps5r,뭔  군대냐... ㅋㅋㅋㅋㅋ,0,2025-03-27T12:13:57Z
@maverick6511,"I love the way Sakura enjoying herself ☺️❤ it's makes me happy to see her like this 🥰💖💕, btw all of them 💕🥰💖💕",0,2025-03-27T09:15:49Z
@ЗаяцГотовящийрисовоепеченье,Песня реально крутая!,0,2025-03-27T08:28:21Z
@ああ-w4j2r,トレンチコートをこんなに魅力的に感じたの初めて😂,0,2025-03-27T03:41:35Z
@joysg4077,르세라핌과 팬분들 힘든 시기 함께 겪으셨을텐데 함성 소리와 행복해 하는 멤버들 모습이 뭔가 뭉클하네요 앞으로는 꽃길만 걸으시길😊,0,2025-03-27T03:19:09Z
@chowda1214,So happy for these girls. The crowd and Yunjin's smile is so perfect,0,2025-03-27T01:55:57Z
@ciinsere235,Our Yunjin is so cute laughing,0,2025-03-26T20:47:39Z
@Phoenix-m6i,They deserve the world after everything that they've been through and no Im not talking about constructive criticism just the unnecessary hate.,0,2025-03-26T06:22:19Z
@tallesm5543,"It looks like a football stadium, they are all happy, the tour shows will be more incredible",0,2025-03-25T00:47:38Z
@user-cookiejoa,이뻐 ❤,0,2025-03-24T03:47:41Z
@migimiminimininikibijiru,やだ、カズハ真顔だったのにユンジン見てニヤっとしてるのかわよ,0,2025-03-23T10:28:34Z
@SharonRose-v6c,Fearnot very proud! ❤️,0,2025-03-23T04:30:51Z
@banamalimandal3919,LESSERAFIM FIGHTING ❤❤❤,0,2025-03-23T03:52:38Z
@h-ylsrfm,"To those who said their fans abandoned them because of their issues during the Easy era and Coachella, I hope you watch this. Those screams are enough to say that fearnot loves Le Sserafim very much and they are proud of them.",1,2025-03-22T12:31:44Z
@c.yx0n,"컨셉은 좀 달라졋긴한데 
이번 곡 너무 잘뽑앗다 ㅠㅠ
저 장착 짱 이뿜 ㅠㅠ",1,2025-03-22T03:08:29Z
@MYenterteinment,THEY'RE VERY SPECIAL 😊😊😀😊😊❤❤❤,0,2025-03-21T16:09:01Z
@mimsiemoore591,yunjin my beloved,0,2025-03-21T09:09:24Z
@ErikaSkog619,"These girls crushed it again!  This song, like always, just sensational!  You young ladies are truly amazing! ❤",0,2025-03-20T14:01:51Z
@lisa42381,행복💜,0,2025-03-20T13:05:57Z
@lisa42381,윤댕이ㅋㅋㅋㅋㅋㅋ,1,2025-03-20T13:05:16Z
@moonchild1749,❤,0,2025-03-20T12:51:21Z
@RoksanaBegum-qt5io,OMG 😱 😳 Male audience housefull 😮😮,0,2025-03-20T07:55:42Z
@슈가진-i5v,엥콜영상인가보네~~♡♡♡,0,2025-03-20T05:08:52Z
@godsplan6137,Yunjin couldn’t stop laughing. I love it. The cheers for the girls are such a great thing after everything that happened to them,3,2025-03-20T04:59:53Z
@La-Vie-en-Rose12,現地ピオナいいぞ！,1,2025-03-20T03:32:56Z
@nhamtran7405,Send this ❤ to Eunchae,0,2025-03-20T02:34:08Z
@caesariscaafrriliyanita8256,heo yunjin really happy virus,1,2025-03-20T02:02:48Z
@이승민-g3p8o,저 쩍벌 안무는 코첼라 가슴털기 급이네여,0,2025-03-19T23:19:43Z
@kimono-n9q,最後のダメダメみたいなの可愛いな,0,2025-03-19T21:57:41Z
@둥이맘LOVE,채원이❤,0,2025-03-19T13:48:56Z
@RH-ix8od,他下げのLe Sserafim,0,2025-03-19T13:27:52Z
@exploringapis4495,NewJeans punching air rn,0,2025-03-19T10:01:19Z
@cmj0217,모델학과 5인방과 미팅해서 같이 클럽온 기분,0,2025-03-19T06:27:47Z
@kelseylelei,THOSE CHEERS 😭😭😭😭😭😭😭😭😭im so happy,1,2025-03-18T23:06:57Z
@johnsotsou6763,moon walk,0,2025-03-18T17:37:34Z
