author,text,likes,published_at
@tzupinteret,i miss them,0,2025-03-07T09:35:18Z
@하주헌-z2m,라면은 좋지,1,2025-02-08T06:09:18Z
@하주헌-z2m,안돼.돈은.안준다고,1,2025-02-08T06:05:27Z
@하주헌-z2m,먹는것은.줄수있다,1,2025-02-08T06:03:58Z
@robinhong3599,子瑜~ 太可愛了,0,2025-02-06T02:36:25Z
@dsl7585,2:06 I’m here for this🤣😅😂,1,2024-12-15T09:32:25Z
@Elfangor-Sirinial-Shamtul,I like how they used these soundbytes for the early TIME TO TWICE episodes. I wish they made some for Jeongyeon as well! 💚,0,2024-12-11T02:24:38Z
@najemo1596,"나라도 예뻐해줘야 될것 같아요.
나연이 미소짓는 하트입모양.😊",0,2024-11-05T11:08:10Z
@DikaHandiansyah-n3l,i need link for sound notif 6th anniv,1,2024-10-13T06:27:52Z
@AndWisdom,"HELP ME, WHY IS MOMO SO FUNNY 😂😂😂 DIDN'T EXPECT SHE WOULD SUCCEED IN BUILDING THE TOWER, AND HER NAMING THE GAME LOL",1,2024-09-25T12:27:31Z
@jadysophiaa,Sdds,0,2024-08-20T00:02:05Z
@mstzyu,4:48自分用,1,2024-08-18T05:43:00Z
@samanthq,I watched all the TTT episodes before this and i was wondering where all the sound bites where from. Now I know,0,2024-07-25T01:08:59Z
@Ekalavya,TTT editor does use the sound effects from here,1,2024-07-21T05:45:01Z
@choumoong,13:12 TZUYU LOL,0,2024-07-01T05:22:07Z
@choumoong,3:34 CHAEYOUNGGG LOLLL,0,2024-07-01T05:14:51Z
@choumoong,"Sana's turn will always be legendary HAHAHAHA
2:12",0,2024-07-01T05:13:09Z
@jeremymilan1899,tzuyu est sublime ❤,1,2024-06-25T19:36:12Z
@gizibaikk,This is one of Tzuyu's prettiest looks EVER! She's so gorgeous here it's unbelievable! 😭,0,2024-05-20T02:21:25Z
@blakemorales_22,LAS AMOOOOO❤❤❤❤,0,2024-04-20T04:31:17Z
@shakychan9775,"No importa cuántos grupos existan, Twice siempre será uno en un millón <3",0,2024-04-15T12:18:13Z
@yourlovelydovelynako7829,HAPPY 8TH ANNIVERSARY TWICE!!!!!!! 🎊💗💗💗💗💗💗💗💗,0,2024-02-18T03:15:37Z
@moneyvslovedream,9:20 미쳤다 진짜 개이쁨 😍😍😍,0,2024-02-02T21:59:00Z
@KeyzoTwenty-nine-qv8sp,💛💚❤💜💙💛💚💜💜,0,2024-01-10T17:26:31Z
@Ryejimtminhas,"7:28 jealous sana? Don't worry, tzuyu is only yours!

Satzu❤",0,2024-01-03T16:23:01Z
@TommyNayeon,4:15 ケンチャナヨン,0,2024-01-02T13:03:10Z
@Tudung-eTwice,7:28 the way Sana say Woo aii nii to Tzuyu ahhh❤❤❤,0,2023-11-17T15:37:38Z
@junfong4998,❤❤❤❤,0,2023-10-20T12:27:08Z
@carmelaseradoy8627,Xhhfdhhrhrrhejhdhhfhrju,0,2023-10-05T12:56:50Z
@junfong4998,❤❤❤❤,0,2023-09-15T12:22:09Z
@pop70715,from where to download the recorded sounds?,1,2023-09-07T11:04:44Z
@Julieta13447,Twice es mi felicidad ❤ las amo tanto,0,2023-07-26T17:18:26Z
@TabungGas-f9p,sana😂❤❤❤❤,0,2023-06-23T11:47:55Z
@mvp1806,4:14,1,2023-06-07T05:15:07Z
@santraclus,"Sana : 12:15  Target
Sana : 16:16 Mission complete
😂😂😂 cute",0,2023-06-04T22:10:36Z
@EyrinsChannel,"Finally!!! I found the origin of Nayeon's, gwenchanayo. 😂",0,2023-04-03T18:07:18Z
@jhomieminamorante8457,How can i download the sound effect?,0,2023-03-19T17:18:19Z
@ananda3769,So cute ✨✨✨,0,2023-03-12T03:00:37Z
@ayuwandirq617,Mina bilang no aja ok 👍👍,0,2023-03-08T11:23:58Z
@ayuwandirq617,Harem aja kalo sudah umor masak ngga kurang cantik nyaaa mau cantiknteros kali 🙏,0,2023-03-08T11:21:52Z
@ayuwandirq617,Tapi diyho itu bukan kemauan nya sendiriiii ada yang angkat ok yang angkat ada sesuatu yang nunjokan diyho ok 👍;🙏🙏🙏,0,2023-03-08T11:20:38Z
@ayuwandirq617,Diyhooo sudah tuaaa apa mau minaa 😀,0,2023-03-08T11:18:05Z
@jUsTViBeEeE,Sana low-key confessing to Tzuyu and saying she misses her😏,0,2023-03-05T17:41:38Z
@YHelloThereOldSport,1:44,0,2023-02-19T20:59:39Z
@Thousand-hh5hs,"4:10
1:41",0,2023-02-11T14:59:17Z
@nugu_2705,I love it when i hear these in TTTs 🤣,2,2023-01-29T18:05:02Z
@Im-a-man,11:23,0,2023-01-11T06:14:38Z
@Im-a-man,이거 이제봤는데 다 어디서 들어본거네,0,2023-01-11T06:06:34Z
@sulistiaanggraini3626,Tzuyuuu soo prettyyy 💗💗💗💗😍,1,2022-12-08T14:59:19Z
@camikiut,"las quiero mucho, gracias por todo 💗",0,2022-12-01T21:05:20Z
@catherinewelsh7828,Where can I find the gifs and sounds?,0,2022-12-01T19:03:47Z
@meyeeaureo3955,the sound effects part is so cuteeee,0,2022-11-09T12:16:17Z
@주헌하-i3g,내눈.앞에서.사라저.그말.하기만해봐.죽어앲버린거야.특히.나연씨만,1,2022-10-13T17:45:14Z
@ふゆみすずき,ナヨンとジヒョの組み合わせ好き,0,2022-10-08T17:14:23Z
@sadiarahman4883,Jihyo is the best🥰🥰,0,2022-10-08T10:00:22Z
@DAHLIA1_,6:45 Soooooo much cute DAHYUN,0,2022-10-07T12:40:36Z
@lyssacaros3755,"no other kpop group gives back to their fans as much as TWICE, thank you for being so generous. we love you forever tdoongs!",4,2022-09-29T12:59:36Z
@TallgiPrincess,1:41,1,2022-09-06T01:42:35Z
@XuLeeKwon_SVT,Nayeon really is the best unnie. She kept telling the younger members to relax and no pressure,0,2022-08-13T02:08:32Z
@pederovaeyes4865,😂😂,0,2022-08-10T19:11:18Z
@Ace-vh3bh,Ang ang so cutee 😭😂,0,2022-08-07T15:50:11Z
@leeknoweyes9705,😶,0,2022-07-26T08:11:08Z
@SD2S2,1:46,0,2022-07-19T18:32:18Z
@tasmiatariq8814,Sana  looking  so beautiful,0,2022-07-02T01:45:20Z
@merlynkaluang4065,Mitzu 😍😍😘😘😘,0,2022-06-25T13:20:57Z
@merlynkaluang4065,Satzu ❤️❤️❤️😍😍😍😍,0,2022-06-25T13:20:31Z
@gerogero913,where to download the sounds,0,2022-06-23T04:22:43Z
@beverlyannlopez2341,Where can I download the emojis and the audio?,0,2022-06-20T16:57:55Z
@jcvideo1001,3:40,0,2022-06-19T10:42:52Z
@isai_golden,Ojalá alguien haya hecho tonos de alarma con él buenos días y “no te vas a despertar de Tzuyu” 😭,0,2022-06-17T21:22:30Z
@awwwcomeon,10:57 PERFECT JIHYO IT'S TRUE <333 WE LOVE YOU GOD JIHYO,0,2022-06-16T02:23:47Z
@Jabee69,Where can i download the sound effects?,0,2022-06-14T10:42:54Z
@NI-uu5fb,Happy Birthday tzuyu!!,0,2022-06-13T15:37:01Z
@nicomanuelnapitupulu9694,2:50,0,2022-06-04T03:11:09Z
@Ronaldo-Santos-Ferreira,01:49 Minha bias é uma fofura 🇧🇷💖✨,7,2022-05-26T02:36:54Z
@05hae1,Love how ttt editors use these sounds to make it more fun,2,2022-05-18T07:45:15Z
@shafqatulhaiderbinabdulwad8121,"Isn't it fun to be in entertainment business? You just gotta show your beautiful, cute face and acceptable body shape with mediocre artistic skill and do some goofy stuff like saying 'Du Du Dun'. And in return you become the owner of unimaginable money-wealth with highly cherished fame! Fun life!",0,2022-05-16T13:06:22Z
@darkageZ,"Can't believe, this year they contract will finished :(",0,2022-05-11T09:10:14Z
@jaysnow6626,5:02,0,2022-05-04T21:06:26Z
@jonathanstevepintor7158,you all are cute 🥰 I can't choose what to do if notification to my messenger 😫❤️,0,2022-05-01T17:52:33Z
@dieqy0527,"Sha sha sha, bbrrr ohh, hey girl",0,2022-04-27T22:36:59Z
@kaduroy12,Where can I get the sound effects now? I didn't download them when it Ayame out and now the link doesn't work,0,2022-04-16T00:37:59Z
@hikari.1117,"🎉🎉🎉🎉
twice全員とっても仲良くて幸せでニヤニヤして癒されました～💘

みんな可愛い～💘",0,2022-04-14T14:10:01Z
@kwa0818,효과음 하는 부분 너무 재미있어서 여러번 돌려보는중 ㅋㅋㅋㅋ 나연이는 정말 엉뚱한듯 ㅋㅋㅋ,0,2022-04-04T16:12:33Z
@itsa-itsagames,DUBU NAAPSHIO～～～！！！❤💋🥰🌹,0,2022-04-03T23:58:21Z
@mugi4811,どこで音声を得られるの？,0,2022-03-31T18:29:35Z
@isabeltorres2760,Jihyo’s achoo got me FEELING DIFFERENT WAYS ☺️,0,2022-03-28T12:01:58Z
@Iris-sk1fc,I returned for Sana's Hey Girl.,0,2022-03-28T04:59:41Z
@zarifsafwan8666,#najeongmosajimidachaetzu #126,1,2022-03-23T03:18:03Z
@quenniejoyemnace9399,Where can we download their recorded sounds? Anyone?,0,2022-03-22T08:40:43Z
@mojieclomer1379,7:29 bading na bading si sana kay tzuyu hihi,0,2022-03-15T07:22:06Z
@БориславаГеоргиева-ы5л,TWICE YOU ARE THE BEST !!! I LOVE YOU SO MUCH !!! 😘🥰💖,1,2022-03-08T15:38:34Z
@없다닉넴같은거,10:40 저리 가세요 인데 저리가세'효' 오타 있음,0,2022-03-05T02:32:26Z
@없다닉넴같은거,0:13 오타 있습니다. '트' 가 아니라 어 입니다.,0,2022-03-05T02:30:27Z
@arnulfomaceda8301,"No me canso de verlo, GRACIAS TWICE.❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️",1,2022-03-02T03:56:48Z
@m.by__artant,I'm still waiting to use these sound effects ...,0,2022-02-26T17:15:58Z
@weltonsbiki8609,"guys where can i download their ""presents""?",0,2022-02-24T13:31:25Z
@saschawalter358,Where can i find a Once plattform?,0,2022-02-22T07:33:32Z
@sanazqa,happy late anniversary <33,0,2022-02-18T08:43:10Z
@sanazqa,tdoongie!,0,2022-02-18T08:42:49Z
@sanazqa,i love youu,0,2022-02-18T08:42:34Z
@sanazqa,twice <3,0,2022-02-18T08:42:26Z
@pla6454,3:47 i just heard the sexiest sneeze in the universe 🔥,1,2022-02-16T12:23:27Z
@nerstradixd3933,#ONCEcomesbeforeTWICE #PresentForOnce #TWICE,0,2022-02-15T07:08:13Z
@yoonchaeism,"looking back at this,mina seems more tired than she usually is or maybe it's just me who sees it",0,2022-02-14T17:34:17Z
@davecho73,Where can I get the sound wffwct,0,2022-02-13T19:34:32Z
@yellowronjun4153,TWICE FOREVER,0,2022-02-12T16:07:19Z
@edseunn,i have this theory that sana is elite miko idk why but yes,0,2022-02-09T07:49:24Z
@kpopslayyforreal,Instead of seeing their beauty see how much they have suffer in their childhood especially jihyo she should get all the love from whole country i am not being mean to other members but u guys always see their beauty,0,2022-02-08T09:09:52Z
@ankitamishra7554,I thik only twice is very care to once,0,2022-02-07T09:50:20Z
@michaeng32423,不好意思，之前錯過這一集，沒補到，想問一下這個語音包跟表情包，要去哪下載，目前都搜尋不到,0,2022-02-05T16:52:55Z
@lablueguy2000,adorable 1:41,0,2022-02-04T16:05:36Z
@Holly18th,"sana's ""hey girl"" + ""hey"" and chaes ""ahoyyy"" added 5 years to my life😌💕",2,2022-02-01T16:38:40Z
@jhunpikining14,"SATZU in 2022 ... SANA , TZUYU,  FIGHTING .. LOVE YOU ALL GIRLS ..",0,2022-02-01T07:29:15Z
@ciaratwicebetween1257,💖💖💖💖💖,0,2022-01-20T22:29:32Z
@murnisari1005,i already used sana 'hey girl' 2:10 and mina 'what' 3:02 as my notification tone,1,2022-01-20T06:07:46Z
@かるら-e6x,4:48 このツウィ可愛すぎてえぐい,1,2022-01-18T15:08:01Z
@timchau8853,🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃🛃,0,2022-01-16T14:39:42Z
@anangrysliceofpie3935,01:31,0,2022-01-15T17:26:15Z
@aizpruart,2:10 Sana's English is the best! ⭐,1,2022-01-14T16:46:40Z
@boyganjahi4613,"miss you   all,,,,,,,,,,,,,,beautiful,,,,,,,,,,,,,,,",0,2022-01-14T09:29:11Z
@AS-kf2zf,"When once wanted to have a content more: 
8:46",0,2022-01-13T15:58:49Z
@遥-u4c,モモ,0,2022-01-10T03:13:29Z
@遥-u4c,Twice,0,2022-01-10T03:13:19Z
