author,text,likes,published_at
@Huta_zone_1129,콩수니ㅠㅠㅠㅠ 아 짱 귀엽다,0,2025-04-22T05:57:08Z
@anchannel729,飼いたい😊,0,2025-04-21T14:50:43Z
@Hsalazar_,Oh she’s a bright shining light. Her charm is addictive 🥹🥰☺️❤👸🏻,0,2025-04-21T11:20:14Z
@오정숙-i2f,우리집 고양이보다 귀엽다...,0,2025-04-20T17:51:32Z
@Jepjstjtdtat,かわいいよナオイ💞,0,2025-04-19T15:37:17Z
@누리-m3e,콩수니🥹🩵,0,2025-04-19T07:05:04Z
@정영미-v8s,귀여워요 ㅋ,0,2025-04-18T22:41:19Z
@beankong-qk5ef,아 너무 귀여워,0,2025-04-18T13:12:17Z
@Ilovewony123-w9q,"Rei chan, あなたは本当にかわいいよ ❤️",0,2025-04-17T09:03:08Z
@jenamisarnk,Ya bu kız çok tatlı yicemm🤏🏻,0,2025-04-16T18:43:10Z
@JIP_1,진짜 너무 귀엽다❤,0,2025-04-15T21:24:32Z
@lumingbro,Rei is the main character and we're all just living in her world ✨,0,2025-04-15T14:16:09Z
@sarieat,I LOVE YOU REİ ❤,0,2025-04-14T12:47:59Z
@mmcmildgold,보기만 해도 기분이 좋아진다.... 콩수니 🥹🥹🥹🩷,1,2025-04-13T08:52:56Z
@kenham6742,What happy looks like!,1,2025-04-12T19:45:33Z
@Lerin_Lr,폭주기니 만든 팬 뿌듯할듯ㅋㅋ,0,2025-04-12T05:35:47Z
@Twice9377,레이 (REI) 는 해당 단계에서 가장 열성적인 팬입니다.,0,2025-04-12T02:08:39Z
@마르지엘라-y9b,귀여운건 일본 못이김,0,2025-04-11T17:27:43Z
@凛亜-f2w,こんな全力スマイルレイちゃん惚れてまうやろ,0,2025-04-09T12:17:09Z
@MyMLMTeacher,Who is that girl she's so cute cute cute cute 😫🐣,0,2025-04-09T09:20:44Z
@せいんとせいや-m4r,可愛すぎて癖になるわ✊( ᵕᴗᵕ ),1,2025-04-08T16:29:49Z
@신-c4w,아기 병아리 내가하면 어른 고릴라..,0,2025-04-07T12:14:11Z
@박종경-k7g,넘귀여워😊😊❤❤❤,0,2025-04-07T10:02:54Z
@jimmy2xrich49,ㅋㅋㅋㅋㅋㅋㅋㅋ 김레이씨 😂,0,2025-04-07T08:21:27Z
@aruatiralte2502,Rei owns attitude song. Especially this choreo. So cute😊,0,2025-04-07T03:29:46Z
@KamranKjkmall-f4f,Hahahaha,0,2025-04-06T17:13:44Z
@hyunjinandleeknow_deluluwife,"Her fav move and everyone knows lol
Cutee❤❤",0,2025-04-06T14:46:43Z
@Irene_Bae,cutey,0,2025-04-06T13:46:06Z
@KamranKjkmall-f4f,Hi,0,2025-04-06T10:51:40Z
@kkomi-v8p,귀여웡❤,0,2025-04-06T09:26:14Z
@ハセパパチェルシー,レイちゃん天使👼,0,2025-04-06T08:49:55Z
@jch8105,펭귄아니야/ㅋ,0,2025-04-06T08:40:00Z
@jch8105,귀여워,0,2025-04-06T08:39:40Z
@잉스잉,팔이 팔랑팔랑거리는게 개웃김 ㅋㅋㅋㅋ,0,2025-04-06T03:46:39Z
@KamranKjkmall-f4f,This is only front pictures I can see,0,2025-04-05T18:55:31Z
@KamranKjkmall-f4f,When iam in left I turn my self look back too how I look,0,2025-04-05T18:55:01Z
@tvroger5014,別在電梯裡面跳舞。,0,2025-04-05T10:25:21Z
@suny8944,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ귀여워,0,2025-04-05T08:53:59Z
@자갈치남,콘수니ㅜㅜㅠㅠ사랑스ㅓㄹ워,0,2025-04-05T07:22:35Z
@いそまるらぶ,れいちゃん、その笑顔に一生ついていきます…✨,0,2025-04-05T05:06:25Z
@KamranKjkmall-f4f,Lift up lift down whole day but is okay I saw lot of bullets,0,2025-04-04T10:31:57Z
@KamranKjkmall-f4f,Be happy I manged here’s,0,2025-04-04T10:10:36Z
@RickySabalabatangk-pop,Rei you are so cute❤❤❤❤,1,2025-04-03T14:00:09Z
@messi3509,콩순이 ㅋㅋ,2,2025-04-03T13:36:34Z
@adrianodantas5813,❤❤❤❤Linda,1,2025-04-03T07:47:28Z
@looa_sky,후엥 카와이해서 기절😢 마지막에 찹쌀똑 말해 뭐해....❤❤,2,2025-04-03T07:08:55Z
@KamranKjkmall-f4f,What the difference,1,2025-04-02T20:06:26Z
@KamranKjkmall-f4f,I have a solution Pakistan gawadar,0,2025-04-02T20:00:51Z
@KamranKjkmall-f4f,4 Floor to o floor,0,2025-04-02T19:06:17Z
@KamranKjkmall-f4f,Hahahaha,0,2025-04-02T19:05:55Z
@kazum6288,このダンスって、この部分の曲調もDaddyに近いからダンスも寄せたと思ってる,0,2025-03-31T21:31:06Z
@Margo_Mangoo,❤❤❤,0,2025-03-31T17:05:55Z
@Margo_Mangoo,❤❤❤,0,2025-03-31T17:05:32Z
@winter-tang,기엽,0,2025-03-31T16:27:18Z
