author,text,likes,published_at
@pantaneirogamer9461,I love you Felix!!❤❤❤,0,2025-04-24T02:11:29Z
@Sharif-f7o,Sonunda bir türk insanı buldun 🇹🇷🇹🇷🇹🇷🇹🇷!!!,0,2025-04-23T19:27:28Z
@LaraandDuru,Felixxxxx❤,0,2025-04-23T09:01:42Z
@Kangsae_byeok_067_13,I was just listening to that song and every other song from stray kids,0,2025-04-23T01:37:15Z
@MaritzaGodoy-o8o,Siiiii lalálaalaa,0,2025-04-22T21:44:23Z
@fan_twice13,나는 그 음악을 좋아했다,1,2025-04-22T19:26:51Z
@mariarodrigo2602,Good stray kids IS cool 💖🇰🇷,0,2025-04-22T18:47:11Z
@PeaceChinyere-nj5fz,Oh my God I love daycare Felix is my boyfriend,0,2025-04-20T21:46:04Z
@Svevalavilla_carina,Tra kins ❤❤❤,0,2025-04-20T16:36:39Z
@RabiaKara-k1p,Felix❤,0,2025-04-20T14:58:05Z
@infoalafolie9678,Wen i see this video i'm obbsses,0,2025-04-20T13:37:01Z
@StefaniaRamponi-vz2fc,Felix sei supeer bellissimo e bravo ❤❤❤,0,2025-04-20T08:55:41Z
@FannyaAlifaR,bang chan dan felix atau han,0,2025-04-20T00:42:47Z
@liamyvalentinachamorro4876,The 4 handsome men,0,2025-04-18T21:24:54Z
@AgustinaRodríguez-m9g,Felix te extraño mucho vamos vamos vamos vamos stray kids vamos vamos felix,1,2025-04-18T15:18:49Z
@SamiraEren-t3o,❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2025-04-18T14:45:14Z
@mistianderson3227,❤,0,2025-04-18T14:38:42Z
@Angelina-b5q1q,안녕 skz 사랑해 핀 좀 달아줄 수 있어?  ❤🥰🥹🥹,0,2025-04-18T12:59:52Z
@LeeJisu17,"By no means do I want to omit or speak ill of the guys' dancing, but I really like how Felix controls his body in dancing. But once again, I'm not saying that others don't dance well, I just really like the smoothness and control of Felix's body.😊😅❤",0,2025-04-18T10:35:31Z
@사자.7.1,اعشق الرقصه وصوتكم ولاغنية ولا غلطه😭😭🤏🏻.,1,2025-04-18T07:26:12Z
@CeciBracamonte,Really great,0,2025-04-18T03:30:42Z
@AngelinaIannarone-n9x,"Love you @StrayKids, you guys are amazing🤭🤭🤭🤭💜💜💜💜💜",0,2025-04-18T01:14:10Z
@XaviLopes-t5o,Felix pinta tanto o hair que vai ficar 👨🏻‍🦲👩🏻‍🦲,0,2025-04-16T22:21:51Z
@TabhtaG,"Omg  
.
　⠀🌸🌷🌸🌷🌸🌷🌸
　　　 🌸🌷🌸🌷🌸
　　　Λ🌷🌸🌷🌸🌷
　　 ( ˘ ᵕ ˘🌷🌸🌷
　　　ヽ つ＼　 ／
　　　 UU　/ 🎀 \",1,2025-04-16T17:25:43Z
@NiamaElmokhtari,Djud,0,2025-04-16T09:04:45Z
@AngelinaLopez-i9n,Iiiiiiiiiiii love Youuuuuuuuuuuuuu ❤❤❤❤❤❤❤,0,2025-04-16T01:46:17Z
@Ava-aussie,I still remember that one time when on skz member was dancing to lalala on stage and he was swinging his neck so hard I thought it was broke 😂😂,0,2025-04-16T00:27:50Z
@beatrizalmeid,Ótimos dançarinos 👏👏👏👏❤🎉🎉🎉🎉,0,2025-04-15T14:36:50Z
@lee_yoongbok,O gente sou brasileiro vey kkkk amo vcs vey de mais,0,2025-04-14T15:26:36Z
