author,text,likes,published_at
@NCTsmtown,"✨ '샤랄라 (SHALALA)' MV https://youtu.be/aO5DPf0vebc
🎧 'SHALALA' Album https://TAEYONG.lnk.to/SHALALA",267,2023-07-02T12:37:45Z
@ppp4617,이태민 렛츠고부터 마지막까지 물흐르듯 이어지는 흐름이 넘 좋음 ㅠㅠ,0,2025-03-30T16:16:10Z
@너의뒤에서-z4o,화면이 잼있어여,0,2025-02-17T07:16:13Z
@별해수-f4k,케미좋다 귀엽❤ 아 이태민 사랑해❤,0,2024-11-03T13:44:38Z
@plantcastle,태민 잘생겨따….미치겠네,0,2024-10-30T04:59:17Z
@Youngli07,샤랄라 노래 계속 생각나요!,0,2024-09-20T22:38:29Z
@lakeeshaarafat1544,Taemin's tiny hands,0,2024-09-19T11:15:23Z
@Youngli07,손 파닥파닥 귀엽다 ㅎㅎ 리듬타는거 너무 멋지네요!,0,2024-09-17T03:37:19Z
@yoonH05,귀여워 미치겠네 사랑둥이 이태민💛🩵,0,2024-08-27T16:52:22Z
@bunblebee7946,Tay Taemin đáng yêu quá thể đáng 😍,0,2024-05-04T18:00:21Z
@ofrim7523,태민이 미키미우스 신발 볼때마다 넘 귀여움ㅋㅋㅋㅋ,2,2024-04-13T13:54:41Z
@Jina-ml4dz,태용이 이번에 솔로곡 컴백할 때 또 챌린지 해줘요 태민아~~,1,2024-02-01T07:37:43Z
@Mi-gz6nm,태용아 잘한당..,0,2023-12-29T18:01:25Z
@지현서-w9c,탬 태용 폼 보소???????????ㄲㅑ+_+,1,2023-12-26T23:06:04Z
@しほ-h1m,テミンちゃんの靴かわいい！,1,2023-12-10T05:17:21Z
@nemonoclaims,Taemni's goofy shoes are so cute! Never gonna let him escape the Bratz Boyz accusations 🤣,0,2023-12-09T21:34:10Z
@error0281,TAEYONG OLMUSUM ASKINDAN,0,2023-12-01T12:05:31Z
@error0281,Yiym mi sizi he,0,2023-12-01T12:05:18Z
@rishita6115,My man is sexily adorable 😭 Taemin the king he slayed again,1,2023-11-27T14:12:39Z
@werghost6717,🩵🩵🩵💚💚💚❤❤❤,0,2023-11-24T23:11:47Z
@Rubytheegem,THOSE SHOES STOP 😧😧😧,0,2023-11-20T17:31:56Z
@栗岡礼子,テミンとテヨンカッコウいいです😂❤,1,2023-11-17T13:47:06Z
@horanghaegyu,THE CLOWN SHOES 😭,0,2023-11-15T11:34:23Z
@Paola_baez127,Amooooo😍😍😍😩😩😩🔥🔥🔥💚❤️,0,2023-10-25T06:26:05Z
@Yanchik_nail,"АААААААААААААА!!!!
ЛИ ТЭМИН И ТЭЁН  ❤❤❤❤❤",0,2023-10-12T20:18:42Z
@SilaMustapha,The shoe is beautiful,0,2023-10-01T01:18:08Z
@まきお-j9k,"推し2人のコラボたまらん❤
ずーっと観てられる😮😮
smtownありがとうございます🎉",1,2023-09-30T00:49:40Z
@Shree0410,When two bias wreakers meet you can't help obsessed with them 🤧💓🔥,2,2023-09-27T06:21:16Z
@soyoung840921,태민이 신발 짱구가 아빠 구두 신은 것 같넹🤭,1,2023-09-24T04:02:53Z
@lini3257,Mins shoes 😂😂,0,2023-09-23T07:43:04Z
@adamsmoberly,"Why are Taemin’s shoes so big. Like they look 3 sizes too big for his feet. Hope they don’t hurt, because they look heavy and he had pretty thin legs.",1,2023-09-14T18:47:52Z
@chriswho2010,Teamin Korean Katrina want purple decorations Katrina birthday,0,2023-09-12T01:22:06Z
@yaya_-praskobby,"One wrong step, he's dead💀💀",1,2023-09-07T23:17:03Z
@Joy-nw6xi,"태민 너무 충격적 귀여움이라 헛웃음나옴ㅜㅜ
손뼉 짝 하면서 배 펄럭 아 진짜 너무 아기같고 귀여움 ㅜㅜㅜㅜ",4,2023-09-06T14:24:26Z
@barton4180,태민님 테런같음ㅋㅋㅋㅋㅋㅋ,1,2023-09-03T03:34:53Z
@tuulireinsoo5508,Taemin adds groove to anything. I love it when he has fun and smiles like that,1,2023-09-02T11:15:59Z
@LeeSojeong,💓,0,2023-09-01T16:57:53Z
@byunlss,تيمينييي,0,2023-09-01T14:32:24Z
@whitneymouse,Taemin is so determined to do like…ALL of the challenges in those big ass shoes 😂,0,2023-09-01T02:48:11Z
@user-jz5xj7jk1q,태민 살랑살랑 웃으면서 추는거 진짜 미치겠다... 천사냐 사람이냐,5,2023-08-31T13:21:08Z
@parmida9113,Taeminieeeeeee,0,2023-08-30T12:51:31Z
@Judy-zr6eu,Love them both.  First time I've seen Tae Min dance in this style.  Taeyong has great rhythmicality in this choreo.,0,2023-08-29T20:29:47Z
@imscenery,"I don't know if he wasn't feeling well, injured, the huge shoes, or if it just wasn't his preferred style, but this is the first time I have seen Taemin not straight crush a piece of choreo.",0,2023-08-27T20:54:34Z
@아이돌에미친사람-e8u,어? 슈퍼엠 기대 해도돼?,0,2023-08-27T07:24:20Z
@djjkhsnejje,태민은 어디서 저런 반바지에 목티를 입고와가지고 넘 귀여운거 아님 ? ㅎㅎ,4,2023-08-24T15:12:25Z
@leeknow_ptrw,TaeTae😂😅,0,2023-08-22T16:45:57Z
@ba6v6,이 쇼츠 그만 보는 법 좀.. 몇번을 보러오는지,3,2023-08-22T13:50:19Z
@yvesociety,te amo taemin mas que sapato pheio mds,0,2023-08-20T18:32:15Z
@jolyne12,เป็นตะมุตะมิแท้ล่ะ 😍,0,2023-08-20T14:20:42Z
@jamiefooddreamer6381,Those shoes be looking Goofy Teamim !,1,2023-08-18T17:15:03Z
@ieueiaow,💎💎💎💎💎🧀,0,2023-08-17T12:30:56Z
@animemangaluv13,BIG BROTHER AND LITTLE BROTHER,0,2023-08-17T00:35:18Z
@carmela9667,Los zapatos son de Payaso😊,0,2023-08-15T21:48:29Z
@ManukSapi,"Coba nanyain ini live, pasti tidak bisa, alias lypsing.. karakter korea singer 😂😂😂",0,2023-08-15T00:35:03Z
@Mar6v6,Double T 🔥🔥,0,2023-08-13T13:29:34Z
@OLISXLO,taemin got those mickey mouse stompers,0,2023-08-12T18:56:35Z
@adriennek6759,Taeyong x Taemin is fire! when can we have a duo song from them,1,2023-08-12T13:17:47Z
@anastasia_onecall,Тэмин тэмин тэмин омг я в шоке,1,2023-08-11T21:45:32Z
@rksfip,💚NCT & SHINee💙,1,2023-08-10T19:59:53Z
@nkatekolorrainengobeni483,I love the platform of Taemin's shoes,0,2023-08-09T07:36:13Z
@seulgi_alltheway8261,Taemin what are those shoe's...,1,2023-08-08T05:52:42Z
@kkurlio_,"oh my lord , the first thing i noticed was them shoes
I thought since it was late and i didn’t have my glasses on but i put my glasses on and it didn’t change…
if i was wearing them shoes , i would’ve ended up looking like Voldemort by the end of the day
Hell , i can’t even walk properly without anything on my feet",0,2023-08-04T05:00:24Z
@user-po8gw1pz9t,중고나라 사기쳐도 빨아주네,0,2023-08-03T23:43:25Z
@mayrasabinamedinavalencia,Demasiado lindooooos❤❤❤,0,2023-08-03T02:17:21Z
@sf9_mamma,Super M boys slay,0,2023-08-03T00:50:13Z
@Shineefansince2009,Taemin King of Kpop!,0,2023-08-01T19:56:16Z
@bubblysoda8149,I really want a SuperM comeback,0,2023-07-30T01:19:26Z
@lisnesibarani2818,Taemin so sexy and very sweet♡♡,1,2023-07-27T13:16:34Z
@hongtuoicao4164,Love,0,2023-07-27T12:19:06Z
@khesia5162,ISTG THEY ALL AMKE THIS CHOREO SO FUN TO WATCH AND DO,1,2023-07-26T21:13:49Z
@슈비루슈비루,아 귀여운 잔망쟁이 ㅠㅠ,0,2023-07-26T17:40:09Z
@kezuko0,Вот это бархатные тяги😮,0,2023-07-26T01:07:50Z
