author,text,likes,published_at
@koojawook0,중앙 누구시지 했는데 이름 익숙해서 프듀48 나왔었나? 했는데 맞군요! 루머!!!!!,0,2025-04-22T14:04:21Z
@Delilah-v2e,We’re chaewon and sakura at they need to see there past member 😂❤❤❤,1,2025-04-22T01:51:36Z
@l_cn1,이시안 미쳤나ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2025-04-21T15:57:52Z
@kissesandhugs4evaa,THE CROSSOVER I DIDN'T KNOW I NEEDEDDDD,0,2025-04-21T13:07:34Z
@ROMMELARTUROZEGARRAMAMANI,🦊SIAN,0,2025-04-20T22:37:18Z
@Freddy-xu9vt,Squid game 😮,1,2025-04-20T14:33:05Z
@johanaamayarincon1154,Me encanta esta cancion❤❤❤ es la mejor del album,0,2025-04-20T02:48:51Z
@leeBruce-n9f,와 엉덩이 탄력이 느껴진다,0,2025-04-20T00:01:39Z
@あああああああああ-f1u,ユリちゃんきたーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷,1,2025-04-19T23:30:41Z
@ZhuldyzTemirbekova,HELP I MISREAD THE LEESIAN HASHTAG HAD TO DOUBLE-CHECK LMAO,1,2025-04-19T15:50:47Z
@행복이-l7v,세상 청순하게 예뻐가지고……😂,0,2025-04-19T06:41:11Z
@김삡비_070,쪼율 너무 이쁘다ㅠㅠㅠ❤❤❤,2,2025-04-18T18:32:11Z
@chohoony,이시안 이쁘다 근데 그 옆에 조유리는 ❤❤❤❤대박,0,2025-04-18T15:26:16Z
@사람-l4i4x,프듀 48시리즈 출연자들 자체가 다들 대단하신듯 ㅠㅠㅠ,0,2025-04-18T10:13:16Z
@AnamTwice,Player 222 is with me sserafim of squid game,2,2025-04-18T09:32:51Z
@FAN_JESOO,lesserafim🎀222,1,2025-04-18T08:05:48Z
@d3fkoo,HUBIERA SIDO GENIAL JO YURI CON CHAEWON 😭😭💗💗,0,2025-04-18T03:29:19Z
@nana-zv1yc,一番右の子って誰ですか？めちゃ可愛い,1,2025-04-17T13:31:03Z
@kuk6364,윤진🧡🧡🧡🧡🧡🧡,0,2025-04-17T08:08:33Z
@Pandapold,"Seeing a short from Lesserafim_official, make thump up and than watch it twice.",0,2025-04-16T14:55:02Z
@성현박-n7d,마지막에 엉덩이 흔들때 박자가 맞는것 같기도?❤❤❤😂😂😂,20,2025-04-16T14:08:56Z
@Woniexq_,WHY DOES THIS LOOK LIKE AI HAHAHA,0,2025-04-16T06:10:06Z
@MaryamHassan-f3y,WHY DOES SHE LOOK LIKE PLAYER 222 FROM SQUID GAME HELLPPPPP,1,2025-04-16T04:13:12Z
@AddieMaeDACILLO,Is she the girl from Squid Game?,2,2025-04-16T02:23:08Z
@박인혁-c4t,솔로지옥에서 그르케 조신하게 등장하던 장면이 눈에 선한데….😂😂😂,0,2025-04-15T23:39:02Z
@serenity_5.19,윤진 보고 민니인줄,1,2025-04-15T21:53:09Z
@핸섬부-e2s,연예인이 아닌 자의 권위.. 이미지 생각하며 조신할 필요가 없다..,0,2025-04-15T15:05:48Z
@나그네-g7i,닭한마 닭한마 닭한마리만~,0,2025-04-15T10:52:34Z
@파란시민,가운데 여자분 누구??,0,2025-04-15T10:35:50Z
@미니미니m2m2,"ㅋㅋㅋ 유쾌하네ㅋㅋ
친구하고싶음😺  ㅋㅋ난리나겠다",0,2025-04-15T08:29:38Z
@히히-p6b1o,와 허윤진 ㅈㄴ 예쁘네 ㅋㅋㅋ,0,2025-04-15T04:06:34Z
@리코일건,다르긴하네요,0,2025-04-15T02:10:25Z
@BlancaSotoParra,222!!OMG ❤❤❤🎉😊,1,2025-04-14T18:49:46Z
@RaselParvez-rt8ln,222+Joyui+jun-hee,1,2025-04-14T15:46:31Z
@김희영-z7e,마지막에 어디가세욬ㅋㅋㅋㅋ평범한은 거부한다!!,0,2025-04-13T15:50:18Z
@User-42d31ty3agh,뭔가 이시안 대단한게 그때 같이하던 연생들 싹 다 데뷔하고 자기는 못해서 열등감이나 그런거로 정말 연 끊어버리고 안보고싶을 수 있는데 사이 잘 유지하고 있던거도 참 대단하고 그릇이 큰 사람같음 나같음 우울해서 그렇게 못했을거같음.. 앞으로 더 더 잘 풀리길♡,1805,2025-04-13T12:38:02Z
@Nunyabby,We need a Yuri Yunjin collab,1,2025-04-12T06:19:51Z
@Jinnie-o8u,모야ㅜㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2025-04-12T05:06:07Z
@藤島裕輔-o6u,ユリさん、イカゲーム撮影お疲れ様です。☺,5,2025-04-12T00:31:38Z
@qonita_hanifa,Jo-yuri soo cute ❤❤,2,2025-04-11T22:35:45Z
@user-gj2zz1px6w,진짜 하나같이 ㅁ.....,1,2025-04-11T21:45:21Z
@senslee4949,내꺼,0,2025-04-11T15:37:32Z
@WzJstMe,확실히 프듀48은 레전설프로그램이야,0,2025-04-11T14:57:53Z
@almagoxha5839,OMG JO YURI WITH YUNJIN! I WANTED THEM TOGETHER SO MUCH!😍💖🎀,2,2025-04-11T14:44:49Z
@督狂热基,あなたたちはAV女優になってください。 sdde719シリーズの透明な人など、より多くの字幕を提供してくれてありがとう,0,2025-04-10T18:51:01Z
@젤리킹-p8c,시안 하는짓은 여전하구먼,0,2025-04-10T02:11:43Z
@pink07-s9w,이시안님.. 요즘 인기 많은데 변하지 않고 프듀때 깨발랄 모습 그대로라 더 호감이네요~ 😊,239,2025-04-09T13:38:26Z
@L-Love-tm3jh,Lee sian can both elegant and crazy 😂😂😂😂😂,2,2025-04-09T12:56:59Z
@rindoor07,와 조율..💙💙💙,1,2025-04-09T11:55:28Z
@lovelyyyy2984,시안 까불고 푼수떠는거 프듀때도 입 귀에걸리고 봤는데 여전하고 넘나 러블리하다❤,0,2025-04-09T05:28:15Z
@Amna_20-10,Omg I can’t wait for squid game season 3,0,2025-04-09T00:46:16Z
@haileynguyen8214,I was like why does that girl look like Jo yuri and I looked at the title ❤,1,2025-04-08T23:01:06Z
@ed3245,Sian chaotic energy,0,2025-04-08T20:51:18Z
@Fmr350,The dump I just took weighs more than these 3 guys/girls put together!,0,2025-04-08T16:25:17Z
@scottie99100,"YES JO YURI 
❤❤❤❤❤one of my favourite K-pop idols",9,2025-04-08T15:54:21Z
@himynameismindoong,지금 하는 일도 잘 맞는다니 다행이지만 이 끼를 어떻게 숨기고 사느냔 말이야 😂😂,1,2025-04-08T14:11:01Z
