author,text,likes,published_at
@Евгений-ф1ш,90-е вернулись?,0,2025-04-15T16:23:05Z
@쵸메롱하고튀어,여신이다..,4,2025-04-15T02:01:54Z
@jslee377,얜 진짜 뭐 이렇게 이쁘냐😂😂😂,12,2025-04-05T14:14:50Z
@Nessaa_sunghn,"She is so beautiful, talented, kind, and polite that is why no one person can make me hate karina ❤.. I LOVE KARINA",12,2025-04-04T02:12:35Z
@EfgvrgteP,She is so gorgeous❤❤❤❤,3,2025-03-30T18:10:25Z
@이덕재-e3v,"보❤❤❤❤❤ 고싶다  ,,,
사랑  사랑 사랑 하고싶어",0,2025-03-30T11:21:46Z
@RiYeon413,카리나❤,3,2025-03-30T10:15:31Z
@김미영-f3f8c,나도 저런 첫사랑 만나고 싶다,11,2025-03-29T04:52:52Z
@JoeyTejada-c8j,I heart you Karina🥰🫶♥️,4,2025-03-28T23:00:38Z
@kindaachour,😂❤❤❤,0,2025-03-27T05:01:16Z
@AxelleEloy,I love Karina 🥥🥥🥥🥥🌴,2,2025-03-26T09:16:18Z
@SofiaBoombayah,Baddie,0,2025-03-25T16:06:21Z
@youngk7260,근데. 무슨 케익 좋아함?,0,2025-03-25T12:04:59Z
@TV-qe8tm,와..카리나 너무 예쁘다❤,0,2025-03-25T08:34:43Z
@vaci_a-5150,😁📲👍,0,2025-03-25T05:22:34Z
@In.New.York.I.Milly.Rock.,絶対領域,0,2025-03-23T09:17:33Z
@THANOSV2,Such popping moves amazing! 🎉,7,2025-03-22T14:45:38Z
@Dily.Angell,Such delicate moves 💅🏻,7,2025-03-22T12:33:18Z
@hoonhrt,YAYYYYY,0,2025-03-22T00:49:59Z
@Maku_The_Pretzel,Love the outfit :)❤,0,2025-03-21T19:18:45Z
@nikecui1322,❤❤❤🇵🇭,0,2025-03-20T04:29:22Z
@正論てぃーー,どれくらい整形代かかってるんかな,0,2025-03-17T16:19:08Z
@Boong-y3g,헐...진짜 예뻐...,2,2025-03-16T14:58:34Z
@平野秀三,カリナちゃん.....可愛すぎだよ！！😾😻,0,2025-03-16T01:28:44Z
@no_a1203,かわいすぎる😍😍😍😍,1,2025-03-14T13:25:10Z
@우간다맨,왤케 뻣뻣해보이시,0,2025-03-13T23:04:37Z
@할멈_기여버,베레모 카리나 미첬눈데에!!?,0,2025-03-12T23:26:53Z
@김민-l3z,인간이아니야..,0,2025-03-11T12:00:39Z
@華城琥珀,カリナがちで可愛い,0,2025-03-09T03:12:35Z
@Xogfuuccu,f(x).....,0,2025-03-08T00:02:06Z
@박주연-y7n7x,사랑한다 리나야...,5,2025-03-07T06:11:28Z
@paisal-b9u,🌹🌹,1,2025-03-06T23:26:40Z
@recuperorecuperar,Karina muy biem.,0,2025-03-06T08:42:11Z
@윤박카스,와 피부..,1,2025-03-04T15:55:59Z
@김동욱-q8n,카리나 미모야 멈춰ㅓㅓㅓ,1,2025-03-04T08:24:39Z
@뚱인데냐,나의 진짜 첫사랑 이였지...,47,2025-03-03T22:22:53Z
@karina_bluu,1M❤🎉,2,2025-03-03T00:53:29Z
@mikedaniels2368,"Is your dancing supposed to do something? Magical?  Phenomenal? Well, it's not working...😂😂😂",0,2025-03-02T23:43:13Z
@gisellexbesttt,KariNa işte yorumları doldurmak için geldim,0,2025-02-28T23:59:39Z
