author,text,likes,published_at
@nuraalola6320,❤❤❤❤❤,0,2025-04-16T23:32:55Z
@RoseMyth,Wonwoo bro impressed as a Chinese but the others did amazing too,0,2025-04-10T20:06:26Z
@Lili_Maybe,Pleaaase put this back on spotify!!,0,2025-04-09T12:33:32Z
@Dayday_mi,好好聽,0,2025-04-08T22:02:22Z
@DhlMaq1971,i almost forgot this one exist,0,2025-04-03T18:17:52Z
@Sandy-x3i9n,Just Svt telling us they are our home in different languages,0,2025-04-01T17:43:39Z
@EstayEEE,"Why do they all sound so fluent, even tho I lived in hk for 13 years they sound more fluent than me bro",0,2025-03-27T11:20:21Z
@Nana_zi_ra,Клип бар екенин не знала,0,2025-02-26T21:38:19Z
@Nana_zi_ra,Емаааа,0,2025-02-26T21:38:03Z
@2hello_world,Minghao’s and Jun’s voices sound so beautiful in their mother tongue,0,2025-02-23T05:30:01Z
@jlmrnl,"filler, lezgaur 3.9M!!!",0,2025-02-01T16:39:54Z
@meimeiwang548,"You are worth it of our support Wen Junhui of Seventeen even if you are an Actor or an Artist you have our support l, Seventeen Members and Carats is always here for you. Can’t wait to watch you on screen again. Fighting!!!🎉🎉🎉❤❤❤",0,2025-01-13T07:03:59Z
@mingowoox,"No importa en que idioma este, Home se siempre se escuchará hermosa, me encanta esta canción, cura mi alma ☹️💗",0,2025-01-06T00:02:20Z
@always_carats,"发音怎么样都好, 谢谢你们用中文唱这首歌❤",0,2025-01-05T04:46:24Z
@chubbycheek1872,"Wow, Woozi's voice in Chinese is so beautiful. What's this guy can't do? He's amazing in everything he does.",0,2024-12-24T03:43:47Z
@고하나-d5y,😊❤,0,2024-12-14T17:47:20Z
@v4mpxll17,amo esta versión ❤,0,2024-12-11T00:09:46Z
@kh-ly5ur,ウォヌに我的爱って言わせてるの天才,0,2024-11-28T23:33:01Z
@soundofconi,Amazing ❤,0,2024-11-22T16:54:55Z
@古蕙絨,帥死我了😢❤,0,2024-11-02T11:52:26Z
@古蕙絨,嗚嗚dkdk感動❤❤❤,0,2024-11-02T11:51:50Z
@croosita17,the is MV is so pretty ❤,0,2024-11-01T22:27:53Z
@minib_iya,"at this point, i felt at home.",1,2024-10-25T14:44:00Z
@sersjww,liuxialai wo de ai syy,0,2024-10-20T15:59:38Z
@sersjww,You are my home syy,0,2024-10-13T13:40:07Z
@xyz_svt,746,0,2024-09-27T16:42:04Z
@洪家家-t3f,寛說得好標準啊,0,2024-08-21T11:55:00Z
@Veshremyfan-g7x,1:13,1,2024-08-14T13:31:00Z
@estheryawawi947,New carat here enjoying my fav song❤,2,2024-07-28T06:32:41Z
@wow-ve6pb,"Wow this was translated beautifully, it's not awkward to listen in Chinese at all, The language suits Home melody a lot",3,2024-07-22T15:17:56Z
@Y晴天-h5k,為何hoshi的歌聲有種環繞感😂😂❤,1,2024-07-09T05:45:09Z
@jlmrnl,"filler, lezgaur 3.8M!!!",1,2024-07-05T12:49:51Z
@Y晴天-h5k,彷彿聽懂了😂😂又好像沒有😂,1,2024-06-27T14:23:01Z
@Ross10969,Estoy tan acostumbrada a la versión japonesa q está se me hizo rara😅😊,0,2024-06-27T13:07:14Z
@sersjww,You are my home syy,0,2024-06-25T13:14:43Z
@Crmn17carat_elf,"歌词戳中我的心啊…
年初结束了快9年的感情 遇见出道快9年的SEVENTEEN 
算是一种治愈吧",1,2024-06-19T13:36:58Z
@sersjww,Love you #Seventeen and syy,0,2024-05-30T16:46:58Z
@sersjww,You are my home #Seventeen,0,2024-05-26T14:07:37Z
@lory8355,"谢谢 SVT，你们很棒 👍🏻
加油 🙏🏻✨️",1,2024-05-25T17:23:57Z
@hhaappy2332,It sounds very well that Wonwoo & Hao sing in Chinese.,0,2024-05-22T15:59:31Z
@sersjww,You are my home #Seventeen,0,2024-05-15T14:09:43Z
@sersjww,"buyao likai, liuxialao wo de ai",0,2024-05-11T15:58:32Z
@Lyn_1119,Woooow they can speak Chinese toooo,0,2024-05-07T15:52:18Z
@kay7080,It hits different when you can understand through your ears 😭😭😭,2,2024-05-03T03:44:30Z
@7teensvtt,열일곱 나의 집이자 나의 세계 너희들이 없는 내 삶은 상상할 수 없어,0,2024-05-01T00:58:50Z
@mbebembembebeembebebe,Slay Kings,1,2024-04-30T10:49:12Z
@azaliaispusinova292,Шикарно 💔,2,2024-04-25T08:28:30Z
@woooo7118,"I swear, Woozi, Wonwoo, and Hoshi's pronunciation is so good",1,2024-04-25T06:19:13Z
@woooo7118,omg 你们太棒了！！作为中国粉丝 真的太感动了,0,2024-04-25T06:15:35Z
@sersjww,Home,0,2024-04-24T01:55:09Z
