author,text,likes,published_at
@유미-i6h123,르세라핌🎉즈하❤,0,2025-04-17T19:42:38Z
@瀬戸るり子,ルセラ最高ルセラ最高ルセラ最高❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😂😂😂😂😮負けるなぁ❤️❤❤❤❤❤,0,2025-01-06T21:42:20Z
@maishaTabbassum-s7g,WE LOVE U LE SSERAFIM . BEST K POP GIRL GROUP IS LE SSERAFIM.,5,2024-12-19T08:02:12Z
@Samdung2,9:05 귀여웡,0,2024-12-13T16:23:54Z
@matheusemilio1211,"Apple of the Eye""

In the world of K-pop, there are many stars, But one shines brightest, in your eyes. Le Sserafim, the apple of the eye, His light illuminates the path.

With every song, every dance, Your heart beats hard, no chance. Other groups may try, But Le Sserafim is your true love. Huh yunjin, Sakura, Kazuha, Kim Chae-won and Hong Eun-chae, Five stars that shine together, in perfection. With harmony and love, They conquer your heart.

You are a true fan, With unconditional love, without fear. Le Sserafim is your passion, Your apple of the eye, forever.",0,2024-11-25T23:21:48Z
@le_sserafimmies,7:15 Star Diary of the Shinez,1,2024-11-22T01:39:10Z
@le_sserafimmies,proud of you fimmies💙,0,2024-11-22T01:30:27Z
@le_sserafimmies,I'm here🥰❤️,0,2024-11-22T01:30:06Z
@ウニョン-q4u,ガチで、！ルセラフィムおし❤,0,2024-11-17T10:28:43Z
@mr_mr_happy,르세라핌 CRAZY 活動お疲れ様🥹❤️,0,2024-11-12T09:30:30Z
@angeluvvy,"this era is when i became a fan so i always remember it fondly, thank you for working so hard 🥰",1,2024-11-10T13:46:29Z
@Blossom-o5c,르세라핌 사랑해!,0,2024-11-07T16:01:16Z
@nolifeking_21,14:23 this is satisfying lol editor 😂,0,2024-11-06T05:32:19Z
@gopon_chandra,❤❤❤❤❤,0,2024-11-04T18:39:01Z
@Aablunot,Sisterzzzz are literally the cutest sisters 💕💕,2,2024-10-30T21:52:29Z
@Salva467,❤❤❤❤,1,2024-10-29T05:28:34Z
@Imfearless-v7l,8:58 왠지 성이 잔뜩 난 김아치님 ㅋㅋ,0,2024-10-29T00:16:12Z
@Imfearless-v7l,레전드 짤들이 너무 많은데 ㅋㅋ 르세라핌 최고,2,2024-10-29T00:15:24Z
@gidle-0403,ウンチェmcお疲れ様！,3,2024-10-27T09:02:20Z
@gidle-0403,シャインズスター日記みたい！,2,2024-10-27T08:56:02Z
@yt0928020210,8:59💗💗,1,2024-10-27T05:35:40Z
@Tqn1shaaa.x,I have this sort of attachment with this group that I can’t let go of & literally their my entire personality.,3,2024-10-26T20:25:10Z
@리디아-o2m,❤❤❤❤❤❤,0,2024-10-26T12:53:50Z
@hihohahi,❤,0,2024-10-26T10:47:01Z
@bons123ilu,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2024-10-26T04:44:28Z
@mariceliiturria9311,Awww they are so genuine 🩷✨ Guys let's put all our efforts in MTV EMAs 🔥🔥 Let's go FEARNOT 🩵🩵🩵 We have to support our fimmiesss 🩷🐢🐱🐰🪼🐆🩷,4,2024-10-24T17:52:47Z
@Qkrvnfms-b8x,또 봐도 좋은 르세라핌,3,2024-10-24T03:00:11Z
@JustinusEduard,I love❤ you,2,2024-10-23T13:51:23Z
@IliIlIiillililiiililiil,예쁜애가 5명 ❤❤,2,2024-10-23T09:30:08Z
@삐약-y9d,진짜 다 너무너무 예쁘다,2,2024-10-23T09:04:47Z
@Kevin-Brownie,9:00 불량 채원 졸귀 ㅋㅋ,2,2024-10-23T06:57:41Z
@tonyjung2644,"Poor Eunchae, she’s growing up too fast.",1,2024-10-23T05:44:13Z
@tonyjung2644,Chaewon is Iconic…,3,2024-10-23T05:41:33Z
@벌꿀오소리93,시작부터 허윤진 흑발 정신 나갈 것 같네 진짜,1,2024-10-23T02:11:27Z
@Nana3Nanae33,I love you ❤️❤️❤️❤️❤️,0,2024-10-22T21:40:52Z
@Jake_enha-w2v,Always be happy like this❤,1,2024-10-22T16:21:49Z
@Bunny16383,in the back round well they were getting ready they were listinging to debut by katseye at 15:01,0,2024-10-22T15:27:17Z
@Universe_99999,"Great job LE SSERAFIM , I love you girls so much ❤❤❤❤❤",2,2024-10-22T15:24:50Z
@ONYX-h3h,We appreciate the hard work ! We'll be always by y'all side ❤,1,2024-10-22T13:14:57Z
@faradilamaris783,"Le Sserafim is beautiful enchanting💖
Sakura🌸🐈 Chaewon🐯🐆
 Yunjin🐶🐍 Kazuha🧝🏻‍♀️🦢 
Eunchae🐥🍒",3,2024-10-22T11:22:49Z
@DanielBellon108,⚡️😻🖤💛,0,2024-10-22T09:04:14Z
@DanielBellon108,내가 할 일은 채찍질이야,0,2024-10-22T08:48:52Z
@manomyth11,🤟👍,0,2024-10-22T05:41:42Z
@user-yc5vs8nv3n,우리 이쁜이들 봐도봐도안질려,0,2024-10-22T05:08:01Z
@hwansangcw,8:59 와…,0,2024-10-22T03:11:54Z
@shaybribri,I love that they were listening to Katseye in the dressing room,2,2024-10-22T00:54:11Z
@majinxchugaming,So glad crazy promotions went great seeing my gimmes happy just fills me with so much joy❤,0,2024-10-21T20:37:09Z
@armystudio05,16:03 what are they doing 😅,0,2024-10-21T15:35:14Z
@Cherrona_1226,7:01  MAMAS 파니니 먹은거야~? 🥰💙💙💙💙💙,0,2024-10-21T15:17:30Z
@francessainte-x9g,6:15 Shinez Star diary😭,0,2024-10-21T14:37:45Z
@김도돌-r8b,14:26 꾸라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 강아지를 되게 특이하게 만진다 강아지를 만들어내고 있는 거 같아,0,2024-10-21T13:31:43Z
@جومان.ه,The red colors are very beautiful on her. She is elegant. I love the one who wears the red color❤🎀💖💗,2,2024-10-21T12:13:09Z
@جومان.ه,"انهم فتيات جميلات حقا انا احبهم بي معنى الكلمه💗💖🎀😭
They are really beautiful girls I love them in every sense of the word💖💗🎀😭",1,2024-10-21T12:11:30Z
@user-m649,ユンジンさんへ誠心誠意です。韓国にてルセラフィムと歌手として一生懸命に活動と頑張ってますユンジンさんを初めアメリカで過ごされます一番に大切な御家族様に対し日々いつも健康で優しく大事に過ごせます様に。ユンジンさんI LoveYou📲🇰🇷・⌒■⌒(前田和昭),0,2024-10-21T10:50:19Z
@gillianp1,Would love to see more authentic vlogs. Feel our girls always in that room. Please let them outside,0,2024-10-21T10:33:39Z
@そらそら-o6r,最初のエピソード怖すぎ😂,0,2024-10-21T08:52:47Z
@d-hollman72,이제 신발 도도독 기다리는중,1,2024-10-21T08:28:04Z
@lyilanggra,kazuha always the funniest 😂,0,2024-10-21T07:09:31Z
@jayk4985,Hi LS,0,2024-10-21T07:07:32Z
@jayk4985,Hi,0,2024-10-21T07:06:38Z
@jayk4985,Hi LS超級可愛🥰,0,2024-10-21T07:03:41Z
@hanjeee,🖤🤍,0,2024-10-21T06:27:29Z
@gnvtwhp1218,LE SSERAFIM ❤❤❤❤❤,0,2024-10-21T05:12:44Z
@ainhoasalinassanchez3259,"LE SSERAFIM Y FEARNOT FOREVER!
🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜",0,2024-10-21T04:57:03Z
@user-m649,ルセラフィム皆様へ。韓国も肌寒とても厳しい思います。体調管理は四季模様を問わず真剣に大変だと思いますけど御体を優しく気をつけてくださいね。ルセラフィムFight🇰🇷🍁・∟＞〇＜追伸文→ユンジンさんカバー曲での歌声とてもハスキー綺麗です。ユンジンさんマイペース負けないでくださいね。凄く恥ずかしいですが大好きです＼(^o^)／,1,2024-10-21T03:55:56Z
@bighitbestie1198,"lesserafim hair style, outfit, make up, until their nails always extra and perfectly fiit with their personality! kudos to the lesserafim team💘",1,2024-10-21T03:36:43Z
@YTpsychMyths2,I’m still obsessed with Eunchae’s haircut. I love you Fimmies! Great work. Xo,1,2024-10-21T02:49:51Z
@blinkmonৎ,I LIME TO DANCE WHEN I PARTY,0,2024-10-21T02:44:25Z
@jenniferizmother,12:11 OH MYKJSAD HAHSDJKDSA,0,2024-10-21T01:21:11Z
@gangstergirl4255,😍😍,0,2024-10-21T00:44:18Z
@truebluediamond,항상 새로워 항상 짜릿해,0,2024-10-21T00:27:55Z
@WixkJan,Chaewon looks so great in blue,0,2024-10-21T00:20:30Z
@Mr_Zank,we love Le sserafim❤❤❤❤,0,2024-10-21T00:14:56Z
@skaa3936,11:24 사과해요 나한테 ㅋㅋㅋㅋㅋ,1,2024-10-21T00:08:46Z
@swerleybird,2:13 Iconic,0,2024-10-21T00:06:13Z
@j_k_rz,9:25 Sakura is an Otaku Cutie!! 🥰🥰😍😍,0,2024-10-20T23:40:26Z
@LebronBPFIM,我是台灣的出道粉 現在也是持續支持 但是公司這種幕後花絮真的可以不用放這麼多 如果要放時間控制在10分鐘就好 粉絲其實對這些幕後花絮沒有這麼感興趣  不用什麼花絮都要剪出來 真的很無聊🥱,0,2024-10-20T23:19:52Z
@oxymore4190,"OMG  @2.40  Eunchae's hairstyle is sublime, it suits her so well ",0,2024-10-20T23:16:30Z
@hazelcavalida2803,Asombrosa 💙💙💙,0,2024-10-20T23:09:08Z
@taezuha,Kazuha 🫶🏻🫶🏻,0,2024-10-20T23:03:22Z
@jayk4985,Hi LS好美😍,0,2024-10-20T22:01:59Z
@burgerchompWatch,That lipbite at 12:11 got me melting Yunjin!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0,2024-10-20T22:00:25Z
@elmasperronaqui6551,"Hermosísimas como siempre mis 5 Reinas, mis 5 Diosas.. se lucieron una vez mas como siempre.. :'3 FUE LA MEJOR PROMOCIOON¡¡ Saludos Fearnots desde Nicaraguaa HAGAN STREAAM en Yt y Spotify",1,2024-10-20T21:52:50Z
@elmasperronaqui6551,"FEARNOTs, let's STREAM CRAZY, remember this isn't over yet, and it's the 9th week, let's reach 90M views with Crazy on Youtube and let's STREAM the Mini Album on Spotify - Greetings from Nicaragua :D",3,2024-10-20T21:51:25Z
@Laughterdose4750,❤❤❤❤❤❤❤❤❤❤❤,0,2024-10-20T21:33:36Z
@Laughterdose4750,❤❤❤❤❤❤❤we love you,0,2024-10-20T21:33:23Z
@Laughterdose4750,❤❤❤❤❤lesserafim are best.take care of yourself 😂❤❤,1,2024-10-20T21:33:06Z
@banny95ilu,Stylist done great job❤❤❤,1,2024-10-20T21:26:44Z
@banny95ilu,We always support you lesserafim ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,6,2024-10-20T21:19:45Z
@Shixoamemphis677,Fernot wants to see you in Amsterdam,2,2024-10-20T21:19:33Z
