video_id,comment_id,author,author_channel_id,text,like_count,published_at,parent_id,reply_count
CZEId5C3tSM,UgwOzB6qJBmFHG5Pduh4AaABAg,@예린-j2l,UCikvp3TfHqY_ga92m5JhZmA,헤어지말장,0,2025-01-11T06:17:25Z,,0
CZEId5C3tSM,UgwrG-zNtIIO-WdBg0p4AaABAg,@최영주-e7o,UCOtr3945yq92nYUGReVCMdw,아뉘 그 잘생김이 가득묻은 얼굴로 누가 헤어지겠니...,0,2025-01-08T01:25:18Z,,0
CZEId5C3tSM,Ugz2505pOZ-GV3yD0eJ4AaABAg,@RaneemHols,UCT3KyCjglEhMJ8IxkBY0vdA,‏كأنه يقولخيير تصوررر موصح 😅,0,2024-12-31T18:24:22Z,,0
CZEId5C3tSM,UgxKUYQ35rePGGgdg4J4AaABAg,@Maayee3896,UC3NXBy0nuNa4ItLfnwmgoog,Mingyu giggling 🤭,0,2024-12-29T18:03:28Z,,0
CZEId5C3tSM,UgyqgafSavad8vkx3BF4AaABAg,@유진-n5t1k,UCcVwUNb_J7mYRoCEyhZy-NA,이 와중에 피부 모찌모찌한게 왜케 예쁨ㅠㅠ,0,2024-12-22T04:04:59Z,,0
CZEId5C3tSM,Ugyag8o6mi5CMob2vdZ4AaABAg,@LeeLina-k7p,UCtcYcOpecen-eVjoCGAK5NA,😂😂😂😂,0,2024-12-19T07:08:52Z,,0
CZEId5C3tSM,UgzM8nj4IZ796cSa1Bd4AaABAg,@귤-0116,UCe7c-MCHbRRo9tTvnIbhjvA,헤어지자고한사람 누구야 나와,0,2024-12-14T13:11:23Z,,0
CZEId5C3tSM,Ugy6k3lgembK_lXHI014AaABAg,@Tx_btsevmgic,UChYdXazy8FYOWZIgta14Rqg,Se moria de risa JAJA,0,2024-12-12T04:00:15Z,,0
CZEId5C3tSM,UgxijKApiV9g1KbF3vN4AaABAg,@delinFang-x9i,UCT5mENxLoeYcxG9-KlvF5ug,kkkkkkkkkk❤,0,2024-11-26T14:42:23Z,,0
CZEId5C3tSM,UgyApPIshHPEHCStDPV4AaABAg,@캐럿_SEVENTEEN_svt,UC5wDPycS5aL2VlA4smOFc5Q,ㅋㅋㅋ너무귀여워~ㅋㅋ,1,2024-11-26T13:16:46Z,,0
CZEId5C3tSM,UgxeuKJvFlOuxQ9hOjB4AaABAg,@sharonchang-p1c,UCDlBpiZBsXmhyKrGzzXu3zA,미국ㅋㅋㅋ,0,2024-11-23T07:36:08Z,,0
CZEId5C3tSM,UgyCerTIybIEL8IJxE94AaABAg,@JashmineDadea,UCG1U6B-4g2t4OIERkA7A61Q,😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,2024-11-23T04:44:17Z,,0
CZEId5C3tSM,UgwbPa_6_LmTrvqYSAd4AaABAg,@p세련,UCSqNOnnC0kOHNlhjGmlXedg,❤안헤어져 절대 😊 항상건강챙기세요 ❤,1,2024-11-17T11:43:54Z,,0
CZEId5C3tSM,UgxxN3yJqNUgGK3E7W14AaABAg,@박준희-i3m,UC9Uhx4cAhmKY006Tm4wN9HA,헤어질거면 나 줘라 그냥,1,2024-11-17T08:04:52Z,,0
CZEId5C3tSM,UgwE44tgaYTuKhTu3Fx4AaABAg,@양수햠,UCuutuZh2vJgfM93onGsqyjQ,헤어지린다고 ㅎ❤,1,2024-11-17T02:44:50Z,,0
CZEId5C3tSM,UgwQK-EvTkziOJ2tb1B4AaABAg,@덕질만3그룹,UCkecP9RTCMFc8F7eOI8osKw,이도겸 진짜 이럴거 같아서 개웃김 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2024-11-16T10:08:19Z,,0
CZEId5C3tSM,UgzvH6TwSmZ4XIHSKlF4AaABAg,@synthyou,UCytjvPZSoCdq6DWx3lr28GQ,김민규구나 찍어준게 웃음소리가 그냥,0,2024-11-16T09:41:10Z,,0
CZEId5C3tSM,Ugx6mdFqhWn70j6dPZ14AaABAg,@seventeen한솔,UCjLF8BPo3Bw5CqumkdgerAw,"남친이 도겸이면 헤어질수 있겠냐고,,,ㅠ",0,2024-11-16T05:55:20Z,,0
CZEId5C3tSM,UgwAdBevaQc7UdYKes14AaABAg,@hanyingya,UCQXf7_PL3RzEcv3wUd2myRw,hhhh cutie,0,2024-11-15T17:12:37Z,,0
CZEId5C3tSM,UgzOWy8PvPe5F7zoBtx4AaABAg,@youngyeong123,UCatMSBfAOI7uDDHQb0PPyfw,이 얼빵이 표정이 썸넬이라 말벌아저씨마냥 달려들어옴,0,2024-11-15T14:37:45Z,,0
CZEId5C3tSM,UgyOwN-BrGZjDBFc5yd4AaABAg,@giant.0810,UCK2LIkLCmy7FVgCcKEO5Lbg,석민아 내가 잘못했어 다시 사귀자,1,2024-11-15T12:34:01Z,,0
CZEId5C3tSM,Ugw8aqGWoNnYJEJKi8V4AaABAg,@투어스-사랑해-i7b,UCBypM_LzZ7Sz_pCUcRth6fw,와 진쨔 잘생겼다,0,2024-11-15T10:13:39Z,,0
CZEId5C3tSM,Ugx_PM8bVQVpY05p9Ad4AaABAg,@Jiyeonee,UCCfZnq5x3pK5Fds5hm_NpXw,내가 잠까 미쳤던거여. 안 헤어져. 못 헤어져. 안 놓아줄거야.,0,2024-11-15T08:07:57Z,,0
CZEId5C3tSM,UgzQiHu5sPc3qBv88zF4AaABAg,@honeyyinloverera,UC3h9-EGwUNphJ510OjBD5PQ,"Instead of ""but who are you"" dk said "" I'm in us now"" dieee",0,2024-11-15T06:10:20Z,,0
CZEId5C3tSM,UgyTaC1HTXuX_CIst5p4AaABAg,@min_s.2o,UC6KQ8gXhhgoKc50T9Q4rpLQ,아니. 헤어 지린다고,0,2024-11-14T12:20:55Z,,0
CZEId5C3tSM,UgwYTdB2Og15bpvW6lJ4AaABAg,@yerim0415,UCMTthxx5WiCMAS7tVeYXWjA,?누가 그래  헛소문이야 ㅎ 석민아(?),0,2024-11-14T11:43:56Z,,0
CZEId5C3tSM,UgyJh1luJ0m0EYAxesl4AaABAg,@songhan0222,UCpdh0_waFQwgcVRPPK-cQOA,아니 너무 귀여운거 아니냐고ㅋㅋㅋㅋ,0,2024-11-13T22:45:42Z,,0
CZEId5C3tSM,UgwNHZeNhRqcZoBjwg14AaABAg,@solangeoplacia4196,UC67_QP5Ql67P8a4fnP02Z0w,Don't know what you say English 😅😅😅😅😅😅😅😅😅😅😅😅,0,2024-11-13T16:39:42Z,,0
CZEId5C3tSM,UgzP_goyxKyqtFAgkNB4AaABAg,@우아우아우아해,UC4VBe92rDwe5vsE_kaK8k0w,아 진짜 진지하게 너무 귀엽다,0,2024-11-13T11:37:06Z,,0
CZEId5C3tSM,UgxFy5VlS5Ka153FdUN4AaABAg,@NiñaStefaniMontero,UClijhfnRWJpWJ6s_PYp-U5w,Dk thank mingyu laugh 😅,1,2024-11-13T11:19:35Z,,0
CZEId5C3tSM,UgzX1C_sw-vCrwCkZ2R4AaABAg,@daoblueng.2697,UC1EpUHzSllvmR81jmZmKDwg,😳😊😊,0,2024-11-13T09:22:29Z,,0
CZEId5C3tSM,UgypZeMgc8uPNziPnYd4AaABAg,@kkknyy17,UCLsXXHBEiOCxBE27wdVUgxQ,"Even when talking seriously, her face is still cute, how can I believe it?😂",1,2024-11-13T03:38:51Z,,0
CZEId5C3tSM,UgzAXx9fw7FPDwaIWPt4AaABAg,@0F17eu,UCnSJf_Wtiu03-V5SJP2b83w,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ😂,0,2024-11-12T16:32:47Z,,0
CZEId5C3tSM,Ugxb-wbIaCQz7-wZF7R4AaABAg,@YoonYamonePhoo-c4y,UCWxAsd6mZQVIcwIGtI7U7Tw,헤어질 수 없어 귀여워서,0,2024-11-12T15:02:25Z,,0
CZEId5C3tSM,UgwER_aWb8VzJ2l1cq54AaABAg,@rfmb00,UCagsKtK7OZdtehiI5oSikvA,Even Dk's speaking voice is so soothing,0,2024-11-12T14:31:02Z,,0
CZEId5C3tSM,UgyMlT_6wkfaQ0dNjyl4AaABAg,@하니바라기-l1y,UC21Wl-17aSvUMjrXW-fURLA,그니까 왜 나 버리고 미쿡 갔냐구..^^,0,2024-11-12T12:47:18Z,,0
CZEId5C3tSM,Ugx1D-ck0QQhD1_VfAt4AaABAg,@SSom_09,UCc--WZeUlhlNUMm5n0_HNuA,저 용안을 보고 헤어지자는 말을 할 수 있다니…🫢,0,2024-11-12T12:39:34Z,,0
