author,text,likes,published_at
@angelz1nha,"MANOOOOOOO,A REI TA MAIS BR Q A GNT SLK",0,2025-04-22T00:14:07Z
@樫健太郎,赤ちゃん👶モルモット,1,2025-04-21T22:30:57Z
@いそまるらぶ,れいちゃんの上目遣い可愛すぎ💓,0,2025-04-19T11:31:37Z
@cckkarina,First we got moothew and then we got moorei😭😭,0,2025-04-18T03:00:11Z
@LiceDraww,"Rei a mais brasileira possível, depois que veio pro Brasil ficou ai, dançando funk, kakakkak 😂🇧🇷❤️🫶🏻",0,2025-04-17T22:03:55Z
@차리닝곤듀,자연스럽게 안무 스포하는 레이ㅋㅋㅋㅋㅋ,0,2025-04-17T09:21:34Z
@高田義信-s9s,レイ姫,0,2025-04-13T09:57:51Z
@kkomi-v8p,하ㅠㅜ 개귀여웡ㅠㅜ❤,0,2025-04-12T14:23:16Z
@하슬불통,레이 ❤ 좋은 사람?,0,2025-04-12T10:56:32Z
@raquelblancomiro4009,Ay pero que monada❤❤❤Rei es tan adorable y encantadora😍😍😍😍por cierto hoy fue mi cumpleaños😊te amo❤❤❤eres tan tierna😊❤❤❤❤❤,0,2025-04-10T20:50:30Z
@Pouzinho-l3t,"A mana simplemente colocou um ""ser redondo"" na legenda e saiu como nd tivesse acontecido",3,2025-04-09T22:24:12Z
@凛亜-f2w,ヒーローレイだ！w🩷,0,2025-04-07T09:17:19Z
@Dalmeemoon,"I love Rei sm, she is so underrated ❤",0,2025-04-06T01:45:24Z
@Maybe1423-y1j,귀여워귀여워궈여워!!!!!,0,2025-04-05T03:27:36Z
@ellenoliveira3506,Brazilian music 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,1,2025-04-05T01:28:05Z
@호랭이-love뽀이-love,아니....에티튜드 스포 ㅋㅋ❤❤,0,2025-04-04T14:08:14Z
@Redal_8,에튜드트 안무 스포한 콩순이씨 ㅋㅋㅋㅋㅋㅋ,1,2025-04-03T13:09:17Z
@いちか-u3t8r,れいちゃんの上目遣いはどうしてそんなに可愛いのか❤❤❤,2,2025-03-31T22:28:35Z
@정하윤-o3t5d,이렇게 스포르 하네 ㅋㅋㅋ 귀여워,0,2025-03-31T11:42:40Z
@rodolpho.leal.2077,Rei is just AWESOME 😂❤🎉,0,2025-03-30T11:42:53Z
@ふか-j6s,た,0,2025-03-29T17:26:46Z
@Lepop_11,❤❤,0,2025-03-27T18:22:36Z
@nolnolnolnolnol,This should be the most viewed reels of ive hahaha ❤,0,2025-03-26T14:29:01Z
@DramaQueens_skz,Cutest rapper everrr❤❤,0,2025-03-26T12:30:42Z
@포장계_빈,까~너무 귀엽잖아!!🎉,0,2025-03-25T12:04:19Z
@princess_dragon_its,Rei dance is so cute 😅😍,1,2025-03-24T05:43:48Z
@이연-h1g,아 귀여워❤,0,2025-03-23T08:40:51Z
@LarissaPazdemoura,Meu Deus eu sou do brasil,0,2025-03-22T18:27:43Z
@쪽득토끼-s83,아~귀여웡❤😊,0,2025-03-22T12:25:28Z
@JU-02-y4,レイちゃんめっちゃ可愛い…,0,2025-03-22T03:24:45Z
@Kpopfan24777,Rei casually spoiling attitude's choreo and we didn't notice 😭,0,2025-03-21T07:47:51Z
@wuxuanquan9965,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤기연이가,0,2025-03-20T22:53:00Z
@맂프-o5w,애티튜드 폭주기니 스포한거 나만 모름?,0,2025-03-20T12:16:48Z
@happy_day_ෆ,레이언니ㅋㅎㅋㅎ 이렇게 스포하는구나,0,2025-03-20T11:37:07Z
@Vlog-ml9yk,ㅋㅋ진짜 그냥 춤추는 쇼츠인줄 알았는데 스포였다니잌ㅋㅋ너무 말랑콩떡 귀엽자나아아악ㄱㄱㄱㄱ,1,2025-03-20T08:51:52Z
@쿠마tv-y3y,레이 너무 웃기당ㅋㅎㅋㅎㅋ,0,2025-03-19T20:38:05Z
@markmanthorne7508,The scarf really pops,0,2025-03-18T15:25:40Z
@떡락달인_키킼,레이 언니 웃는거 넘 기여워여💛오늘도 세상 에서 제일 귀엽고 예쁜 콩순이 보고가엽❤,0,2025-03-18T08:46:27Z
@이용주-m2f,요런  인형은  어디서 판매 하는교?,0,2025-03-17T23:11:38Z
@elocin01,怜ちゃん可愛すぎなん？,0,2025-03-17T19:57:13Z
@지-t4b,"우와 안무스포를 이렇게 많이해도됑??
그런뎅 이와중에 레이는 왤케 귀여움?😊❤?그렇게 귀여워도 돼는고양",0,2025-03-17T12:33:50Z
@초꼬밀끄우유,레이넘기엽댯❤,0,2025-03-17T10:39:20Z
@collins9265,Rei ❤❤❤❤,0,2025-03-17T04:51:21Z
@TibetanGorshey,This video looks so fun make,0,2025-03-17T02:53:10Z
@폴유폴링,레이 진짜 귀엽닼ㅋㅋㅋㅋㅋ,0,2025-03-16T15:45:17Z
@amandaaaaaaaaaaaa,I was having the shittiest day but seeing rei cutely dance to funk made it better thank you,0,2025-03-16T04:52:27Z
@Rel-l7v,넘 기여웡❤❤ 폭주기니🎉,0,2025-03-15T23:33:51Z
@차요-m6i,에티튜드 폭주 기니를 넣다니 ㄷㄷ,0,2025-03-15T18:58:10Z
@Ara-f6z,"레이님 친구가 레이님못생겼대요
그리고  친구가 아이브 멤버들은 예쁜데
레이만 못생겼대요
저는 좋은데❤❤❤",0,2025-03-15T13:32:25Z
@Re.yoxng_0724,헙 폭주기니 !!,0,2025-03-15T05:53:53Z
@연두티비-c9k,에티튜드 그거 알려 주는 거 보고 왔음 바로 달려 왔어요,0,2025-03-14T07:27:20Z
@sachintendulkar7293,sooooooooooooooooo cutttttttttttttttttttttttttttttteeeeeeeeeeeeeeee,0,2025-03-13T06:04:46Z
@snowrururururu,저이때 에티튜드 안무 스포한거 봐써여,0,2025-03-12T11:59:33Z
@felixchamorro4338,😅,0,2025-03-10T13:37:13Z
@mochii링크,"킹, 난 너한테 CLT 경력을 줄 거야 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷",1,2025-03-09T20:08:36Z
