author,text,likes,published_at
@TonyLee-cw2pq,very cute,0,2025-03-09T10:53:27Z
@thegrownsimmer9472,Cuteness overload 😭,0,2025-03-07T10:49:42Z
@LOVE_SH.,냥냥 복숭아 🍑 보고싶다아 귀엽다 🐱,0,2025-03-07T02:04:28Z
@JaneRubya-h9v,Emg lagu jeong jaehyun ini mah,0,2025-01-22T23:31:33Z
@jhyuncrush,DoJaeJung please comeback😭😭,0,2024-12-21T09:09:38Z
@노들잎,이건 복지임 ㅇㅇ,2,2024-12-14T05:56:00Z
@佐藤しおり-j5h,可愛い猫ちゃん❤,0,2024-11-09T02:00:33Z
@muahga4832,까만고앵쓰,1,2024-09-21T07:14:10Z
@lovipop1594,❤,1,2024-09-15T22:53:37Z
@HamjiKim,아미챳냐고진짜정재현,1,2024-09-09T21:25:19Z
@Woon2ne,차쥐뿔보다 왓는데 섹시한데 또 개구쟁이네 ㅋㅋㅋㅋㅋㅋ,2,2024-09-07T08:33:17Z
@rhdbrkq,느리게 하면 또 끈쩍하거든요..,0,2024-08-10T21:20:08Z
@kyoninn,진짜 저 능청스러움.. 춤은 또 왜잘춤?,0,2024-08-08T15:35:11Z
@배고프다아-l6d,"도재정
도라와
돌아와
오라구",0,2024-08-07T13:11:54Z
@아오-에d3g,살랑 살랑 추는것 까지 미쳐따,4,2024-08-03T01:44:47Z
@vipzenjsjywh,나른한 표정으로 뾱뾱 소리내는 정재현이 너무 귀여움ㅋㅋㅋㅋ,0,2024-07-28T05:00:57Z
@수수닥,와 진짜.. 와 ..하…….ㅅㅂ……….,0,2024-07-22T15:30:21Z
@user-pwphmr,미땡나,0,2024-06-14T10:23:16Z
@우우휴,"저 나른한 바이브가 고양이 그 자체라고
너무나 고양이임
사랑해애애애애",0,2024-05-27T09:52:01Z
@FinestDia,My man my man my maaaaaaan 🥰🥰🥰😍😍😍😍,0,2024-05-24T14:56:16Z
@Uuu734jg,his face😂😂😂,2,2024-05-17T12:07:27Z
@수정임-s9t,윤오웃겨,1,2024-05-06T04:21:36Z
@ateezsanshiber4481,So cute,1,2024-05-03T08:06:45Z
@loveontop215,🍑😍👏🏼💕,0,2024-05-02T12:43:42Z
@LeeShon-ov8im,还我道在廷😅,0,2024-04-29T17:30:52Z
@wimpyjaze,น่ายักง่ะ,0,2024-04-24T14:27:54Z
@F.S.H.9471,오홓 솔지키 지챠 노무 조은데 이러케 불러주면 안돼는거애옹?,0,2024-04-22T13:48:27Z
@F.S.H.9471,모야 바부고양이같앸ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,2024-04-22T13:45:50Z
@gong1gong11,뭔가 느리게 배속한 것 같은데 박자에 다 맞는게 너무 신기햌ㅋㅋㅋㅋㅋㅋ우리 느림보 잰냥이😍😍,2,2024-04-20T15:54:29Z
@1813389,"고소하고싶다진심,,,",0,2024-04-20T15:20:21Z
@butterps,재혀니는💓🌈✨고양이야🐱💛🎶 재혀니는💓🌈✨고양이야🐱💛🎶 재혀니는💓🌈✨고양이야🐱💛🎶 재혀니는💓🌈✨고양이야🐱💛🎶 재혀니는💓🌈✨고양이야🐱💛🎶 재혀니는💓🌈✨고양이야🐱💛🎶 재혀니는💓🌈✨고양이야🐱💛🎶 재혀니는💓🌈✨고양이야🐱💛🎶 재혀니는💓🌈✨고양이야🐱💛🎶 재혀니는💓🌈✨고양이야🐱💛🎶 재혀니는💓🌈✨고양이야🐱💛🎶 재혀니는💓🌈✨고양이야🐱💛🎶 재혀니는💓🌈✨고양이야🐱💛🎶 재혀니는💓🌈✨고양이야🐱💛🎶,1,2024-04-19T15:07:53Z
@marienikols,Милотааааа,0,2024-04-19T03:11:08Z
@daliblose9061,Yeah yeah!!!!! That's BEAUTIFUL  ❤😊jj,5,2024-04-16T00:14:58Z
@westi33,lmao how he tries so hard to not to laugh is too cute,0,2024-04-11T06:57:53Z
@Khaotoo_o-vh9vn,น่ารักที่❤️,0,2024-03-31T10:49:49Z
@ordinarycat2186,재현이 나른한게 완전 고양이 그 자체🫢💚,0,2024-03-20T12:10:02Z
@stephtastrophe,The cat ears 😂❤,0,2024-03-20T11:39:02Z
@Roses4TY,My baby omg,0,2024-03-14T23:47:49Z
@Daddycoups1,He’s in his Clark’s ❤❤❤❤❤❤❤,0,2024-03-14T14:48:57Z
@anveshaverma_,"Jaehyun :- "" bro.... I didn't sign up for this shit""",0,2024-03-09T09:41:30Z
@samanthagoh1294,what is this song?,0,2024-02-17T18:18:53Z
@daliblose9061,Awe!!! ❤my beautiful  adorable  jeong jay,1,2024-01-31T01:20:49Z
@elisnurpadilah4390,My bff🎉,0,2024-01-25T13:06:42Z
@Js-cu9kq,꺄ㅑㅑㅑㅑㅑ졸귀ㅡㅡㅡㅜㅜㅜㅜㅜㅜㅜㅜ❤,1,2024-01-22T13:03:32Z
@danh1y1225,"짙냥정혼.. 진짜 다 완벽하다 고양이 정재현에 완벽한 춤선 완벽한 보컬 완벽한 개그감........
그냥 당신 짱먹으라고 하는소리야",0,2024-01-17T11:58:19Z
@jaebird411,😍😍😍,0,2024-01-16T19:32:58Z
@5taricecream,도재정 어디까지 왔니,0,2024-01-16T14:16:53Z
@오우대앰,내 장래희망이 저 삑삑이 고양이로 바뀌는 순간.,2,2024-01-16T14:01:02Z
@김진영-p3l5l,되게 잘 만들어져서 인기 많은 제페토 캐릭터 같음,0,2024-01-12T02:02:31Z
@K-POP_KWEEN_OFFICIAL,"Raise your hand if you will ALWAYS support NCT as a WHOLE!!

Because I know that I will ALWAYS be supporting NCT through out this year 2024!! So come on guys let’s show NCT the love that they deserve from us CZENNIES!! 🇰🇷💚👑💎",0,2024-01-06T04:27:07Z
@kellyLI-zi4hx,好可爱☺️,0,2024-01-01T09:21:46Z
@wossiddl,"이렇게귀여우면나보고 뭐 어떡하라고,어띃하라고,어떡카라고, 어뜨카라고, 어떡하라고,우뜨카라고, 모루카라고, 오픈카라고, 엉뜨켜라고,엉뚱하라고, 오또카라고, 어떻하라고, 어떻하라고, 어띃하라고,우뜨카라고, 모루카라고,엉뜨켜라고,어떡하라고,어떡콰라고, 어떡카라고, 어뜨카라고,어떡하라고,엉뚱하라고,엉뜨켜 라고,오픈카라고,오또카라고,억떡하라고, 어떻하라 고, 우뜷하라고, 우뜨카라고, 어떡하라고, 어떻하라고, 어뜨켜라고,오픈카라고, 엉뚱하라고, 어뜨카라고, 우뜩하라고,모루카라고,억떡카라고,어떡하라고",0,2024-01-01T04:57:38Z
@deliriouspenis,"they really made a grown man with aged dick and balls do this. jaehyun, do they pay you enough for this..?",0,2023-12-31T10:49:52Z
@댕댕-z7n,ㅠㅠㅠㅠㅠ 고양이가 너무 귀엽고 이걸 토끼가 찍었다는 사실이 정신을 혼미하게 만드네요,1,2023-12-30T07:54:21Z
@nakim1490,빛과.희망.😂,0,2023-12-15T14:02:20Z
@andy_grils,Jaehyun oppa kiyowo,0,2023-12-03T01:47:28Z
@fatikharahmaputranti254,Emang boleh.. selucu ini,0,2023-11-23T22:13:30Z
@김소원-q1v,와 시발 요망해 ㅈㄴ,3,2023-11-23T02:18:45Z
@ChristinaLovesKpop1,My silly fun Prince ❤😂,0,2023-11-21T09:38:19Z
@めめめ-g5r,リピしすぎて朝になった,0,2023-11-20T14:55:55Z
@tenzindechen655,I kinda want this to be chorus,0,2023-11-20T11:27:21Z
@kunh5ng,Why is it doing that,0,2023-11-15T16:07:04Z
@Miku-Shion,"El baile fue precioso y que bonito le quedaron las orejas, que lindo y tierno es Jaehyun.
Y la risa de Doyoung fue tierna y preciosa!",1,2023-11-12T00:18:54Z
@ulfiarifah,So cuteee and cooll,0,2023-10-23T11:51:34Z
@fhsurtka,재현아 즐기는거 다보옄ㅋㅋ,1,2023-10-18T13:13:19Z
@anisafatimatuzzahra1190,Meng,0,2023-10-17T08:18:17Z
@peachk1tten,"너가 고양이야?

잰냥아..❤",0,2023-10-17T03:47:49Z
@토끼큰깡통,나는 당신 때문에 정신이 혼미하다.,0,2023-10-02T12:36:50Z
@tubrang,귀여움 미친 거 아님? 나한테 죽고 싶음? 물론 그전에 내가 먼저 죽겠다 재현이 귀여워서 심정지 옴;;,0,2023-10-02T11:58:05Z
@viniajrina5558,Kiyowoo,0,2023-09-20T14:31:14Z
@AdelaidaSpyri,Like a cat by AOA 😂❤,0,2023-09-18T05:47:48Z
@MyWayV-tz1ip,super tierno,1,2023-09-10T22:04:28Z
@Bimbim_2,"ayuda, esto es muy lindo 😿",0,2023-09-09T12:43:14Z
@jeoneunzy,아 귀여워,1,2023-09-06T12:59:37Z
@dyahayu1276,Emang boleh selucuu ini hee😂😂,0,2023-09-05T01:34:45Z
@yunajooon,كيوتت,0,2023-09-02T18:12:11Z
@kaoriqq,Actually i like the basic most,0,2023-09-02T15:00:21Z
@Jisungbbye,귀 빨개진거봨ㅋㅋㅋㅋ,1,2023-09-01T14:09:15Z
@haechanhaechans,Jeahyun furry era frfr,0,2023-09-01T02:19:07Z
@donyakhazaei,the fact that he's cringing.i feel bad for him but its so funny to watch him try not to laugh,0,2023-08-31T23:25:20Z
@beatproducerken,He is holding in his laugh 😂😂😂,0,2023-08-25T00:14:24Z
@sascha_w,Why is Jaehyun holding a Dildo?,0,2023-08-23T22:40:25Z
@김은유-j6y,옷 땜에 그런가 되게 부해보이네,0,2023-08-23T12:50:23Z
@UNITEDWESEEKPEACE-HAPPINESS,He’s so cute 🥰. I totally agree @nicole3334! What more can you expect from him besides his looks 😎,0,2023-08-21T20:44:56Z
@elfafitarahayu1056,he's so goofy for what😂,0,2023-08-18T00:38:48Z
@icednamericano,Poor Jaehyun 😭,0,2023-08-17T17:08:22Z
@유튜브하루다섯시간,왤케남자같지?,0,2023-08-14T12:54:53Z
@jn.423,아 정재ㅎ횬 미친 존나귀여워하씨,0,2023-08-13T19:39:02Z
@salma.np0524,😂😂😂 kasian amat mainannya,0,2023-08-13T02:37:57Z
@kyungisme,역시 수컷의 최고봉,2,2023-08-13T01:42:28Z
@예영-u8s,ㅆㅂ 자현아ㅠ,0,2023-08-10T09:18:47Z
@nurwidianingsih4017,Gemes banget arghhh,0,2023-08-09T10:56:34Z
@dwlrma,LMAOOO FREE HIM😭😭,0,2023-08-07T00:41:06Z
@rwilx00,شسم الاغنيه؟؟,0,2023-08-06T21:47:53Z
@딱복이-f8p,"꼬꼬로 삑삑 대는걸로 시동을 걸고,
장난이 만족스러워 새어나오는 웃음을
참으려고 입술을 앙 다물고 춤을 추는 귀여운 그는 
정재현이에요😂 ---",0,2023-08-04T13:41:19Z
@priyankarao9812,This part of the song is one of Trademark for our beloved Jaehyun. Love NCT,0,2023-08-02T15:48:52Z
@jhyuncrush,Kitty hyun🥰,0,2023-08-02T11:58:10Z
@love_idol22,정재현 나라 세워,54,2023-07-29T01:27:08Z
@error0281,YICEM BU ADAMI ESEK MISIN CEYHUN OF,0,2023-07-26T15:00:47Z
@Helios824,Sexy Cat Jaehyun😤😤😤😤,0,2023-07-25T01:14:50Z
@putriaisa-rh3sb,❤❤❤❤❤❤,0,2023-07-18T22:41:15Z
@monlovespidermark,"El menos obligado 😍☝️
Fuerza Jaehyun",0,2023-07-14T07:49:13Z
@greyyvniaa5421,kawaii,1,2023-07-13T01:49:50Z
@박코리안더,어우…😊,1,2023-07-12T07:19:39Z
@DongDong-22,어머머머마ㅓㅓㅏㅓ머너 진짜 돌 앗 누,1,2023-07-10T11:04:01Z
@neevanorohna3558,he is so cute❤,0,2023-07-10T07:43:26Z
@jaenjaen1585,깜고가 되고 싶었던 치즈잰 재혀니가 말아주는 짙농정혼 크,2,2023-07-01T12:05:00Z
@yiii7024,Where can I adopt this cat ?😍😍😍😍,0,2023-06-30T11:43:36Z
@hyde011220,씨이발 더 주세요,1,2023-06-29T05:05:03Z
@carateudeul,i-,0,2023-06-28T16:31:47Z
@auliadwiisfr,kiyowoooo🤏🏼,0,2023-06-27T13:53:12Z
@livynacristina,Gemeshh bgttt 😭☝🏻,0,2023-06-26T11:48:25Z
@myriamesparza9493,Wow me encanta... guapisimo,0,2023-06-26T03:32:52Z
@ga_skyuie,喜欢，爱看，多跳，勤发,0,2023-06-25T17:47:41Z
@athandle_handle,Jaehyun boutta be hit with that doja cat Say So fatigue if he keeps this up lmao,0,2023-06-25T14:10:09Z
@휑휑-s8h,진심 정신 나갈 거 같다❤ 정 재 현....❤,0,2023-06-24T14:00:15Z
@jeelee3096,Hate to admit he ate,0,2023-06-21T19:21:29Z
@HEXOoOXEH,"캣잎 농도에
정신이 혼미해",0,2023-06-20T15:13:13Z
@deepintheseaU,그저 고양이…,0,2023-06-18T13:27:27Z
@윤노잼민,이 영상 어떻게 나가누,0,2023-06-18T11:40:55Z
@lilackpop,Jaehyun é um gatinho 🐱 fofo ❤,0,2023-06-18T02:08:06Z
@와하학-h9y,개귀엽다,1,2023-06-17T12:55:12Z
@むちょ-t9t,Are you エギ❓👶❤️,0,2023-06-17T07:04:26Z
