author,text,likes,published_at
@weareoneEXO,"🏍 'Rover' MV https://youtu.be/zlTIextYnyQ
🎧 'Rover' Album http://KAI.lnk.to/Rover",2164,2023-03-19T10:45:15Z
@asfirstsnoww,Jenkai,0,2025-04-16T20:13:50Z
@exo_trr,الواحد بقا يشوف الفيديوهات دى ويعيط 😭😭,0,2025-04-16T11:47:37Z
@NellyThiame-d4q,❤❤❤❤❤❤❤❤,1,2025-04-11T13:29:00Z
@mymy20luli35,❤❤❤❤❤❤❤❤❤,0,2025-04-10T03:52:21Z
@CelesteMoreira-q3u,Quedo epico,0,2025-04-07T13:44:53Z
@felaella,"Big bros with his kind heart, Xiumin❤",0,2025-04-07T00:02:14Z
@marycabrera1151,Precioso Corazónes 🥰🥰🥰,2,2025-03-27T01:22:32Z
@ducilenenogueiradealmeida4270,😁😁😁😁😄,0,2025-03-06T15:43:19Z
@panchamimajumder3428,💥,0,2025-02-25T04:24:33Z
@Fulana135,Ahhh Mr. Roverkuuu,0,2025-02-22T12:56:02Z
@Eduarda-d5e,O espelho: eu simplesmente não existo😶‍🌫️,0,2025-02-21T22:23:38Z
@danitzasaavedra7709,Por que Kai es tan lindo ?,0,2025-02-20T18:15:44Z
@elyXion-EX9,"Kemaren kai yang brand new challenge, sekarang gantian 🥰🥰",0,2025-02-11T16:03:26Z
@thv_ansu,😍❤❤,0,2025-02-11T07:21:05Z
@Percyjackson-z6t,let's just pretend we didn't see a mirror,0,2025-01-18T05:41:10Z
@mavermanjarrezdaza3789,"Kai no te conocía hasta hace 5 dias que escuché esta canción y me encantó, sólo conocía a los tres de Exo-Cbx  Chen, Baekhyun y Xiumin 😊😊😊😊",0,2025-01-15T16:35:34Z
@Corner-of-Home,Jennie 😂,0,2025-01-14T15:26:28Z
@YeontanTae-vd1py,Ohh 😯,2,2025-01-05T14:46:11Z
@y0o9n,쫑이니 돌아와…,1,2024-12-12T03:01:47Z
@Joo_An_1004,This duo is very cute.,2,2024-12-07T07:02:57Z
@nexoor,엑소 보고싶다 ㅠㅠㅠㅠ,2,2024-11-30T14:33:29Z
@AdilaAmbreen-43,😂😂😂😂😂😂😂😂❤❤❤❤❤❤,0,2024-11-29T12:32:48Z
@HanifaJurayeva-e2j,He is so cute and handsome i love him❤,1,2024-11-20T14:38:47Z
@dulcesalazar8818,Como te extraño Kaaaaai D-83,0,2024-11-18T08:47:10Z
@daianagayardo3532,"Xiumin está hermoso!
Me encanta❤",1,2024-11-06T11:06:44Z
@neogotmybacck,im dead😭😭😭😭,0,2024-10-29T14:07:34Z
@Babyla.Purple,❤❤,0,2024-10-16T17:04:47Z
@rebekahsmall3132,😂😂😂❤❤❤❤,0,2024-10-11T01:06:27Z
@userglynesmarshall,Kai friend.😢 from exo.😢,0,2024-10-04T22:46:10Z
@ultralmica,I miss my boys so much😢,0,2024-10-03T00:33:27Z
@Sar_manaSa,It's so cuuuuuuute 😭😭😭😭😭🤧,1,2024-09-29T16:05:48Z
@clairedelacruz339,Mis u kai,0,2024-09-11T03:10:13Z
@MaiDarling-n4z,😂❤❤❤❤,0,2024-09-02T10:10:29Z
@Ryeong24,I love you guys so much,0,2024-08-30T07:12:21Z
@ElenaNafas,I wanna cry for babay kai❤,0,2024-08-17T19:18:40Z
@HRH-l4v,the mirror😂😂,1,2024-08-13T19:21:50Z
@adjasidibe8413,Awww kaiyu & a surprise visit awww Rover & Brandnew vibe xiumin kaiyu bear   kaiyu,2,2024-08-11T17:59:55Z
@adjasidibe8413,Awww kaiyu bear & butterfly Xiumin I couldn't stop laughing y'all soooo adorable,0,2024-08-11T17:54:43Z
@matrixconsultants4772,Am i the only one to see the massive mirror😂😂,0,2024-08-03T07:28:33Z
@colettepeyton2072,❤❤,0,2024-07-31T02:23:35Z
@floreabdrra2109,😭🖤_👄_🐻,0,2024-07-23T22:00:07Z
@saraoo655,وش كبر المرايه ماشافه 🙂,0,2024-07-19T12:50:41Z
@monicabarbosa3336,❤❤❤❤,0,2024-07-11T13:47:38Z
@Naty77796,Jennie,0,2024-07-03T17:25:42Z
@theofficial_ganu,No one will say this is scripted,0,2024-06-22T11:19:31Z
@nitanovandre1707,Salfok kameramen nya seperti dyo,0,2024-06-22T04:21:31Z
@hellenaoffic2833,Let's make a mv with all Exo members .. And make rover a EXO song ❤ .. Such a great song EXO vibes for sure ❤,0,2024-06-13T10:32:08Z
@MintubaidyaKuche,😊,0,2024-06-09T14:29:12Z
@MintubaidyaKuche,❤❤,0,2024-06-09T14:29:05Z
@aylinromeroalave537,Xiumin bien tramado😂,0,2024-06-08T01:16:14Z
@GurlItsJustAWhiteWall,I miss you i miss you i miss you,0,2024-05-27T06:28:17Z
@ROBANORY271,Kai☺️,0,2024-05-21T12:33:15Z
@endahsusantyratnasari2538,Kangen kai,0,2024-05-21T01:25:47Z
@anamrivera4593,Hello Kai you must have a collaboration whit Hyunjin of stray kids,0,2024-05-20T17:02:16Z
@LuzMelitza-cs8oj,EXOLUZ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2024-05-18T19:43:42Z
@보리-e1p,카이 다리가 왤케 길어,0,2024-05-11T04:22:30Z
@Chrissemaria,Oh my minseok 😉😘,2,2024-05-08T04:22:03Z
@monsurahmad8020,"damn, they ate that",1,2024-05-05T13:10:54Z
@IntoKAIrro,Kim bro's 😍,1,2024-05-02T06:22:20Z
@SanduMihaela-e8y,😅❤,0,2024-04-30T19:41:16Z
