author,text,likes,published_at
@weareoneEXO,"🏍 'Rover' MV https://youtu.be/zlTIextYnyQ
🎧 'Rover' Album http://KAI.lnk.to/Rover",197,2023-03-28T11:11:17Z
@샤월-k5e,키 입술모양 기엽노,0,2025-01-16T04:50:01Z
@HawreMahr,زوجيععع الاشقرررررععع 😭🔪🔪🔪,1,2024-09-01T14:47:12Z
@泡芙-x3z,cool,0,2024-07-03T05:25:28Z
@MintubaidyaKuche,😮😮,0,2024-06-30T16:12:17Z
@سلطانالشمري-ف8ت,مرحبا KEY😊❤🇰🇼,0,2024-05-27T15:02:54Z
@Seaeeeee,이거 태민이버전 진짜 보고싶었는데 타이밍이.. 기범이 딱딱 끊어추는거 최고😊,0,2024-01-29T19:34:12Z
@RukiyeKılıç-e7q,이 프로그램 이름이 뭔가요? 저는 한국인이 아닙니다❤,0,2023-12-18T16:38:05Z
@202ojdjd,Sm 소속은 춤 각도가 ㅎㄷㄷ,1,2023-10-04T17:28:46Z
@rangsa_hk,키는 SMent교과서 같아요!!,2,2023-09-21T14:49:43Z
@VanessaSantos087,Lindos,0,2023-09-19T12:35:39Z
@SadAaaa-v8d,اغنيه بتاعه تحفه جدا بتاعه❤❤❤❤❤❤❤❤❤❤ حلوه على,0,2023-09-19T12:35:16Z
@jardriellymendes7227,Amo exo,0,2023-09-01T21:18:32Z
@T_Y_Track,미쳤다 내 심장,0,2023-08-24T20:34:15Z
@waldelinamariateixeiralope3888,"Tik tok sem kai nao é tik tok
Vamos lá mister Rover ❤❤❤❤",0,2023-08-23T23:33:09Z
@김밥볶음밥,김기범 본업 폼 미쳤다,2,2023-08-23T06:57:45Z
@noshinsaiyara8747,Still not over rover rover rover,0,2023-08-18T05:16:56Z
@RominaCastilla,exooooooo❤❤❤❤❤❤❤❤❤❤,0,2023-08-09T14:40:39Z
@밀모루,여기서 죽어야지... 하 김기법,0,2023-08-04T03:53:32Z
@weare1526,I miss that beautiful days and miss mr. Rover so bad...,0,2023-07-12T06:36:30Z
@weare1526,I miss that beautiful days and miss mr. Rover so bad...,0,2023-07-12T06:36:27Z
@sehunbbh,什么仗非要一只小熊去打啊😢,0,2023-07-12T05:26:19Z
@딸바보-s3z,키가 춤선이 확꽂힌다 카이가안보여 ㄷㄷㄷ,2,2023-07-06T23:50:56Z
@nanamaciel8308,Key sabe todas coreografias e dança bem demais 😍💎,0,2023-07-04T16:43:06Z
@greeniscoollol,OMG KEY AND KAIIII ❤❤❤❤,0,2023-06-15T17:37:12Z
@AliShaker-x1w,카이 그와 함께 달리지 못한 한 세포,1,2023-06-11T06:30:22Z
@04Baekhyun,❤❤❤,0,2023-06-10T14:04:43Z
@Harshi-official-n6v,KAI LUV YOU,2,2023-06-09T06:59:02Z
@lllexolll,종인이보고싶다!!!,0,2023-06-08T17:29:27Z
@Bishtis,RoverKAI❤️😍       KEY,0,2023-06-07T08:06:33Z
@baebaelee6978,Amazing performance by 2 of the best kpop dancers,0,2023-06-06T03:59:14Z
@baebaelee6978,Kim Kai 🔥🔥🔥,0,2023-06-06T03:58:25Z
@firmantabrik5644,You are cool kai,0,2023-06-02T08:09:50Z
@amazinggirlsaanyaamaira9687,You slayed it,0,2023-06-01T11:48:57Z
@chunchun_,K가문 조합 kijul…..,0,2023-05-29T09:41:55Z
@nilfasales3052,👏👏🔥🔥,0,2023-05-26T21:04:26Z
@nilfasales3052,Kai slay 🔥🔥,0,2023-05-26T21:04:13Z
@nilfasales3052,Oh my Kim Kai ❤,0,2023-05-26T21:04:01Z
@ClaudiaGCuba,Keyyyyyy 😃,0,2023-05-22T02:33:44Z
@fadiamw9252,كيييييييي,0,2023-05-19T18:35:09Z
@밍아-v6t,아 오빠들 사라매요!!!!!!!!!!,0,2023-05-19T13:52:29Z
@fadiamw9252,كيييي و كااااي بحبكن كتيييير,0,2023-05-18T18:01:54Z
@afrizaljalle8568,April,0,2023-05-15T03:52:20Z
@weareone53210,a moment for shawol and exo-l,0,2023-05-14T15:43:20Z
@Tjddyjl,ㅈㄴ옹졸하게 생겼네 왼쪽,0,2023-05-14T08:27:21Z
@whyisitimportant.,He is too skinny,0,2023-05-09T01:30:41Z
@ireneserrano4570,woooow they are like clones dancing!!,0,2023-05-07T22:59:54Z
@reemreem790,Kai's 2M legs 😊,0,2023-05-07T18:33:28Z
@reemreem790,👏👏,0,2023-05-07T18:33:10Z
@STALKER777LK,I'd what Id like more a key ft Kai or a Kai ft key,0,2023-05-06T20:35:05Z
@GeetanjaliAnne,So beautiful dance EXO ❤❤❤❤,0,2023-05-06T14:03:55Z
@ivybisugo712,👏👏,0,2023-05-04T22:12:07Z
