author,text,likes,published_at
@angelina16200,Феликс чисто на чиле,0,2025-04-28T06:30:36Z
@MelissaHernándezRamírez-g4c,😘😘😘,0,2025-04-26T18:25:51Z
@MuratbayShukurullaev,0:54 0:55,1,2025-04-25T20:09:49Z
@zuleymamarquezestrada9060,Esta canción no me gustó por que casi no aparece felix 😢,0,2025-04-24T20:14:06Z
@tatianadiarza4277,"Me encanta la cancion 🫶🏻

Amo este baile ❤",1,2025-04-24T00:36:17Z
@anyl_,Me gustas esta coreo porque bailan como loquitos jajjajaj❤❤❤,0,2025-04-21T00:52:23Z
@williamantonioli,Vocês são foda.,0,2025-04-19T23:37:59Z
@SeyedHassanSadat,اسلی کینگز 🛐 2025,0,2025-04-19T13:00:32Z
@I.NNIE_Stay,"poor Felix, luckily he's better ❤😊",0,2025-04-18T14:46:09Z
@Amelia77-x3n,HI,0,2025-04-18T13:37:04Z
@felixforeverxox,1:28 noo the way Felix was bopping to himself made me so sad. I think he had a back injury at the time so he didn't dance that much. We all support u stray kids!!!! ❤❤❤,2,2025-04-18T02:24:18Z
@TheKTwins5668,So creative its super dope to watch!!!,0,2025-04-17T07:13:49Z
@doyo6508,beautifull seungmin you bias,0,2025-04-17T04:18:31Z
@AhouTieba,"i'm still so upset he didnt get to [articipate for most of this song and seeing him come in and out still male me cry, but he's made sop much growth these past 3 years. All of the memnbers😌😌😌😌😌😌😌😌😌😌",0,2025-04-16T13:18:11Z
@STRAYKINGS84,진짜 아카이 목소리도 싱크로율이 높아서 이런 싱크로율은 찾기 힘들죠 스트레이키즈 축하해요❤,0,2025-04-14T18:08:38Z
@RomaneLEROY,Felix is never with the group (3 times) 😂 1:27 0:15 1:58,0,2025-04-14T13:14:36Z
@Conia-ur8oe,Felix?😢,0,2025-04-12T13:51:08Z
@benferfamily6065,Stray kids pls wish me luck on doing this choreo for a talent show I’m so nervous I only have 1 month 😢,1,2025-04-11T19:32:02Z
@Fiorenzasettanta,1:29 felixxxx Ur headdd,0,2025-04-11T16:02:14Z
@ladysgarra,I love IN’s hairography in this video lol,0,2025-04-10T20:56:50Z
@SumanSonar-j6q,I'm learning Maniac but I keep cracking up at 1:06😭😭😭,0,2025-04-06T08:43:01Z
@jakihernandez9212,I like music,0,2025-04-05T03:00:25Z
@柏-q1c,❤,1,2025-04-04T09:10:21Z
@timeabotkova,Ohhh felix and han,0,2025-04-04T08:00:12Z
@Madu-0770,Hoje fez 3 anos🎉,0,2025-04-02T23:02:50Z
@adrija12_dreamer,"HYUNJIN MUST HAVE THE STRONGEST NECK MUSCLES TO EVER EXIST, SOMETIMES I WONDER WHETHER HIS NECK IS GOING TO FALL APART TT",0,2025-04-02T12:13:21Z
@LoveisRiize,"아니 난 용복이 분량이 제일 많을줄 알앗는데
용복이가 의외로 안보이는구나......?!
하이라이트 부분 가져가서 그릉가
임팩트쩔어~",0,2025-03-30T13:07:51Z
