author,text,likes,published_at
@가스트라티스,뉴진스 화이팅❤,2,2025-04-02T12:37:54Z
@hi-jw4gs,꼭 NJZ에서 하고 싶었던 일들 많이 해보면서 NJZ가 행복하게 음악활동을 했으면 좋겠네여🌠🌠,0,2025-03-22T07:01:37Z
@sammysann9526,IK IM 5 MONTHS LATE BUT WHY POSIHAERIN,0,2025-03-22T04:06:37Z
@안녕-z2j5s,김민지 개이쁘다,1,2025-03-12T05:40:54Z
@Comfyys,너무 보고 싶어서 울고 있어요,1,2025-03-11T09:29:32Z
@Comfyys,사랑하고 보고싶어요 언니들 고생한거 잘 지내고 계시길 바라요 조심하세요 막내도 조심하세요,1,2025-03-11T09:28:59Z
@콩재인,이거 2160 으로 하면 진짜 화질 좋음 약간 더 예뻐 보인다,0,2025-03-08T05:15:22Z
@Aprilpipang,HELLO NEWJEANS❤❤❤,0,2025-03-04T01:59:23Z
@은영-j3g,2:36 기여워..❤❤,0,2025-02-23T08:35:38Z
@mikhslyy,❤,0,2025-02-22T14:57:27Z
@수호천사-b2n,NJZ,0,2025-02-18T01:59:57Z
@kingkongthanh8888,"yes, my name is T h à n h B r u c e.",0,2025-02-16T15:25:12Z
@kingkongthanh8888,1 LOVE ,0,2025-02-16T15:24:22Z
@엪모_초보의_성장기,2:03 팜수달,0,2025-02-14T02:08:46Z
@한리-q4w,민지 누나 개사랑해요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,0,2025-02-10T02:45:29Z
@헬도사,뉴진스는 자기들끼리 아기자기 행복한거 보여주는거 진짜 쵝오다.,0,2025-01-22T19:01:47Z
@우주-t6e,니네 시대는 이제 끝나는걸까?,0,2025-01-21T16:24:24Z
@Lina_dti123,이 영상이 마음에 들었습니다. 모자가 정말 멋져 보이네요❤❤,0,2025-01-19T02:37:58Z
@crown_resident,🤗🤗,0,2025-01-09T08:15:52Z
@최율빈-j7p,나여기간정있는데❤,0,2025-01-08T12:52:23Z
@마지막팬,하루에 기쁨이야😊행복이야😊,0,2025-01-07T12:52:01Z
@웃고갑니다웃고갑니다,다니엘 결정적 힌트 개웃기네,0,2025-01-04T13:33:02Z
@yourfavblonde.n,Cuties,0,2025-01-03T19:15:07Z
@sssupplo,HYEIN is the cutest girl I have ever met on this planet,0,2025-01-02T13:53:48Z
@ああ-v2g7r,ニュージンズの皆さん日本ライブしてください,0,2025-01-01T20:01:55Z
