author,text,likes,published_at
@MilkaRamiela,BSS MILKA,1,2025-04-28T18:36:41Z
@MilkaRamiela,BSS MILKA 😇😇🥰🥰🥰🥳🥳🤠🤞🤞🤴🤣🤣🤣,1,2025-04-28T18:33:26Z
@valeriareyes7547,they were so babies ,0,2025-04-28T13:08:35Z
@niquechristo,OMG!!!!!!!!!!!!!!!,0,2025-04-27T16:05:15Z
@MilkaRamiela,BSS MILKA 😇😇😇😇🤣🤣🤴🤴🤴😘😘😻😻😻😻🤴🤴,1,2025-04-24T23:42:43Z
@MilkaRamiela,BSS MILKA 😇😇😇😇😇😇😇💙💙💙💘💘💘💋💋💋🤴🤴🤴🤴🤴😻😻🥳🥳🥳🥳😇😇💙💙💙💙💘💘💋💋🤴🤴😻🥳🥳🥳🥳🤑🤑🤑🤑🤑🤑🤑🤑🤑💙💙💙🤩🤩😇😇💙,1,2025-04-24T13:27:41Z
@林孟妤-g4t,😂😂😂😂😂😂😂😂😂😭😭😭😭😭😭😭😭💍💎💎🐈🐈‍⬛🍟🍕👼🏻😘😊,0,2025-04-24T12:09:03Z
@MilkaRamiela,MILKA BSS 😇😁🤣🤣🤣🤣🤣🤑🤑🤑🤩🤩😻😻😘😘,1,2025-04-24T11:43:30Z
@MilkaRamiela,BSS MILKA 😇😇😇😇😇😇🤣🤣🤣🤑🤑🤑🤑🤑🤩🤩🤩🤩😻😻😻😻😘😻😻😻🤴🤴🤴🤴🤴😇😇😇😇🤣🤣🤣😁😁🤣🤑🤑🤑🤑🤑🤩🤩🤩😻😻😻😘😘😘🤴🤴🤴🤴🤴,1,2025-04-24T11:41:07Z
@MilkaRamiela,BSS MILKA 😇😇😇😇😇😇🤣🤣🤣🤣🤣🤣🤑🤑🤑🤑🤑🤑🥰🥰🥰🥰🥰🥰😍😍😍😍😍🤴🤴🤴🤴🤴🤴🤴🤴🤴🤴🤴🤴🤴🥳🥳🥳🥳😳😳😳😻😻😻😻😻😻😻😻😻😻😻😻💙💙💙💙💙🤴🤴🤴🤴🤴🤴🤴,1,2025-04-23T17:17:35Z
@MilkaRamiela,MILKA BSS 😇🤴🤴🤴💙💙💙😻😻😻😇😇😇🤣🤣🤣🥳🥳🥳🤑🤑🤴🤴🤴🤴🤴💙💙😻😻😻😇🤣🤣🤣🥳🥳🤑,1,2025-04-22T14:40:27Z
@MilkaRamiela,BSS MILKA 😇😇😇😇😇😘😘😘🤣🤣💙💙💙🤑🤑🤑🤑🤑🥳🥳🥳🥳🥳🤴🤴🤴🤴🤴🤴🤴🤴,1,2025-04-22T13:55:25Z
@MilkaRamiela,BSS MILKA 😇😇😇😇😘😘🤣🤣🤣🤣🤑🤑🤑🤑🥳🥳🥳🥳🥳😻😻😻😻😻,1,2025-04-17T19:50:49Z
@MilkaRamiela,BSS MILKA 😇😇😇😇😇😻😻😻🥳🥳🤣🤣🤣🤩🤩🥰🥰,1,2025-04-17T15:39:02Z
@꿈터누,"너무 잘 컸으니, 가족들은 얼마나 뿌듯하고 보기 좋을까",0,2025-04-15T07:53:44Z
@MilkaRamiela,BSS MILKA 😇🤣🤣🤣🤣😘😘😘😇😇😇😇😇🤑🤑🤑🤑😍😍😻😻😻😻😻,1,2025-04-14T17:12:32Z
@min_jeng1107,레전드 영상😮,0,2025-04-08T08:45:44Z
@silvinabila7649,so wholesome,0,2025-04-07T13:23:42Z
@MilkaRamiela,BSS MILKA 😇😇😇😇😇😇😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻🤙🤙🤙🤟🤟🤩🤩🤩🤩🤩🥰🥰🥰🥰🥰🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑❤❤❤❤,1,2025-04-07T01:36:51Z
@MilkaRamiela,MILKA BSS ❤😇😇😇😇😇😇😇😇😻😻😻😻😻😻😻😻😻😻🤣🤣🤣🤣🤣🤩🤩🤩🤩🤩🤩😘😘😘😘😘😘😘🤑🤑🤑🤑🤑🤑🤑🤑🤑😻😻😻😻😻😻😻😻😇😇😇😇🤣🤣🤣,1,2025-04-06T12:26:37Z
@putrihanilestari2124,"DK IS SO FREAKING FINEE, I LOVE HIM ❤",0,2025-04-05T11:49:34Z
@MilkaRamiela,❤❤❤❤❤❤❤❤❤😇😇😇😇😇🤑🤑🤑🤑🤑🤑😍😍😍😍😍🥰🥰🥰🥰🥰🤣🤣🤣🤣🤣😻😻😻😻👄👄BSS MILKA ❤❤,1,2025-04-03T21:44:55Z
@MilkaRamiela,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣😍😍🤩,1,2025-04-02T17:11:50Z
@MilkaRamiela,❤❤BSS MILKA ❤❤❤❤❤MILKA 😇😇😇😇😇😇😍😍😍😍😍😍😘😘🤣🤣🤣🤙🤙👌👌👌😊😊💋😇😇🥰🥰🤑🤑,1,2025-04-02T17:10:25Z
@MilkaRamiela,❤❤❤❤❤❤❤❤❤BSS MILKA 😇😇😇😇😇😇😇😇😇😇😇😇😇😇🤣🤣🤣🤣🤣🤣😘😘😘😘😘😘😘😘😍😍😍😍😍😍😍😍🤑🤑🤑🤑🤑🤑🤑🤑🥰🥰🥰🥰🥰🥰😇😇😇😇😇😇💙💙💙💙😽💋💙💙😇😇😇😇,1,2025-03-24T18:48:08Z
@miracleplayer6826,이 아이들 정말 귀엽네 ㅋㅋ 사랑스럽구먼.. 사랑한다아,0,2025-03-19T00:42:01Z
@kacawamin1859,我覺得這個比原版好看 大家都玩開了🤩,0,2025-03-16T15:43:29Z
@kacawamin1859,Wonwoo穿白襯衫到底要多好看😍😍,0,2025-03-16T15:42:45Z
@MilkaRamiela,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣❤❤❤❤❤❤❤🤩🤩,1,2025-03-13T20:43:53Z
@MilkaRamiela,BSS ❤❤❤❤❤MILKA 😇😇😇😇🤑🤑🤑🤩🤩🤣🤣🤣🤑🤑🤑🤑🥰🥰🥰🤣🤣🤣🥰🥰😇😇,1,2025-03-13T20:40:43Z
@najwafatika4424,Anakkkk tongkrongan bgttt ga tuhhh,0,2025-03-13T05:10:29Z
@kwannieboo_boo,0:44 Why nobody talks about how Seungkwan climbed on that sign board just to dance? 😂,1,2025-03-05T14:03:20Z
@밍찌-e7c,이게 8년전이란다 나도 힘들다,0,2025-03-02T06:12:16Z
@jlmrnl,"filler, lezgaur 7.8M!!!",0,2025-02-28T13:52:11Z
@tinnychan5190,S.COUPS doing slo-mo dance in the first half of the video is so cute:)))),0,2025-02-22T17:58:29Z
@Agww_96,Que lindo tô emocionada ❤,0,2025-02-15T18:40:53Z
@shinramyunnnn,crying coz suddenly miss Jeonghan ☹️😭,0,2025-02-14T02:21:04Z
@user-qe4lz8ui6h,억ㅋ떡해 이것뭐에요?ㅠㅠ 꼬순내 레전드,0,2025-01-28T06:29:32Z
@las2vecesmismorrilas,io solo kiero un grupito km svtin 😞,0,2025-01-22T18:28:41Z
