author,text,likes,published_at
@DianaHernándezMartínez-r3t,Hay alguien en abril de 2025???,0,2025-04-24T02:20:53Z
@sai_after_effects,i love that they sampled la campenella,0,2025-04-20T15:55:46Z
@marcuslegion3654,"This is ""La Campanella"" not whatever she is singing.....
It's been hot since 1826 😂",0,2025-04-15T16:08:53Z
@marcuslegion3654,So she copied an actual classical piece and added lyrics.......... Can you do Beethoven next😂😂😂,0,2025-04-15T16:02:55Z
@alashia9,1:25,0,2025-04-14T14:24:50Z
@x_kitti_x-lalisa,anyone listening to this 2025?,3,2025-04-09T22:31:53Z
@İAm_Hazal,❤❤,0,2025-04-09T21:25:44Z
@İAm_Hazal,Lalisaaa,0,2025-04-09T21:25:35Z
@İAm_Hazal,Jisoo,0,2025-04-09T21:25:24Z
@İAm_Hazal,Rosé,0,2025-04-09T21:25:15Z
@İAm_Hazal,Jennie,0,2025-04-09T21:25:11Z
@İAm_Hazal,Lisa,0,2025-04-09T21:25:07Z
@İAm_Hazal,😘,0,2025-04-09T21:25:02Z
@İAm_Hazal,We miss Blackpink,0,2025-04-09T21:24:52Z
@İAm_Hazal,Perfect,0,2025-04-09T21:24:43Z
@İAm_Hazal,Who's listening in April 2025,1,2025-04-09T21:24:38Z
@İAm_Hazal,Shut Downnnn,0,2025-04-09T21:24:21Z
@İAm_Hazal,Blackpink in your area,0,2025-04-09T21:23:34Z
@MadniKhan-k8l,Is this group is the best girl group???,0,2025-04-09T01:16:50Z
@MadniKhan-k8l,"Tell me guys, how you rate this song 10/?",0,2025-04-08T22:36:50Z
@MadniKhan-k8l,In this group all members are talented 🖤🖤 Btw I'm a blink💗🖤,0,2025-04-07T02:45:29Z
@kevintjandra245,"1:53 - Rose's ""Stay"" is like a pro singer's voice",0,2025-04-05T03:51:00Z
@norhanabdo2952,Shut down ❤❤❤❤❤❤,0,2025-03-30T12:06:40Z
@SenchusArtGallery-g5j,Rosé made the best 💖,0,2025-03-29T04:34:52Z
@agri2010,Anyone in 2025?,1,2025-03-26T12:06:32Z
@little_miss_kitty,"I really like the ""keep talking we shut you down"" part at the end
edit: and i also like the parts ""keep watching me shut you down""",1,2025-03-22T00:21:48Z
@AniAni-ci1xo,❤❤❤❤l❤❤❤❤,0,2025-03-14T17:42:13Z
@Nikii.ba14,"𝑺𝒉𝒖𝒕 𝑫𝒐𝒘𝒏 𝐿𝑖𝑛𝑒𝑠
𝗣𝗵𝗮𝗿𝗶𝘁𝗮: 00:05 - 00:16
𝗥𝘂𝗸𝗮: 00:17 - 00:29
𝗔𝘀𝗮: 00:30 - 00:42
𝗖𝗵𝗶𝗾𝘂𝗶𝘁𝗮: 00:43 - 00:49
𝗣𝗵𝗮𝗿𝗶𝘁𝗮: 00:50 - 00:55
𝗥𝗼𝗿𝗮: 00:56 - 1:09
𝗥𝗮𝗺𝗶: 1:10 - 1:20
𝗔𝗵𝘆𝗲𝗼𝗻: 1: 21 - 1:35
𝗖𝗵𝗶𝗾𝘂𝗶𝘁𝗮: 1:35 - 1:48
𝗔𝗹𝗹: 2:02 - 2:52",0,2025-03-05T01:49:23Z
@Xx_SouHaa_xX,Rapper Jennie Hits Different,0,2025-02-27T11:37:14Z
@yashuey2024,blackpink❤❤❤❤😂,0,2025-02-15T03:55:08Z
@AHN-v4y,Anyone in 2025??,3,2025-02-14T15:18:33Z
