author,text,likes,published_at
@Sophdeflorentia,PRINCESAA,0,2025-02-15T01:59:15Z
@Sophdeflorentia,LINDAAA,0,2025-02-15T01:59:10Z
@Sophdeflorentia,TE AMOO TZUYUU,0,2025-02-15T01:59:05Z
@Elfangor-Sirinial-Shamtul,Disco Queen Tzuyu. 🪩,1,2024-12-02T18:38:01Z
@Superdup3,Tzuyu baby,1,2024-10-09T09:57:12Z
@Kpopdepapel,Tzuyu com a primeira roupa colorida parece uma criança💙💙,1,2024-09-05T21:11:26Z
@darmanyang6810,"Tzuyu 1st solo album abouTZU will release on September 6 , her album already available for pre-order now",1,2024-08-13T09:56:45Z
@archange_pino,前髪があってもなくても可愛いとか最強かよ💙💙💙💙💙,2,2024-07-18T13:33:32Z
@Phetroc,Stalker binoculars,1,2024-07-09T21:50:14Z
@レモン-d7o,😢…おじさんが何とかしてあげるよ…😢,0,2024-06-26T12:31:14Z
@Alisx_kpop,No tzuyu there is no life,2,2024-06-02T08:00:05Z
@thebadhandwriting3216,🌌💘🫶🏻🫰🏻🍭,1,2024-05-30T16:27:47Z
@De_todo_algo,My wife 😘😻,1,2024-05-04T04:41:29Z
@EkamdsAnuoluwapo,Tzuyu  with bangs is the best girl 👌💋🌹🥰❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️💙💯🙊,1,2024-03-27T12:03:40Z
@nb00.,📃📃📃📃📃📃📃📃📃📃📃📃📃📃📃📃📃📃➖️➖️➖️📃📃📃📃📃🧊📃📃📃📃📃📃📃📃📃📃📃📃📃📃📃📃📃📃📃📃📃📃📃📃📃📃📃📃📃📃📃📃📃🔴📃📃📃📃📃📃📃📃,0,2024-02-27T02:46:38Z
@sofiaaaa28,Meu amor,0,2024-02-18T20:33:27Z
@quit4everxx,we need tzuyu with this hairstyle again within 2024 🩷,0,2024-02-10T20:21:50Z
@pingjushih1314,💙,0,2023-09-23T07:43:28Z
@EmbarkhMohamed-jd8vv,아주 좋아 보인다 ❤😮,0,2023-09-12T13:52:13Z
@СумаяКишварова,Чёлка Цзыюй просто отпад❤😊,3,2023-08-04T07:26:55Z
@와이스트-z5o,미쳤다,1,2023-08-01T14:12:55Z
@林文章-z6f,WOOOOOOOOW 子瑜太漂亮了 又會跳舞唱歌 台灣之光❤❤❤❤❤❤❤❤❤,2,2023-07-21T14:22:48Z
@RYO-iu7ib,最初の電話の人、別人みたい!?,0,2023-06-25T20:43:38Z
@dirkschulz9850,🥰⚘️,0,2023-06-12T19:19:51Z
@IloveTzuyu-jn6pi,"マジで天使すぎる！❤
どんな髪型も似合うとかもう女神かよ❤😂",11,2023-06-05T15:23:30Z
@HAYOS1574,Tzuyu look like all but not tzuyu,0,2023-05-20T07:12:42Z
@farisaslai1940,TZUYU i L.O.V.E u😍😘🤗,0,2023-04-28T17:34:22Z
@godshleepy,alguém corta essa franja dnv pfvvvv que coisa mais linda,0,2023-04-21T23:40:56Z
@衣晴-s7q,❤❤❤❤,0,2023-04-13T17:22:19Z
@deathnote7294,Preciosa!!!!,0,2023-03-31T01:59:45Z
@Mmlujan,tzuyu is sooo cute and adorable,0,2023-03-30T17:24:46Z
@ピークフィンガー-r2b,同じ人間なのになぜこうも差があるんだ😢😢,0,2023-03-23T14:30:05Z
@Buyamaha1990,Vợ anh dễ thương quá,0,2023-03-18T05:34:52Z
@hanautaa,エビちゃんに見えた😮,0,2023-02-25T23:51:10Z
@haru-vi6vr,Soooooooo cute!!!,0,2023-02-22T11:38:03Z
@匿名-l3j,受話器率高いなw,0,2023-02-02T08:30:52Z
@推ししか勝たん-u4o,ツウィちゃんの笑顔可愛いすぎて死んだ( ᜊ°-° )ᜊ,3,2023-01-31T10:14:43Z
@シナモンロール-i2s,このツウィ可愛すぎる,0,2023-01-27T18:40:52Z
@wittyhare,Cutest,0,2023-01-26T05:10:41Z
@gotaifumanzoku,"前髪ありツウィ死ぬほど可愛い
おかしいバグってる",0,2023-01-23T10:31:55Z
