author,text,likes,published_at
@bunysqq,ITIS SUPERNATUREL,0,2025-03-08T07:47:16Z
@ShellClub,I loved this mv!,0,2025-02-08T12:46:52Z
@Iheartbnd-f5i,Supernatural 😍,0,2025-01-28T11:42:58Z
@이뭉씨,와… 춤선이 넘 이쁘다🥹💚,0,2025-01-24T01:28:00Z
@yulinsefiasari7085,Ayong,0,2025-01-09T07:42:33Z
@yulinsefiasari7085,Ayong,0,2025-01-09T07:41:57Z
@mikit5610,"湯気♨️が邪魔ぁーー😂
でも湯気の狭間から見えるみんな可愛すぎる！！❤",0,2024-12-09T17:01:14Z
@MiyoungKim-r5b,"청순 해린이 파워풀 해린으로 변신했어
해린이는 정말 잘추네❤",1,2024-11-27T15:26:57Z
@달료-j8y,진짜 개머싯다.. 진짜진짜로,0,2024-11-26T13:42:44Z
@Asmi74,They are different from other girlband.energetic... Happy....,0,2024-11-26T13:39:00Z
@LexiqxYT,"역대 최고의 노래, 케이팝이 최고예요. 사랑해요, 뉴진스!",0,2024-11-22T14:52:20Z
@리승춘,토끼들아 안전제일!명심😊😊,0,2024-11-13T00:13:06Z
@myr4-k,im obsessed with danielles outfit!,0,2024-11-12T23:55:04Z
@GulnozeXojidadayiva,MINJI❤❤❤❤❤❤❤,0,2024-11-12T13:45:31Z
@rudycabrera2849,My queens are always slaying! Is there a way to stop them...,0,2024-11-06T00:26:56Z
@마지막팬,봐도봐도 너무 멋지다😊😊,0,2024-11-02T11:33:39Z
@김케케-t8h,뉴진스 고생 마이 했네 공사판에서도 춤을 추고,0,2024-10-30T23:56:21Z
@NewJeans-j6p,I love danielle ❤❤,0,2024-10-22T12:20:47Z
@정요섭-n8i,"bobby brown에 열광하던 청소년기를 보냈는데, 아저씨가 된 후에 뉴진스에 열광하게 되다니..",0,2024-10-15T16:48:55Z
@gracielacristinapautassi8768,Ustedes no son SUPERNATURAL ustedes son SUPERCUTES ❤❤❤,2,2024-10-10T00:20:33Z
@김도연-m8e4b,뉴진스 화이팅,1,2024-10-05T12:49:43Z
@Nico로빈,💟뉴진스곡들은 시간이 흘러도 항상 듣기 좋다는 특징이 있당💟,18,2024-10-03T03:43:03Z
@황재영-m8f,넘 이쁘다,1,2024-09-22T08:10:11Z
@anisapertiwi7021,I love minji supernatural era,1,2024-09-21T04:44:53Z
@marialangley8634,They are all great... NEWJEANS FOREVER!!❤,1,2024-09-19T14:37:45Z
@ee103204,멋쁨이라는 말을 처음 써보는데 이 영상 보니 딱 생각나네,1,2024-09-18T12:22:44Z
@loynis0123,전세계약 해지 응원할게요 🎉,0,2024-09-16T15:16:57Z
@johnstorti1594,❤❤❤❤❤,1,2024-09-13T22:08:14Z
@Bunniesforever-ip6zd,❤❤,0,2024-09-12T18:21:10Z
@Bunniesforever-ip6zd,❤❤,0,2024-09-12T18:21:01Z
@Bunniesforever-ip6zd,❤❤,0,2024-09-12T18:20:52Z
@Bunniesforever-ip6zd,❤❤,0,2024-09-12T18:20:43Z
@Bunniesforever-ip6zd,❤❤,0,2024-09-12T18:20:34Z
@Bunniesforever-ip6zd,❤️❤️,0,2024-09-12T18:20:24Z
@Bunniesforever-ip6zd,❤️❤️,0,2024-09-12T18:20:15Z
