author,text,likes,published_at
@Straykids-skz-143,"my baby is smiling MY BABY IS SMILING OMG I'M GOING TO DIE 
FUCKING SMILE MORE OFTEN SEUNGMIN PLEASE",1,2025-04-15T21:38:36Z
@Mahraxplayz,Sclass being the song with most challenges,0,2025-04-12T08:30:13Z
@쥬세-d3m,크로쓰 하는 척 겁나 욱기네…..ㅠㅠ,1,2025-04-11T08:12:21Z
@y-김승땨,먼가 뚝딱거리는거 같은디 스텝에서 놀라고 특 손찟에서 또 놀랬다..!!,1,2025-04-08T08:07:29Z
@donnaphillips6628,ㅍ 냐ㅛ아 됼,0,2025-04-02T01:44:18Z
@family_stray_kids_cr7,♥ ℒᵒᵛᵉᵧₒᵤ ♥,1,2025-03-31T21:48:19Z
@kkuitkku,누가 영케이 얼굴 정면으로 보도록 고정 시켜 둔거같음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,2025-03-30T14:27:36Z
@fusebebe,아딘짜 이거 백번은 본듯 ㅠㅠㅠㅠㅠㅠ 너무 웃김ㅋㅋㅋ큐,1,2025-02-21T23:27:32Z
@jooniec1228,Impressive young k nim❤,0,2025-02-02T17:00:18Z
@letitbeyoung,영~~|케잇!!!!! 2025년에도 보는 나,1,2025-01-29T06:19:36Z
@user-jx1ri1en2q,영케이 표정  킹받음ㅜ,0,2025-01-25T12:33:35Z
@마이데이_0,삐롱이는 아이돌 했어도 잘했을거같다,1,2025-01-23T19:27:23Z
@Soffbadoobee,Seungmin smile is the best❤❤❤,0,2025-01-20T14:29:36Z
@posiivewAve,다리 왜케 길어......😇😇,4,2025-01-18T12:45:01Z
@layachellappan,seungmins dream come true,0,2025-01-09T01:32:46Z
@ミルクプロテイン-s3o,ヨンケイ兄さんすごい😊😊,0,2025-01-07T12:37:02Z
@ksssus,아닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 처음에는 손 교차 안되는거 뿜었는데 갑자기 스텝은 겁나 잘 밟고 갑자기 마지막에 특은 팝은 있는데 손목 아파서 꺾인 특인거 같아서 웃기고 미치네 킬퐄ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2025-01-05T09:18:05Z
@adriellydeoliveira8235,"O seungmin super feliz de estar dançando com um dos artistas favoritos dele, ver o sorriso dele me alegra tanto 🫶🏻🫶🏻🫶🏻",0,2025-01-03T18:58:09Z
@gapaesamki,이 영상 포인트는 춤은 잘춰놓고 마지막에 아재따봉 떡하니 날려주는게 개웃김 ㅋㅋㅋㅋ,3,2025-01-02T20:14:33Z
@귤모아,아니 보니까 표정빼면 진짜 잘추는 챌린지꾼인데 표정이 너무 흥미있고 귀여운 😀이거라서 웃김ㅋㅋㅋㅋㅋㅋㅋ,1,2024-12-31T16:14:53Z
@Mittixx,댄싱케이 개좋넿ㅎㅎ,1,2024-12-19T02:16:39Z
