author,text,likes,published_at
@ketaki1377,Mithya saundarau,0,2025-04-21T04:36:41Z
@xjigmi,Yahhhh,0,2025-04-12T15:36:21Z
@abcd-ep5zd,ya,0,2025-03-25T13:07:40Z
@MimMahjabin-z7w,Winter hahahahahaha❤,0,2025-03-15T06:47:40Z
@jun2gameworld,와 ㅆ. 기엽당 나보다 누난데,0,2025-02-08T06:30:27Z
@Naeyon_coelhinha_fofa,perfection,0,2025-02-05T22:34:06Z
@wds4360,너무 이쁘다  노래면 노래 춤이면 춤 정말 머라 말하기가 어렵다,4,2024-11-07T13:07:59Z
@1lovaespa,🤣🤣their spoilers are the best,0,2024-10-31T20:51:59Z
@단츄랑_결혼한_셔츠,다들 졸리는거같으면서 스포하는거 다들 넘 귀엽다…❤❤❤❤,5,2024-10-25T18:12:49Z
@Kpopluver-2229,I did it,0,2024-10-24T10:03:30Z
@kekegaming6648,Kok gw yg kaget anjir🙂,0,2024-10-23T15:05:41Z
@longwolf1945,"Casi caigo en el engaño, ella no se estaba quedando dormida",0,2024-10-17T17:24:00Z
@소떡소떡개구리,진격의거인 같아요😢,0,2024-10-15T14:02:59Z
@do_rri,호,0,2024-10-15T11:07:56Z
@uma_menina_crista,Tá vindo algo grande aí em meninas,0,2024-10-14T19:20:06Z
@gイナビリ,에스파 귀걸이??,0,2024-10-14T11:33:32Z
@catwinsall,이거 왤케 고전 명화같냐,6,2024-10-13T23:15:33Z
@AlQuran-e9i2c,Guys all j saw in everyvid was like cameras and some senerias maybe a peaceful type song?,0,2024-10-12T08:55:32Z
@전장의신-r8z,모야,0,2024-10-12T04:02:04Z
@라뭉치,와 꾸벅 데는 모습이 너무좋아서 영상 100번도 넘께 봤응,3,2024-10-12T00:12:36Z
@Harudal,아니 10일이나 더 기다리라고??? 당장 5번 트랙 내놔!!!,9,2024-10-10T16:30:57Z
@obo.9ii,부장님 겨울이 졸아용!!,1,2024-10-10T11:28:27Z
@Editz_by_halia,Winter is stunning ❤,1,2024-10-09T18:57:29Z
@luckycat-s7u,so pretty,2,2024-10-09T09:51:00Z
@EliElieElise,Aespa ! We miss you,0,2024-10-09T08:53:40Z
@ÆSPANingNing02,Cute Winter🥹,0,2024-10-09T05:57:13Z
@cleomedezhrei4174,So Barbie coded Winter ❤,0,2024-10-09T00:00:29Z
@SteerSteer-wp4ij,WINTER 🎉❤😊,1,2024-10-07T21:04:05Z
@slynayy,Winter❤,0,2024-10-06T23:52:05Z
@sllyn143,Winter ngantuk😂,0,2024-10-06T23:50:38Z
@HistoriaenMapas,this comeback is gonna be amazing,44,2024-10-06T19:14:50Z
@Itz_Moli_Roblox,My teacher as soon as Iam not concentrated on class..,0,2024-10-06T18:16:24Z
@_love_lia,SHE LOOKS SO PRETTYYYY,0,2024-10-06T16:22:01Z
@_love_lia,prettyyy,0,2024-10-06T16:21:54Z
@_love_lia,OMG ❤❤,0,2024-10-06T16:21:50Z
@liiliiliiliiliilii,의상보다 방송장비가 더 많이 숨어있는 듯?,0,2024-10-06T14:57:09Z
@suzaizailovey,PRETTY WINTERRR,9,2024-10-06T12:31:32Z
@Сердцедуши,Ангел 2024 ❤!))),2,2024-10-06T11:55:54Z
@priyankarao9812,"Really miss camera guide videos of their mv, hope we get one for this comeback.",6,2024-10-06T10:29:14Z
@priyankarao9812,"Please let this comeback remind me of 'Girls', 'Savage'. We are starving for our core, unique, futuristic Aespa sound. Love Aespa. Too excited for girls.",2,2024-10-06T10:28:13Z
@kelrycris4717,Meu amor ❤,0,2024-10-06T02:11:55Z
@devinanderson2785,Winter ❤,0,2024-10-05T23:01:36Z
@K-pop_obsessedgirl,I slowed down video and saw the pictures very random pictures but that’s Aespa very unique and random in concept,0,2024-10-05T22:53:28Z
@quintaldojoao,"These teasers are a form to criticize sm's work schedule, our girls deserve vacation poor things 🫣💙",0,2024-10-05T22:17:50Z
@ImNOTtingting_MY,"me 24/7:

Minjeong is literally so cute",0,2024-10-05T16:51:53Z
@dinda4698,YOU WILL ALWAYS BE MY AMBOYA BABY 👧❤,0,2024-10-05T16:44:16Z
@dinda4698,A SLEEPY PUPPY 🥺🐶❤,0,2024-10-05T16:42:08Z
@Elly_46,KAKAKAKAKAKK,0,2024-10-05T15:12:20Z
@geaule.x,"앜...민정이 넘 귀욥,,",1,2024-10-05T13:22:21Z
@phatdieuthi7994,So cute ❤❤❤❤,3,2024-10-05T13:04:56Z
@Hoood-g3h,....이야!!,0,2024-10-05T10:54:02Z
@만족을아는자,야 일어나 안 일어나면 안돼,0,2024-10-05T10:23:17Z
@mymy20luli35,❤❤❤❤❤❤❤❤,0,2024-10-05T05:12:11Z
@에스파짱잇츠서랑,겨울이☃️,1,2024-10-05T05:05:38Z
@karekare1261,Love it ❤❤,0,2024-10-05T04:25:36Z
@Cazuize2308,Winter:WTF 😂😂😂,0,2024-10-05T04:25:07Z
@awan_ppeu,ok winter comel,0,2024-10-05T02:54:57Z
@c.hxn1,이 이야(?) 라고 할때 사진 멈춰서 보면 그거 스포 아님?❤❤❤,1,2024-10-05T02:26:17Z
@dollesxent,The blonde hair🩷🩷💕💕,2,2024-10-04T23:04:52Z
@sjdkdkcsjxkcj9122,딱밤 3대,0,2024-10-04T23:03:05Z
@MagicBySG,😘,0,2024-10-04T22:08:08Z
@gabyyy89,winter que pasó donde estoy computador,0,2024-10-04T16:58:50Z
@phismaker,0:00,0,2024-10-04T16:53:40Z
@kim.d6455,ㅎㅎ귀여워요,3,2024-10-04T16:09:09Z
@suyeon-th2ru,❤❤❤,0,2024-10-04T15:50:16Z
@MB-nv8sw,I love you Kim winter 🥰,0,2024-10-04T14:41:51Z
@해진정-b4e,스포 킹받아 ㅋㅋㅋ 윈터 언니 너무 예쁜데?,0,2024-10-04T14:38:45Z
@헤이니즈_핸,귀여우ㅜㅠ,2,2024-10-04T14:32:44Z
@zvezdniy_dozhd,Минджон такая красивая❤,0,2024-10-04T13:53:49Z
@염기영-j7z,흐이그 이뽀 죽갓구만ㅋㅋ😊😊❤❤❤,1,2024-10-04T13:29:14Z
@gurlikruber9136,Winter looks like 2.0 Elsa from frozen ❄️❄️ ❤❤❤❤❤❤❤❤❤,0,2024-10-04T12:57:39Z
@aeD4RK,"Winter looking like a Disney princess with that Blonde, Black and Brown hair combination; OUR PRINCESSJEONGIE! 😭👸🏻🪄",61,2024-10-04T12:47:52Z
@Wonyoung_pie,너 너무 귀여워,2,2024-10-04T12:36:17Z
@jxychelsea.,winteraoeye,0,2024-10-04T12:22:52Z
@peterchan6999,winter fighting !!!!,1,2024-10-04T12:18:02Z
@fanyutseng2284,WINTER 🥰🥰🥰,1,2024-10-04T12:17:18Z
@nerivansilvasilva702,oi hi eu você love são tudo thanks you em sini ok cctv são tv oo foi no sim e se você 💛👋😊😍😘,0,2024-10-04T11:23:22Z
@Michele_daily,I love aespa,2,2024-10-04T11:17:21Z
@lostime1018,카메라 바퀴 달린?그런거에 풍경에 단발머리 그리고 귀걸이  맞나몰겠넹,0,2024-10-04T11:06:40Z
@chuchuruss,쇼츠가 원래 이렇게 긴건가요?,0,2024-10-04T10:59:37Z
@GUiTERtUbE,aespa never stops to impress me along the year 🥰,125,2024-10-04T10:19:24Z
@Ysigigur,윈터 이 영상에서 입은 니트 정보 아시는 분.. 제발 알려주세요,0,2024-10-04T10:13:15Z
@Feterex123,❤❤😍😍,0,2024-10-04T10:01:40Z
@R1hanna,윈터 배우님🫶🏽❄️,0,2024-10-04T08:14:34Z
@클리톨리스애무장인,와꾸박살 뉴진스보고왔더니 눈호강하노,0,2024-10-04T08:11:26Z
@acaami,it’s giving matrix vibes lol,0,2024-10-04T07:28:09Z
@dreaddeo5978,이거 고도의 마켓팅 혹은 홍보네요. 스포가 꼭 나쁜 게 아니군요.,0,2024-10-04T06:26:36Z
@동글이̥_̥,진짜 너무 사랑스럽다❤,2,2024-10-04T04:18:17Z
@김사임당-p3y,이것두 스포…?,0,2024-10-04T04:10:33Z
@이승민-d7x6j,조는 모습 너무 기여어!!!!❤❤ 우와ㅏㅏ!!!!! ❤❤❤  저 헤어 색깔이 요번 컴백때 나올 색인가? ❤ 조는 모습까지 이뻐버리면 나 심장 아프다구!!!❤❤❤❤ 우아ㅏ❤❤❤ 사랑해요❤❤❤,1,2024-10-04T03:52:18Z
@lisasluviivi,Winter so pretty ı love you much,1,2024-10-04T03:28:04Z
@KaizenCH08,Spoiler Dikit 😭,0,2024-10-04T02:33:05Z
@유한남-d5h,어제 너무 힘들었구나..,0,2024-10-04T01:34:38Z
@VIMICISUKT,Durante quemé cuando estaba wimter 🖤,0,2024-10-04T00:58:00Z
@mthvxsz,Fofa,0,2024-10-04T00:45:39Z
@hannah00608,"I downloaded it, then got every single spoiler by pausing 😅😅",4,2024-10-03T23:57:40Z
@javiandKyu,"poor my Wintersita :(, she was getting sleepy 💗",6,2024-10-03T23:47:19Z
@Ариса-н8п,Это я на работе 😅,1,2024-10-03T23:29:06Z
@이불량감자,왜!,1,2024-10-03T23:12:39Z
@mirapark5221,윈터 기여웡❤❤,2,2024-10-03T23:05:42Z
@guvyii,I GOT IT 🤭,1,2024-10-03T22:30:25Z
@wintergod0101,민정이가 졸리데!,0,2024-10-03T21:49:55Z
@kpoppiest,This styling on her blonde hair is everything 😭😭 she looks like a princess or a manhwa main character,140,2024-10-03T21:10:45Z
@Aep1nk_bluu,Winter is so cute ❤,3,2024-10-03T21:02:02Z
@AnnaSophiaLuna,I love you ❤aespa so much my forever winter karina ningning giselle ❤u all so much ❤,4,2024-10-03T20:31:37Z
@BLACKLION-t2o,🫢,0,2024-10-03T20:15:35Z
@今井みゆき-x3u,❤❤❤❤❤❤,2,2024-10-03T19:57:05Z
@exph0lieproph3t,WHIPLASH,3,2024-10-03T19:27:55Z
@mesofatteh,Love winter😭💞,3,2024-10-03T18:44:37Z
@KangZilanৎ,"윈터의 검은색, 금발, 갈색 머리 조합이 아주 멋져 보입니다💗👸🏻",1,2024-10-03T18:44:08Z
@KangZilanৎ,졸고 있을 때에도 겨울은 여전히 ​​세상에서 가장 귀여워 보입니다.✨,1,2024-10-03T18:42:48Z
@miumi6991,can't wait,1,2024-10-03T18:10:15Z
@mateuszgrochowiecki8396,Sleeping beauty 🩵,1,2024-10-03T17:50:32Z
@onganh7181,Thương em ấy quá làm việc ngủ gật luôn mà,1,2024-10-03T17:40:00Z
@davey6022,Winter looking gorgeous as ever🥰,9,2024-10-03T17:35:38Z
@happyamm,김윈터 귀여워,0,2024-10-03T17:10:44Z
@GARY윈터팬-l5k,아잉 귀여워ㅓ,0,2024-10-03T16:23:22Z
@rubyjane.mp4ৎ,The amount of spoilers we got… 😭,0,2024-10-03T16:10:15Z
@l---l6,GISELLE VOICE!?😮😮😮,0,2024-10-03T16:01:00Z
@iikk8075,야랑 뒷목댄스랑 으흠,0,2024-10-03T15:55:22Z
@nana_forlife,Aespa ❤️,0,2024-10-03T15:53:03Z
@GatoFeliz-cd4zk,Pretty Winter ❤,2,2024-10-03T15:43:39Z
@김버터-s1d,가면갈수록 내가 힘들어져서 머리채잡고 봄......,0,2024-10-03T15:42:02Z
@hyeyunj34,와우,1,2024-10-03T15:35:45Z
@little_nayoung-jung,Winter so pretty❤,0,2024-10-03T15:29:15Z
