author,text,likes,published_at
@응채-i9p,도영이가말아주는로인캘이아니면안된다고,0,2025-04-20T10:55:00Z
@aims789,amazing,0,2025-03-16T12:55:25Z
@dy_poison,아 페스티벌 가야겠다 이곡이 나와줬으면 좋겠단마음으로 가야겠어 이번 페스티벌,2,2025-02-27T11:40:56Z
@shalalalaa77,💚💚💚💚,0,2025-02-03T19:35:30Z
@kaputt_jay3873,"This song is perfect. The instrumentals give off a wistful, dreamy vibe - like you're actually lost in California - and his chest voice in the last chorus gives me chills.",0,2025-01-30T02:28:48Z
@aims789,WONDERFUL !,3,2025-01-11T01:47:43Z
@bluemoonbluedoor,이거 1등,1,2024-12-16T17:50:40Z
@สวัสดีนะฮาฟฟ,ลูกแม่เก่งมากเก่งที่สุดดดดดดดน้องโดยองของแม่❤❤❤❤❤❤🙌🏻🙌🏻🙌🏻🙌🏻,1,2024-12-03T16:00:41Z
@error0281,2:07 OF GELDI BENIM PART,0,2024-11-17T16:28:22Z
@error0281,ne ara yarim yil olmus yuh be,6,2024-11-17T16:27:01Z
@Etude-dream,로인캘 진짜 좋아,1,2024-11-06T16:08:40Z
@dianamckinley9898,My fav song 😍,6,2024-09-24T22:01:26Z
@펭돌돌,모든노래가 다 좋아 이런앨범 처음임...,10,2024-09-18T01:13:13Z
@enairap2175,"[Verse 1]
Far away
I take heavy steps
When I look back
It feels like the young me is standing there
With the sunset gone in the sky
Seems like only I am lost here
I wait, when the time comes, yeah

[Pre-Chorus]
Engraved under the palm tree along the street
Is my long-held wish
Seems like it will endlessly consume me

[Chorus]
Lost in California
Oh, ah, where am I?
I'm just fallin' behind
Oh, I'm not fine
With my dusty memories
And the chilly night
California seems to have lost the light
But I'm gon' try
Never gonna fadе out

[Verse 2]
Oh, why
This place remains the samе
Broken light, sounds of music
Can't leave the red-light beach
I want to bury it all inside
Again it comes up, yeah

[Pre-Chorus]
Engraved under the palm trees along the street
Is my long-held wish
Seems like it will endlessly consume me

[Chorus]
Lost in California
Oh, ah, where am I?
I'm just fallin' behind
Oh, I'm not fine
With my dusty memories
And the chilly night
California seems to have lost the light
But I'm gon' try

[Bridge]
This night becomes my song
So I can listen to it
Even if I can't come again
The only thing that doesn't change is this song
I feel like I'll endlessly dream

[Chorus]
Lost in California
Oh, ah, where am I?
I'm just fallin' behind
Oh, I'll be fine
With my dusty memories
And the chilly night
California seems to have lost the light
But, I'm gon' try
Never gonna fade out

[Post-Chorus]
Dream in California
I won't leave here
'Cause I'm lovin' my
Dream in California
I won't leave here
'Cause I'm lovin' my
Dream in California
I won't leave here
'Cause I'm lovin' my
Dream in California
I won't

[Outro]
Never gonna fade out",4,2024-09-06T15:14:05Z
@hhhappY-100,🐰😍,0,2024-08-27T00:22:00Z
@이불-u8m,어린 시절을 회상하는 것 같으면서 밝으면서도 묘하게 서늘한 분위기가 너무 좋은 것 같아ㅠㅠㅜ 노래해줘서 고마워 도영아. 이 노래 너무 내 취향이다,4,2024-08-24T14:01:35Z
