author,text,likes,published_at
@RullieRules,"Ningning is so smoooothhhhhh, i meant her vocals.",0,2025-04-19T18:02:06Z
@joyuriakgae,13:23 전설의시작,0,2025-04-12T11:56:33Z
@hunniesanr,Bare face karina is stunning,0,2025-04-11T16:16:22Z
@hunniesanr,"KARINA NEVER DISAPPOINTED, ONE OF A KIND VOICE",0,2025-04-11T16:11:03Z
@Ruka_Asa-v4d,3:12  Karina She looks so much like Jaehyun Boynexdoor ❤,0,2025-04-10T17:29:19Z
@AbidaHimi,Ningning vocal is underrated ❤😢,4,2025-04-07T15:10:29Z
@ragilristianingsih43,Love you both two spectacular,0,2025-04-07T07:37:01Z
@r_rrrrrrr,에스파 디렉쌤 진짜 나올때마다 느끼지만 너무 고급인력이심 나도 이 쌤한테 디렉받고싶다.. 노래도.. 어쩌면내인생도......,0,2025-04-03T18:25:29Z
@눙-v7u,15:15 닝,3,2025-03-31T15:59:00Z
@andinekaa,karina’s voice and her bare face are insane😮‍💨🫶🏻,4,2025-03-28T04:30:00Z
@EL-on7xd,09:54 🍯,0,2025-03-27T23:26:41Z
@aylindstar,up ga akan sekeren itu kalo bukan karina yang nyanyiin😍,0,2025-03-19T12:27:30Z
@湘-e9l,Ningning ❤❤❤❤❤,2,2025-03-18T04:42:10Z
@Jumpingjay,둘 다 어쩜 저렇게 디렉 해주는대로 바로바로 소리를 뽑아내는지~! 둘 다 보컬 너무 좋아요~~~~!!!!!,5,2025-03-13T00:10:36Z
@3363-f3w,14:44,0,2025-03-04T09:45:01Z
@MiguelSantoscerj64,"Amo estes vídeos 📹,  show!!!",1,2025-03-03T19:17:25Z
@Alsjwkann,NINGNING 🔥🔥🔥,3,2025-03-01T13:11:26Z
@user-qh5vr8ek8x,"(한국어를 배우중!)
역시 녹음실 영상에 말하면 아직도 에스엠이 제일 잘하는 것같은데

가수 표현을 하나도 빠짐없이 잘 수록했어요 애들이 원래 실력이도 좋고, 이렇게 보니까 더 매력적이네요

완전히 재밌게 잘 봤어요~~ 많이 올라 주세요!",5,2025-02-27T14:41:26Z
@久我-l6t,声がほんとに魅力的！！,1,2025-02-26T13:42:17Z
@amyg268,"I didn’t realize Ningning’s solo song was called bored, I was really expecting her to be hanging around Karina’s recording for some reason, just being bored 🤦‍♀️😂",0,2025-02-25T16:35:51Z
@세야꼬,첫번째 셔츠 정보 아시는 분,0,2025-02-25T14:34:47Z
@김연준-8공뜸,닝이너무이뻐요,4,2025-02-17T10:48:00Z
@戡-p8p,ニンニンの歌声世界で一番好き！！,2,2025-02-08T12:36:10Z
@liinnnxy,"Ninning has such a gentle voice, her voice fits all genres of songs, I love her❤",8,2025-02-05T04:25:35Z
@小宇-i4d,10:16,1,2025-02-02T10:29:08Z
@우아-r4j,닝닝 노래 개좋음..,5,2025-01-31T13:55:19Z
@nickyfauzia5006,Ningning voice is so clear ✨✨,3,2025-01-31T10:29:05Z
@soufouboultif,Karina's vocals are insane she has a wide range just wow,20,2025-01-26T12:30:43Z
@aylindstar,SUPERSTAR KARINAAAAA,2,2025-01-22T02:16:10Z
@aylindstar,"KARINA VOICE'S,  OMGGG GORGEOUS❤❤❤❤",3,2025-01-22T02:04:15Z
@vlssel,ningning vocal mu masyaallah sekaliii,2,2025-01-19T03:43:53Z
@leticiasouza7473,"ningning's voice is soooo pretty, so soothing and seeing how she barely needed guidance just proves how amazing she is, so professional <3 love bored!",5,2025-01-14T13:23:36Z
@uwecornelius4633,NingNing my dream Queen🥰😍🤩❤‍🔥❤‍🔥❤‍🔥💋💋💋,2,2025-01-09T15:19:53Z
@youwantmyAtotheZ,Looking forward to karina's next solo. Wishing for a killer type of song 😊,6,2025-01-05T13:41:39Z
@강냉이-w3v,이 레코딩은 닝닝이 진짜임,6,2025-01-02T12:16:58Z
@HelaAshrin,"Karina proving South Korea is the home for Kpop. Like Korean member already too talented. Not only in aespa but other kpop group as well. No wonder Kpop currently dominating the world rn. Not Jpop, Cpop & etc.",3,2025-01-02T08:26:11Z
@Jin20307,"Karina và Ning Ning cả hai đều tuyệt vời,họ có những gì họ có và hai cô nàng thể hiện rất tốt",0,2025-01-01T06:43:21Z
@LittlefartBear,🦕🦖,0,2024-12-31T13:20:49Z
@QueenRamos-p2v,Karina's deep voice HELPPP,8,2024-12-31T02:59:41Z
@HelaAshrin,crazy that UP is going to 40M soon,1,2024-12-28T17:56:41Z
@saltlight4220,"To those who give negative comments and hate to any artist, as if you can do better.  Being an artist is hard work ❤",0,2024-12-28T06:13:48Z
@KethiaKuka,Ningning vocal incroyable 🔥🔥🔥🔥,1,2024-12-24T22:00:51Z
