author,text,likes,published_at
@WoonhakWoonhakecil,보고싶다😭,1,2025-04-30T14:43:42Z
@岡野-h9i,ㅇ오노튜텽ㅇ옽ㅇㅇ온토오유텨웅옫ㄷㅇ튱ㅌㅌㄴ노오로ㅕ유텨유텨튜텨튜ㅑ튜탸유탸유텬ㅍㅇ튜ㅕ유여농오야유탸튜야튜초츄튜쳐튜너튜ㅑㅋ유터오옽야ㅠㅇㅌ유터여유율,0,2025-04-30T01:26:58Z
@岡野-h9i,ㅊ오좉오오유터류로돝ㄹㅈ오올도튜어튜오오뉴롱ㅇ도옹럳오촡ㄹ도로류옹오돝오돝오유토융ㅇ옹ㅇ옹유엉ㅍ오ㅑ유오융유로유엉어종융유ㅗ우터ㅠ옹너녀오여오오너어유통ㅍ톤ㅍ텅오오오어오듀얀혀유요유즁ㄹ오여융오옹ㅇ도오옹어츄옹어옹도여유토텨윹늉오야ㅠ튜ㅓ어어노어ㅑ텅오여ㅗㅌ오노ㅕㅌ옹ㅎ뉴통펴옹ㅎ엊오,0,2025-04-30T01:26:13Z
@CessNovencido,2025 anyone? Ahhhh missing my WonHan <3,0,2025-04-29T01:47:34Z
@catherinesusan6253,Still in my heart this Love Letter ❤❤,0,2025-04-28T05:05:28Z
@서현-lee,설마 2025년에 보는 사람이 나말고 더 있겠어..?,0,2025-04-28T02:13:33Z
@yes.im.nicholas,aww,0,2025-04-27T04:03:16Z
@mayme4187,그때 보고 싶다,1,2025-04-22T11:46:30Z
@Gojosatorumi9,Who's here in 2025❤,2,2025-04-21T08:15:46Z
@featjeonghan,Cungg yg 2025 😭😭😭☝🏻☝🏻 maaf ya aku telat dateng,3,2025-04-20T05:54:48Z
@svt_seventeen17,아 광대 아파,0,2025-04-19T07:31:38Z
@꿈터누,너무 고맙고 감사한 존재들,1,2025-04-14T14:48:03Z
@chicchictr,2025 anyone? ^^,3,2025-04-11T00:54:08Z
@zhuiyu_lyra9850,i miss you so bad:'),2,2025-04-06T01:28:33Z
@xiongda-zc1mp,ANYONE IN 2025,2,2025-04-04T11:10:24Z
@sora_maruu,언제 들어도 좋다… 그시절 감성을 차곡차곡 담은 영상이라 더욱 그립고 애틋한 뮤비ㅠㅠㅠ,2,2025-03-27T22:40:33Z
@snmis_svt,たまーにふと見たくなるMVだな♡皆かっこいい＜可愛い で本当に素敵！*.+ﾟ,0,2025-03-22T09:00:42Z
@kacawamin1859,Soek Min在這裡好帥喔😳😳,1,2025-03-16T13:56:43Z
@kacawamin1859,居然是以前的IG版面🥹🥹,1,2025-03-16T09:36:40Z
@fevkre,Baby Svt❤,0,2025-03-11T20:08:05Z
@annalyndeleon5843,"march 10,2025 😍😍",1,2025-03-10T12:05:33Z
@1004yjh-r,"It's lovely, angst and comedy in one mv😂",2,2025-03-09T17:26:09Z
@esa_8.17,"얘네들이 이제 군대를간다니,,",2,2025-03-02T16:57:42Z
@nawa_ssi,2025.03.02 checked in  ❤,0,2025-03-02T02:56:30Z
@twaeceteen,"eran re chiquitos :""c",1,2025-02-28T23:13:19Z
@oastashi,I love you,0,2025-02-23T16:59:48Z
@2000Meggy,I LOVE YOU SEVENTEEN 😭😭😭😭😭😭😭😭,0,2025-02-22T20:57:07Z
@rkayu16,❤❤❤❤❤,0,2025-02-21T14:38:51Z
@moon.c25,(⁠ ⁠◜⁠‿⁠◝⁠ ⁠)⁠♡,0,2025-02-20T12:01:55Z
@caratkate2860,February 18 2025 this was recommended to me. I haven’t watched it in almost two years and I first watched it right before I got to see them on tour.,1,2025-02-19T00:10:18Z
@HG.eonni91,"2025 anyone? Back here as post concert ❤
This is the beginning of blue and pink i guess. ❤",1,2025-02-14T16:06:08Z
@jlmrnl,"filler, lezgaur 10.5M!!!",1,2025-02-14T14:25:15Z
@kmgyu-r1y,celebrating vday and carat day with seventeen ! 🤓🩷🩵💎,0,2025-02-14T03:04:33Z
@T00thless__O103,Happy Carat Day!!,0,2025-02-14T00:32:46Z
@Mary-AnnRojas,what am i watching 😭😭😭😭😭,0,2025-02-07T21:29:20Z
@Nongdamimnida,Came here again because I miss this song and their youthful era 😢. Time flies so fast.,1,2025-02-07T14:14:20Z
@rifaaafra,2:22 전 원우 ㅋㅋㅋㅋ,0,2025-02-02T23:37:37Z
@rifaaafra,cutiess,0,2025-02-02T23:34:26Z
@aprilaisahbasar3092,2025 anyoneee???,2,2025-01-30T15:19:05Z
@옥수수빈-j8w,갑자기 생각나서 보는데 뭔가 너무 울컥함..,2,2025-01-29T06:56:27Z
@jinreeey,:),0,2025-01-27T17:39:21Z
@Real-o6t,I cried rewatching this,0,2025-01-27T12:41:50Z
@belight2612,"LOVE LETTER   (a song written, composed, and arranged by these talented humans, not AI)
Lyrics: Woozi, S.Coups, Vernon, Wonwoo, Mingyu
Composers: Woozi, Won Youngheon, Dong Nehyung
Arrangers: Won Youngheon, Dong Nehyung, Min Sik-I",10,2025-01-25T23:05:32Z
@iloveseungkwan17,It's already 2025 and Seventeen will always have a special place in my heart,1,2025-01-23T08:48:09Z
@ElizaClaireAgana,missing this era 😢,0,2025-01-18T18:46:23Z
@oothoisidorothy4129,Its almost 8 years,2,2025-01-13T17:51:19Z
@oothoisidorothy4129,":"")",0,2025-01-13T17:50:45Z
@ppangpang-p1r,it's been a long time since i saw this MV. i'm so grateful to have known svt for so long that when i listen to love letter i can feel nostalgic,3,2025-01-11T17:31:30Z
@jniquefat13,I miss them,0,2025-01-11T14:36:59Z
@haznadilla,2025 and i really miss this song. I really hope svt would perform this in their world tour as well as other songs from their early-debut days. This album is a masterpiece 🥹,0,2025-01-09T16:27:06Z
@aaryanmishra45,"Who is watching in 2025 this master piece again 
Its like they just debuated its been a long journey to 0 awards to lots of award
And fame 
I hope that they will complete their military service fast and safe and we soon see OT13 
Its a sweet and lovely message from a indian carat 🤗🤗❤❤❤❤❤🩷🩷🫡💍💍please come to india soon we can't wait more 
Me a happy carat ❤❤🥰🥰😇😇😺🦊🐯🐯🦊🐕🍊🍊🍒🍚🍚 lots of love to all the members stay healthy and happy and hope we meet soon as a carat and idol",1,2025-01-06T11:59:18Z
@always_carats,2025♡,0,2025-01-05T04:18:06Z
@natdiya1026,I don't know why every time I see this video it makes me cry,0,2025-01-03T14:13:26Z
@nurazz_,2025🎉,2,2025-01-01T09:50:34Z
@jhoanniej6304,it's almost 2025 and i'm still throwing it in the air 😂❤,5,2024-12-26T12:04:22Z
