author,text,likes,published_at
@weareoneEXO,"🏍 'Rover' MV https://youtu.be/zlTIextYnyQ
🎧 'Rover' Album http://KAI.lnk.to/Rover",173,2023-03-25T10:13:11Z
@21jooya,카이 김재환 조합 또내놔🫴,0,2024-12-10T13:27:01Z
@Gsuuw-s4e,"와 내 최애들이만났네//
진짜 상상치도못한 조합..!",0,2024-09-19T16:06:52Z
@EXO_l_bhwhwdma,양다리걸친 오빠들이 만났다.........하하핳하하ㅏ핳,1,2024-08-01T01:23:28Z
@kirashields7383,I swear he and Changbin are tryna become the K-pop version of Pokémon collectors 😂,0,2024-01-02T22:30:20Z
@kriswu1235,"كيوت اووي كاي
وحشني❤",0,2023-11-30T09:13:18Z
@nurryhaloo09,Ahhh jaehwaan,0,2023-10-20T12:24:15Z
@푸덕eeee,프로듀스101에서  내 최애가  우리~~카이랑  댄스타임~~~,0,2023-09-10T14:42:37Z
@Thegamer0ne7,👽🤙🤙🤙Slayyyyy,1,2023-09-06T19:14:33Z
@jardriellymendes7227,Amo exo,0,2023-09-03T23:15:20Z
@megumichan3571,wow jaehwan improved since pd101,0,2023-08-22T15:35:45Z
@fabiacleice9955,Não me cansso de ver vcs dançando esta. Música.❤❤❤❤❤❤,0,2023-08-20T18:53:24Z
@nirjes1749,miss you kai,0,2023-08-11T22:03:04Z
@nirjes1749,Wooow ❤,0,2023-08-11T22:02:45Z
@emiliaakerman3505,Love you Kai ❤❤❤,1,2023-08-11T10:11:14Z
@زهرتالشام-ه9ي,❤❤,0,2023-07-30T11:28:29Z
@armyhead7,I'M WRITING TO BE FAMOUS #202,1,2023-07-10T21:07:46Z
@blinkarmynator2127,"Omg , I love so much Jaehwan from wanna one and produce ❤️❤️❤️❤️❤️❤️❤️❤️❤️",0,2023-07-07T15:17:04Z
@tamakikun5109,you can see kais reaction in the back so encouraging,0,2023-07-05T06:59:48Z
@Wej8dan,ياحبيبي ياكوكي واحشني 😭♥️,0,2023-07-01T03:13:04Z
@kittybyeongcheol,김종인 너무 귀엽다…,0,2023-06-30T13:22:15Z
@彭川-s9x,10 / 10❤❤❤,0,2023-06-23T02:39:55Z
@FC_love_zonzon,Kim jaehwan look so happy .,1,2023-06-15T10:39:19Z
@Jongshe,من که منحرف شدم,0,2023-06-14T08:04:55Z
@reactwithme7250,I can clearly see that Kai get bored of doing rover several times 😂😂😂😂,1,2023-06-13T02:10:15Z
@marialuzayalatorres6001,Me encanta como vacilaba moombii ello lo hacer muy bien d vnzla,0,2023-06-10T15:34:53Z
@bchfu,💋💋💋,0,2023-06-08T19:47:05Z
@chenthamarag1292,Pov: Kai Addicted this song😂❤,2,2023-06-08T06:37:16Z
@baebaelee6978,🫶🫶,0,2023-06-06T04:01:35Z
@baebaelee6978,👏👏,0,2023-06-06T04:01:24Z
@badayoo_,김재환 변백현 닯았어 웃을때,0,2023-06-05T03:41:14Z
@midoriyaizuko97,كاي شكله خلصت الملابس من عندكم و خذيت من خزانه سوبين صح؟؟ 😭😭,0,2023-06-02T15:41:19Z
@AlbaniseAleluia-cw4py,Muito bom 🥰🥰🥰🥰🥰🥰🥰🤩🤩🤩🤩🤩🤓❤️❤️👍👍👍👍👍👍👍👏👏👏👏👏👏👏👏💜💜💜💜💜💜💜🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,0,2023-05-30T14:12:14Z
@moua801,🤔🤨🤔🤨🤨😏🫤🫤🫤🙂😀😊🥰😍🤩🤩😘🥰🥰🤔🤨🫤🫤From which band is this?,0,2023-05-29T22:11:47Z
@afrizaljalle8568,April,0,2023-05-27T07:00:30Z
@kloclayera3549,"Yo también quiero bailar contigo Kai, LOVE U ❤",0,2023-05-25T08:04:59Z
@nataliaassissilva555,❤❤❤😊,0,2023-05-24T21:33:56Z
@byulsoo,Kai❤,0,2023-05-21T07:43:34Z
@utharasudheeshsudheesh8807,❤💙😘😘😍😍,0,2023-05-19T16:03:06Z
@triwidyaningsih6273,Come on jaehwan comeback in SM ❤❤❤,0,2023-05-17T12:00:35Z
@merdykanty5279,Ehh baru liat Jaehwan ada juga challenge Rover ❤️,0,2023-05-16T17:12:35Z
@arar988,يا اخي مسكاهم كتيرر حلوين هاي الكاءنات,0,2023-05-16T14:18:26Z
@christinalingling3689,Why Kai looks like have a bad mood in this video? 🤨,0,2023-05-16T04:32:17Z
@marianmolina4552,Ola❤😂🎉😅😊,0,2023-05-15T14:40:08Z
@Nyrlacla_202,KAI this dress is too big!!!!,0,2023-05-15T06:07:03Z
@마이스,"이 영상 찍는 과정
youtu.be/hfcqa5KRQJE
10분쯤 나옵니다~~ㅎㅎ
재환님도 잘추시고 전 종인이 목소리 있어서 좋았어요😊",0,2023-05-12T23:46:57Z
@kpopkurshmultifandomvibes,"You notice something the background is look  like x:in group 
Background 😮😮😅",0,2023-05-11T07:59:06Z
@ILove_Cat363,I lveo you KAI (:,1,2023-05-09T10:19:51Z
@Boşhayal,Kai 29 years🥺😞,0,2023-05-04T12:01:01Z
@Ihearttwiceforever,"Kai literally said ""the whole entire kpop industry has to do Rover 😊😊😊😊😊😊""",1,2023-05-02T01:36:54Z
@애봉-u2c,"잠시만.. 이제 봤는데 둘이 옷 바뀐거 아니죠..?
아니 비꼬는건 아닌뎈ㅋ 스타일이 바뀐듯한 느낌",0,2023-05-01T06:37:36Z
@XxJust_StayxX,ĞAĞAĞAĞAĞAĞAĞA,0,2023-04-30T05:55:48Z
@luv0812,김재환 아직도 댄스 보컬 레슨받는다는ㅋㅋㅋㅋ 잘할수밖에없는듯,1,2023-04-28T09:57:22Z
@deivisperezvenegas7790,"Este opinión es aparte,pero se imaginan a Kai y Jimmy haciendo una colaboración 😊",0,2023-04-26T02:24:42Z
@iwansugiyarto4509,Sekarang dh pinter dance ya Kim jaehwan..padahal dulu jd trainer produce 101..sampe nangis g bisa hafal gerakan dancenya.hahahaha😂,0,2023-04-24T23:38:59Z
@김쿠지-c5b,아니 김재환 왜이렇게 잘추는데,4,2023-04-24T11:58:24Z
@srija1798,Kai connecting the whole kpop world for rover 🎉😂,0,2023-04-24T11:14:56Z
@성화강-e9o,"까불이 재화니, 넘 귀엽잖아❤",0,2023-04-22T08:56:27Z
@hrfyeray9717,ليش لابس بنطروني؟؟ 😢,0,2023-04-21T09:23:38Z
@monamanimaran-zi5kh,Picceikaran😂,0,2023-04-20T11:21:31Z
@Elst.someone,طيب ليه ماتصوررر مع كوبسسسسسس او عضو من سفنتيننن,0,2023-04-19T16:15:05Z
@째니사랑,김재환 💗 💗 💗,5,2023-04-18T15:19:35Z
@rinraymonds,And this man literally didn't know how to dance at the time of producer 101. 😅 Jaehwan just blossomed❤,2,2023-04-17T13:10:14Z
@princessofkim,Hi kiki👋😘,0,2023-04-16T21:36:47Z
@fanexo1213,بجد كاي كيوت أوووي❤❤,0,2023-04-16T01:15:28Z
@silenesilene6866,Meus maridos,0,2023-04-15T12:30:36Z
@iqrarizvi9096,Kai collect idols like a pokemon🤣🤣🤣🤣🤣,0,2023-04-15T07:26:53Z
@yunyoung1721,아니 이게 무슨조합이야❤❤,0,2023-04-14T02:46:45Z
@ManasviSingh_01,"At this point, I won't be surprised if he appears to do rover with Exols:)",1,2023-04-13T17:25:38Z
@intanazzahrah1060,Aaaaa jaehwanieeee,2,2023-04-13T14:28:51Z
@o6_oz,잘한닼ㅋㅋㅋㅋㅋㅋ👍🏻👍🏻👍🏻,0,2023-04-13T11:31:47Z
@ybfriendlystrawberry,What a collab~ ^^,0,2023-04-13T01:21:30Z
@blu7878,Who dressed him like τρελ' Αντώνη,0,2023-04-13T00:26:30Z
@multistanstruggles7019,Kai won’t have any problem forgetting this choreo 💀,0,2023-04-13T00:25:53Z
@wldo8617,김재환 춤선 미쳐따 춤 너무 잘추자나 ❤️❤️❤️,6,2023-04-12T12:38:02Z
@kaonyaaashi,Jaehwan dr dulu emg paling lucu😂😂😂,2,2023-04-11T14:14:02Z
@lalhumhimihimi5999,❤❤,1,2023-04-11T13:56:56Z
@힐링보이스째니,"둘다 넘 멋있어요~^^째니는 정석대로 카이님은 물흐르듯~👍👍👍
카이선배님 재환이랑 같이해주셔서 넘
감사해요~^^",8,2023-04-11T08:49:40Z
@Dayjuly,"Don't know why but he gives me hobi vives 
I really don't know why",0,2023-04-09T23:31:20Z
@Lhia105,ingat jaehwan di 101 gk pinter dance syediiihhhh tapi dia berhasil.. proud jaehwan ❤❤❤ wufff you both,1,2023-04-09T06:01:08Z
@dhelworld9090,Kai's like i'm done slaying this choreo it's your turn brother🥰,0,2023-04-08T17:06:05Z
@dewiellariana7486,I got chill❤❤,0,2023-04-07T06:49:14Z
@BTSVTXT-BTSVTXT,♥️♥️♥️카이🐻 사랑해 ♥️♥️♥️,1,2023-04-06T17:06:12Z
@mesutiletisim9036,kai bu dansı yapmaktan yorulmuş burda bunu çok beli ediyor😅,0,2023-04-06T00:45:40Z
@gwqbii_,https://youtube.com/shorts/bGirfFKrSds?feature=share,0,2023-04-05T16:26:18Z
@ZB1_HOLIC,Astaga sama jaehwan dooooong😍,2,2023-04-05T15:43:58Z
@Kitty-r5m1p,Eita q ele tá arrastando a indústria toda 💅,1,2023-04-04T22:59:00Z
@cigaretteskookie,Çok seviyorum ulan,0,2023-04-04T22:39:04Z
@yoonseriseri-eo6oc,I guess the whole industry is addicted to this song,0,2023-04-04T14:36:01Z
@mayrinramirez5357,Exo Rover 😂❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2023-04-04T01:47:17Z
@miladsyah4799,Jaehwan I MISS YOU 😢😢,1,2023-04-03T17:23:38Z
@seeursmile2280,Kai dress,0,2023-04-03T15:24:28Z
@btsmobilegame310,Challenge with black pink Jennie,0,2023-04-02T16:00:55Z
@r_emon69,Weareone,0,2023-04-01T21:11:21Z
@stwrain,🤍🤍,1,2023-04-01T17:06:03Z
@kelly6114,Me enjoying the colour of the wall as them boys dance 😊🎉🎉,3,2023-04-01T02:15:56Z
@gravityVL1485,"Kai letting him have his moment to shine, clapping like a proud mama 😅 this guy slayed",0,2023-03-31T22:34:56Z
@redflower1212,wow,1,2023-03-31T20:22:25Z
@ridasubhani,"Kai will only stop when the whole industry is done dancing on Rover. 😂❤.
He's such a social butterfly now 🦋💜",2,2023-03-31T18:05:58Z
@AisyahAisyah-bz4wd,Wahhhh,0,2023-03-31T07:05:02Z
@tabrezboss3701,I feel so sad because kai doing this step thousand time😂😂😂😂,0,2023-03-30T12:08:27Z
@nazaninsam6683,My king,0,2023-03-30T05:52:30Z
@Minsuga1993-c8c,Kai should do this with Jimin and do like crazY with Jimin I would love that 💜,0,2023-03-29T19:57:09Z
@akansha_-.-,Pov: you are trying to find an english comment,0,2023-03-29T17:04:53Z
@shamalamadingdongchalabingbong,this boy does not get tired 🤎🐻,0,2023-03-29T16:59:27Z
@bashairbasho2052,So perfect 😍❤️‍🔥👏,5,2023-03-29T15:35:02Z
@김유정-x2x,세상에나ㅋㅋㅋ제가 알던 재환이가 맞나요?ㅋㅋㅋ,7,2023-03-29T14:46:29Z
@dinithihimaya6095,One of the best solo song in the kpop history .  Well done our handsome KAI ♡♡ keep it up. 💕💕 Love u so much ❤❤❤❤❤❤❤,0,2023-03-29T10:02:51Z
@aliaayahya239,Main vocalist that can also dance well 👍🏻👍🏻,7,2023-03-29T09:38:58Z
@eynamontana250,Shut out to cameraman,0,2023-03-29T09:36:29Z
@RoghayehGhorbanzadeh-yw2jo,wowww,1,2023-03-29T06:16:17Z
@atig-j6t,와 이건 진짜 예상못한조합ㅋㅋㅋㅋ,79,2023-03-29T02:29:14Z
@brg7451,Muy lindo Kai que lo deja brillar 👍❤️😍🧸😘💎,0,2023-03-29T01:44:54Z
@meysiliaputri2958,Kaiiiiii kerennnn sarangeeeeee 🔥🔥❤️❤️❤️🔥,1,2023-03-28T22:16:55Z
@블링블링-h4c,카이가 상대봐가며 강약조절해서 추네,1,2023-03-28T21:29:32Z
@kiffzyloveLYB-YJW,Want KD,0,2023-03-28T17:17:43Z
@Husna_Martinez,💜💜💜💜💜,1,2023-03-28T14:17:47Z
@Husna_Martinez,💚💚💚💚,1,2023-03-28T14:17:38Z
@emkayh4532,학부형이 아들래미 장기자랑 보는 느낌인데 .. 이게 맞나 ㅋㅋㅋㅋ,1,2023-03-28T12:19:21Z
@쏭스-w4b,김재환 예상 외로 개잘추는데?,12,2023-03-28T11:08:42Z
@exo-l327,❤,0,2023-03-28T09:42:02Z
@candyexo_l1485,আলখাল্লা পরছে কাই,0,2023-03-28T09:29:47Z
@myomyo1816,Kai  😀😀😀😀😀,0,2023-03-28T08:34:52Z
@pear_.,jaehwan👏,8,2023-03-28T08:28:20Z
@0p277,"김재환 춤추는거 진짜 오랜만에 본다
워너원 활동 이후로 처음봄…
잘추는구나…몰랐음",12,2023-03-28T04:48:04Z
@Nesma11233,❤❤,0,2023-03-28T03:05:45Z
@Castie11,My man is just collecting these idols for this challange!,0,2023-03-28T00:24:12Z
@goto_miaami,I miss the interaction between Exo n Wanna One😢❤,2,2023-03-27T22:53:13Z
@ro5848,Eles são ótimos...mas essa moda deles...gente😂,0,2023-03-27T22:22:41Z
@Jensoo_chenlisa.,jennie,2,2023-03-27T19:09:48Z
@minmeaoww,do with jimin 🙏,0,2023-03-27T18:55:24Z
@mochisakurachan,Wish for Kai X Jimin doing this for both their song Rover X Like Crazy... please make it happen since its a rare moment🙏🙏,0,2023-03-27T18:05:17Z
@clarp.3305,"Thank you Kai for these awesome dance challenges, Kai! You never fail to amaze me! ❤❤😍",0,2023-03-27T17:07:59Z
@clarp.3305,"Thank you Kai for these awesome dance challenges, Kai! You never fail to amaze me! ❤❤😍",0,2023-03-27T17:07:40Z
@sf9_mamma,King and baby king 😊,2,2023-03-27T16:25:25Z
@VanessaSantos087,Lindos,0,2023-03-27T16:22:19Z
@sharbus5202,"💞💕💗🤗🤗🌸🌸🌸🌸🌸🌸🌸🌸🙏🙏🙏🙏🙏😊😊😇😇😊😊😊🙏🌸🌸🌸💖💖💖💖💖💖💖💖💖💖💖🥰🥰😍😍😍🤗🤗💗💗🌸🌸🥳🥳🥳🥳🥳🥳🙏🙏😊😊😇💕💕💓💗💗🤗😍🥰💖💖💖💖💖💖💖💖💖💞💕💓💗🌸🌸🌸🌸🙏🙏🙏💖💖💖💖💖💖💖💖💖💖🥰🥰😍😍😍🤗🌸💗💗💓💓💕💞😇😇😇😊🌸🌸🌸🙏🌸🌸🌸💖💖💖RADICAL, LY AWESOME SINCERELY KIM JAEHWAN 🌸🌸💖💖🌸🙏🙏😊😇😇💞💞💕💓💓🥰🥰😍🤗🤗🙏🙏🌸🌸💖💖💖🌸🌸🥳🌸🌸💖🌸🙏😊😊😇💞💞💕💕💓💓KAI🌸💖💖💖🌸🙏🙏💖💖💖🌸🌸🙏🌸💖💖🌸🌸🌸💖🥳💖💖🌸🌸🙏🙏🙏",0,2023-03-27T15:58:37Z
@maievenstar,Omg with jaehwan,4,2023-03-27T15:42:39Z
@nensasevy6386,My boy jaehwannn,6,2023-03-27T15:26:22Z
@chetari_yuli,Here's our main dancer 😍😆 our all main 😁,8,2023-03-27T12:36:48Z
@vanshikaandriyas9094,"Any idol existing: 
Kai: im coming over over over
😂😂this is the ROVER REVOLUTION",0,2023-03-27T10:15:51Z
@Dwatzday24,❤,0,2023-03-27T08:15:02Z
@amaleemaharani7863,Jaehwan❤❤,6,2023-03-27T07:52:01Z
@user-xe7bs9pe3c,하도봐서 외우겠멤..,0,2023-03-27T07:24:29Z
@angelsyalala8811,"Exo & Wannaone, miss the interactions 😭",3,2023-03-27T01:53:40Z
@akiesuzzy-hb4wo,👏👏,1,2023-03-26T23:27:24Z
@akiesuzzy-hb4wo,Why so cute kim kai 🥰,1,2023-03-26T23:27:14Z
@sunoocorinthiano,JAEHWAAANN,6,2023-03-26T19:16:06Z
@aestheticsmedia8645,재환이 잘춘당~,18,2023-03-26T19:03:36Z
@stank-pop2441,Pls Come to Saudi Arabia🇸🇦🇸🇦,0,2023-03-26T18:55:14Z
@d1betheone,"All I Wanna Do, We Are One!!! 😍😍",0,2023-03-26T18:24:15Z
@simsim5778,waiting for j hope and kai rover challenge,1,2023-03-26T16:21:44Z
@faridafox4732,2 медведика🐻🐻 неожиданная парочка😍😃💕,4,2023-03-26T16:21:13Z
@Pass_the_mic,Ohh my kim jaehwan❤️❤️,8,2023-03-26T15:49:39Z
@exosellie,Kai looks like he was just eating his meal 😆,1,2023-03-26T15:34:55Z
@nouressam5483,제발 지민,0,2023-03-26T14:51:30Z
@aerii1485L,KIM Kai favorit all idol ❤❤❤,0,2023-03-26T14:13:55Z
@nadjajukova55,"Мальчики,  безусловно  танцуете  прекрасно,  спасибо  огромное 😂😂😂😂😂",5,2023-03-26T14:04:31Z
@gomhappy9231,카이 착장 넘 귀여워,0,2023-03-26T13:55:07Z
@PREAGONIA_DARIA,❤❤❤❤❤❤❤,0,2023-03-26T13:36:28Z
@giselenovais6564,😍😍😍😍🔥🔥🔥🔥💯💯💯💯👌,1,2023-03-26T11:46:47Z
@yagmuryldz2181ez,HOW HOW HOW kai selam EZGİ 👊❤👊❤👊❤👊👊❤💓😏😏😏,1,2023-03-26T11:37:01Z
@teboihiteboihi2953,💙💙,0,2023-03-26T11:31:57Z
@sunshinedsummer,Two of my biases in one frame.... The old me would never imagined it but here they're (shed tears). 종인이와 재환이 둘다 넘 귀여워 멋이다,12,2023-03-26T10:40:38Z
@maverick2190,Jaehwan 😍😍,7,2023-03-26T10:20:17Z
@gabitast3114,La humildad de kai es increíble! En todos los challenges va hacia atrás dejando al resto de los idols o staff tomar el foco de la atención,3,2023-03-26T10:17:18Z
@Marinak.007,Kai's feet are giant 😮,0,2023-03-26T09:56:46Z
@ydnazepol639,I love #KAI #RoverChallenge 👏👏👏👏👏👏😍😍😍😍😍😍😍😍😍😍😍😍,0,2023-03-26T09:26:20Z
@ishakumari3395,🔥🔥🔥,0,2023-03-26T09:18:25Z
@deryn_,Lets fighting,1,2023-03-26T08:37:55Z
@oreeenji,Miamor por qué traes los del chavo del 8 pipipipi,0,2023-03-26T08:18:30Z
@dokyungsoo5233,❤❤❤❤,0,2023-03-26T08:06:17Z
@yosfmhmd3377,ممكن اسم الشخص الذي معه ومن اي فرقة,0,2023-03-26T08:03:35Z
@lyykhanh614,Oaaaaa Jaehwan ssiii,2,2023-03-26T07:32:19Z
@nochuqw,Bu an suga sandim kriz geciriodum,0,2023-03-26T07:25:17Z
@enakshisengupta1788,Exo x wannaone😭💖💖💖,2,2023-03-26T07:22:06Z
@excascarlet,Kajjaaa jahwaaannn~aaaa.....,1,2023-03-26T07:02:18Z
@eriexist,Cute nini bear 🐻,0,2023-03-26T06:41:26Z
@im_dead_fr,I can tell Kai is so frustrated by doing this dance again and again😢,0,2023-03-26T06:20:29Z
@Yellowribbon24,Feels so long seeing you dance again jaehwannnnnnn,3,2023-03-26T06:03:10Z
@Yellowribbon24,Jaehwannnnnnn....,6,2023-03-26T06:02:42Z
@dearest9407,김재환.. 진짜 마지막까지 연습실 남아 춤 연습하던 물만두 어디갔냐구🥹,60,2023-03-26T05:50:41Z
@민혜정-i3r,김재환 진짜 잘한다,31,2023-03-26T05:31:34Z
@shruti9152,Jaehwan danced like it was his single  and nailed it,41,2023-03-26T05:07:24Z
@litsugarry1317,I love the fact jongin encouraging him ❤,0,2023-03-26T04:19:37Z
@우끼끼-k7g,"꿈인가...?? 살면서 이 투샷을 볼 줄이야🫢
카이 슨배님 1위 진심으로 축하드립니다🎉🎉❣️",15,2023-03-26T03:51:18Z
@karekare1261,Love it ❤❤❤,3,2023-03-26T03:34:37Z
@jihyosseul,😮😮😮😮😮😮😍😍😍😍😍😍🥰🥰🥰🥰🥰🥰🥰🥰😘😘😘😘🤩🤩🤩🤩🤩🤩🤩🥳🥳🥳😊😊😊😊😊,0,2023-03-26T02:21:36Z
