author,text,likes,published_at
@아이스베어-u2t,95즈... 뭘 해도 잘 어울려...,1,2025-03-16T13:54:49Z
@thegrownsimmer9472,yep. thats it. Johnny has officially bias wrecked me. and who's spot did he steal? taeyong's of course aggghhhh,0,2025-03-08T10:20:21Z
@전나연-t52,우리 왕크왕귀 쟈니❤❤,0,2025-02-17T11:35:05Z
@dogyeonghada,진짜사랑한다….둘다….💚,1,2025-01-23T18:00:13Z
@gggg-12345-y,johny did it more exited than the original singer😂,2,2024-08-28T00:39:41Z
@Mike-xv9zz,잘생겼어 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ😢😢😢😢😢❤❤❤❤,0,2024-08-20T13:33:36Z
@mercedesmerlino781,i love so much how johnny always support taeyong!!! he's a relly good friends 95line tap tap tap challenge amazing 💚 👏👏👏!!!,1,2024-07-26T13:18:12Z
@qingxoe6948,塑料兄弟cute,0,2024-07-15T15:50:04Z
@춘삼김-q6c,끼부리지마 쟈니야..나 지금 넘어갈것같다고,0,2024-06-12T12:52:06Z
@klaraprinsesse,🇰🇷💕💕🤰🏼🚑🏨,0,2024-06-05T15:26:13Z
@i___love___woozi,Awwww Jonny he is so cute❤,0,2024-05-18T05:10:40Z
@Mr-pn2eh,Chicago tapping,1,2024-05-08T13:21:30Z
@indahlorenta2858,JOHNNY MY LOVE ❤❤❤❤🥺🥺🥺🥺,0,2024-04-25T06:05:58Z
@CarlaB1B2,JOHNNY IS FINE 🔥🔥🔥🔥,0,2024-04-22T01:46:59Z
@cinna.mo_on,La camisa de Lanaaa,0,2024-04-18T06:06:41Z
@carolechaney2830,"Johnny killed it, look at Taeyong, he's smiling like he won the lottery 🔥🫠🥰🤗",0,2024-04-17T13:21:50Z
@Yujinstwin07,They’re both so cute,0,2024-04-14T14:16:03Z
@xsophia__,헐 태용이 라나델레이 팬이냐???!!!! 😮😮😮,1,2024-04-13T22:52:34Z
@rchmoon,OMG LANA MENTIONED OMGGGGGG,0,2024-04-13T18:09:33Z
@oohcanada685,Johnny looks like a cute kitten🥲❤️🫶,3,2024-04-13T15:26:57Z
@mihyunkim786,둘다 너무 춤 잘 춘다,1,2024-04-13T11:57:47Z
@sexybaby215,"쟈니
안녕 ☺️☺️",0,2024-04-12T10:37:50Z
@zheinskhandunya01,Alhamdulillahirobbil alamin.,1,2024-04-10T00:49:34Z
@justsuzy321,"Why'd Johnny go so hard at the end, after being so dang cute?😢😅",3,2024-04-09T19:14:37Z
@adomack-ev9ew,Johnny and Taeyong are so beautiful,0,2024-04-09T11:05:44Z
@joah_sir,왕크 왕귀 쟈랑해,0,2024-04-07T07:24:26Z
@_oli_4,잘 하쟈니~~~,0,2024-04-06T20:30:40Z
@lalhlimpuii127,Ty's shirtttt,0,2024-04-04T19:09:35Z
@쟈니허몽블랙티,서쟈니 왕크왕귀~~,1,2024-04-04T14:05:51Z
@블루-g5f,"쟈니랑 결혼하고싶음 ,,,;;",0,2024-04-03T11:04:39Z
@glaemfdjwnrrpTek,귀여워,0,2024-04-02T09:11:23Z
@sani_i,love you,0,2024-03-31T22:45:52Z
@yjung9,LDR X NCT collab 🫡,0,2024-03-31T21:19:24Z
@-theonlyyellowlemonintheto9462,Ayeee Taeyong lana del rey shirt 👀👀 lets goooo Norman Fucking Rockwell♡♡♡,0,2024-03-31T19:42:37Z
@Snithini,Bubu Johnny 😍❤❤,0,2024-03-31T13:33:36Z
@JaeBenaqwertyuiop2000,Cutely Taeyong and Daddy Johnny,0,2024-03-30T22:31:15Z
@mizzzworldd,LANA DEL REY ON TAEYONG ?!,0,2024-03-29T22:45:38Z
@sub3751,태용아.. 귀엽다 이착장 ㅜ,0,2024-03-28T16:34:09Z
@강양양-i1w,쟈니 왜저렇게 앙큼함❤❤❤❤,0,2024-03-28T15:45:15Z
@ylive5169,Johnny - smooth operator - he gives Taeyongs song added charm 😍,0,2024-03-28T10:28:08Z
@Sweetcandy24562,앙큼네오 그자체..❤,0,2024-03-28T07:30:45Z
@hibataher3596,They are so fricking cute,0,2024-03-27T16:45:52Z
@Sofya_Aleksandrova,Johnny❤,0,2024-03-27T05:17:44Z
@lizaindo2000,Johnny! Can borrow your pants? 😁😁,0,2024-03-26T13:29:28Z
@nerdysweethappy3531,I really want to see SF9 Yoo Taeyang dancing with NCT Taeyong,0,2024-03-26T11:22:24Z
@nerdysweethappy3531,Love you Johnny ❤,0,2024-03-26T11:20:00Z
@eienyinx,JOHNNY LOOKING LIKE HE IS HAVING THE TIME OF HIS LIFE ❤,0,2024-03-25T16:22:09Z
@MelodyDe28,"2024'ten buraya geldim.
Bir eski diziye daha başladık hadi hayırlısı... Eski Türkiye'ye özlem duydukca eski dizilere sığınmamız normal mi bilemiyorum ama o samimiyeti seviyorum😊",0,2024-03-25T00:11:20Z
@danielatepedino4106,These 2 are too cute!❤,0,2024-03-24T22:44:25Z
@marialantigua5475,Johnny 🌟 always good vibes with this dude,0,2024-03-24T19:47:29Z
@user-oz2ur8gy8v,영호가 너무 귀여워요 이태용 서영호 영원해..,0,2024-03-24T12:32:17Z
@ruairuren,Kak Jo lucu bangett😭💗,0,2024-03-24T04:41:39Z
@jiyalovestay,OMG THE LANA SHIRT 😻,0,2024-03-23T10:28:55Z
@v_olin,앙큼남💚,0,2024-03-22T22:45:44Z
@누에고치-y3v,❤,0,2024-03-22T14:13:36Z
@tebawihitebawihi5499,💗💗💗,0,2024-03-22T08:07:59Z
@kimpye0n,미남들이 웃으며 말아주니 행복해,0,2024-03-21T21:34:29Z
@nahi2192,Johnny❤,0,2024-03-21T12:40:58Z
@bannitheworld,W johnny W taeyong 😎,0,2024-03-21T04:36:58Z
@evelineelita88,Lucu banget kamu Jon ❤,0,2024-03-20T15:14:32Z
@ey0go1,쟈니 완전 고양이잖아!!!!!,0,2024-03-20T15:00:11Z
@yueyu4076,かわいいいい😭🩵🩵🩵🩵,0,2024-03-19T23:05:37Z
@Shehla-jg4qw,Taeyong looks so tiny next to Johnny 💌💞,0,2024-03-19T15:11:52Z
@빌려온살찐고양이,주우재같다 ㅋㅋㅋ,0,2024-03-19T12:30:48Z
@zheinskhandunya01,Waw.,0,2024-03-19T08:23:23Z
@RiyaWonwoo,MENYALA ABANGKUUHHHH 🔥🔥🔥🔥,0,2024-03-18T22:14:05Z
@marsyacha3213,"Johnny suh, you are NOT allowed to be this CUTE🫠🫠❤️",0,2024-03-18T18:57:02Z
@Itzz_boppy,nct always brings positive energy and make me laugh!,0,2024-03-18T17:41:24Z
@momotaroN-q9i,ジャニさん！！結婚して〜！！,0,2024-03-18T14:01:18Z
@winitepaki656,Taeyong smiling as he does the challenge with Johnny 😊,0,2024-03-18T10:33:13Z
@RiahHidayanti,🌹💚😺,0,2024-03-18T08:58:40Z
@cahayadwidzullia6461,AAAAAARGGG SO CUTE IM SCREAMING!! LOVE Y'ALL,0,2024-03-18T06:01:33Z
@oksusukkang,사귀고 싶다 ㄹㅇ,0,2024-03-18T02:30:35Z
@chanonkittikul1199,เฮียจอนบังพิแทมิดเลย เป็นเอ็นดูววว 555,0,2024-03-18T01:41:51Z
@joannaszczesniak1776,Johnny i Taeyong  super 👍💚👍👍👍,0,2024-03-17T23:02:07Z
@gnomie2.0,This song & dance suits Johnny SO well ❤,0,2024-03-17T19:07:15Z
@senasutiya,Haecaaaan were are youuuuuuuu,1,2024-03-17T17:33:13Z
@hoonkiut,laik,0,2024-03-17T13:22:53Z
@rlawoahvlwk,아 개까리해 미친아 왜 귀여운동시에섹시하고난리,0,2024-03-17T13:01:40Z
@39sgtm,かわいい,0,2024-03-17T12:20:53Z
@DDD1004.,진짜 앙큼고양이,0,2024-03-17T11:47:00Z
@hodujam,서쟈니 왤캐 상큼해,0,2024-03-17T10:14:17Z
@alyyssaa.,ahhkkk my big babyyy,0,2024-03-17T09:12:18Z
@残-i9b,テイルさんがくれたボトムスでは？？？❤,0,2024-03-17T04:26:26Z
@mufiana9454,Chill banget kalian❤,0,2024-03-17T01:43:45Z
