author,text,likes,published_at
@廖元瑜,😊,0,2025-03-24T13:22:32Z
@mana._.mmaannaa,かわいいいいいいいいいい,0,2025-02-17T15:04:35Z
@thanatchaponsiringam0012,🫶,1,2024-10-22T03:12:34Z
@최지혜-w4z,쯔위너무이버요 ❤❤❤,2,2024-10-13T08:48:28Z
@ROBERTHOCKER,"Youtube 
Laser harp kromalaser 
"" laser harp kromalaser """,0,2024-10-09T20:12:00Z
@rosie_blink.114,💙💙🖤🖤,1,2024-10-04T16:24:36Z
@RYO-iu7ib,美女,1,2024-10-04T01:25:46Z
@Usernames0204,Tzuyu love you ❤❤❤❤❤,1,2024-10-01T11:35:13Z
@Kalidreamine,Ok but the way Kyujin hits every move is sooo satisfying 😊❤❤❤ Love this duo!!,1,2024-09-27T20:00:07Z
@nishitripathi2319,👌 बहुत सुंदर ❤️❤️🌹🇮🇳🙏,0,2024-09-24T08:58:06Z
@李冰瑩,好煩！聽都聽膩了！轉台,0,2024-09-23T01:53:09Z
@Slayygurl2808,Tzuyu and kyujin are so cute💗💗,0,2024-09-20T10:29:53Z
@Amira_beeki_slowmo,I  love you Naeyon Nayeon my bias Nayeon best ❤❤❤❤❤❤❤,1,2024-09-19T18:06:17Z
@Alice_FPE_fan_de_fpe,Here who loves twice Tzuyu is my bias,0,2024-09-18T00:55:15Z
@Wasya_Orehov,"ЦЗЫЮ, ВЫХОДИ ЗА МЕНЯ ЗАМУЖ!!! 💍💍💍💍💍💍💍🌹🌹🌹🌹🌹🌹",0,2024-09-16T21:22:20Z
@serdartezcan2613,❤❤❤❤❤❤❤❤,2,2024-09-15T13:17:06Z
@mercedesalderete5093,🦌💙,0,2024-09-12T00:10:36Z
@Stepan_H,"😊
💓💗💕💞❤️😍",0,2024-09-11T14:58:14Z
@iluvyou_5696,"Skill dance masih bagus member nmixx
Berpower tapi keliatan smooth 
Yg paham dance pasti ngerti",0,2024-09-10T16:32:54Z
@skemo1030,Tzuyu 노래도 너무 좋은데 드라마 OST에 더 잘 어울리는 것 같아요,0,2024-09-10T11:12:10Z
