video_id,comment_id,author,author_channel_id,text,like_count,published_at,parent_id,reply_count
XAeTLwHEg1Q,Ugxcg-zw5ApKefJDiCx4AaABAg,@moonievfz,UCDzYlBGHtM47sUaSbW5rBbQ,Nayeon❤❤❤❤❤❤❤,0,2025-04-20T13:19:21Z,,0
XAeTLwHEg1Q,Ugx0pvGl-8au3I05Hyp4AaABAg,@KhushiKumari-j6y2i,UCWfZa5QY5YWXmnxBK_VCZbQ,She is gorgeous girl 😍 💖😳💫,0,2025-04-20T04:35:25Z,,0
XAeTLwHEg1Q,UgyPR82hKF0wvYlju8l4AaABAg,@maricruzbororperez484,UCCJocTLvhsCXGZ2Zn40t5fg,"No.  Ne.Cecita.  apoyo.  Porque
   No.  Estaba.   Cantando",0,2025-04-17T14:53:01Z,,0
XAeTLwHEg1Q,UgzccBDQc4uuByB_s294AaABAg,@Almi15051,UCbHpWaJPHGSYBqMdXo5KK2g,Playback,0,2025-04-13T22:03:04Z,,0
XAeTLwHEg1Q,UgxVNW0N3LwJcKc9BZh4AaABAg,@robinhong3599,UCDeSEBGvyD3nReYbQlSUYwQ,nice,0,2025-04-13T20:22:26Z,,0
XAeTLwHEg1Q,UgxWrayNXm9yyU47-R54AaABAg,@LILITHMRTFRRR,UCrhCVQyztsQmHOckr8I8skw,"В подтанцовке девочки очень красивые, молодцы❤❤❤",0,2025-04-13T11:41:28Z,,0
XAeTLwHEg1Q,Ugxtgx21DdOW0UWFgIN4AaABAg,@ArmandoHernandez-sj2pk,UCLuebncpS_ZRsiLAG7JDybA,Everything I see nayeon ❤️ I cry,0,2025-04-10T01:44:48Z,,0
XAeTLwHEg1Q,UgzwMZHHh5OgVsxCHHp4AaABAg,@Takako1020,UC4GevUkENXJewSG1LClKK9g,可愛いけど、口パクバレバレなんだが😅,0,2025-04-03T15:33:38Z,,0
XAeTLwHEg1Q,UgwkJePdIz6d1GGym2J4AaABAg,@MagicBySG,UCmJ09oHpiKE7Jyluq6HnXdw,❤🥰😘🔥,0,2025-04-02T22:00:38Z,,0
XAeTLwHEg1Q,UgyEq1c-i-fphxQOk9Z4AaABAg,@Rodtung240910,UCPm7O_wlEcwXq6cFq_JuTEg,Pop❤,0,2025-03-29T09:08:37Z,,0
XAeTLwHEg1Q,UgyTSlL9Y1HV782do7B4AaABAg,@Marifeer-f9m,UCPGsmJhyZSVLYMkpujGUnWA,I Love Nayeon you're  My favoriteee!!,5,2025-03-29T03:10:07Z,,0
XAeTLwHEg1Q,UgxPk6qepYrsjXc0jP54AaABAg,@Soy_monserrat,UCUtmbJPg_JRCCglRpuckwUA,"Los temazos de Nayeon nos abcd y POP!! 🩵
Y quien diga que no es un hijo de mrd 👍",1,2025-03-29T00:44:43Z,,0
XAeTLwHEg1Q,UgyOe9P-1q5Qhm9JPBF4AaABAg,@finnenoksen31,UC5cxteCWDv7lHG-27WbscOA,Nayeon is way too pretty,0,2025-03-23T20:24:41Z,,0
XAeTLwHEg1Q,UgxIHShr9EWCx0w0HyJ4AaABAg,@IvannaMartinez2,UC352pwkAM61BSlcOXSu_w4Q,I love nayeon ❤❤❤,0,2025-03-21T18:17:56Z,,0
XAeTLwHEg1Q,Ugyxxv_oWwndIRgUlfR4AaABAg,@marieee6760,UCfydsXjrMlS5C3Ijf8sO6vg,Nayeon cutee✨🎀,0,2025-03-19T21:07:18Z,,0
XAeTLwHEg1Q,UgwX6g-N7PBZ6UmWSON4AaABAg,@joanaesperanzacanterodiaz3369,UCVYn1vyW-2GmMtE7M2XURUQ,I love You nayeon,0,2025-03-19T01:50:37Z,,0
XAeTLwHEg1Q,UgwxW9A6qI7iNQUDUNp4AaABAg,@Jackson_DGaming,UCpov7693aaeZFZMnRCQfOmA,People showing up like crazy. I love you NAYEON! You're the best singer and the best dancer ever! I'm big fan of you,0,2025-03-18T03:33:29Z,,0
XAeTLwHEg1Q,UgwYOsXlUTuNvfDD3Qp4AaABAg,@rocioruiz1542,UCNftQj3YPFAPpKHMahijTvg,I love Twice,1,2025-03-15T04:29:25Z,,0
XAeTLwHEg1Q,UgwCmuAX2T9aZNAtaq54AaABAg,@Veezinha-i8l,UCm4ZAINhtMugOLDAgcLqeLw,안녕하세요,0,2025-03-02T21:06:54Z,,0
XAeTLwHEg1Q,Ugzlp3vTxTgWFuDgynV4AaABAg,@MayYoo-ug4xu,UCdOBNsIvw3YOTrFk9EIb1WQ,The best as always,0,2025-02-27T13:45:38Z,,0
XAeTLwHEg1Q,Ugy6Z7aBrqL18F0Yu3Z4AaABAg,@mariafernandasuazoglikowsk8869,UCHPtb0AxpArhJpu3nXQgToQ,NAYEONNNNN❤❤❤❤❤,3,2025-02-27T00:04:09Z,,0
XAeTLwHEg1Q,UgzRWP3GNcjBSco4Bop4AaABAg,@Malina-5,UCNqv9JMszyPw2uEOtWwjENw,I love this song and Nayeon too ❤,2,2025-02-24T04:59:34Z,,0
XAeTLwHEg1Q,UgzeXMpPxTspzyYAIyF4AaABAg,@MyNayeonlovely,UC57GtysRsNHSX4DLMlPzZJw,My favorite❤️❤️,1,2025-02-24T03:28:24Z,,0
XAeTLwHEg1Q,UgzXN7qvWolRKAUUYK54AaABAg,@Sudenaz-ff6ey,UCvjtJsl0QqWddsVhkl8r-tw,2025👉👉👉👉,2,2025-02-22T12:29:43Z,,0
XAeTLwHEg1Q,UgxPQ8pAIFMrML4OKEB4AaABAg,@Panquesito-i2t,UCxaoSAJi4uVXSFJ9fNi9lRQ,Siempre brillandos mis ❤❤❤❤❤❤besties,0,2025-02-17T15:22:21Z,,0
XAeTLwHEg1Q,UgwkVzXFpw5UTzIBesR4AaABAg,@El-1-Sacristan,UCPIsq-zqS2Pt_G6ndqM73iw,Nayeon ya te vi mi escondida perfecta ahora tienes otra que se esconden como tú Quieras Tzuyu se m e esconde como tú 😊❤🎉,1,2025-02-16T22:40:21Z,,0
XAeTLwHEg1Q,Ugwn0R8UwPWodMEbTyx4AaABAg,@MayYoo-ug4xu,UCdOBNsIvw3YOTrFk9EIb1WQ,Diva,1,2025-02-12T00:16:07Z,,0
XAeTLwHEg1Q,Ugy0P1kcsjH0LPhBYp14AaABAg,@SiKucluk-f2g,UCe8msAfMFOyvmupmPG48Lgg,🎉❤ i love u nay❤,1,2025-02-03T22:35:57Z,,0
XAeTLwHEg1Q,UgzRYs3Zxg8tCEs57AN4AaABAg,@Gaby1103-,UCWv01OzSGr41rwhv2i7rlvg,I'm the Unic person that thank that the dancers were the other members JSJAJAJ,0,2025-01-29T21:57:11Z,,0
XAeTLwHEg1Q,Ugz7uf3pu9iRFDf6ZV54AaABAg,@Minnie-u9w,UCJpPNRZ0reRx7cnx5yLH-dw,I love you nayeonnnnnnnnnnnnn❤❤❤❤❤❤❤❤,6,2025-01-22T11:31:17Z,,0
XAeTLwHEg1Q,Ugx_Fl-r_213VgMFc9l4AaABAg,@Minnie-u9w,UCJpPNRZ0reRx7cnx5yLH-dw,Nayeon❤❤❤❤❤❤❤❤❤❤,1,2025-01-22T11:29:59Z,,0
XAeTLwHEg1Q,UgxwQCu0k6iqSbzuk5F4AaABAg,@RaymondSanders-f8c,UCxqXFsMkwwMxfepC4OgJDxA,Lovely Performance!!!! 💘💖,3,2025-01-05T16:41:32Z,,0
XAeTLwHEg1Q,Ugym0Bw-riPbZaKTLpB4AaABAg,@TaeSunWoo,UCJYnRAE_U8PtkvjzpAngTTw,I love how Pop and ABCD just get so hype for no reason in the chorus’ instrumental,23,2025-01-04T09:17:31Z,,1
XAeTLwHEg1Q,Ugym0Bw-riPbZaKTLpB4AaABAg.ACs-UBpTvB2AEAMfowOR1u,@عَباس_أࢪاي,UCWUiIJ226FAaaYkgNQmx5ow,"Please, the personal file, because it is forbidden",0,2025-02-05T18:17:11Z,Ugym0Bw-riPbZaKTLpB4AaABAg,0
