author,text,likes,published_at
@sky_shelap4080,Who is here in 2025❤,0,2025-04-24T00:18:43Z
@darkhorsedanmobile,Top notch🔥🔥🔥,0,2025-04-24T00:08:27Z
@Allgood0522,So cute❤,0,2025-04-23T13:14:02Z
@IsabelMarher,Son mis días nayeon y Félix 😭que bueno que colaboraron,0,2025-04-22T19:44:17Z
@ASMA_ARMY12,"I didn't expect it. I didn't like Felix Lee, only me. I'm joking a little. It's a really great performance from Nayeon. She was brilliant.❤",0,2025-04-22T17:18:11Z
@КристинаПетяева,"Мне очень нравится ""NO PROBLEM"". Каждый день слушаю.",1,2025-04-22T10:40:12Z
@КристинаПетяева,"На Spotify эта прекрасная песня набрала 58,454.689 прослушиваний.",1,2025-04-22T10:39:22Z
@크흠-q7o,2:13,0,2025-04-21T13:18:36Z
@NEXZまむーちNEX2Y,ナヨンちゃん、本当に、ハルくんに優しくしてくれてありがとう。,0,2025-04-21T02:48:34Z
@NEXZまむーちNEX2Y,BEATAXで聞いてから大好きになりました！ナヨンちゃん歌うますぎる。NEX2Y,0,2025-04-21T02:46:24Z
@OliviaStayy,OOOH FELIX !❤,1,2025-04-20T14:24:29Z
@kimdani2874,Anyone from 2025? ❤,3,2025-04-20T02:59:04Z
@KeilaCortez-r9u,no se pero paresen pareja😂,0,2025-04-19T18:52:58Z
@BettyAndaluz-d2s,Alguien sabe español 😢,0,2025-04-19T14:27:20Z
@aattii.x7086,Felix is so cuteee,2,2025-04-19T11:05:46Z
@arboleraystayxsiempre,Nacional voice :🥰❤️🍡🍰🧁🎂,0,2025-04-19T08:18:02Z
@GoooNori,😮😮😮😮😮,0,2025-04-18T17:30:21Z
@clara_lovesskz,2:16 HI ✩𝓕𝑒𝒍𝒾ﾒ✩,1,2025-04-18T13:22:07Z
@butterflysapphirefire,"2:14 Felix is really too cute, I love how his Aussie accent comes through his rap too haha",0,2025-04-18T12:21:28Z
@AileenMagnaye,10M!!! We can do it!,2,2025-04-18T08:34:31Z
@QhaweLonga-x4w,we made a nice song😢❤,1,2025-04-18T06:33:30Z
@JayshriDarshana-wo4cu,Hyderabadi  jawabi....✅✔️,0,2025-04-17T18:12:39Z
@abby-kpop248-sx,"❤❤❤❤❤❤❤❤❤❤♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡
I LOVE NAYEON AND FELIX❦❦ :3",0,2025-04-17T17:53:20Z
@Valeria-g9m,"Neayon Voice 🥰🤩💅🌈🌷🌷
Félix Voice 🐼😎👹👿💀☠️",2,2025-04-17T17:43:36Z
@KristellGamarrapilco-j1r,su boyfriend,0,2025-04-17T00:42:59Z
@KristellGamarrapilco-j1r,love nayeon y felix💗💗,2,2025-04-17T00:42:15Z
@victorbetancourt-y7j,POR ESTA CANCION CONICI A STRAY KIIIDS,1,2025-04-16T18:07:55Z
@AichaBenchellal,FELIX MY HUSBAND ❤❤❤❤❤❤❤💗💗💗💗💖💖💖,2,2025-04-16T14:34:29Z
@MiaRoblox.officiall,"Nayeon's voice:❤️💅🏼💋😍✨🥰☺️
Felix's voice:💀🌚👹🖤💢😈",4,2025-04-16T01:50:10Z
@JuleczkaXiaobao,it was cute when he waved 2:12,5,2025-04-15T17:03:27Z
@ΖΩΗΜΑΥΡΟΥ-η5μ,You are so cute together ❤,3,2025-04-15T14:40:09Z
@SeyedHassanSadat,🛐🛐,1,2025-04-15T00:11:10Z
@K-pop-ph,Voice Nayeon 🍰🍦🍨🍧🍡🍭🍫🍩 Voice Felix 💀☠️🏴‍☠️,4,2025-04-14T22:25:51Z
@cutiemarket,Acaaa,0,2025-04-14T18:05:57Z
@angelicacortes4924,Félix sempre brilhando! 🐣🐥🐣,2,2025-04-14T17:34:10Z
@Jia_aesthetics,The vibes are so charming and cute they both just slayed this video effortlessly,4,2025-04-14T13:11:15Z
@JayshriDarshana-wo4cu,🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪✔️✔️,0,2025-04-14T01:06:40Z
@BermannPierre,Et son frère et sœur ou quoi,0,2025-04-13T18:36:33Z
@linojagiya,Gà bông nhà mình dthww❤,0,2025-04-13T01:51:08Z
@Lunita99935,"2:15, the Felix smile is so cute,i cantttt",2,2025-04-12T18:32:36Z
@КристинаПетяева,Очень хорошее сотрудничество. Прекрасный дуэт. Очень нежняя весенняя песня.,3,2025-04-11T06:56:48Z
@alfredevaasili4745,Always on my playlist.. 2025 lets go....🚀🛸,9,2025-04-10T10:50:07Z
@BisakookJin,2025,3,2025-04-10T01:16:27Z
@Pérolasdagi,1:43,0,2025-04-08T18:40:49Z
