author,text,likes,published_at
@weareoneEXO,"🏍 'Rover' MV https://youtu.be/zlTIextYnyQ
🎧 'Rover' Album http://KAI.lnk.to/Rover",825,2023-03-23T12:45:24Z
@Drbyun-x7q,❤️‍🔥kai,0,2025-04-21T14:23:00Z
@asfirstsnoww,Jennie love kai,0,2025-04-17T12:20:12Z
@aynurbaharofficial0035,Tek şarkıyla adam piyasayı salladı akım oluyor  yaptığı şarkı. Kai çok yetenekli bugünlere gelmeyi çok hak ediyordu. 😎😎😎😎😎,0,2025-04-03T08:38:33Z
@PanchamsinghThakur-o4e,I love kai ❤exo,1,2025-03-29T09:40:04Z
@riritan4652,Mr. Rover Kai,0,2025-03-20T09:30:22Z
@riritan4652,King Kai,0,2025-03-20T09:30:15Z
@Cloudylovesforever,"Mr rover rover rover
I'm coming over over over
Call me rover rover rover",0,2025-03-17T21:48:54Z
@Nishimura_nishimura,"He is Won-old’s hubby 
(Those who understand
👇)",0,2025-02-17T18:13:49Z
@lamourgarnet,OUR DANCE KING IS HOME ❤,0,2025-02-17T10:12:15Z
@the_opposite,"I love you, baby Miyeon.❤",0,2025-02-02T19:14:13Z
@anggitadinda5328,Aaaaa lewat lagi ini😭 makin ngga sabar Bentar lagi selesai wamil dia 😭,0,2025-01-28T04:04:22Z
@muntatingah8785,"aron really hate me, dito never hate me, but fight bcs we both like each other but i reject him bcs i need to time to finisged college",0,2025-01-17T21:16:04Z
@inciozturk7467,They are amazing duo,0,2025-01-06T15:41:50Z
@rosesharom-wm3ej,Yes Kai,0,2025-01-05T17:57:00Z
@almaconception8270,Dancing King Kai,0,2024-12-23T17:25:21Z
@almaconception8270,Mr. Rover KAI,0,2024-12-23T17:24:47Z
@almaconception8270,D-48,0,2024-12-23T17:24:39Z
@Tan.may12083,Why is this appearing in my fyp after a year-,2,2024-12-23T04:32:37Z
@bantupreethipreethi3166,Mr.bad boy of kpop title deserves this man kai,0,2024-12-07T12:07:37Z
@marinamayor5518,❤️🎊🌹🌹🤟👍🏆,0,2024-11-28T05:03:02Z
@HibeAla-t7y,❤❤❤❤❤❤❤,0,2024-11-23T15:46:55Z
@sanjanachennoju4391,Kai damn perfect with body movement,0,2024-11-05T15:30:06Z
@tunmgaye3777,Kai😊,3,2024-10-31T01:59:29Z
@diane8585,Kai and Lay are literally the group’s best dancers,0,2024-10-28T21:23:21Z
@ziyafatima2485,Yoooooo kaiiiii 😀😀😀,0,2024-10-22T17:36:12Z
@azile9367,KAI ganteng banget,0,2024-10-15T22:04:58Z
@Coco-bv5vl,Princess <3,0,2024-10-04T18:23:38Z
@sultanceylan5480,❤❤❤❤❤❤,0,2024-10-04T17:32:19Z
@SalluKumari-ck5ps,니 사랑해 엑소💜💜💜💜,0,2024-10-04T03:38:13Z
@IsmailRunza,I really love this beautiful girl😅😂❤❤❤,0,2024-10-01T01:58:12Z
@DarthRevanLordOfTheSith,plzz come to dubai,0,2024-09-24T11:18:46Z
@DarthRevanLordOfTheSith,i wanna see tzuyuuuuuu,0,2024-09-24T11:18:07Z
@Alien_247,Why the camera angles are making me laugh💀💀💀,0,2024-09-20T07:47:59Z
@hyo_yi,오빠 보고싶다... 그냥 탈영하자~~~~~^^^^^^^,0,2024-08-31T13:49:06Z
@K-popstan672,Stawhp she girlified it so much it's too cute ❤😭😍,0,2024-08-26T13:42:50Z
@EvaRb00Eva,Что….Что тут делает Миён????И я этого не видела год назад????,2,2024-08-23T15:52:29Z
@Yuriiii_channel,❤💖,0,2024-08-23T05:05:12Z
@sundasfrancis7047,Kai Rover is a wholesome vibe addictious,0,2024-08-22T19:20:34Z
@Samsam-56-,"See how miyeon did it? Very demure, very cutesy, very mindful",1,2024-08-21T01:20:28Z
@Winn209,The tie understood the assignment,1,2024-08-20T07:02:14Z
@WITFITMAN.,LOVE MIYEON 🤟🏻💟💟💟💟💟💟💟💟💟,0,2024-08-10T23:00:04Z
@sening-wm6sv,Call him rover,1,2024-08-10T05:46:35Z
@waddTikil,Love you too much kay❤❤❤❤ lmiss you too ❤❤❤❤❤,0,2024-07-26T12:46:18Z
@kim9yu_k,Kai makes it too hot and difficult meanwhile miyeon makes it too cute with the girliest way ever 😭😭,0,2024-07-24T17:44:14Z
@Aerification,Miyeon the girl ver. Of changbin,0,2024-07-19T13:52:45Z
@F_A_i_R_O_U_Z-y2d,❤❤❤❤❤,0,2024-07-18T14:28:11Z
@이준희-q4v4q,카이 존멋,5,2024-07-10T19:42:48Z
@EmanMaryam-l3z,Kari is best 🥰,0,2024-07-03T19:32:41Z
@Ivy107v,So pretty Miyeon,0,2024-07-02T15:20:32Z
@VARENKPOPKURDISH,Yahhhh,0,2024-06-24T15:12:14Z
@kim_aera_9508,Jennie😅,1,2024-06-18T07:42:33Z
@ME-sq9vf,Ilikedance❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2024-06-14T23:47:38Z
@Duskylight3,Kai is usually more sharp and energetic but the gentleman slowed himself a but for Miyoen 😭❤,0,2024-06-14T12:27:26Z
@Han_Lino_Chan_Hyun_Chanb_Feli_,❤,0,2024-06-14T02:08:36Z
@st1llwu,يمة معصعص,0,2024-06-03T12:09:39Z
@rosangeladelimafragosovian2405,Não me canso de escutar essa música,0,2024-05-28T22:31:36Z
@DulcecieloVelasquesDiaz,❤❤❤❤,0,2024-05-25T00:55:39Z
@Blink56557,Jennie straing at the corner😅,0,2024-05-24T15:08:16Z
@blackbangtan3635,Miyeon be girlifying every boy group choreo,1,2024-05-23T18:54:16Z
@ROBANORY271,Kai☺️,0,2024-05-21T12:32:20Z
@Оленинанина,Kai❤ i miss you❤❤❤❤❤❤❤❤❤,0,2024-04-27T00:01:39Z
@user-rc9nc1kq7d,ي ربي قد م رقص على الأغنية,0,2024-04-25T15:25:39Z
@Reenarijin1420,So sweet ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🎉🎉🎉,0,2024-04-19T11:23:26Z
@Fearless_black_swan,I want Jennie and Kai's challenge,2,2024-04-18T09:42:43Z
@jengrcx,She just girlified the whole dance lol🩷💖☠️,0,2024-04-17T12:56:42Z
@Armygirl_673,I am an army but I respect and love all kpop idols 🥰💜💜💜💜💜💜💜💜💜💜💜💜,0,2024-04-07T17:12:29Z
@an-kc7hf,Miyeon is so bad in dances. Thats fact,0,2024-04-07T14:44:31Z
@Unknow_1578,momo and kai better,2,2024-04-04T15:13:00Z
@smitapawar7739,❤❤I like both🫶🫶,0,2024-04-02T05:49:35Z
@sayimsahinhan8378,Miyeon dance 😮😮,0,2024-03-23T18:57:07Z
@nini_88114,카이 얼굴 자극 심하네,2,2024-03-20T12:03:33Z
@Sugas23,❤❤❤❤❤❤❤❤❤ Kai.......❤❤😊,4,2024-03-14T07:43:20Z
@justaboutmeork,miss you so much😢,3,2024-03-08T10:30:32Z
@lukacabrera4275,I don't get tired of watching this dancing. Just love it!,0,2024-02-25T16:43:27Z
@ڪلنفسنذائقهالموت,🈺🈺🈺🈺❤❤,1,2024-02-04T16:02:37Z
@nanakim7035,Так легко и естественно он двигается 😍,1,2024-01-25T09:44:37Z
@rockybhai_gaming_ff,Kai king of my heart he is looking so fine 🙈🙈🤭☺️🤭😳😫😩😩,2,2024-01-12T14:07:37Z
@KhalidMbarak-re6me,I love you so much River ❤❤❤❤,0,2023-12-28T15:13:49Z
@zupacup7809,I can't dance but this reels keep popping out now i can do it properly 😂,0,2023-12-20T02:07:46Z
@zoonashhashmi-y1h,They are looking cute together❤❤,0,2023-12-12T10:28:58Z
@Sharmin-cy1eg,"Kai,ILO ve.YOU 😊😊😊😊",0,2023-12-11T13:09:20Z
@MobinaExo-hn4jz,I miss you mr.ROVER(((:,0,2023-12-01T15:33:25Z
@marintriel1409,❤💃💃💃❤,0,2023-11-22T08:37:05Z
@KaiKimNini88,Dancing Machine Kim Kai,0,2023-11-15T15:28:06Z
@KaiKimNini88,King Kai,0,2023-11-15T15:27:49Z
@jennycal9871,Miss you Mr. Rover Kai,0,2023-11-04T20:04:18Z
@jennycal9871,Dancing Machine Kim Kai,0,2023-11-04T20:03:58Z
@jennycal9871,Classy king kai,0,2023-11-04T20:03:32Z
@ayinkdiaw4098,Donnez lui à manger il est trop maigre le pauvre..,0,2023-11-04T01:15:51Z
@용재순-k2e,와...김카이다리비율봐,2,2023-11-02T23:10:56Z
@for_rof,Miyeon te amooo,2,2023-10-30T14:57:43Z
@reemahruru3890,Miss you Mr. Rover Kai,0,2023-10-27T16:53:26Z
@reemahruru3890,King Kai,0,2023-10-27T16:53:09Z
@I_juniper,Neverland likes it very much❤❤❤😊😊,1,2023-10-24T12:35:56Z
@Soraja-d9z,☺️ kpop (:,0,2023-10-22T13:25:18Z
@샤월-k5e,여자가 하니까 색다르네,0,2023-10-22T00:50:19Z
@myosoticarvensis5641,❤❤❤,0,2023-10-19T17:44:09Z
@AneesaMohammed-m6e,Kai so cute ❤,0,2023-10-15T12:16:55Z
@s_omebody.,그 사람 왜 이렇게 잘생겼어?❤,1,2023-10-14T22:28:35Z
@بنتاليمن-ك9ض,❤❤❤❤❤❤당신과 하야는 귀엽고 함께 지내요,0,2023-10-13T23:35:26Z
@MariaCampos-ei5id,Lindo  vc  ❤❤,0,2023-10-08T16:30:35Z
@Katatskots,The dance king EXO KAI,0,2023-10-06T09:55:05Z
@CHIFUYU-iv9zo,please  do this challenge with JENNIE KIM 🤗😏,0,2023-10-05T10:25:34Z
@Amytupatrona1349,Mi miyeonnnnnnnnn mi diosaaaaaaaaa,0,2023-10-04T17:36:16Z
@JEON-JUNG-KOOK-1997,Ella lo hace ver cute pero Kai lo hace ver tan atractivo😵❤,3,2023-10-02T04:08:18Z
@gayathriudayabhanu3655,rover rover,0,2023-09-28T14:16:29Z
@Stephanie-zj8yx,Dancing king Kai,0,2023-09-26T12:40:55Z
@Stephanie-zj8yx,King Kai,0,2023-09-26T12:40:40Z
@임선미-b1d,응❤❤❤❤,0,2023-09-25T07:32:21Z
@angelinasarchive,his body is so perfect,0,2023-09-24T08:48:23Z
@아이라아니시모바,"Мило, но реально девушки в хореографии хуже мальчиков❤❤❤",0,2023-09-23T09:24:02Z
@MAWAKO_143,Is this miyeon😂 her dancing better the kAi❤😂😂,0,2023-09-21T11:19:41Z
@yoonasapple,Shes so stiff 😭,0,2023-09-20T18:02:18Z
@atosa.a1492,#kAI 👌🍃🌺,0,2023-09-19T23:26:13Z
@danikagunasekara7932,miyeon is like a princess... CHO MIYEON COMING OVER OVER OVER!!!!!!!😍 Omg.. kai and miyeooonnnn 🥰,0,2023-09-18T12:19:23Z
@trynafindmh,Miyeon soft dance ❤❤,0,2023-09-18T08:46:24Z
@Shoto_Todoroki-r2h,I hate miyeon,0,2023-09-12T00:56:34Z
@Darving-youtube,이게 혜미리예채파에서 나온당♡,0,2023-09-09T19:02:44Z
@eaysha176,পাগল হয়ে গেছে 😂😂,0,2023-09-09T09:03:44Z
@guzmangabii,Momooooooo was my favorite 🙊,0,2023-09-08T00:31:12Z
@banana_Milk27,"Miyeon:🥰😚😊

Kai:😈😏",0,2023-09-05T17:41:37Z
@seymurtagzade8436,❤❤❤❤❤❤❤❤❤,0,2023-09-05T14:16:21Z
@hdgdhd736,The 2 top covers sua and momo,0,2023-09-04T15:52:01Z
@levernelombard,Dance with black pink pls,0,2023-09-02T07:10:27Z
@ashtonliam7311,Rover Era is such an iconic and fun era.,0,2023-09-01T23:59:06Z
@ashtonliam7311,Miss you Mr. Rover,0,2023-09-01T23:58:36Z
@ashtonliam7311,King Kai is really unrivaled,0,2023-09-01T23:58:08Z
@soyeonuolumunesavunuyorum,Karim ve kocam,0,2023-08-31T10:56:45Z
@inovibi,He still does it the best!,0,2023-08-30T21:41:35Z
@nirjes1749,Love you kai❤,0,2023-08-28T00:34:11Z
@အဲဏီMOE,so so nice❤❤❤❤❤,0,2023-08-27T16:34:09Z
@sadathosseini2302,کای تو بهترینی♥️♥️♥️♥️♥️,0,2023-08-26T09:33:43Z
@LalawmpuiiSailo-g2u,My dancing machine kai❤,0,2023-08-25T07:13:04Z
@hassanmushtaq567,Zabardst 👍 song 🇵🇰🇵🇰,0,2023-08-24T18:55:23Z
@jenniequeen7350,https://youtube.com/@KimJennie_w?si=iITCTTgL_t7tbVmf,0,2023-08-24T18:12:33Z
@esilagungor8374,Miyeonnnn,0,2023-08-22T09:50:16Z
@Özgüraslan345,🤍🤍🤍🤍🤍,0,2023-08-22T08:36:27Z
@Özgüraslan345,Woooowwwwwww,0,2023-08-22T08:36:17Z
