author,text,likes,published_at
@머구먹고있는바선생,❤️❤️❤️,0,2025-02-08T08:24:46Z
@이태경-f8s,말이안나온다…..,0,2025-02-01T10:27:38Z
@Aaa-c1b3q,항상 아이팅🎉,0,2025-01-27T16:38:10Z
@김지윤-j6p4z,0:10,0,2025-01-27T10:43:01Z
@아리랑둘리랑,다너무예쁘고귀여워요❤,0,2025-01-24T11:21:32Z
@후잉이와결혼한레콩,리즈 완전 공쥬다❤❤,1,2025-01-21T08:37:54Z
@킴예치,리즈 찐 엘사 같다💙,1,2025-01-20T00:10:10Z
@YUN-g46,가을❤❤,0,2025-01-18T02:14:15Z
@Pluto_66,Wonyoung 😮‍💨why are you so elegant😭,0,2025-01-17T17:16:23Z
@먕쬬,리즈 진짜 너무 입흐다..,0,2025-01-12T07:24:54Z
@동애숙-r7s,리즈 엘사 머리카락 보니까 엘사 같닼ㅋ,0,2025-01-11T11:47:55Z
@지아좋아하는설탕,이서 보라머리 ㄹㅈㄷ ..,0,2025-01-11T00:57:47Z
@sominlouis,❤❤,1,2025-01-10T11:45:02Z
@sominlouis,저 여기 가서 아이브 봐어요,0,2025-01-10T11:44:58Z
@MASARABASIL-d4d,وويونق جنها وحده توها متزوجة,0,2025-01-10T01:16:05Z
@IloveuNoah-f2g,Wonyoung❤❤,1,2025-01-09T11:33:00Z
@dain3854,"아이브 많이 힘들텐데
다이브가 걱정할까봐 웃는거 넘 슬픔😢",0,2025-01-09T11:15:16Z
@jujuandhaha3110,이서 넘 귀여워,1,2025-01-09T03:34:04Z
@baon8523,이서 넘 귀엽다😊,0,2025-01-06T04:11:07Z
@kristalmoise,The images of Ray and Gaeul are crazy. ☄️,0,2025-01-05T15:44:12Z
@rayaneloulou98,Liz glow up is everything!!! Starship put her in the centre plz cuz now she’s major visual material,0,2025-01-05T15:26:05Z
@Lilly_92300,유진이는 걍 강아지임 너무 귀여워서❤❤,0,2025-01-05T01:00:23Z
@中村格英-c5t,🫶🫶🫶🫶🫶🫶🙆😊❤️‍🔥❤️‍🔥,0,2025-01-04T08:32:44Z
@s-challenge9186,"눈앞에 공주들이 서있어 ㅠㅠ♡
레이 넘 귀욥네",0,2025-01-04T06:33:46Z
@abdurayimovorifjon5880,LIZ❤❤❤❤❤❤,0,2025-01-04T05:13:30Z
@예린이-o6x,그중에 워영키 실화?! 나도키더 커스면 좋게다,0,2025-01-03T14:30:49Z
@jnn송이,가을❤❤여신❤❤다들 여신❤❤❤,0,2025-01-03T01:55:52Z
@sammykara5436,Liz looks like an improved version of Elsa 😍,0,2025-01-02T19:43:18Z
@avalonarkka5938,I miss IVE 😢,0,2025-01-02T15:15:07Z
@tgdgtgmtd,이서...미춋다?!❤❤❤,0,2025-01-02T12:06:19Z
@ZackYourmom,liz and rei is so pretty and cute oh also yujin and geaul and leeseo except won young bc of plastic beauty having plastic surgery is a mistake,0,2025-01-01T11:12:20Z
@Idkwhattoputherelol-x,"맙소사 정말 예쁘네요!!!
Omg yall look so pretty!!!",0,2025-01-01T00:45:58Z
@단츄랑_결혼한_셔츠,꺄ㅑㅑ 넘 예뻐,0,2024-12-30T04:39:10Z
@팝콘벌래,"리즈 저정도면 진짜 머리 금발로 나야되 
금발 너무 예뻥",0,2024-12-28T16:43:43Z
@슈프링,센터는 리즈였음..,0,2024-12-26T23:24:51Z
@하치와레임다,리즈원영넘 이뻐 언니들❤❤,0,2024-12-25T05:59:38Z
@李嚴-o3k,Liz❤❤❤❤,0,2024-12-25T02:34:30Z
@박성훈-p2q,모든멤버다폼미쳤는데,0,2024-12-24T08:30:27Z
@박성훈-p2q,원영.이서.유진.레이.리즈.가을!얼굴이라옷이랑머리랑표정미쳤다.!❤🎉,0,2024-12-24T08:29:50Z
@아리사랑녀,"우리 아이브!! 내가 멜론에서 3표 다썻어 ㅜㅜ
사랑해 아이브❤❤",0,2024-12-24T05:06:31Z
@시루떡1234,"넘흐 이쁜데..옷이 좀 노출이 많은것같은디..
내가 예민한건가?",0,2024-12-24T02:10:38Z
@감쟈_저니_potato,갤이 쁌쁍 하는거 같아서 너무 기엽다.. 가을 ㄱㅇㅇ❤,0,2024-12-23T13:03:38Z
@꼬미n,유지니는 바지를 입고있넹,0,2024-12-23T09:37:31Z
@사람-g9k7x,리즈 넘 예쁘자나~,0,2024-12-22T22:25:15Z
@miiiiiii_haru,"全員ビジュ担
女神って本当にいるんやな",0,2024-12-22T13:31:03Z
@슈팅-0622,인사하는건 다 너무 예쁘자나❤,0,2024-12-22T11:28:43Z
@Zundamoti1112,みんな衣装似合いすぎ！！！！❤❤❤❤,0,2024-12-22T10:05:58Z
@몰라유183,가을이 엄은색 드레스 노출이 심해요! 우리 초통령 까면 안돼😢 아이브 지켜!,0,2024-12-22T08:10:34Z
@1588개코,이서 보라머리 미쳤엉 너무예뻥❤,0,2024-12-22T07:03:52Z
@sophiayaps,이서 핑크머리 이쁘당 💗,1,2024-12-22T04:12:55Z
@kind-jm,너무 이뻥❤❤❤,0,2024-12-22T03:34:33Z
@stxrry.divepink,Gaeul slayeddd,0,2024-12-22T03:20:25Z
@수리-r9j,이서 주먹 크기보면 리즈 때려잡겠네,0,2024-12-22T01:53:48Z
@햄찌-u4s,리즈 검은색 옷에 금발 잘어울리고 유진이만 멋쟁이바지입고있네❤❤,0,2024-12-22T00:50:04Z
@레이사랑하는렝키,이서 보라머리 진짜 쩐다...❤❤,3,2024-12-21T07:02:34Z
@abr.xx11,"와 리즈 너무 이뿌다❤❤
원래 이뻤음❤",0,2024-12-21T05:13:53Z
@조윤경-b5n,너희 집에 엘 코르랑 가까워요,0,2024-12-21T04:58:53Z
@조윤경-b5n,Yole❤❤❤❤❤❤❤❤❤❤❤❤❤보고싶어 요😢,0,2024-12-21T04:58:06Z
@조윤경-b5n,어디에서 살아요 사랑해요,0,2024-12-21T04:57:23Z
@조윤경-b5n,맨날 꿈에 가 나왔어요,0,2024-12-21T04:57:12Z
@조윤경-b5n,이 서 언니 편이에요 사랑해요,0,2024-12-21T04:56:42Z
@libisanchezpolanco1809,❤❤❤❤❤❤😊,0,2024-12-21T02:55:42Z
@노란꽤꽉이,가을이는진짜 발레핑이다❤❤❤,0,2024-12-21T01:23:15Z
@Itsniju,진자 리즈 언니 웰케 예쁘냐고요..??!,0,2024-12-21T01:22:50Z
@채렩이즘,이서 왕관 머냐구❤,0,2024-12-20T23:57:41Z
@abanchoudhary5217,Liz with blonde hair look so pretty queen slayed 👑❤️👀,62,2024-12-20T15:35:51Z
@윷댕,"???:안유진 이뿌다!❤️‍🔥❤️‍🔥
유진:성 빼!❤️‍🔥🤭",1,2024-12-20T14:21:55Z
@1129ココ,リズ最高‼️,0,2024-12-20T11:47:13Z
@김정민-k3m,이서 보라머리 귀여워❤,0,2024-12-20T09:24:21Z
@Been.x_14,힝 나두 가고싶었지만 영상으로라도 봐서 행복쿠,2,2024-12-20T09:20:45Z
@Rodrigo30-o1z,Wonyoung is so beautiful 😍❤,1,2024-12-20T08:58:14Z
@jackieffan,Leeseo so cute <3,2,2024-12-20T06:17:14Z
@ssuki0420,아이브 3주년 축하하고 mma대상 축하해😊😊❤❤,1,2024-12-20T05:43:33Z
@ZI존윳프,아니다 귀엽자나ㅜㅜㅠㅠㅠㅜㅠ❤❤❤❤❤❤❤,0,2024-12-20T05:31:26Z
@user-up7bn4vn2e,リズ♥❤,0,2024-12-20T05:27:08Z
@폴콩업고튀어,가을이❤❤❤,1,2024-12-20T05:17:55Z
@맂프인사람,"리즈 언니 너무 예뻐
평생 팬할게용 리즈언니!!사랑해여❤❤",0,2024-12-20T05:15:31Z
@mayureeuspeamanon1767,Liz❤❤❤,0,2024-12-20T05:02:59Z
@счщмиява4532,이서 공주❤,0,2024-12-20T04:06:00Z
@Jesus_love_you11111,Jesus love you,0,2024-12-20T02:57:30Z
@Strawbbxmoon,Infinity Nikki characters,0,2024-12-19T23:40:14Z
@やっち-y2n,みんなお姫様,0,2024-12-19T23:16:04Z
@kanaosang_AP007,leeseo❤❤,0,2024-12-19T14:20:05Z
@Paj-o6q,오른쪽서2번째보면 요즘 아이돌막뽑나보다,0,2024-12-19T13:53:17Z
@Fanni_Darazs-amandasilverhouse,Slaying those fits for sure,0,2024-12-19T13:52:14Z
@베릱콩,리즈 공주처럼 우아하게 인사하는 거 너무 이뿌고 MMA 헤메코 넘 잘어울린다ㅏ,22,2024-12-19T13:28:06Z
@grand_master.oneman,"Wowwwy 
RUFF 👅out ❤",0,2024-12-19T13:08:18Z
@浅汐言初HY,Gaeul so beautiful,0,2024-12-19T13:08:10Z
@jayk4985,Hi hi奇怪😳⋯⋯🤿,0,2024-12-19T12:49:35Z
@정선-z6m,"영화볼때같어요워영언니
답장해주세요❤무대인사할때다봤어요
선물을만들었는데 그때못줬어요ㅠㅠ😢
그래도예뻐요🎉",0,2024-12-19T12:44:09Z
@정선-z6m,"답장해주세요ㅠㅠ워영언니
멤버다귀엽고예뽀😊❤❤",0,2024-12-19T12:41:48Z
@RemyChiu-cf9fg,Liz❤❤❤❤,0,2024-12-19T12:19:36Z
@큐티콩맂,😮٩(╹⌓╹ )۶’,0,2024-12-19T11:28:47Z
@ツムギ-i6o,ガウルちゃんの髪型よく見たらお団子の後ろがハート型になってる❤かわいいー❤,1,2024-12-19T11:23:41Z
@김주원-l9q,"예쁜애옆에 예쁜애 
스타일리스트는 얼마나 좋을까.?
이쁜걸 입히는 재미가있을듯
물론 직업이니 마냥 즐겁지만은 않겠지만",1,2024-12-19T11:21:29Z
@써니TV-t3e,공주님들 나감니당,0,2024-12-19T10:45:10Z
@민유입니다,유진이 😢❤❤❤,0,2024-12-19T10:37:43Z
@yeondoo0508,"진짜 개이쁘다 ,, ❤❤😢",0,2024-12-19T09:47:25Z
@rudaru86,❤❤❤❤❤❤레이❤❤❤❤❤❤,0,2024-12-19T09:28:41Z
@이명준-e6w,예쁘 보고싶은,0,2024-12-19T09:23:58Z
@aquariumcharlotte8428,リズが美しすぎる😆,0,2024-12-19T09:16:36Z
@grizzzlybearrr1079,"이번 의상도,.쩔었다ㅠ❤
파란계열 옷 보고 싶었는데! 이번 스위치랑 넘 찰떡!❤(중1)",1,2024-12-19T09:04:27Z
@멜로미쯔업구튀엇,워녕이 머야ㅜㅠ❤,0,2024-12-19T08:55:55Z
@吉川伊絢,イソと秋ちゃん可愛いし美人すぎる！2人はうちの推し,0,2024-12-19T08:46:19Z
@micahellabeamalate7639,Earlyyyy,0,2024-12-19T08:44:44Z
@유경종-s9s,"❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
❤❤❤❤❤❤❤❤❤❤❤❤❤❤
❤❤❤❤❤❤❤❤❤❤❤❤❤
❤❤❤❤❤❤❤❤❤❤❤❤
❤❤❤❤❤❤❤❤❤❤❤
❤❤❤❤❤❤❤❤❤❤
❤❤❤❤❤❤❤❤❤
❤❤❤❤❤❤❤❤
❤❤❤❤❤❤❤
❤❤❤❤❤❤
❤❤❤❤❤
❤❤❤❤
❤❤❤
❤❤
❤







아이브 사랑해

나이순서
가을
유진
장원영
리즈 레이
이서❤",0,2024-12-19T07:27:59Z
@eueywri,콩순이 😎,0,2024-12-19T06:48:01Z
@lizzzjiwon,❤,0,2024-12-19T06:44:27Z
@akikoyoshida6740,리즈 미모 어떡핵 너무~~~~~~~~~~이뻐!!!!!!,1,2024-12-19T05:59:43Z
@sue3355,Leeseo with pink hair omgggg,0,2024-12-19T05:29:23Z
@dynasty1453,진짜 귀엽다 ❤❤❤,0,2024-12-19T05:20:42Z
@joscaro11,REI😍,0,2024-12-19T05:20:09Z
@Kim-zd8pb,아이브 화이팅,0,2024-12-19T05:17:06Z
@gnvtwhp1218,Gaeul.,0,2024-12-19T03:42:00Z
@Latte_is_Maria,으아ㅏㅏ악 울 막냉이 미친곤가????? 보라 머리 이서 미쵸따 넘 이뿌자나ㅏㅏ❤❤,1,2024-12-19T03:02:52Z
@Viníciusago15,Bonita rioemu grande lryodo doea rei 🤍,1,2024-12-19T02:32:54Z
@reinmyheart_taeoxo,Rei sooo cute ⁄⁠(⁠⁄⁠ ⁠⁄⁠•⁠⁄⁠-⁠⁄⁠•⁠⁄⁠ ⁠⁄⁠)⁠⁄,1,2024-12-19T02:20:52Z
@K-さん37,お礼する時のリズちゃんがお人形すぎる,5,2024-12-19T02:08:15Z
