author,text,likes,published_at
@백수-x7d,은채 점점 여자가되는구나,0,2025-04-22T14:09:20Z
@maverick6511,"I'm happy to see them enjoying their free time doing some fun together and also supporting their sunbaenim ❤🥰💕, Sakura always stunning in everyway ❤❤😊",2,2025-04-14T07:20:41Z
@nargizcafarli9,Cute❤❤❤,1,2025-04-13T05:19:19Z
@alexisj328,The way they jumped on the bed tells me they really like APT.,4,2025-04-06T04:06:53Z
@303bren,진짜 재미있게 노네 ㅋㅋㅋㅋㅋㅋㅋㅋ,0,2025-03-31T01:40:20Z
@chowda1214,Sakuras visuals at an all time high in her career imo,5,2025-03-27T22:52:03Z
@FatimaLiradecabrera,"/\_/\
\___/
(.     )/
______",0,2025-03-23T02:47:33Z
@BenguirBasma,Oh eunchae your so pretty gorgeous 🔥🔥,2,2025-03-22T12:48:23Z
@THANOSV2,The jumping on the bed 😭😭😭,0,2025-03-20T15:09:04Z
@thecrazygirlanne,YUNJINS JUMPING😭😭,0,2025-03-19T20:20:09Z
@thecrazygirlanne,YUNJINS JUMPING😭😭,0,2025-03-19T20:19:48Z
@thecrazygirlanne,NOT EUNCHAE HOLDING  THE FAN FOR SAKURA,0,2025-03-19T20:19:08Z
@Abdukhalilova.55,Rosé Legendarny girl🫠🥹💅🏻✅️,0,2025-03-18T07:57:32Z
@taekook_forever-iy7nv,Eunchae visial just wow ❤,0,2025-03-17T13:16:08Z
@SalimaBibi-z1q,I am really happy because l love Rose and le ssarefim both❤❤❤,0,2025-03-16T14:56:39Z
@YosoyGiane,"The girls from Lesserafim are beautiful 😻 and doing the APT trend they are even more, I love them",0,2025-03-16T14:48:43Z
@Robloxloveforeve,Can I join?,0,2025-03-12T19:58:13Z
@pompompompons5844,Omg. Sakura,0,2025-03-10T19:41:58Z
@Ultrabtsno1.,아유 예뽀요😍,0,2025-03-10T00:39:11Z
@CoeurBleue_3,LE SSERAFIM on Rosé’s apt song but it’s so cute to see idols supporting other groups ! ❤️❤️🥺,1,2025-03-09T16:56:13Z
@constantfredrik,셋이 잘노네😅,0,2025-03-08T19:59:55Z
@caramelcheezyy,THEM JUMPING FASTS MAKES IT 10000x FUNNIER-,0,2025-03-08T00:47:36Z
@djawadkhalfi-hf1cc,افضل فرقة كيبوب ❤❤❤❤❤احبكم😍🥰💕💓💋,4,2025-03-05T23:13:42Z
@Mundio-wp3sh,주인도 못알아보고 물어버리는 뉴진견보단 훨씬 나아!,1,2025-03-02T15:53:47Z
@NaeemaBegum-y1b,Yunjin on the bed jumping and playing at the same time 😂,2,2025-03-01T03:16:48Z
@arnewoodman,"Seems there's contradictory factors in Kpop.... First, idols all love to support each other and do things like this...... Second, people try to build up conflicts and disputes between idols which are fabricated, not real.Is it all manipulated by the management company?",0,2025-02-28T23:12:34Z
@ゆず4231,ウンチェ天使すぎる😊,0,2025-02-21T14:06:35Z
@최고다-v8m,"즈 하, 채원은 어디로 
내사랑 돌리도",0,2025-02-20T14:40:15Z
@boojjy,침대 신발벗고 뛰어노는거 너무 마음 편하네.,1,2025-02-15T11:02:45Z
@MayaAl-e2m,여자 물개 트렌드 😭🥹💘,0,2025-02-13T19:26:59Z
@nadya445yakowt6,Me and my uncle girls,0,2025-02-12T22:41:44Z
@seunggunchoi1690,ㅋㅋㅋㅋㅋㅋㅋ😊,0,2025-02-12T09:37:03Z
@Aişe-e5h,They are so Ginny Love them,0,2025-02-11T19:03:18Z
@Aişe-e5h,They are so Ginny Love Thema,0,2025-02-11T19:03:07Z
@Lili_LovesBP,Lesserafim are that kpop group who only makes tiktok trends😂,0,2025-02-10T17:23:18Z
@RECOSTRUCTORATORRES,❤❤❤❤❤❤❤,0,2025-02-10T01:07:46Z
@RamnathKaushik-gw1wp,I love how they are supporting Rose I didn't know that they will do this and even though they are idols ❤🎉!,1,2025-02-09T14:44:21Z
@GouravMahapatra-f3f,🤣😆😆😆😆,0,2025-02-08T05:47:48Z
@Angelo-k5r9h,❤❤❤❤❤❤❤,0,2025-02-06T07:28:24Z
@wkekjjehhhhffyfcye,Sakura and yunjin bestttt,0,2025-02-03T15:35:57Z
@eunpersimon,꾸라 외모에 걍 쳐돌이가 되,0,2025-02-02T17:05:52Z
@IsabelGonzalez-kj8ks,hermosas mis niñas❤,0,2025-02-02T13:41:43Z
@Jeoncelestial,Yunjin is just 😭,1,2025-02-01T15:00:42Z
@Cats_stan,كٱن ليسي حاطين بالعنوان رقم تسعه بالعربي 😭☝,0,2025-01-31T10:13:38Z
@MYmonsblinkfearlandive,They will going viral for this 😂🎉,1,2025-01-31T03:06:55Z
@Nahomys-2013,Que lindas 🎉❤ apoyando el regreso de rose ❤,0,2025-01-31T02:44:23Z
@Une_ivoirienne_ta_peur,Apt apt😊😊😊😊😊😊,0,2025-01-28T20:06:45Z
@Minutellaa,아파트 아파트~ ❤😮,1,2025-01-27T18:39:21Z
@peterc1218,みんなすごくきれいです,11,2025-01-27T15:48:29Z
