author,text,likes,published_at
@Naeyon_coelhinha_fofa,Whiplashcore,0,2025-02-05T22:22:34Z
@ElifEr-y8i,Whiplash core=my core,0,2024-12-29T13:56:03Z
@Mariadionisova,𝐅𝐑𝐎𝐌 𝐍𝐎𝐖 𝐎𝐍 𝐌𝐘 𝐂𝐎𝐑𝐄 𝐈𝐒 𝐖𝐇𝐈𝐏𝐒𝐏𝐋𝐀𝐒𝐇 𝐂𝐎𝐑𝐄❤,0,2024-11-03T20:28:39Z
@sunnxside,inviten a una fiesta donde pongan whiplash hasta que truene la bocina,0,2024-11-02T02:02:15Z
@1lovaespa,Whiplash core>>>>>>>,0,2024-10-29T17:08:16Z
@nai_imnida,i think whiplashcore: 🦾⛓️‍💥🩶☄️🎬🎧⛓️🔗,0,2024-10-27T18:05:59Z
@엥-n6o,위플래시 노래 겁내좋고 중독성 오짐,3,2024-10-26T10:29:34Z
@KIRARUBYJANE,❤❤❤,0,2024-10-26T03:11:46Z
@BABYMONSTER833,AESPA's songs never disappoint us,1,2024-10-25T23:24:57Z
@언드-WOW,굿굿!!,0,2024-10-25T14:19:08Z
@cutqrd,i love whiplash so much,0,2024-10-25T11:43:04Z
@aeD4RK,DJESPA IS OUR REALTY NOW! I wish aespa do a DJ performance of Whiplash for music show festivals' special stage.,35,2024-10-25T10:19:41Z
@aeD4RK,WHIP WHIPLASH WHIPLASHCORE; Aesap's naming game is the best as always!,24,2024-10-25T10:17:37Z
@aeD4RK,WHIPLASHCORE IS SUCH A NEAT NAME! Really nobody do or think like our aespa and MYs!,134,2024-10-25T10:16:57Z
@aeD4RK,I SAID THAT THE NO1 DJ CLUB SONG IS WHIPLASH! Yes even aespa officially accept it now.,20,2024-10-25T10:16:47Z
@BLACKLION-t2o,👀,0,2024-10-25T10:09:23Z
@user-ws4dz7ss3n,Nice,0,2024-10-25T08:28:53Z
@中村格英-c5t,カッコイイですね🤩🤩👍🙆🙆,0,2024-10-25T03:00:09Z
@theannaelizabeth,YESSSSSS,0,2024-10-25T01:25:24Z
@VIMICISUKT,Quieres iremos leproso bueno aespa 🖤😎,0,2024-10-25T00:41:16Z
@Yeahitsmeliv,I will be making a mood board on Pinterest for my aespa concert outfit!,1,2024-10-24T22:49:40Z
@lefimmify,Omg I thought this was a fan account 😭,0,2024-10-24T19:27:19Z
@aesgene,WHIPLASH CORE INDEED! Aespa eats everytime!,41,2024-10-24T18:31:09Z
@vav_vah,Divaaaaas,0,2024-10-24T18:22:58Z
@ixshtx,I LOVE WHIPLASH,0,2024-10-24T14:38:10Z
@단츄랑_결혼한_셔츠,닝닝이가 말했던거 처럼 이번 컨셉 쇠맛이네..,26,2024-10-24T14:21:10Z
@AL11L7K,❤,0,2024-10-24T12:48:31Z
@krsitofmolnar2081,i love you aespa,0,2024-10-24T12:47:29Z
@supernnva,whiplashcore é o conceito perfeito elas estão icônicas nesse comeback,24,2024-10-24T12:38:25Z
@iamlemonesssaa3421,THE VIIIBBBEEE,1,2024-10-24T12:18:35Z
@kariinaeverse,I LOVE THESE PICTURES AND VIBE I WISH MY ROOM LOOKED LIKE THIS,8,2024-10-24T11:49:35Z
@kariinaeverse,휘핑 휘핑플래시 휘핑 휘핑플래시,3,2024-10-24T11:48:17Z
@kariinaeverse,This DJ CYBERPUNK VIBEEEEE THE PURPLE?! HELLO?! IM INLOVE!!!,44,2024-10-24T11:47:45Z
@kariinaeverse,I LOVE WHIPLASH CORE!!,5,2024-10-24T11:47:23Z
@kariinaeverse,THEIR CONCEPTS ALWAYS AMAZINGGGGG LITERALLY DEVOUREDD,30,2024-10-24T11:47:16Z
@GautamGuharoy,Whiplash to backlash,0,2024-10-24T11:10:23Z
@kabilanrajendiran4529,Can somebody send this to ms.XCX,0,2024-10-24T11:06:16Z
@Aurora-ae,❤❤❤🎉🎉🎉,0,2024-10-24T10:45:29Z
