author,text,likes,published_at
@Elfangor-Sirinial-Shamtul,Makes sense for Momo and Jihyo to show us the dance since they go the hardest during the performances. 🩷🧡,0,2024-11-28T20:53:23Z
@captaingalactic698,Jihoy & Momo that's very impressive 🌙🐩,0,2024-07-19T22:49:27Z
@Von_Zimmermann,"Put a million dancers together, have them do a survivor competition and these two would be the last two standing.  Its almost impossible to outshine Jihyo yet Momo somehow does it.  I love Jihyo, though Momo is the most stunningly gorgeous woman in world, inside and out.",0,2024-07-09T03:46:01Z
@robinhong3599,<3<3<3,0,2024-06-17T08:59:14Z
@chl3171,💗💗💗,1,2024-05-28T23:18:44Z
@Stay_hanjinsung,안녕하세요 모모와 지효님 팬입니다 정말 사랑해요 저는 멕시코 사람이지만 정말 사랑해요 ɞɞɞ 나한테 인사 좀 해주실 수 있나요 사랑해요,0,2024-03-31T18:11:22Z
@Ninjacomecebolla,The didn’t explain the step in middle so I was like- 🧍🏽‍♀️,0,2023-12-30T11:06:45Z
@talltree670,All of this and Jihyo isn’t in the dance line? CMON JYP U CAN DO BETTER THAN THAT 🤧,1,2023-10-11T05:07:38Z
@aamarmaricovin,MOMO😍,0,2023-09-03T20:00:46Z
@elifaltner8040,We need Mina here!!!!,0,2023-07-30T12:56:13Z
@翔森川-z5f,モモもジヒョもどちらもどちらもすごい努力してきたのは分かってる。けどモモが並んでしまうとモモがどれだけ完璧であるかが浮かび上がってしまう...,4,2023-07-24T08:44:38Z
@yourmajestyzaine,Momo’s smile at the end was so adorable :D,0,2023-07-18T16:11:46Z
@iceden9545,2 power dancers of Twice in one video🤗,1,2023-07-01T13:24:26Z
@pandu4924,keren,0,2023-06-08T05:56:08Z
@miralinda682,This is my all time favourite dance and song from Twice aaaaah. Coming to see you in Berlin ❤,0,2023-05-29T06:11:39Z
@tioray9982,"I want Jihyo to be my teacher to learn dancing lessons 😍😍 she seems very patient, somebody who will motivates you to improve and very accurate in the skills ❤️❤️😭😭🙏🙏",0,2023-05-29T04:27:28Z
@tioray9982,"Yeeeeesss!!!!!!😍😍😍 I freaking love this mini videos as tutorials to learn the choreography with them!!!!🫰🏻🫰🏻🫰🏻❤️❤️
They even share what they do with everybody without selfishness, arrogance nor fokin bull shiiiet 
That’s why their are my top notch and very humble ladies👏🏻👏🏻👏🏻👏🏻",0,2023-05-29T04:24:56Z
@giubalompaa,This is so hard,0,2023-05-27T13:09:01Z
@sofiaaaa28,❤❤amo vcs,0,2023-05-14T23:09:55Z
@leyyuuh,"the fact that,i still cant do",0,2023-05-06T12:43:08Z
@유리알-y3o,모모 몸매 미쳤다 😮,0,2023-04-30T14:53:18Z
@luisaxxzz,👩👩❤,0,2023-04-08T00:38:03Z
@deniserodrigues9076,"Verdade lindas, não aprendi nada",0,2023-04-03T01:22:26Z
@giselle9429,MY BIASES IN ONE MY GOSH,0,2023-03-22T05:10:00Z
@sarakurt558,anlamsız hemde yanliş,0,2023-03-18T06:26:29Z
@Felix_Able,It LOOKED easy,0,2023-03-16T22:42:23Z
@ユウナアラキ,かわいい,0,2023-03-14T12:41:12Z
@sltr4wbvrr1,Thankkk youuuu I ned this 😻💋,0,2023-03-09T00:27:08Z
@素晴らしい自販機,ももりんの脇で握ったおにぎり食べたい❤️,0,2023-03-08T08:02:13Z
@annaalves6224,Twice best gg,0,2023-03-07T18:01:17Z
@leeminari8717,Ellas demuestran lo talentosas que son!,0,2023-03-05T01:10:25Z
@sangteazadeng6373,wondering whole about the height and finally realized bcuz of the heels💀,0,2023-03-04T21:43:09Z
@imnayeon750,Great dancers,0,2023-03-04T16:59:12Z
@reiiiizxzxz,YAS,0,2023-03-04T08:04:47Z
@sanakim7294,Mohyo,0,2023-03-01T12:05:24Z
@shu.porangporang_linos-25,The most talented of the group 😻😻,0,2023-03-01T01:08:36Z
@MIDZYnatural,dens practice is not like a month! girls! hurry up! ❤🥺,0,2023-02-28T09:27:02Z
@RosslynStreet,I’m so in love with Momoring❤,0,2023-02-27T13:25:49Z
@oldboy0202,모모 춤 너무 멋져요♥,0,2023-02-25T14:57:41Z
@ゆるん-h4w,モモはフリフリレースよりこっちの方が似合ってる👍かっこいいね✨,0,2023-02-22T17:36:50Z
@tuana36.5,isiririm,0,2023-02-21T18:50:48Z
@tuana36.5,dis agrimi gecirdiniz amk,0,2023-02-21T18:50:44Z
@alisonperez7673,everybody started making fun of me*,0,2023-02-21T02:01:52Z
@alisonperez7673,i was on Roblox and I was singing feel special in the chat and everybody started making fun of them so I reported them 8 times and know there acc is deleted (don't mess with onces),1,2023-02-21T02:01:30Z
@Vutu_IDI,"The hands are fine, but it's the leg movement I can't do 🥲",1,2023-02-20T18:34:52Z
@amhaichmohamed265,SUPER TOP🌹💙🌹💜🌹🆒👏👏👈,1,2023-02-19T14:41:00Z
@lisbethmartinez4479,El cuerpo de mi bebé momo,0,2023-02-18T23:01:02Z
@yalovesv,Thank youuu❤❤❤❤,1,2023-02-18T12:34:11Z
@J_wooo,"Jihyo: easy
Me : ???",0,2023-02-18T08:12:10Z
@satriaprestasia9777,Threesome,0,2023-02-18T00:43:25Z
@eylvllz,love youu twice,0,2023-02-17T20:35:31Z
@josealejandrocortesgual4618,Les amo 💕💞😘,0,2023-02-15T18:26:54Z
@nattyluzachavez8649,I love you Momo and Jihyo ❤❤😻😻✨✨👑👑,0,2023-02-13T19:41:19Z
@3dis,"ジヒョって人なの？
もう異次元レベルにかわええ",0,2023-02-13T16:11:03Z
@Riddhimablink4878,Jihmo queen,0,2023-02-12T14:55:23Z
@nancyannIawrence,IS IT MIRROREDDD,0,2023-02-12T11:45:54Z
@liliaibarra9595,MoJi,0,2023-02-11T21:45:08Z
@almot3205,❤️ ❤️ ❤️ L,1,2023-02-11T20:52:46Z
@IamYeli-123,I practice it and it works out a little better,2,2023-02-11T01:09:46Z
@victorias_ecret,THEY ARE BEST GG,0,2023-02-10T08:59:25Z
@likiszone,Ура я выучила,0,2023-02-09T13:58:10Z
@Lita_lity,Thanks u 😭😭😭,0,2023-02-09T08:33:30Z
@monaalfarsi5299,How am I supposed to know I’m bad at dancing 😅😅,0,2023-02-08T21:29:21Z
@ImReinbtw,The height difference 😭,1,2023-02-08T02:41:32Z
@yugi1953,MOMO BEST GIRL <3,0,2023-02-07T20:47:05Z
@ro1n314,it was hard tho🥲,0,2023-02-07T16:33:29Z
@nuvu9916,QUE LINDAAS😭😭❤️‍🩹❤️‍🩹,0,2023-02-07T15:33:53Z
@uguriomu,MY MOMOOOOOOOO MY GIRLFRIEND,0,2023-02-07T15:22:12Z
@Justn1998,Twice teaching how to dance for once. Twice is the best girl group,0,2023-02-07T05:59:06Z
@official_aeraa21,Ty twice for teaching me the dance! Annyeong!,0,2023-02-06T21:56:09Z
@Tom_boyish,twiceeeee my favurite group👍👍👍👍👍👍🥺😍😍😍,1,2023-02-06T11:12:56Z
@kangyeollee7534,ㅋㅋㅋㅋ 귀엽네요 ㅋㅋㅋ,0,2023-02-06T01:47:10Z
@lissy2533,I didn’t realise how intricate this dance was before,1,2023-02-05T11:41:41Z
@bianyn8952,"OMG JIHYO WHY YOU LOOK SO PREETY, SO PERFECT, YOU'RE THE QUEEN IN THE GROUP. SO PROUD TO BE YOUR FANS 😍👑🌹❤️",3,2023-02-05T08:04:44Z
@NRam-ke6cs,Jihyo ❤️,2,2023-02-05T02:14:40Z
@YUCHIKA314,ももちゃん可愛すぎだし、ジヒョちゃんも、可愛すぎ❤,7,2023-02-05T00:31:54Z
@valisemyazza262,MOMO dile a SANA ❤,0,2023-02-04T13:21:22Z
@TK_1389,My bias and bias wrecker 🔥,0,2023-02-04T09:54:08Z
@DapperDubuOT9,Great tutorial! We need another MoHyo date and Dahyun with each member 🤍🤍,1,2023-02-04T07:54:51Z
@visionk4n,Why does this look so easy but is it so hard? 😭,3,2023-02-04T05:04:22Z
@uysalakar7928,👉😉🇹🇷🇰🇷🇹🇷🇯🇵🇹🇷🇹🇼🇹🇷❤😘❤😘💘😘💘🌹🌹🌹🌹🌹🌹🌹🤟🤟🤟🤟🤟🤟👍,0,2023-02-03T23:14:31Z
@ohmaaaaad,"Two best dancers,aaaw",0,2023-02-03T20:58:32Z
@Toppokki,"어려운 춤이 쉬워보인다는 것은 이들이 얼마나 깔끔하게 추는 지 알 수 있다는 것입니다.
선생님,,, 진도가 너무 빨라요",0,2023-02-02T19:39:59Z
@strawberrymoon893,two dance queens,0,2023-02-02T19:28:02Z
@momorings_love,Thank you Momo and Jihyo ❤️,0,2023-02-02T14:55:18Z
@josephineramos9298,Kang Daniel and Heechul watching this tutorial,1,2023-02-02T13:24:28Z
@三宅千治,ももりんとジヒョかわ,1,2023-02-02T06:55:53Z
@TWICELOVERS-f1l,Preffect ♡,0,2023-02-02T05:27:14Z
@Kim__meli,💘💘I like Jihyo so much and she looks so cute here I like her when she's cute the best girl I like in kpop and Momo I like her too,4,2023-02-01T20:13:00Z
@yh3700,MY BABIES,0,2023-02-01T03:10:46Z
@hidetatsu-LOVEcocoa,LESSON動画でも、曲と合わせた途端にプロの表情に変わる様はカッコイイですね✨,3,2023-02-01T01:05:09Z
@User-8920wq9,💞💞💞💞💞💞,0,2023-01-31T21:12:36Z
