author,text,likes,published_at
@Voicenight,🎉,0,2025-04-22T14:00:00Z
@baoyanjin,🥰🥰🥰🥳🥳🥳🤩🤩🤩,0,2025-04-20T14:46:26Z
@baoyanjin,😍😍😍,0,2025-04-20T14:45:54Z
@imgaeunn,❤❤,0,2025-04-17T10:17:42Z
@KeithLund,Bored! is a great solo song by Ningning. It has great choreography. 😍,6,2025-04-16T05:45:12Z
@예쁘장한구오즈,Ningning eonnie 🥰💖💖💖,4,2025-04-13T03:18:23Z
@keyway7056,Лучшие,2,2025-04-12T09:13:06Z
@lemonjam6773,900k🎉,0,2025-04-12T00:01:05Z
@AlphaOmega_AlphaOmega,"we LOVE 💞Ningning💞 !!
.
she lookin' ❤️‍🔥 !!",2,2025-04-08T23:03:47Z
@user-po9hj7eg4c,为什么不开灯啊，为了省电吗？全程看不清脸,5,2025-04-07T16:35:24Z
@새콤-h6y,닝닝 살앙해,1,2025-04-07T11:16:04Z
@lilichu0605,Ning Ning's singing voice is very pleasant to listen to.🎉,2,2025-04-06T07:59:25Z
@imgaeunn,1m gogogo,3,2025-04-04T09:49:39Z
@ellainebee5895,the best,3,2025-04-03T17:22:58Z
@welcometomy_play_ground,조명왜이래진짜....,4,2025-04-02T04:32:16Z
@Jim-ic2of,😎 Hooray ! ❤,2,2025-04-02T04:25:40Z
@Swp-o3d,86w,0,2025-03-30T07:28:43Z
@Zhou-r7e,bored not bored,0,2025-03-28T15:45:46Z
@meysazehan7411,Cantikkk,0,2025-03-27T06:01:26Z
@yurarichan,ニンニン大好きー！,0,2025-03-26T11:54:49Z
@T0t0miii,"네달동안 보고있는데 안질림
그냥 이영상의모든게좋음 보면볼수록더진국임
이날 헤메코와 조명 동선 분위기까지 다 완벽함 …… 조명이 약간 어두워서 아쉬울 수 있는데 아님 너무 밝은것보다 다 꺼놓고 앞쪽만 살짝 켜둔게 레전드 .. 개레전드연출이라고생각함 후렴부분은 진짜 닝닝이 신처럼보임 마지막 제스처까지 완벽함",1,2025-03-24T16:45:20Z
@liangzihan,宁宁真的很棒！！！倦倦真的越听越好听！！！,2,2025-03-23T05:51:01Z
@blassiiec,"Gelap kali, njir. Secantik ini tapi lampunya gk dinyalain",1,2025-03-22T19:23:49Z
@kevingero,"She didn't dance much, couldn't she sing live???",0,2025-03-20T23:14:35Z
@imgaeunn,i love bored,0,2025-03-20T04:22:27Z
@imgaeunn,❤❤,0,2025-03-20T04:22:14Z
@Ttruu924,말햇잔ㄴ아 닝닝붐은 온다고,0,2025-03-19T12:04:45Z
@熊野古道中辺路,前髪ありで美しさとかっこよさを持ち合わせるの流石やわ！！,0,2025-03-17T23:50:25Z
@doankimtuananh9317,"She is very very Ariana Coded. Bird singing like voice yet very alluring, sexy innocent.",1,2025-03-15T17:10:43Z
@jokerkissshot420,0:51,0,2025-03-15T13:22:18Z
@jokerkissshot420,0:50,0,2025-03-15T13:22:09Z
@Karina-bashari,Maybe all of the group is a gold but shes a daimond!❤❤ And sm doesnt even turn on the light in time😢 sm underrated her she can be way more than what shes now❤❤❤❤❤,0,2025-03-15T00:36:01Z
@liangzihan,倦倦真的很好听，和醒醒完全是不一样的风格，两首歌我都很喜欢，也希望能早日听到醒醒的音源！！！,0,2025-03-14T04:04:28Z
@keyway7056,Go to supernova mv,0,2025-03-13T08:13:48Z
@lemonjam6773,🖤,1,2025-03-12T13:14:34Z
@YiyuanGao-w3c,宁宁太棒啦🎉,1,2025-03-11T07:05:55Z
@LionelMars10,I am so into this song. Her voice is so perfect so as her performance.,1,2025-03-10T21:16:45Z
@JiguJelly-u2w,Ning Yizhuo ❤,2,2025-03-10T20:49:54Z
@liangzihan,宁宁真的很棒，音乐品味也超强，我真的真的超级喜欢宁宁,5,2025-03-10T02:15:55Z
@e.l.7043,Хорошие у её сапоги 😊 Я в таких за грибами в лес хожу💗,1,2025-03-07T14:44:05Z
@127pomegranates,she was just born to be on stage!,1,2025-03-07T07:17:07Z
@visurvix,Bored isn't bored.,2,2025-03-06T07:19:59Z
@visurvix,I LOVE NING NINGGGGGGGGGGGGG,1,2025-03-06T07:19:36Z
@지마이-m1o,ㅈㄴㅈㄴㅈㄴ예쁘다,2,2025-03-05T04:51:32Z
@浅末余生,sm能不能好好对待宁宁😅😅😅正常对待,1,2025-03-04T09:22:12Z
@vrtual4ngel1,this is if i had a theme song i swear,1,2025-03-04T07:08:21Z
@LOLA-yj9rr,Ningning is one of the few kpop idols who were born to be superstars. She just has it!,7,2025-03-04T05:18:54Z
@王可-g2z4n,ningning❤❤,2,2025-03-02T06:19:36Z
@justcallmejm_00,I never bored on ningning,3,2025-02-28T13:27:46Z
@김주하-f6t,스엠아 불 켜라 나중에 또 닝닝이한테만 일 제대로 안 하면 니들 회사 앞에 똥 테러 한다,6,2025-02-27T12:08:10Z
@皮-z8k,造型很適合寧寧～唱歌又好聽❤😍,3,2025-02-25T10:24:41Z
@obsessedwithbread,NINGNINGGGG❤,3,2025-02-25T03:57:03Z
@Swp-o3d,這首歌真的好好聽,5,2025-02-23T17:20:33Z
@lemonjam6773,NINGNING🖤,3,2025-02-20T06:11:39Z
@alfiahcahyaningrum2604,OMG NINGGGG AAAAAAAA,4,2025-02-19T18:17:24Z
@shincaupeputchi5886,Woahhhh....NingNing is the best 🤭,4,2025-02-19T07:59:12Z
@gfviviz,너무 좋은데 제발 7년이후에도 에스파 계속 해주면 좋겠다,1,2025-02-19T04:26:26Z
