author,text,likes,published_at
@НазлиДурдыева-н4в,Yunjin i love you very much ❤❤❤❤,0,2025-03-26T14:05:10Z
@MOMO-ob4sk,😍😍😍😍,0,2025-03-24T20:47:22Z
@MaggieGarcia-u5k,Want that signed album 😭,0,2025-03-22T19:27:02Z
@IZRAFIM,핌둥이들❤❤,0,2025-03-21T13:11:16Z
@johnstorti1594,❤❤❤,0,2025-03-20T05:46:54Z
@Layaloge,❤❤🎉,0,2025-03-19T20:23:55Z
@SecretlyMoonlight,#needthat,0,2025-03-18T13:23:13Z
@tunaafish,I feel like Hot and The Chase should swap the vibe of their choruses,0,2025-03-18T01:16:59Z
@illit_life,don’t worry I’ll get that signed album one day 👹🙏,0,2025-03-17T10:23:40Z
@carmedslulu,Beautiful ❤ Hunjin,0,2025-03-16T18:41:39Z
@shock1ngly,GIMME THOSE SIGNED ALBUMS RNNN,1,2025-03-16T15:37:03Z
@flamingjob2,Eunchae and kazuha holy❤,0,2025-03-16T06:56:06Z
@maykonsirqueira7425,Sucesso 🎉🌹,0,2025-03-14T13:51:50Z
@kuk6364,윤진🧡🤍,0,2025-03-14T10:20:50Z
@kartagjenacukic7414,Woww New Album love you leserrafum 🥲💖💖,0,2025-03-14T07:53:09Z
@Yeonjun_iee,🔥🔥🔥🔥🔥✨🔥✨,0,2025-03-14T04:14:37Z
@Pixiixx77,I wish i was that album,0,2025-03-13T15:03:22Z
@Inti-p4u,"gimme, gimme, gimme that signed album ✨",0,2025-03-13T11:40:25Z
@seoyoon-lovekoreaaa,정말 갖고 싶습니다!!!❤,0,2025-03-12T12:10:04Z
@장카유,ㅄ들때메 엄한 고생 한거 보상받길  대박나길 ~!,0,2025-03-12T11:41:37Z
@응애채덕,와 멫,0,2025-03-12T11:40:26Z
@Armydivaa,"All you have to do now, is give me the album 😭",0,2025-03-12T11:25:27Z
@Kpopjpop638,I orded 2 hoping for yunjin,0,2025-03-12T10:08:38Z
@raminqenberov6665,Eunchae i love you,0,2025-03-11T15:45:16Z
@加納まさき,ほしい,0,2025-03-11T12:32:14Z
@BhavishaK-v5g,❤❤❤,0,2025-03-11T10:02:12Z
@yuni583,💗💗💗,1,2025-03-11T08:19:19Z
@a_wonyounglover,Chaewon ❤❤❤❤❤❤❤❤❤❤❤❤,0,2025-03-11T04:50:16Z
@dti._.pookie_rosee,"OMG.
I KNEW NEXT ALBUM WOULD BE HOTTTT
“easy,crazy,hot , i can make it”",1,2025-03-10T18:45:03Z
@astronite_,I want sakuras hoodie,0,2025-03-10T17:55:48Z
@FlecheDeFer,Eunchae's bun ohlalala,0,2025-03-10T11:49:49Z
@simeirddddd125,"Ese album 💿🎤🎵 firmado por ustedes es de coleccion🎤🎵
Para guardarlo en un hule forrarlo para no ensuciarlo que conserve su olor a nuevo 
Y guardarlo en una vitrina 👌👏
Para conservarlo 
Y comprarse otro para escucharlo 👂🎵",0,2025-03-10T09:32:45Z
@suic1d6,i love you so much ssera,0,2025-03-10T06:31:02Z
@imtiredthankyouandryu,IMMA BE TAKING THAT NEED IT ASAP,0,2025-03-09T20:57:53Z
@liliwx_5148,Towards faith with Le sserafim,1,2025-03-09T17:45:37Z
@PyeongHwa,Elas tem os melhores visuais e as melhores músicas,0,2025-03-09T16:23:35Z
@EmmanuellaDadier-qc7nr,LE SSERAFIM LOVE YOU❤❤❤,2,2025-03-09T15:14:11Z
@ももりんの虜-g6b,美しすぎるユンジン❤❤❤,2,2025-03-09T13:00:44Z
@roxyy09,Yunjin ❤❤,5,2025-03-09T09:46:54Z
@ilovegolf70,완젼 시대❤❤❤❤❤,1,2025-03-09T09:03:14Z
@jamesaaronmanarang,Wow❤,1,2025-03-09T03:36:42Z
@ElvieManzano-y1u,🫶🇵🇭,1,2025-03-09T00:02:09Z
@ウミ-e1b,❤,1,2025-03-08T23:14:40Z
@Jima.126,The girl with brown hair looks like player 196 from squid game,1,2025-03-08T22:30:20Z
@faradilamaris783,Beautiful💗,3,2025-03-08T21:26:01Z
@simeirddddd125,"Esta hermoso su album💿❤🎤
Lesserafim🎤❤🌹
Love you!❤🌹
👄 
Que Gran honor recibir su album firmado por ustedes frente a frente 
Lastima que No pueda ir a corea 😧
Ese privilegio solo pocos lo tienen",1,2025-03-08T20:26:26Z
@grand_master.oneman,Hot honey so hot ow yeah 🤩💗👍,1,2025-03-08T17:48:36Z
@Feterex123,❤❤😍😍,1,2025-03-08T16:50:55Z
@ogg-e5i,사쿠라 후드티 존버합니다,1,2025-03-08T13:42:34Z
@MYEONGHOON-i4b,이노래 잘어울리네요  콘서트 나중에 한번 가봐야겠네요 처음이라서요,5,2025-03-08T12:16:54Z
@joojury28,걉분 트로트냐?,1,2025-03-08T11:23:07Z
@stayzzz143-13,I need ittttttt😭,0,2025-03-08T10:53:37Z
@AliceHyper_Officialvideo21,"Your humility is like a gentle breeze refreshing the soul,while your beauty dazzles like a starry sky❤😊❤❤",1,2025-03-08T10:12:01Z
@loucantcant06,Let's bring love to LE SSERAFIM and support them for the upcoming comeback ❤️‍🔥🎉,0,2025-03-08T10:08:28Z
@lixxie.bbokari8,Ahhhhh I can’t wait for the signed album!! 💗🙇🏻‍♀️,2,2025-03-08T10:03:01Z
@Jessica-311,Yunjin je t'aime ❤,0,2025-03-08T09:17:51Z
@HyunminKwon-e9p,My heart is burning hot for LE SSERAFIM ❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥,2,2025-03-08T08:39:58Z
@Raddkann,i want one,0,2025-03-08T08:01:43Z
@Htoo1118,Category is......LESSERAFIM,0,2025-03-08T07:54:13Z
@eduardturcan3,Sakura is still and forever true everything to us!!! ❤️💕🥰,0,2025-03-08T07:47:33Z
@bgdep3321,♥️♥️♥️,0,2025-03-08T06:04:21Z
@佐藤誠-o4u,アイドル活動頑張ってください❤,0,2025-03-08T05:42:24Z
@soregaichibandaigi,ウンチェの姿勢の良さが際立ちますね✨✨,0,2025-03-08T05:18:50Z
@LizNyangie,I'm burning hot🔥 BECAUSE I CAN'T WAIT FOR THEM TO RELEASE THE ALBUM!!!,1,2025-03-08T04:59:34Z
@pamanthanos9742,hope i get all signature,1,2025-03-08T04:49:50Z
@BcBR0090,어.. 대박 👍,0,2025-03-08T04:49:08Z
@وردةبركات-ق8م,أونتشااااي😭😭💯💯👑🔥❤,6,2025-03-08T04:42:30Z
@XadeTheYaksha,Imagine getting a hot album with all of their signatures ❤❤❤,1,2025-03-08T04:27:53Z
@himaaa07,😍😍😍😍😍,1,2025-03-08T03:51:08Z
@skyhigh5955,기대중!!,1,2025-03-08T03:50:16Z
@love_or-travel,두근두근❤,1,2025-03-08T03:46:12Z
@Bvbilpove,나도 싸인 앨범 가질래…,1,2025-03-08T03:42:39Z
@GuadalupeUribeAlmaraz,"♡ ♡　　♡ ♡
　♡　　　♡         ♡
　♡    𝐼 𝑙𝑜𝑣𝑒 𝑦𝑜𝑢    ♡∧＿∧
　　♡                 ♡　・ω・)
　　　♡　　♡　　⊂ノ
              ♡  ♡　  しーＪ
         　　 ♡",2,2025-03-08T03:37:37Z
@theeternalbulletproof,Where Is Eunchar?😢,0,2025-03-08T03:27:48Z
@abeno666,"可愛い過ぎる✨💘💖
結婚して下さい❣️❣️❣️",3,2025-03-08T03:26:26Z
@おばぶなんちゃん,サクラきゃわわ❤💯,0,2025-03-08T03:24:38Z
@user-yurunim35,ルセラフィム愛してる❤❤❤,1,2025-03-08T03:17:36Z
@mafiaxgirl,Amazingggg 🤌🏻🌷,1,2025-03-08T02:50:22Z
@사람-q3s1p,나 르세라핌 앨범 다 있는데ㅋㅋㅋ  근데 싸인은 하나도 없어ㅠㅠ,0,2025-03-08T02:27:53Z
@obsessedwithbread,I want one so bad 😭,0,2025-03-08T02:02:52Z
@KyungmeeLee-ky8eg,사랑해❤ㅠ,1,2025-03-08T01:43:19Z
@chanyda-he4yj,핌둥이들 최고다❤❤❤😊,6,2025-03-08T01:41:26Z
@Gobyalien,I want a signed album :(,0,2025-03-08T00:30:24Z
@SoeunSouy,❤🎉,0,2025-03-08T00:21:27Z
@luvcatbbi,cant wait! 🫶🏼,0,2025-03-08T00:02:20Z
@step.w825,The new hairstyles suit every member so much!!,0,2025-03-07T22:58:03Z
@step.w825,I be like omg Yunjin's visuals 🙀 omg Sakura's visuals 🙀 omg Chaewon's visuals 🙀 omg Kazuha's visuals 🙀 omg Eunchae's visuals 🙀 seriously why are fimmies becoming more and more pretty in every comeback 😭❤️‍🔥,3,2025-03-07T22:57:26Z
@渡邊莉桜-t5s,さくちゃんのサイン入りの欲しい！！！,0,2025-03-07T22:56:07Z
@gyat-f4d,ahhh,0,2025-03-07T22:33:52Z
@DwenHama,My babbyyyyyy,0,2025-03-07T22:33:50Z
@slamvoice1884,빨리 와라 14일~!!! 빨리와라 내 CD Set ~!!!! ㅠㅠㅠㅠㅠ,3,2025-03-07T22:16:44Z
@YUNJINIE-8,I WANT THE YUNJIN SIGNED ONEJEJENWNNNANAJSKAKAKAKAMANANAJHS,3,2025-03-07T22:10:42Z
@yesuago123,다 예뻐 보이네 진짜...,10,2025-03-07T22:08:10Z
@imapotatochip5481,"No matter what others say, no matter how much ppl try to downplay you guys, no matter how much they try to sabotage your success, we all will always support you ❤️❤️❤️",1,2025-03-07T22:05:02Z
