author,text,likes,published_at
@RALLY-n3y,보고싶어 얘들아 ㅜ,0,2025-04-22T13:25:35Z
@sungeun.16,이거 보니까 더 보고 싶네..,2,2025-04-19T05:10:37Z
@kino4639,10:50 MINJI,1,2025-04-18T00:04:15Z
@Junnn366,ずっと応援してる！待ってる！,2,2025-04-17T08:46:08Z
@minkiping,왜케 눈물이 나냐 ㅠ 너희맘 우리맘 같아 사람들 한테 상처받지 마,2,2025-04-16T02:34:04Z
@Zzzzshh,"Такой группы больше никогда не будет, Хайб потеряли настоящий бриллиант",0,2025-04-12T18:49:26Z
@runow99,마음으로 하자!!  ㅠㅠ,1,2025-04-11T23:35:36Z
@bong-6036-p4s,자랑스런 뉴진스 화이팅 ❤❤❤❤❤,0,2025-04-11T20:47:52Z
@Dodo_Crazy,They are so cute,2,2025-04-06T18:39:55Z
@狭間-b4z,自分が生きる意味を見失い人生のどん底にいる時に彼女たちに出会いました。同年代の彼女たちの笑顔や一生懸命頑張っている姿に惹かれ、初めて推しのグループができました。今では彼女たちの存在は人生の一部であり、心の支えです。どうか5人みんなが笑顔で夢を追いかけられる日々が来ることを願っています。,4,2025-04-06T16:01:15Z
@jsy1067,행복했던 기억이 떠올라 다시 보러 왔어요,4,2025-04-06T11:00:59Z
@eo5752,25:11 私がミンヒジンやスタッフ込みでこの子達を推す理由。,0,2025-04-04T14:48:56Z
@aaaaa-i6g,"한편의 영화구나.팝 골수팬인 내게도 비틀즈의 앤솔로지 DVD 5장,영화 보헤미안 랩소디  이상의 감동을 준 영상이다. 어떤 억압과 굴레에도 꼭 자유의 의미 확장하고 예술의 가치를 더 드높이는 미래가 있기를 기원합니다, 찐뉴진스팀 여러분 수고하셨습니다.",4,2025-04-01T12:38:49Z
@mga.914_xx,ずっとずっと大好き,6,2025-03-31T02:10:22Z
@wiseuppogi,그때도 그랬듯이 언제까지나 함께야. 잘자.,3,2025-03-30T14:50:32Z
@James-j8l8j,Nothing ever last forever..💔 I will always support everything they do. Love you forever njz thank you for making my last teenage year memorable...bye bye for now. Don't be blue njz!!,2,2025-03-26T18:52:11Z
@karlafarinas7932,I love them so much,2,2025-03-24T09:34:50Z
@ash3rzzz,I LOVED WATCHING THIS AND ALL THE MEBERS WHEER SO EXITED MADE ME SO HAPPY ILY NEWJEANS,0,2025-03-22T17:11:58Z
@rayeonfls420,6:19  my baby 🥺,0,2025-03-18T04:41:32Z
@엄지발가락-t6t,다들 고생하셨소 ㅎㅎ 항상 사랑해,1,2025-03-16T18:26:11Z
@bluespeir2068,NJZ D-8 ~,1,2025-03-15T19:29:33Z
@PoojaAmrutsagar-h3b,We will forever support NewJeans (NJZ)!!,1,2025-03-14T06:29:50Z
@miraclej7790,우리 뉴진스를 그대로 둬라 방뚱땡아./,4,2025-03-13T17:25:47Z
@Bjdollx,10:46 minji was so proud 💗😭,1,2025-03-09T19:20:48Z
@호호-f7s4b,何回見ても、泣いちゃうT_T,3,2025-03-09T08:24:00Z
@sokrteukchannaren6151,When miss CEO was still in charge.,3,2025-03-06T13:53:00Z
@RuruLulu-m5h,"Ya Tuhan, aku sayang banget sama mereka!",2,2025-03-04T20:47:51Z
@ronenkolton-yehuda4020,🐇,2,2025-03-03T00:29:41Z
@HEARTS4J3SSICA,Every time i watch this i tear up😢❤,3,2025-03-01T13:43:57Z
@뜬급새로버니즈,진짜 맨날 이거보면서 우는중,4,2025-03-01T06:33:56Z
@hina9677,改めてスタッフ関係者たちが彼女たちと仕事がしたい気持ちがよくわかる,5,2025-02-27T18:08:05Z
@ゆーま-z2m,"この2日目に自分もいたことを考えだけで泣けてきた。
また見たいな。本当に大好き",9,2025-02-27T10:32:06Z
@TadashiHirakaw,また、材木座の海に夏にぜひ、あいたいです,1,2025-02-26T10:43:24Z
@TadashiHirakaw,NewJeansの皆さん、横須賀市大津町に住んています、平川正です❤五十１才です、鎌倉の材木座の海の近くで会いました❤,1,2025-02-26T10:37:39Z
@pandaguy1368,W,0,2025-02-26T09:12:14Z
@RealRajatShahare,Cuteness overload! ❤,3,2025-02-25T10:15:01Z
@ausiel-q1j,❤❤❤❤❤❤❤❤❤❤,1,2025-02-23T04:20:42Z
@松本家-d9v,ライブ行きたかった,2,2025-02-23T03:34:00Z
@洪綱霆,NJZ fighting 🎉,3,2025-02-19T09:45:01Z
@びぴ-p5o,ほんとに最高なステージをありがとう,4,2025-02-18T02:07:21Z
@เสมอเทพบุตรดาน้อย-ล4บ,3คำ เข้า ขึ้น ไปทีหลัง😊.,0,2025-02-16T12:25:50Z
@เสมอเทพบุตรดาน้อย-ล4บ,3คำ จำเนียร พระเยซูุกาย พระเยซู😊,0,2025-02-16T12:19:37Z
@เสมอเทพบุตรดาน้อย-ล4บ,3คำ บุตรสุดท้าย😊.,0,2025-02-16T12:15:22Z
@헬도사,히트곡이 진짜 많고 재능이 진짜 뛰어나네 괜히 한국 대중픽이 아니다. 팬덤이랑은 확실히 다른 재능레벨,0,2025-02-15T18:54:22Z
@sonnynguyen4264,Legendary performance,2,2025-02-14T08:03:40Z
@ジョゼップグアルディオラ,NewJeansは日本にいつでも来てください。みんな待ってます☺️,2,2025-02-12T14:02:31Z
@mh-gs6jh,コメントするのは人生初めてです😅。50才半ばの私です、どう応援したら良いのかも分からないですが、とにかく応援してます❤。私も北海道からコンサートに行きたい❣️,3,2025-02-11T16:52:33Z
@Johnyu97211,I cry watching this again after long time😢😢,3,2025-02-11T13:04:20Z
@valmirsilvadossantossantos5601,Walmir Silva dos santos 🇧🇷🌎🇰🇷🍀🩵💛💚💜❤,1,2025-02-11T11:08:04Z
@김석재석재-d2u,피프티피프티 그런애들하고는 완전틀리지 잘하고있다,1,2025-02-07T21:25:23Z
@김석재석재-d2u,방씨!아들풀어죠라!저런기구위선양이다,0,2025-02-07T21:21:20Z
@Iollamika,What’s the song name when hanni sang solo? 🤩,0,2025-02-06T21:03:01Z
@킹복순,아 너무 슬프고 눈물나고 좋다…😢,2,2025-02-05T12:21:07Z
