author,text,likes,published_at
@samsmusichub,Prettiest smile ever.,0,2025-03-20T08:15:31Z
@TrimerSavant,First Comment After 4 years,0,2025-03-15T17:47:07Z
@NhungHoang-w7b,"Ơ kìa con gái 
Ơ kìa bia đia",1,2025-03-04T00:39:40Z
@junfong4998,💜💜💜,0,2025-02-13T10:58:12Z
@tube3153,"Yes,I love Sana",2,2025-01-09T13:46:30Z
@Elfangor-Sirinial-Shamtul,Yes. You are SANA! 💜,1,2024-08-18T14:08:23Z
@HawonJang,anyone who watches this in 2024 because we are so obessed with sana,2,2024-04-21T04:41:33Z
@blakemorales_22,NO SANA NO LIFE,1,2024-04-05T19:07:32Z
@MattTBN,Sana is truly an angel,5,2024-03-15T01:14:15Z
@kittfreetime,I'm a chaeyoung bias but sana makes my heart beats fast,1,2024-03-06T14:02:37Z
@もも-y8r3z,2035.265,1,2024-01-06T04:22:32Z
@もも-y8r3z,2035.204,1,2024-01-05T09:07:59Z
@toyisaacandhisfriends2784,i love you so much Sana ❤💝🩵🩷🍌👩‍❤️‍💋‍👩👩‍❤️‍👨💓💕😇😍🥰🫶💪💖😘🐰🐇🇰🇷🇯🇵🍼🫰🧠💗😘💞🍯😻💘💌😊,2,2024-01-03T22:43:21Z
@yeyeyeyeji,Sana,0,2023-12-23T16:43:49Z
@ぴーなっつ-r5l,いろんな雰囲気のサナかわいい💕,2,2023-09-20T10:25:52Z
@mauriciopereirabitencourt1534,💜🐹We love you SANA 💜🐹,1,2023-09-15T05:12:53Z
@sindhujamotorslimited81568,🥀,0,2023-08-26T11:53:51Z
@ARMYBLINK09,hybe💜💜💜🐰,0,2023-06-24T01:22:22Z
@veritasastro,완전 절판되기 전에 두가지 버젼 다 구해서 진짜 좋았다 음하하하🎃,0,2023-05-17T12:49:49Z
@1wice2nce,The Queen is just a perfectionist!,2,2023-04-01T00:45:35Z
@alphaswain9588,"Time does fly so fast, and Sana is still gorgeous.",3,2023-01-12T12:10:52Z
@Chaeyoung_kyoncy,チェヨン来たから聖地巡礼,0,2023-01-09T05:14:14Z
@camikiut,"sí sana, si quiero irme de vacaciones contigo",0,2022-11-27T17:24:12Z
@miinarii397,サナ・チャンはとてもかわいいです,1,2022-11-27T08:54:29Z
@lemqnshark,"once: is sana gay?
sana:",1,2022-10-12T19:28:08Z
@KIM_MOTOR,SANA merry me😍😘😍😘😍😘😍😘😍😘😍😘😍😘😍😘😘😘,0,2022-09-24T18:34:19Z
@mishkama,An angel 🤍,1,2022-09-12T02:43:13Z
@misubi,Black hair Sana is wow.,0,2022-08-14T17:45:28Z
@Shasha-gu9cp,So pretty,0,2022-08-03T04:07:06Z
@tavox100xx,Las patas de Sana son 🙏🏻. No pienso existir en un mundo en el que ella no exista.,1,2022-07-21T04:12:00Z
@moufi8707,愛してるサナ,3,2022-07-19T12:58:05Z
@moufi8707,サナ私の隠された才能💎,3,2022-07-19T12:57:19Z
@Shasha-gu9cp,The prettiest 💜,3,2022-06-28T18:54:28Z
@Shasha-gu9cp,SANA💜,0,2022-05-02T09:44:41Z
@enriquedepiscis8110,PRINCESA DE JAPON HERMOSA,1,2022-04-19T00:29:45Z
@astridwibisono8426,Are my Favorite idols in THE WORLD,0,2022-04-09T02:32:52Z
@astridwibisono8426,Sana mina jihyo nayeon tzuyu momo chaeyoung jeongyeon dahyun,1,2022-04-09T02:32:26Z
@DDUE.UC49,2M soon,0,2022-04-07T11:34:08Z
@syaa4346,Love sanaaa,0,2022-03-31T05:04:21Z
@Shasha-gu9cp,2M soon💜,0,2022-03-31T04:15:05Z
@m.by__miesya,"29/3: 1,961,128",0,2022-03-29T03:42:59Z
@anathajojo2512,0:21,0,2022-03-27T03:24:21Z
@gwynethperez4770,"I luv u, my SANAAAAA!! 🌻✨HOW COULD YOU BE SO GORGEOUS WITHOUT EVEN TRYING! 😍💛",0,2022-03-17T10:46:03Z
@m.by__miesya,1 year since the first concept video of Yes I am Sana. it feels like it was yesterday! i hope we can get sana content more & more this year ❤️‍🔥,2,2022-03-15T03:02:13Z
@roses_are_rosie_13,"you’re so pretty omggg, love u sana <33333",1,2022-03-09T01:29:49Z
@deathnote1490,The day this teaser was released it was my  happiest day as a shushu,1,2022-02-25T17:33:19Z
@Janumerijaannnnn,Sana my first love..oh my...😍 I never understood my everyone love Sana now I am in love too...😭,0,2022-02-20T13:04:14Z
@dheleen,sana is so beautiful!!!!,0,2022-02-16T19:07:05Z
@shoug2585,The prettiest,0,2022-01-19T00:48:34Z
@dessireJ20,YES!!!! SANA!!,0,2022-01-18T16:26:39Z
@christian890,So cute,2,2022-01-18T13:19:01Z
@deathnote1490,Back again,2,2021-12-22T18:23:22Z
@Liz-ns8wn,sana best girl <3,0,2021-12-22T18:19:03Z
@leminhyz,Queen Sana,1,2021-12-19T19:24:07Z
@mihyos9148,aşk kadınnnnnnıııı,1,2021-12-16T13:23:47Z
@ardenstips,She is so cute I love her when I see her I get so “SHY SHY SHY!!!”,0,2021-11-27T01:43:31Z
@tama3577,可愛いすぎる！,5,2021-11-04T14:47:29Z
@sgluvmich,"You are very pretty Wawa, I love you very much. 🍓",0,2021-10-24T03:06:03Z
@comradeleppi2000,She is damn cute and pretty. How is it possible?,4,2021-09-30T10:54:48Z
@deathnote1490,82k more let's go,3,2021-09-26T06:42:01Z
@펭긘-i8q,울샤샤 너무아름답다ㅠㅠ❤️❤️ 언제나 웃는날만 가득했으면,1,2021-09-26T05:22:00Z
@sanashushu,Mam you are you pretty 🦋,0,2021-09-24T06:07:40Z
@sanashushu,Sana so pretty ❤️🦋,2,2021-09-24T06:07:17Z
@eduarda-by2xi,TE AMO SANAAAA,0,2021-09-20T22:35:16Z
@jessicapeng5874,NO SANA NO LIFE.PERIOD!!!,1,2021-09-16T05:36:44Z
@vivi_isle_o.o,No ur Gay!,0,2021-09-12T18:44:30Z
@Stefo717,Yes please!!!,0,2021-09-12T05:12:01Z
@hazelcavalida2803,Arrigato gusaimas quara Shu Shu 🌹,0,2021-09-11T00:04:22Z
@arronrebusteslover1035,lili film ricutions thes vido omg lisa,0,2021-09-09T23:13:08Z
