author,text,likes,published_at
@honnhaemyeu,"bọn chị giàu thật  , 440 tr USD  + 5   người    thành tỉ phú  rồi  .  quá giàu . ",0,2025-04-15T03:58:07Z
@JH-oj4hw,해린인 빨간 선글라스도 완벽하구나!!! ㅎ,0,2025-02-13T12:34:14Z
@nn_viv7.,i really miss my girls 👭💞💞⚡,2,2025-01-21T14:16:04Z
@wancian3279,I LOVE HANNI'S OUTFIT,1,2024-12-31T16:37:12Z
@Ddrktj-t5u,티라미수랑 인절미 빼빼로가 있었다니... 이게 모다니?,1,2024-12-06T12:33:28Z
@Ddrktj-t5u,3:10 ㅋㅋㅋ해린이 라임 지리네,0,2024-12-06T12:26:49Z
@Ddrktj-t5u,1:24 개귀엽다 ㅋㅋㅋㅋ,0,2024-12-06T12:24:37Z
@karinayu2304,hanni hugging haerin at the end was so cute😭,1,2024-11-22T04:45:02Z
@linouuvita,Las amoo,0,2024-11-21T19:56:02Z
@지나가던무말랭이,"3:08 3:08 3:08
해린이의 말장난 너무 취향이야❤❤",0,2024-11-14T07:58:28Z
@soochulsaikyo,ダニが美少女すぎる,1,2024-11-12T15:43:24Z
@許家蒝-s6y,🇸🇴🇸🇴🇸🇴아름답고 다른 장면입니다. 사진 작가가 훌륭합니까? 멋진 3차원 사진/모델이 바로 눈앞에 있습니까? 어서 해봐요? 아아아아아아아아아아아아아아아아아아아아아아아아아아아 아아아아아아아아아아아아아아아아아아아,1,2024-11-11T02:31:41Z
@Iise-raySwartz,💗💛💚💜💙,0,2024-11-07T09:07:04Z
@staybunnies-b9q,turkish icecream 😭😭 hanni hyein r so funny,2,2024-11-02T23:25:36Z
@台男波哥,5:50,1,2024-11-02T10:02:19Z
@혠스터0,처피뱅 양갈래혠이 너무 귀엽다~,1,2024-10-31T02:29:18Z
@andmeu,07:35 빵사즈케미,1,2024-10-30T13:22:39Z
@mjpak2287,❤❤❤❤❤,0,2024-10-30T00:29:36Z
@sena-je4dj,"1:42
5:59
6:52",0,2024-10-29T15:38:01Z
@hitthatdrum329,i will make sure to buy pepero next time i go grocery shopping,0,2024-10-29T05:41:24Z
@jocikaaudry2660,Gemesssss,0,2024-10-28T16:42:28Z
@raie_UwU,빼빼로 뉴진스 최고!,1,2024-10-28T16:28:47Z
@guywhofarts6878,"Hyein ❤❤
Newjeans ❤❤",1,2024-10-27T14:53:21Z
@한승규-f7l,"10:41
꿈—뻑",1,2024-10-26T01:01:42Z
@jjeongseogi16,"팀버니즈에서 악플 수집중입니다
캡쳐해서 보내주세요 법무법인 통해서 쳐벌할 예정입니다",1,2024-10-24T23:23:46Z
@EungMayuri,Omg I have the Oreo flavor,1,2024-10-24T15:44:55Z
@user-di7yn1ww8b,올해도 빼빼로 뉴진스 반가워❤,1,2024-10-22T23:47:38Z
@nai_i,Даниэль так мило сказала бай банис,1,2024-10-22T16:31:30Z
@bsso7126,하니 수고했어❤️,1,2024-10-22T14:12:57Z
@lucia98377,10:51 dancing minji dani,1,2024-10-22T09:50:53Z
@d4mz,"Hanni, you handled yourself at the National Assembly in the best way possible. What you did was really important for other artists too. You stood up and did something positive and historic. No one can take that away from you.",1,2024-10-22T01:37:25Z
@Jeansforfree,버니즈가 하니를 국감으로 내몰아 이사단이 난거아닌가!,1,2024-10-22T00:22:38Z
@lisajinkim1991,They're All So Adorb💗💗💗💗,1,2024-10-22T00:08:42Z
@Kattys_art,Newjeans on top 🐰💕,2,2024-10-21T23:24:45Z
@miyiungch7176,인사 합시다~~,1,2024-10-21T13:28:32Z
@RahmadSuparlan,Ultraman Tregear vs Spider-man 2099,0,2024-10-21T12:04:29Z
@jjeongseogi16,뉴진스 최고다 ❤,0,2024-10-21T04:26:19Z
@jjeongseogi16,❤❤❤❤❤❤❤❤❤❤❤,0,2024-10-21T04:26:02Z
@jjeongseogi16,❤❤❤❤❤❤❤❤❤❤,0,2024-10-21T04:25:52Z
@노비타-x5q,안정권gzss,0,2024-10-21T04:23:13Z
@균명-l9h,애네들은 4가지없어서 패  스,1,2024-10-21T00:05:16Z
@노비타-x5q,부산경찰 대구경찰 대구성서경찰서vs. 다니엘 하니,1,2024-10-20T23:38:55Z
@Tofu-c3b,"어도어는 악플관리 안하나요?
이런식으로 뉴진스를 방치하면서
맨날 뉴진스를 위한다고 거짓말을하죠.",0,2024-10-20T23:14:11Z
@عليسرحان-ع5د,Suga is the best,0,2024-10-20T21:01:42Z
@girlfailure668,lei PERREO,0,2024-10-20T18:27:20Z
