video_id,comment_id,author,author_channel_id,text,like_count,published_at,parent_id,reply_count
i2pQKAnFRIw,Ugw_56UmSTyVKtKq5KB4AaABAg,@anamariatlapajuarez239,UCiEqvG3dD7WGg7A00dP5jiw,Por que damas se ve jin??,0,2025-04-19T20:46:32Z,,0
i2pQKAnFRIw,Ugx30Gvb0ooU1XC6T-94AaABAg,@lucineideaparecidadasilvaa8208,UCLcEixn5cRXnTrN_5sxlYDg,.Jimim  Amor da minha vida .Te Amo demais voce e a razao da minha vida  voce e Lindo demais .Amo demais todas as musicas  Letter me emocina muito .Te Amo muito.❤❤❤❤❤❤❤❤😊😊😊😊😊😊😊❤❤❤❤😊😊😊😊❤❤❤❤❤❤❤❤,0,2025-04-19T00:10:15Z,,0
i2pQKAnFRIw,UgxsPibgxu1zxCN65Rp4AaABAg,@AzizIke,UCT45n3y5z1FNaQAzK0QA_AQ,my love my vitamin mood booster jin,0,2025-04-17T12:22:33Z,,0
i2pQKAnFRIw,UgzYRG8pOkGbQeQBpNh4AaABAg,@CorazonXyleneBancoro,UC7pjZOXnhy-wij5VqHtHWGQ,Jin..I'm speechless ..but for me your number 1! I noticed the way V takes away his head to Jin is kinda disrespectful.,0,2025-04-10T00:28:11Z,,0
i2pQKAnFRIw,Ugxb5m17i8UpFDb8vvN4AaABAg,@kirstydarroch335,UCzT2EpYgMgl4zOngh5RJAfw,April 2025 armyyyy?,1,2025-04-09T19:05:23Z,,0
i2pQKAnFRIw,UgxwW7_Cc_WQUtgaVzB4AaABAg,@kirstydarroch335,UCzT2EpYgMgl4zOngh5RJAfw,Lov3 jin so talented,0,2025-04-09T19:05:11Z,,0
i2pQKAnFRIw,UgwVABu7v9kXJ3LY7nB4AaABAg,@kirstydarroch335,UCzT2EpYgMgl4zOngh5RJAfw,WWH!!!!,0,2025-04-09T19:04:58Z,,0
i2pQKAnFRIw,UgxqmierFwM7uiKbKr54AaABAg,@y6v221,UCYOw2TzS0IMGWelYlwV5OKg,갓벽,0,2025-04-02T10:42:29Z,,0
i2pQKAnFRIw,Ugy8zzbomolxqmKvjZ94AaABAg,@y6v221,UCYOw2TzS0IMGWelYlwV5OKg,💜💜💜💜💜💜,0,2025-03-31T13:36:51Z,,0
i2pQKAnFRIw,UgwhBfHe4HLCnOh7pzh4AaABAg,@memyselfandi52,UCvc7SR_X8lzxGwPyexY1oPg,Thanks to all of you especially  Jin as he is in the limelight...please stay safe Bts,1,2025-03-27T17:26:11Z,,0
i2pQKAnFRIw,Ugyuk1l9634qk7rVqLR4AaABAg,@littlejimmyjinny,UCmdxeuIRzxeRsOuI_QfCZlA,The most beautiful man. The visual king,1,2025-03-25T06:23:45Z,,0
i2pQKAnFRIw,Ugzvl30xp0xJs57aXnh4AaABAg,@lilypalacios9691,UCfCwGvRRKrc_jmP0LCKglfQ,Hermoso. Gracias por tan lindo nada canción. Jincito te adoro,0,2025-03-21T20:41:49Z,,0
i2pQKAnFRIw,UgzxGriD5blTPlxvM3N4AaABAg,@mtanzuaco6519,UC5BX0ZQjge0d1UwCbhRhgjg,"2025.03.19:  YES, 1.7M!!!",0,2025-03-18T21:57:01Z,,0
i2pQKAnFRIw,UgzF3hbvvlsI1tvvSr54AaABAg,@ОксанаСысоева-л1з,UC4AMANRNeAF_OuDuVL4Cprw,Super 💯😊😊😊😍😊,0,2025-03-14T17:02:08Z,,0
i2pQKAnFRIw,UgxtVUEBYcuUKacFZmV4AaABAg,@ОксанаСысоева-л1з,UC4AMANRNeAF_OuDuVL4Cprw,🎉🎉🎉🎉🎉🎉🎉🎉🎉,0,2025-03-14T17:01:16Z,,0
i2pQKAnFRIw,UgzJW_eSIoTmjDTHa814AaABAg,@ФаридаМайорова-п1и,UCDw8rZ3qfO4ijvDQnvIK7eQ,"Какой Джин он же  старый для Гука,на 5 лет старше ну и скрестили же ужас,бедный  Чонгук уже со всеми был самый маленький на рассвет прям фуфуфуфу какя пара со стариком 😂😂😂😂😂😂😂😂😂😂😂😂",0,2025-03-13T08:11:11Z,,0
i2pQKAnFRIw,Ugypd7RqPWrKAP5ROBh4AaABAg,@SuetieBTS19748,UCC1hqO4MPLPWRShcEir8TMg,Prince Gucci Jin 2025 ❤🌹😍🤗,0,2025-03-09T23:37:04Z,,0
i2pQKAnFRIw,UgwQrBZ7ymhboaO2AeR4AaABAg,@SuetieBTS19748,UCC1hqO4MPLPWRShcEir8TMg,I ❤ Jin 🌹😍👍,0,2025-03-09T23:33:23Z,,0
i2pQKAnFRIw,UgwId70IVdMVl-vM4u94AaABAg,@shreyashukla6172,UCGQssPh1jwh2tdvUzmqgdfQ,Aww this cutie ❤he has my whole heart 🫶🏻,0,2025-03-04T05:47:08Z,,0
i2pQKAnFRIw,Ugxv0l2LHIP4sOb7dAN4AaABAg,@mhonikvzepeda7718,UCYl8xq-6bplSqroyrmwEzTg,"Gracias Nan por compartir por este canal tus lindas historias... ahora esperaré lo nuevo que se viene, verdad que nos darás más de tu inspiración? 😊",0,2025-02-25T04:12:42Z,,0
i2pQKAnFRIw,Ugw56XRIYVjWW3NYoAx4AaABAg,@memyselfandi52,UCvc7SR_X8lzxGwPyexY1oPg,Remembering when this song was released....please stay safe Bts,0,2025-02-21T15:05:49Z,,0
i2pQKAnFRIw,UgwJca0FjQJqPz7Txwp4AaABAg,@TheAstronautByJin,UCd-iAbLB5mxGnZJH3_OcUkw,사랑해 💕 김석진 😊❤,1,2025-02-20T04:58:34Z,,0
