author,text,likes,published_at
@쏘니-x9h,윈터 춤선이 예쁘긴하구나❤😅,0,2025-04-22T17:22:38Z
@Smallpan2424,<3,0,2025-04-21T17:07:57Z
@BetianaUlasik-g4k,나는 이 노래를 좋아한다 !!!⭐️,0,2025-04-20T22:04:03Z
@andrea09234,No le puedes tener tanta envidia a unas ecaleras (las escaleras),1,2025-04-19T20:42:44Z
@하이호-t4n,예지 진짜 이쁘다,0,2025-04-19T15:41:34Z
@Sigmagirl_20,I love kpop much❤❤,0,2025-04-19T02:56:30Z
@AllisonSamano-t9m,I love Aespa and Itzy most! ❤ using my mothers phone,0,2025-04-19T01:15:35Z
@amberyellowowl3854,❤❤❤ BEAUTIFUL girls,0,2025-04-16T10:15:46Z
@LütfiyeGöçer-l3i,I love you ryujin and karina ✨️🐚🍁🌕,1,2025-04-14T13:08:04Z
@ttttttttttta,よく見たらウィンター少し垂れ目みたいになっててめちゃ可愛いんだけど,3,2025-04-13T12:34:44Z
@Justforus_us_2015,yaahh we got new members,0,2025-04-12T17:22:31Z
@v.illitzv,i cant get my eyes off karina omg,0,2025-04-10T12:24:03Z
@User123-z1g,my 4 girlfriends in the same video  😂😂,0,2025-04-09T01:37:51Z
@Zyzouney,Yeji the best,1,2025-04-08T22:54:11Z
@rashakasir4082,"Dream team 💫🖤💕🤍 
Yeji is something else 🔥",3,2025-04-08T14:25:34Z
@team_frxce2034,best duo in itzy yeji and ryujin and best duo in asepa karina and winter,0,2025-04-08T09:56:02Z
@outcubus7516,Winta desuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu,0,2025-04-05T17:26:06Z
@Angga.Wiriawan,Demen deh liat bini pada akur,0,2025-04-05T12:14:00Z
@neco-c4t,最初のウィンターカワイイ♡,0,2025-04-04T09:13:12Z
@Trendingonlyy,Where is this place . Sm entertainment?,0,2025-04-03T09:53:09Z
@abeno666,"右の女子のスタイルが最高✨💘💖
結婚して下さい❣️",1,2025-04-02T20:51:37Z
@just-no-ok,STUNNING ✨,2,2025-04-01T18:48:25Z
@NYXFRAMES,Love them ❤❤,1,2025-04-01T14:31:31Z
@FlávioSantosSousaSantos,Quarteto fantástico lindo e fofo ❤❤❤❤❤❤❤❤❤❤😍😘💕💕💕💕💕💕💕💕💕💕💕💕💕🇧🇷,0,2025-04-01T02:44:26Z
@콩떡11,카리나 머리카락 풍성풍성 미쳤당,3,2025-03-31T13:42:21Z
@LiamBaby1D,Queens💅,0,2025-03-30T07:46:40Z
@browniescout25,My AEZY...❤,0,2025-03-29T03:56:32Z
