author,text,likes,published_at
@rodrigosalgado4678,🥰💘💘💘🥰,0,2025-04-02T01:26:49Z
@Yuna-minapen,"みーたん誕生日おめでとう💚💚💚💚
大好きだよ💚💚💚",2,2025-03-24T12:42:23Z
@beckyballard-ve7yg,Burning 🔥 love💖✨️💙,0,2025-02-26T18:48:10Z
@alexandraneyra8484,twice hace unas joyas..,0,2025-02-25T14:39:07Z
@とみながえつこ-f5z,何でもありのtwiceメンバー,0,2025-02-20T08:04:30Z
@Twice9377,¿RÁPIDO CUAL ES SU BIAS DE TWICE?,0,2025-02-10T00:11:40Z
@蘭-l9l,チェヨンかわいいよーーー,0,2025-01-29T14:41:00Z
@matiip410,CHAE TE AMO,0,2025-01-19T15:19:44Z
@wakabe052,3人とも黒髪ロング、黒色の衣装なのは共通なのに、3人三様の美しさを持っててカッコイイ。,0,2025-01-13T18:47:47Z
@Venus-e2u,"Mina, why do you always remind of me one of my aunts?😭😭😭😭😅",0,2025-01-12T20:04:42Z
@綺羅-j1m,"チェヨンそのカラコンの色似合いすぎてる
めっっちゃ綺麗",0,2024-12-25T12:09:53Z
@FF-channel.77,Which performance is this??,0,2024-12-13T07:12:06Z
@AnasKhan-qo2tn,Jihyo ❤,0,2024-12-08T10:05:03Z
@jddjjdjfjsk,minaaaaaaaaaaaa❤❤❤🔥🔥🔥,1,2024-12-06T06:46:36Z
@ちゃん-u6y,3人が3人とも別の美しさがあってほんとに…ほんとに…！…もう…！,0,2024-11-20T22:47:23Z
@chitchit-e5k,မမsanaလည္းမပဘူး😢😢😢😢😢,0,2024-11-16T12:08:17Z
@Jkpembesever,Chayoung look like noah😂😂,0,2024-11-15T09:00:36Z
@ケンタン-o4h,三人とも美しすぎる❤,0,2024-11-09T16:10:03Z
@hirai2154,ミナ美しい♡,0,2024-11-09T05:36:48Z
@010s24014,？！ジヒョ美しすぎない？！ずっとこのメイクして欲しいんだが？！,0,2024-11-07T11:24:27Z
@りも-z2h,このショートは破壊力やばすぎ,0,2024-11-05T13:34:01Z
@Deku.Dekuuu,МИНА НЕРЕАЛЬНАЯ Я ПЛАЧУ,0,2024-11-04T06:06:48Z
@limeshley602,OMG JIHYO IS SO BEAUTIFULLL,0,2024-10-31T12:38:17Z
@vicky_pdh,My bias line in twice 😍😍😍,0,2024-10-27T16:21:53Z
@MehrimaMedha,Jihyo 😍😍,0,2024-10-09T09:26:00Z
@nakan1986,"ミナ、チェヨン可愛すぎ😊
ジヒョ様美しすぎる…❤",0,2024-10-09T04:54:20Z
@user-us5p,みんな優勝🏆,0,2024-10-07T14:39:06Z
@MistaSleeping,Nossa a jihyo tá magra né?,0,2024-10-07T00:44:48Z
@jesuszavaleta8846,Las amooooo❤❤❤❤,0,2024-10-06T23:14:20Z
@maurocaroprese2557,Siete dei bellissimi angeli ❤vi amo ❤,0,2024-10-06T18:56:51Z
@satriaprestasia9777,Jihyo makin gak ada obat❤,0,2024-10-02T14:31:39Z
@azaleafood8395,Mina ku sejak kpn jdi centil bgtu😭😭😭mna lucu bngt,0,2024-10-01T13:44:50Z
@Twice_fan22,내 편견!! 나는 그들을 사랑한다 그들은 최고다,1,2024-09-28T20:35:52Z
@Zoeee36,cheayoung is so pretty,0,2024-09-28T07:27:21Z
@lily-nwjns-haerinpen,ちょっと〜ビジュ爆発しとるけど大丈夫そ？？,0,2024-09-26T14:09:48Z
@doreyoi126,TWICEて仲良しで全員美女だからどの組み合わせでもホント価値ある画になる,2,2024-09-22T18:00:41Z
@あやか-z2g7p,"生まれてくれてありがとう😊
ミナちゃんチェヨンちゃんジヒョちゃん❤️",0,2024-09-22T10:21:45Z
@kpopbysoff,"My top 1, my top 2 and my top 3❤❤❤❤❤❤❤❤",0,2024-09-21T17:18:51Z
@KPopTwiceMomentsITZY,Mina Made Me Fall in Love ❤,0,2024-09-20T22:45:44Z
@torrid94,💟💟💟,0,2024-09-20T02:43:31Z
@j-gk4qr,このジヒョ過去一じゃね？！！！,0,2024-09-18T03:21:56Z
@Smiley_aesthetic621,-I can't handle the beauty of these goddesses 😻😻😻,0,2024-09-15T16:32:05Z
@aarooney77,Oh jihyo❤,0,2024-09-14T09:31:51Z
@빈칸-u1c,용안ㅁ뗫드아…ㅠㅜㅡㅡㅡㅡㅜ,0,2024-09-13T14:09:20Z
@mhmmed8139,أحب هاي الاغنية 🫶🏻🤘🏻,1,2024-09-13T13:21:16Z
@LunaFrutos-j4q,❤,0,2024-09-12T03:35:41Z
@MuhammadFirdaus-e4y,Mina twice ❤️❤️❤️❤️❤️❤️❤️❤️❤️,0,2024-09-10T06:44:37Z
@MariaMartinez-kv1qo,Mis bias 💕💕,0,2024-09-10T02:31:25Z
@pu-pu12333,中国ドラマの美人さんみたい。でもこの子達はサイボーグじゃないし筋肉もありダンスも出来るアイドルってスゴいよね！,1,2024-09-06T15:23:51Z
@爆笑Tシャツ文字入り,Wow ❤,0,2024-09-06T15:07:06Z
